가게ID,가게명,업종,평점,날짜,리뷰내용
1098036228,964 커피 로스터리베이커리,베이커리,,,"(+빵도 직접 굽고, 원두로스팅까지 직접 하신다고 합니다! 아메리카노 향과 맛, 빵의 향과 질감이 미쳤습니다, 정말)"
1098036228,964 커피 로스터리베이커리,베이커리,,,ㅎ요기 프레첼 맛집! 아니 이게 이렇게 맛있는 빵이었나요? 원두도 선택할 수 있어서 좋았어요!
1098036228,964 커피 로스터리베이커리,베이커리,,,"가게 분위기가 정말 좋았어요 ~ 아메리카노는 깔끔하고 진한 맛이 일품이었고, 카페 라떼는 정말 최고인것 같습니다 라떼 맛집이네요!! 직원분들도 친절하셔서 기분 좋게 마실 수 있었어요. 다음에 또 방문하고 싶은 카페입니다~"
1098036228,964 커피 로스터리베이커리,베이커리,,,가격이 조금 있지만 요즘 빵들 가격과 퀄리티 생각하면 전혀 비싸지 않다고 느껴져요. 커피는 안 마셔봤지만 딱 봐도 맛있을것 같아요. 주방을 힐끔 봤을 때 서울우유바리스타 사용하시더라고요. 그정도로 비싼 재료 사용하시는데 가격대가 이정도면 사장님께 너무 감사하죠.
1098036228,964 커피 로스터리베이커리,베이커리,,,달콤쌉살~우유소금빵 대박인데요? 5천원이 전혀 아깝지 않네요. 요즘 아내와 맛집 지도를 그리고 있는데요~~ 소통하실분은 [꼰대리의퇴근길] 블로그로 오시길^^
1098036228,964 커피 로스터리베이커리,베이커리,,,달콤쌉살~우유소금빵 대박인데요? 5천원이 전혀 아깝지 않네요. 요즘 아내와 맛집 지도를 그리고 있는데요~~ 소통하실분은 [꼰대리의퇴근길] 블로그로 오시길^^
1098036228,964 커피 로스터리베이커리,베이커리,,,딸기 생크림 크루아상과 우유크림 소금빵을 주문했는데 너무 맛있네요. 커피도 달콤하네요.
1098036228,964 커피 로스터리베이커리,베이커리,,,"리뷰 923사진 1,154팔로워 30테마 2"
1098036228,964 커피 로스터리베이커리,베이커리,,,"리뷰 923사진 1,154팔로워 30테마 2"
1098036228,964 커피 로스터리베이커리,베이커리,,,"매장 넓고, 홀 좌석 많아요. 직접 베이커리 및 커피 로스팅까지 하는 맛집 인정. 빵&커피 맛있었어요. 저에게는 가격대가 심적 저항선이 있었는데, 뚫고 방문하기를 잘 한 것 같아요. 근처 일정이 있다면, 방문 고민이 있다면 발걸음 옮기는데, 조금이나마 가이드 되었길 바랍니다. 📸"
1098036228,964 커피 로스터리베이커리,베이커리,,,밥먹고 바로가서 빵을 많이 못먹었지만 크라상이랑 나중에 먹은 소금빵이 너무 맛있었어용 공간도 넓고 모임하기 좋네용🫶🏻
1098036228,964 커피 로스터리베이커리,베이커리,,,버터프레즐 너무맛있고 (사진은 1/2양임 나머지포장) 디카페인 커피있어서 좋아요 여유롭게 책 읽기도 좋은 카페 일단 빵+커피맛있어요
1098036228,964 커피 로스터리베이커리,베이커리,,,"빵 넘 맛있어연,,, 품절되면 너무 서운해,,"
1098036228,964 커피 로스터리베이커리,베이커리,,,빵은 크로와상과 딸기몽블랑을 시키고 커피와 같이 먹었는데 맛있어요
1098036228,964 커피 로스터리베이커리,베이커리,,,사장님이 정말 너무 친절하세요! 주문에 문제가 생길뻔했는데 너무너무 감사하리만큼 대처를 잘해주셔서 자주 오는쪽이 아니지만 굳이라도 오고싶더라구요 빵도 너무 맛있고! 카스테라 생크림 크로와상 정말 맛있어요! 🫰🏻💗 재방문 500% !!!
1098036228,964 커피 로스터리베이커리,베이커리,,,아침에 방문예약 없이 이용대기 시간 바로 입장친목친구
1098036228,964 커피 로스터리베이커리,베이커리,,,원래 2번 출구 쪽에 있었는데 가게 옮긴 것 같아요 ㅎㅎ 커피는 여전히 맛있습니다!
1098036228,964 커피 로스터리베이커리,베이커리,,,이전 후 오랜만에 방문했는데 딸기 시즌이 돌아와서 오랜만에 딸기 크루아상을 다시 먹었습니다~ 여전히 맛있고 카페 분위기도 너무 좋아요👍🏻
1098036228,964 커피 로스터리베이커리,베이커리,,,저녁에 방문예약 없이 이용대기 시간 바로 입장
1098036228,964 커피 로스터리베이커리,베이커리,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1098036228,964 커피 로스터리베이커리,베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목부모님
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목부모님
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1098036228,964 커피 로스터리베이커리,베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1098036228,964 커피 로스터리베이커리,베이커리,,,커피가 먹어 본중에 손가락 안에 듭니다. 향도 좋구 맛있어요. 다시 찾구 싶네요.
1098036228,964 커피 로스터리베이커리,베이커리,,,커피도 맛있고 앙버터도 맛있고... 빵이 맛있어서 나올때 2개 포장해 옴
1098036228,964 커피 로스터리베이커리,베이커리,,,커피도 맛있고요 친절하시고 너무 좋아요~~^^
1098036228,964 커피 로스터리베이커리,베이커리,,,커피도 맛있고요 친절하시고 너무 좋아요~~^^
1098036228,964 커피 로스터리베이커리,베이커리,,,크루아상 겁나 맛있어요 커피도 다른곳가 비교하지 못할만큼 맛있어요 강추합니다^^
1098036228,964 커피 로스터리베이커리,베이커리,,,크루아상 겁나 맛있어요 커피도 다른곳가 비교하지 못할만큼 맛있어요 강추합니다^^
