가게ID,가게명,평점,날짜,리뷰내용
1056737789,BK볏짚 우대갈비 장안동본점,,,가족 모임으로 갔는데 주차도 편하고 자리도 널찍해서 애들 데리고 가기 너무 좋았어요. 우대갈비는 두툼하고 삼겹살은 담백해서 온 가족이 다 만족했네요ㅎㅎ 마지막에 후식 냉면까지 먹으니 완벽한 코스였어요~!
1056737789,BK볏짚 우대갈비 장안동본점,,,가족모임으로 방문했는데 육질이 부드러워서 어르신들 드시기 좋네요. 된장찌개 기본으로 주셨는데 부모님이 잘 드셔서 추가로 주문했어요. 1인분 갈비 1대가 양이 적을듯 싶었는데 6인에 갈비 6대+ 돼지갈비 2인분 하니 적당 했어요. 직원이 고기 구워 주셔서 편하고 주차는 단속차량이 수시로 다녀서 매장앞에 안되지만 바로옆 주차장 지원해 주세요.
1056737789,BK볏짚 우대갈비 장안동본점,,,남편이랑 애들 데리고 다녀왔는데 매장이 넓어서 자리 걱정 안 하고 편하게 먹었어요. 우대갈비는 짚불향이 은근 배어 있어서 다른 고기집이랑 확실히 다르더라구요ㅋㅋ 후식으로 물냉면까지 먹으니 완전 깔끔하게 마무리!
1056737789,BK볏짚 우대갈비 장안동본점,,,냉면 양도 푸짐해서 남편이랑 애들이랑 나눠먹었습니다.
1056737789,BK볏짚 우대갈비 장안동본점,,,"냉면이 후식으로 별미라길래 시켜봤는데 진짜 진리네요ㅎㅎ 비빔냉면은 쫄깃하고 매콤해서 고기랑 찰떡궁합이고, 물냉면은 시원해서 깔끔하게 마무리하기 좋아요. 고기랑 냉면 조합 완전 추천합니다!"
1056737789,BK볏짚 우대갈비 장안동본점,,,넓어서 유모차 끌고 가도 자리 불편함 없었어요.
1056737789,BK볏짚 우대갈비 장안동본점,,,삼겹살까지 짚불향 배니까 진짜 색다른 맛 신기해요~
1056737789,BK볏짚 우대갈비 장안동본점,,,삼겹살을 짚불로 구웠다고 해서 궁금했는데 먹어보니 확실히 다르더라구요~ 기름기 쫙 빠지고 담백한데다가 짚불향이 배어서 술안주로 딱! 남편이 엄청 좋아했어요ㅋㅋ 다음엔 친구들이랑도 같이 가보려구요!
1056737789,BK볏짚 우대갈비 장안동본점,,,선물용 패키지 받아봤는데 포장도 고급져서 깜짝 놀랐어요
1056737789,BK볏짚 우대갈비 장안동본점,,,숯불 위에 볏짚 태워서 향 입히는데 고기에서 불향 제대로 나요.
1056737789,BK볏짚 우대갈비 장안동본점,,,안쪽 인테리어가 따뜻하고 모던해서 딱 데이트 느낌 나는 공간이더라고요.
1056737789,BK볏짚 우대갈비 장안동본점,,,애가 고기 잘 안 먹는 편인데 여기 고기는 진짜 잘 먹더라구요ㅋㅋ 기름기가 덜하고 은은한 짚불향이 배어서 그런지 부담 없이 먹었어요. 엄마 입장에서는 애가 맛있게 먹는 것만으로도 너무 만족스러웠네요~
1056737789,BK볏짚 우대갈비 장안동본점,,,애들도 잘 먹고 남편도 좋아하니 완전 성공한 외식이었어요
1056737789,BK볏짚 우대갈비 장안동본점,,,애들이랑 같이 갔는데 고기에서 짚불향이 솔솔 나니까 식탁에 앉자마자 다들 젓가락부터 들더라구요ㅎㅎ 고기 질도 좋아서 두툼하게 씹히는데 담백해서 계속 들어갔어요~ 고기 먹고 냉면으로 마무리했더니 속이 시원하고 기분까지 좋더라구요!
1056737789,BK볏짚 우대갈비 장안동본점,,,양념게장이 같이 나오는데 이게 또 요물이더라구요?
1056737789,BK볏짚 우대갈비 장안동본점,,,"예약 후 방문했는데 직원분 응대가 친절했고, 고기는 불향이 은은하게 배어 있어 풍미가 훌륭했습니다. 특히 꽃갈비 부위의 쫄깃한 식감이 인상 깊었어요. 밑반찬도 정갈하게 나와 전체적으로 만족스러운 식사였습니다."
1056737789,BK볏짚 우대갈비 장안동본점,,,완전 집밥같더라니 사장님이 소스부터 직접 만드신대서 더 믿고 먹을 수 있겠어요!
1056737789,BK볏짚 우대갈비 장안동본점,,,우대갈비 너무 맛있어요!! 가족모임으로 왔는데 맛있게 잘 먹고 갑니당~ 앞으로 모임때 자주 올 거 같아요.
1056737789,BK볏짚 우대갈비 장안동본점,,,우대갈비는 처음 먹어보는데 엄청 맛있어요!! 밑반찬도 잘 나오고 고기랑 와사비 + 청어알 조합이 너무 맛있어요!! 비빔국수랑도 같이 먹으니 너무 좋아요~~
1056737789,BK볏짚 우대갈비 장안동본점,,,음식도 너무 맛있고 고기도 직접 구워주셔서 너무 편하게 먹고 갑니다!! 고기 먹고 볶음밥 드세요!! 너무 맛있습니다! 다음에도 또 방문할거 같아요!!
1056737789,BK볏짚 우대갈비 장안동본점,,,자리 넓어서 유모차 끌고 가기도 괜찮았어요 편안
