가게ID,가게명,평점,날짜,리뷰내용
21086215,고기야미안해생선회,,,갑자기 친구가 합류하게 되어서 작은거 하나 더 시킬 생각하고 있었는데 양이 많아서 매운탕 시켜서 맛있게 먹었어요.
21086215,고기야미안해생선회,,,눈도 입도 즐거운 곳... 목소리는 좀 커질 수 있음.ㅎ
21086215,고기야미안해생선회,,,늘 가성비 갑인 고미세트 A에 6인이라 다소 아쉬울까봐 추가한 광어 소까지 역시 모두 만족한 생파 저녁식사였어요
21086215,고기야미안해생선회,,,"리뷰 1,046사진 245팔로워 32테마 1"
21086215,고기야미안해생선회,,,"리뷰 1,373사진 1,612팔로워 49"
21086215,고기야미안해생선회,,,"리뷰 1,373사진 1,612팔로워 49"
21086215,고기야미안해생선회,,,모둠회(대) 주문했는데 회가 진짜 두툼해서 한입에 먹을때 행복했어요.. 연어 뱃살 가까운 부분도 있는 것 같고 정말 신선하고 맛있었습니다. 매운탕도 진짜 맛있었어요!
21086215,고기야미안해생선회,,,모듬회 중 6만에 남자 셋이 먹기에 적격한 곳!!
21086215,고기야미안해생선회,,,밑반찬도 방어도 매운탕도 다 맛있었습니다~!엄청사람많고 바쁜데도 직원분들 모두 친절하게 대해주셔서 기분도 좋게먹고 왔어요
21086215,고기야미안해생선회,,,"밑반찬인 김치전이랑 콘도 맛있고, 리필이 되서 좋았어용!!"
21086215,고기야미안해생선회,,,밤에 방문예약 없이 이용대기 시간 2시간 이상데이트연인・배우자
21086215,고기야미안해생선회,,,밤에 방문예약 없이 이용대기 시간 바로 입장일상친척・형제
21086215,고기야미안해생선회,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
21086215,고기야미안해생선회,,,밤에 방문예약 후 이용대기 시간 바로 입장기념일지인・동료
21086215,고기야미안해생선회,,,아침에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
21086215,고기야미안해생선회,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
21086215,고기야미안해생선회,,,저녁에 방문대기 시간 바로 입장친목친구
21086215,고기야미안해생선회,,,"저녁에 방문예약 없이 이용대기 시간 10분 이내 친목친구, 지인・동료"
21086215,고기야미안해생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임부모님
21086215,고기야미안해생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
21086215,고기야미안해생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
21086215,고기야미안해생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
21086215,고기야미안해생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
21086215,고기야미안해생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
21086215,고기야미안해생선회,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구, 지인・동료"
21086215,고기야미안해생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친구
21086215,고기야미안해생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
21086215,고기야미안해생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
21086215,고기야미안해생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
21086215,고기야미안해생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
21086215,고기야미안해생선회,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장회식지인・동료, 기타"
21086215,고기야미안해생선회,,,저녁에 방문예약 없이 이용일상연인・배우자
21086215,고기야미안해생선회,,,"저녁에 방문예약 후 이용대기 시간 바로 입장일상연인・배우자, 친구, 지인・동료"
21086215,고기야미안해생선회,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
21086215,고기야미안해생선회,,,저는 포장해서 먹었는데 일단 회가 맛있고 와사비는 좋은 와사비더라고요. 집에서 가족끼리 먹었는데 맛있고 너무 좋았어요! 그리고 사장님이 친절하십니다. 이 횟집 너무 추천합니다.
21086215,고기야미안해생선회,,,"점심에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목, 일상, 기념일, 가족모임연인・배우자, 친척・형제"
21086215,고기야미안해생선회,,,"조금 일찍 가서인지 바로 입장했구요, 오래전부터 변하지않는 맛집입니당"
21086215,고기야미안해생선회,,,쩡말 맛있었어요 직원분들도 친절하셔서 넘 좋았어요!! 물고기 최고 🐠🐟🍤
21086215,고기야미안해생선회,,,한번 와보고 싶었는데 드디어 방문했습니다 .ᐟ 실제로 보니까 회가 완전 두꺼웠어요 그래서 씹는맛이 쫄깃하니 일품이였습니당 ㅎㅎ 기회가 된다면 또 오고싶어요~ .ᐟ 단점은 자리가 협소하고 시끄러운 것?ˀ
21086215,고기야미안해생선회,,,회가 두툼하고 신선해요 사장님도 친절하시구요!!
21086215,고기야미안해생선회,,,회가 두툼하니 신선하고 맛있었습니다. 대학가라 학생들이 많고 엄청 시끄러워요 ㅋㅋ 대기가 길고 기다릴때는 없으니 대기표 미리 받으시고 다른데서 놀다 가세요~^^ 가끔 가고 싶은곳 이에요. 추위에 한시간이상 떨며 들어갔답니다ㅠ 직원분들 모두 친절하십니다!!^^
21086215,고기야미안해생선회,,,회기 회맛집이에요. 양도 많고 신선하고 기본안주도 너무 맛있어서 항상 리뷰써야지 하고 못 쓴 맛집입니다.
21086215,고기야미안해생선회,,,회도 넘 맛있고 사이드 음식들도 다 맛있어요. 두부 양념이 진짜 맛있었구요. 친절하시고 깔끔하고~ 괜찮다 소개받아서 갔는데 넘 좋았어요~
21086215,고기야미안해생선회,,,회도 정말 두툼하고 맛있게 잘 먹었습니다! 다음에도 잘 부탁드려요!!
1861555203,바다횟집,,,거대한 배안에 가득 채워진 가종 회는 종류를 알수 있도록 표시를 해놓아서 좋았고 두툼하고 양이 많아 가족들이 다들 만족해서 기분이 좋았네요. 담에도 서울서 회 먹는다면 다시 한번 가보고 싶어지네요. 잘 먹었습니다.
1861555203,바다횟집,,,계절특선세트 와 물회 주문했는데 양도 적당하고 기본으로 나오는 음식들도 모두 맛있었어요. 매장도 넓어서 각종 모임하기도 괜찮은 장소인것 같습니다.
1861555203,바다횟집,,,단체라면 룸 예약하면 조용하게 한잔하기 좋은 곳
1861555203,바다횟집,,,대구탕 국물 맛이 시원해요! 해장국으로 먹어도 괜찮아요!
1861555203,바다횟집,,,"리뷰 944사진 3,369팔로워 95"
1861555203,바다횟집,,,물회냉면 맛있어요! 양도 많아요! 술 마신 다음 날 해장용으로 괜찮아요! 면발이 약간 질긴 것이 흠이에요!
1861555203,바다횟집,,,"방문하는 입장에선 제대로 메뉴판 표시 없으니 가격보고 당황하겠어요 광어 소가 58,000원 이고 기본 메뉴가 동일 기본 58,000원부터 시작인데 스키다시가 나온다 해도 양배추 샐러드 말라있고.. 콘치즈는 오래 놔두었는지 눅눅했고요 .. 나온 반찬 한입 먹고 안먹었어요 회는 정말 배고파서 갔는데 첫 입부터 신선함 느끼지 못했습니다 장안동 거주민인데 대실망 입니다 돈 아까워서 먹었는데도 불구하고 회 거의 남겼습니다 ..재방문의사 x"
1861555203,바다횟집,,,사장님이 너무친절하시고 음식이 너무맛나요 오늘은 세트에 참돔과 광어 우럭 맛난재료 맛있었습니다. 항상방문하지만 오늘도 맛나게먹겠습니다. 최고입니다. 자주방문합니다. 사람짱많아요
1861555203,바다횟집,,,새우가 너무 신선해요! 반찬들도 여러가지가 나와서 좋아요
1861555203,바다횟집,,,생새우회 먹고 싶어서 방문했다가 산낙지도 맛있게 잘 먹고 왔습니다~~!!
1861555203,바다횟집,,,생선이 쫀득하고 신선하고 맛있어요. 곁들여 나오는 반찬들도 맛있고 매운탕도 개운합니다.
1861555203,바다횟집,,,아침에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1861555203,바다횟집,,,알탕 개운하고 맛있어요! 동태알과 내장도 적당히 들어 있어요! 여기 근무하시는 분들 모두 친절해요!
1861555203,바다횟집,,,예약하고 가족식사했는데 비쥬얼이ㅎㅎㅎ 커다란 배에 여러 해산물이 나오고 보는 재미도 있네요. 밑반찬 리필되고 광어회는 추가했어요!
1861555203,바다횟집,,,예전에 회맛도 아니고 직원분들이 어찌나 바쁘신지 벨을 눌러도 안오시더라고요 ㅎㅎ
1861555203,바다횟집,,,저녁에 방문예약 없이 이용대기 시간 30분 이내친목지인・동료
1861555203,바다횟집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1861555203,바다횟집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
1861555203,바다횟집,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1861555203,바다횟집,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1861555203,바다횟집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친구
1861555203,바다횟집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
1861555203,바다횟집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1861555203,바다횟집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1861555203,바다횟집,,,저녁에 방문포장·배달 이용대기 시간 10분 이내 일상연인・배우자
1861555203,바다횟집,,,전체적인 메뉴는 가격대가 큰 편인데 2인세트 가성비있고 기본 재공 스끼다시도 좋네요!ㅎㅎ 가오리찜 부들부들하니 진짜 맛도리였어요!!!
1861555203,바다횟집,,,점심시간에 돈까스 맛있게 먹었어요! 매장이 넓어서 혼자 식사하는데 부담 없어요!
1861555203,바다횟집,,,점심시간에 혼자 밥먹으러갔는데 회정식은 그 어디에도 2인분부터 가능하다고 안나와있었는데 막상 가서 주문하니 1인분은 안된다고해서 다른거먹음
1861555203,바다횟집,,,점심식사로 돈까스 먹었어요! 회집 인데 전문점 보다 더 맛있어요! 부드러워 매우 씹기 편해요! 매장이 넓어 혼자 식사하기에도 부담없어요! 사장님 매우 친절해요!
1861555203,바다횟집,,,점심식사로 물회냉면 맛있게 먹었어요! 구성도 충실하고 이번에는 면발도 씹는데 불편하지 않게 적당히 삶이졌어요!
1861555203,바다횟집,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1861555203,바다횟집,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1861555203,바다횟집,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1861555203,바다횟집,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
1861555203,바다횟집,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
1861555203,바다횟집,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1861555203,바다횟집,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1861555203,바다횟집,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1861555203,바다횟집,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1861555203,바다횟집,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1861555203,바다횟집,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1861555203,바다횟집,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1861555203,바다횟집,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1861555203,바다횟집,,,점심에 방문예약 후 이용대기 시간 바로 입장친목친구
1861555203,바다횟집,,,정식으로 나오는데 20000원으로 한상 먹기에는 딱좋은
1861555203,바다횟집,,,"직원1에게 방어를 주문하고 앉아있는데 직원2가 대방어 아니고 방어 시킨게 맞냐고 물어봄. 맞다고하니까 진짜 방어는 대방어인데 왜 방어를 시키냐고 함. ㅋㅋ 그럼 그냥 방어는 가짜 방어인지..? ㅋㅋ 황당했지만 그러려니함. 직원2 다시 찾아와서는 술같은거 안시키냐고 쏘아붙임. 얘기하다 시킬거였는데 ..ㅋ 2만원 더 비싼 대방어 안시켰다고 눈치주는건가 기분이 확 상했음. 직원3, 직원4 연이어서 대방어 안시킨거 맞냐고 또 물어봄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 이때부터 입맛 확 떨어지고 가뜩이나 요즘 방어 맛도 없는데 돈값못하는 비싼 방어 먹으면서 눈치까지 봐야하나싶었음. 아저씨들한텐 사장님소리하며 살가움. ㅋㅋ 젊으신 분들은 무시당하지않게 다른 횟집 가길 바람."
1861555203,바다횟집,,,회덮밥 맛있게 먹었어요! 오뎅국도 시원해요! 매장이 넓어 혼밥하기 부담 없어요!
1861555203,바다횟집,,,회덮밥에는 회도 넉넉히 들어 있고 싱싱한 야채와 더불어 건강한 맛이에요! 죽도 한 종지 나오고 청어구이 한 마리도 제공돼요! 오뎅국도 시원해요! 점심식사로 맛있게 먹었어요!
1861555203,바다횟집,,,회를좋아하는신랑 생각에 3인세트주문!3인세트인데 새우랑 요끼?그건왜2인으로주세여ㅠ3인시켰는데ㅠ그것도식은새우튀김은반칙아닙니까ㅠ식은콘버터도ㅠ
18858993,부부횟집생선회,,,"더워지는 요즘 땡기는 물회, 속초 강릉에서 먹는게 최고지만 도심속에서 현지맛으로 먹을수있는 부부회집, 또왔네요."
18858993,부부횟집생선회,,,맛집이라고 해서 방문했는데 양에 놀라고 맛에 놀랐습니다!
18858993,부부횟집생선회,,,물회가 정말 맛있어요~~ 회덮밥에도 회가 뭉텅뭉텅~~ 맛있어요|~
18858993,부부횟집생선회,,,식구들이랑 모일때마다 종종 시켜먹는데 너무 맛있어요 *_*
18858993,부부횟집생선회,,,식구들이랑 모일때마다 종종 시켜먹는데 너무 맛있어요 *_*
18858993,부부횟집생선회,,,식구들이랑 모일때마다 종종 시켜먹는데 너무 맛있어요 *_*
18858993,부부횟집생선회,,,이용합니다. 회도 신선하고 양념도 새콤달달 간이 딱 좋습니다. 소면도 잘 익혀 나오구요. 포장후 집에서 드실땐 꼭 얼음추가해서 드세요. 휠씬 시원하게
18858993,부부횟집생선회,,,이용합니다. 회도 신선하고 양념도 새콤달달 간이 딱 좋습니다. 소면도 잘 익혀 나오구요. 포장후 집에서 드실땐 꼭 얼음추가해서 드세요. 휠씬 시원하게
18858993,부부횟집생선회,,,이용합니다. 회도 신선하고 양념도 새콤달달 간이 딱 좋습니다. 소면도 잘 익혀 나오구요. 포장후 집에서 드실땐 꼭 얼음추가해서 드세요. 휠씬 시원하게
18858993,부부횟집생선회,,,장사 잘되는 가게는 이유가 있다고 생각하는데 여긴 평범한 맛에 소비자를 우선시하는 서비스 마인드가 전혀없어보임(대부분 식당의 통상적인 브레이크 타임은 3시로 알고있으나 여긴 2시임/주말엔 장사가 너무 잘돠서 포장만 되고 홀에선 음식 못먹음).남은 음식은 포장요청했는데 계산 끝나고 나갈 때까지 안줘서 집에 가다가 다시 찾으러 감.다시는가고싶지않음
18858993,부부횟집생선회,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 일상
18858993,부부횟집생선회,,,저녁에 방문예약 없이 이용대기 시간 30분 이내일상아이
18858993,부부횟집생선회,,,저녁에 방문예약 없이 이용대기 시간 30분 이상친목지인・동료
18858993,부부횟집생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
18858993,부부횟집생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
18858993,부부횟집생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
18858993,부부횟집생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
18858993,부부횟집생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
18858993,부부횟집생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
18858993,부부횟집생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
18858993,부부횟집생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
18858993,부부횟집생선회,,,저녁에 방문예약 후 이용대기 시간 바로 입장일상지인・동료
18858993,부부횟집생선회,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
18858993,부부횟집생선회,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
18858993,부부횟집생선회,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
18858993,부부횟집생선회,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
18858993,부부횟집생선회,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
18858993,부부횟집생선회,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
18858993,부부횟집생선회,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
18858993,부부횟집생선회,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상친구
18858993,부부횟집생선회,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상친구
18858993,부부횟집생선회,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상친구
