가게ID,가게명,평점,날짜,리뷰내용
1499459854,구스베리베이커리,,,건강빵 종류가 다양해서 다이어트나 혈당관리가 필요한 분들에게 희소식인 빵집이에요. 구수하고 은은한 단 맛이 행복을 주는 빵 맛입니다. 조용하고 커피랑 빵 마시며 쉬어가기 좋은 베이커리카페입니다.
1499459854,구스베리베이커리,,,건강빵 종류가 다양해서 다이어트나 혈당관리가 필요한 분들에게 희소식인 빵집이에요. 구수하고 은은한 단 맛이 행복을 주는 빵 맛입니다. 조용하고 커피랑 빵 마시며 쉬어가기 좋은 베이커리카페입니다.
1499459854,구스베리베이커리,,,건강빵 좋아하는데 정말 담백하고 고소해요. 사장님 너무 친절하시구요 재료에 대한 자부심이 있으시더라구요! 믿고 먹을 수 있겠어요. 앞으로 식사빵 구매하러 자주올 것 같아요! 소금빵도 깜빠뉴도 너무 맛있었습니다.
1499459854,구스베리베이커리,,,"겉은 바삭바삭, 안은 쫄깃쫄깃하면서도 촉촉하게 버터 향이 가득!!"
1499459854,구스베리베이커리,,,겉은 살짝 단단하면서 담백하고 속은 촉촉하면서 짭짤하고 빵의 고소한 맛과 잘 어울려 맛있었어요 😊 잘먹겠습니다!
1499459854,구스베리베이커리,,,"고민하다가 한 가지만 샀는데 다른 빵도 살 걸 그랬나 봐요! 너무 맛있어요😍 빵도 맛있고, 직원분도 정말 정말 친절하셔서 더 좋았어요!"
1499459854,구스베리베이커리,,,"고민하다가 한 가지만 샀는데 다른 빵도 살 걸 그랬나 봐요! 너무 맛있어요😍 빵도 맛있고, 직원분도 정말 정말 친절하셔서 더 좋았어요!"
1499459854,구스베리베이커리,,,"그릭요거트, 사과잼, 블루베리잼 같이 먹었는데 계속 들어가더라구요. 두조각만 먹으려다가 반통을 순삭🥹 사실 빵 자체가 정말 고소하고 맛있어서 빵만 먹어도 너무 만족스러웠어요ㅎㅎ"
1499459854,구스베리베이커리,,,느낌이 난다. 가계도 너무 깨끗하고 매우 넓지는 않지만 간단하게 커피를 마실 수 있는 공간도 좋고 무엇보다도 건강빵이 너무 맛있다
1499459854,구스베리베이커리,,,다 슴슴하면서도 재료 본연의 맛이 살아있는 빵이라 제 스타일이더라구요! 특히 블루베리가 통으로 들어가있어서 블루베리 들어간 메뉴를 추천드려요 ✨️👍🤍
1499459854,구스베리베이커리,,,다 슴슴하면서도 재료 본연의 맛이 살아있는 빵이라 제 스타일이더라구요! 특히 블루베리가 통으로 들어가있어서 블루베리 들어간 메뉴를 추천드려요 ✨️👍🤍
1499459854,구스베리베이커리,,,달지않고 담백한 빵이 먹고싶어서 방문했어요! 감자치즈 치아바타랑 들깨 사워도우 먹었는데 감자 치아바타가 완전 맛있었어요. 사장님도 친절하셔요. 담에 깜파뉴 사러 또 와야겠어요. 식사빵 좋아하시는 분들께 완전 추천합니당~~
1499459854,구스베리베이커리,,,달지않고 담백한 빵이 먹고싶어서 방문했어요! 감자치즈 치아바타랑 들깨 사워도우 먹었는데 감자 치아바타가 완전 맛있었어요. 사장님도 친절하셔요. 담에 깜파뉴 사러 또 와야겠어요. 식사빵 좋아하시는 분들께 완전 추천합니당~~
1499459854,구스베리베이커리,,,담백 식빵은 이름처럼 부담 없고 고소해서 매일 아침 생각날 맛!
1499459854,구스베리베이커리,,,더 유명해지지마 아니 더 유명해져 ...... 그래야 내가 오랫동안 사먹을수있으니깐 .... 🤫⭐️
1499459854,구스베리베이커리,,,동네 산책하다가 항상 와보고 싶었는데 못 오다가 주말 맞아서 방문했어요. 커피도 맛있고 빵도 맛있어요 ㅎㅎ 베이킹을 위한 공간이 매장의 절반사이즈쯤 되는거같아요. 빵퀄 너무 좋았고 조용조용 얘기하기 좋았습니다~ 또 올게용ㅎㅎ
1499459854,구스베리베이커리,,,동네에 블루베리 콩포트 파는 곳 찾다가 발견한 곳인데 보석을 발견한 것 같아요..🫢 블루베리 소금빵 속에 콩포트 가득하고.. 무화과 깜빠뉴도 많이 안 달고 진짜 맛있어요 단 거 안 좋아하는 엄마도 잘 드셨으니 말 다 했죠? 오며가며 메뉴 도장깨기 해야겠어요 리뷰 이벤트로 주신 소금빵도 잘 먹겠습니다 !!👍🏻
1499459854,구스베리베이커리,,,동네에 블루베리 콩포트 파는 곳 찾다가 발견한 곳인데 보석을 발견한 것 같아요..🫢 블루베리 소금빵 속에 콩포트 가득하고.. 무화과 깜빠뉴도 많이 안 달고 진짜 맛있어요 단 거 안 좋아하는 엄마도 잘 드셨으니 말 다 했죠? 오며가며 메뉴 도장깨기 해야겠어요 리뷰 이벤트로 주신 소금빵도 잘 먹겠습니다 !!👍🏻
1499459854,구스베리베이커리,,,"매장이 예뻐서 무심코 들어갔는데, 빵까지 맛있어 보여서 바로 겟!"
1499459854,구스베리베이커리,,,바게트 근래먹은 바게트중에 단연코 1등입니다! 빵순이여서 주말 아침마다 빵먹는데 여기 바게트 진짜 맛있어요! 겉바속촉의 정석 치아바타랑 소금빵도 맛있는걸보니 사장님 빵에 진심인 게 느껴져요 ㅎㅎ
