가게ID,가게명,평점,날짜,리뷰내용
1345717839,롤러와김밥,,,게다가 여긴 특이하게 생맥을 파는데 음식을 먹다보니 이 맥주가 은근 조합으로 괜찮더라구요 ㅋㅋㅋ
1345717839,롤러와김밥,,,김밥 정말 속이 꽉차고 맛있고 떡볶이도 감칠맛 굿굿! 재방문 의사 100%
1345717839,롤러와김밥,,,김밥맛집인데 새로나온 우동메뉴도 매콤하니 맛있음!!! 맥주와 환상궁합!!
1345717839,롤러와김밥,,,냉우동 첨 먹어봤는데 여름에 딱임!!! 면발도 찰지고 너무 맛있음~~
1345717839,롤러와김밥,,,"노들섬 나들이갈 때 포장해 갔는데, 사장님이 친절하시고 맛있어요~👍 미리 주문도 가능해요."
1345717839,롤러와김밥,,,담번엔 떡볶이 먹어보려구요 떡볶이도 맛날것 같아요
1345717839,롤러와김밥,,,"더구나 4월 이벤트~ 생맥주 500cc 3,000원 입니다~~"
1345717839,롤러와김밥,,,동료와 회의하러 들렸어요~생맥 너무 맛있었네요~편안한 분위기에 떡볶이랑 생맥주 한잔씩 맛있게 먹고 회의도 잘하고 갑니다^^
1345717839,롤러와김밥,,,매콤한 청양고추가 적당히 들어가서 두줄도 거뜬히 먹을수 있어영~ 매일 먹고싶은 김밥입니다~! 👍🏻👍🏻👍🏻
1345717839,롤러와김밥,,,맥주가 있는 노들역 분식핫플! 참치땡초 프리미엄김밥과 떡볶이~~ 한강라면까지 지대루 끓여 감성 있게 즐기는 노들분식 댕기왔으요~~~^^♡
1345717839,롤러와김밥,,,"멸추김밥이 시그니처 메뉴였는데 진짜 왜 시그니처인지 알 것 같은 맛이에요!! 마요네즈랑 고추, 멸치의 조화가 생각보다 맛있었습니다 :)"
1345717839,롤러와김밥,,,"멸치 육수의 깊은 풍미가 도드라지는, 내 취향에 정확히 맞닿은 떡볶이다. 갈 때마다 늘 만족스럽다."
1345717839,롤러와김밥,,,사장님은 젊으신데 김밥에서 엄마의 손맛이!!🤭 모임에 포장해서 갔는데 다들 너무 맛있다고 인기만점이였습니다~자주 포장해갈꺼같아요^^
1345717839,롤러와김밥,,,"숨겨진 분식맛집이네요~ 이름부터 굉장히 신경써서 지은 게 느껴졌었는데, 아니나 다를까 사장님께서 정성껏 요리해주시더라구요! 김밥 속 재료가 다양하고 푸짐해서 좋았어요.(요즘 김밥집 가면 밥으로 양 채우는 곳이 많은데 여긴 아니였거든요!) 요즘같이 날씨 좋은 날 노들섬으로 피크닉갈 때 픽업해서 가면 딱 좋을 것 같아요. 떡볶이는 밀떡이라 개취저격 당했습니다ㅎ 도톰한 밀떡이라 쫜득쫜득 맛있어요. 소스는 매콤해서 김밥이랑 잘 어울렸습니다! 셀프바가 깔끔하게 정돈되어 있고 화장실도 매장 내부에 있어서 참 좋아요~ 재방문하고 싶은 곳입니다!"
1345717839,롤러와김밥,,,실하고 깔끔해서 어떤 김밥을 시켜도 괜찮을 거 같아요..
