가게ID,가게명,평점,날짜,리뷰내용
18705540,가야성 숭실대점중식당,,,너무너무 맛있어요!!! 특히 짜장 소스가 엄청 맛있습니다 👍🏻👍🏻
18705540,가야성 숭실대점중식당,,,너무너무 맛있어요!!! 특히 짜장 소스가 엄청 맛있습니다 👍🏻👍🏻
18705540,가야성 숭실대점중식당,,,다른곳처럼 튀김빨만 있는 탕수육이 아니라 고기가 꽉차있는 탕수육 진짜 오랜만에 먹어보네요.
18705540,가야성 숭실대점중식당,,,다른곳처럼 튀김빨만 있는 탕수육이 아니라 고기가 꽉차있는 탕수육 진짜 오랜만에 먹어보네요.
18705540,가야성 숭실대점중식당,,,동네에 있어 방문했는데 잡채밥 짬뽕 해물고추짜장 세 메뉴 다 맛있었어요! 짜사이도 있어서 먹기 더 좋았어요
18705540,가야성 숭실대점중식당,,,동네에 있어 방문했는데 잡채밥 짬뽕 해물고추짜장 세 메뉴 다 맛있었어요! 짜사이도 있어서 먹기 더 좋았어요
18705540,가야성 숭실대점중식당,,,맛있어요 곱배기가 없는게 안타깝지만 탕수육 양이 꽤돼서 배부르게 먹었어요
18705540,가야성 숭실대점중식당,,,맛있어요 곱배기가 없는게 안타깝지만 탕수육 양이 꽤돼서 배부르게 먹었어요
18705540,가야성 숭실대점중식당,,,맛있어요! 이동네 오래 살았는데 가야성을 이제야 알다니! 짜장면 짬뽕 모두 맛있어요! 양이 정말 많네요! 간이 자극적이지 않이면서도 입맛에 착착 감기네용! 다음에 다른 요리들도 먹어보려구요! 가족끼리 오기 넘 좋아요~
18705540,가야성 숭실대점중식당,,,맛있어요! 이동네 오래 살았는데 가야성을 이제야 알다니! 짜장면 짬뽕 모두 맛있어요! 양이 정말 많네요! 간이 자극적이지 않이면서도 입맛에 착착 감기네용! 다음에 다른 요리들도 먹어보려구요! 가족끼리 오기 넘 좋아요~
18705540,가야성 숭실대점중식당,,,맛집 검색해서 아이들과 함께 왔는데 맛있었어요~ 대만족~ 간짜장가 비슷한 짜장도 시원한 짬뽕도 신선하고 달콤한 탕수육도 너무 맛있게 먹었습니다~
18705540,가야성 숭실대점중식당,,,상도동 맛있는 중식당 가야성입니다. 음식 먹어본 것 다 맛있었어요~ 넓고 2층까지 있어서 모임하기도 좋은 곳입니다. 제가 젤 좋아하는 가야성 메뉴는 깐풍기지만 다른 메뉴들도 실망시키지 않는 맛이에용 ㅎㅎ
18705540,가야성 숭실대점중식당,,,상도동 맛있는 중식당 가야성입니다. 음식 먹어본 것 다 맛있었어요~ 넓고 2층까지 있어서 모임하기도 좋은 곳입니다. 제가 젤 좋아하는 가야성 메뉴는 깐풍기지만 다른 메뉴들도 실망시키지 않는 맛이에용 ㅎㅎ
18705540,가야성 숭실대점중식당,,,상도동 맛집 가야성입니다. 중식이 땡길때 항상 찾는 중식맛집이고요. 모든 메뉴 실망해본 적이 없습니다 ㅎㅎ 저희 최애는 깐풍기예요~ :)
18705540,가야성 숭실대점중식당,,,상도동 맛집 가야성입니다. 중식이 땡길때 항상 찾는 중식맛집이고요. 모든 메뉴 실망해본 적이 없습니다 ㅎㅎ 저희 최애는 깐풍기예요~ :)
18705540,가야성 숭실대점중식당,,,상도동맛집 가야성숭실대점입니다 겉바싹속촉촉 탕수육과 풍미진한 짜장 초심을 읽지않고 맛있게 대접하겠습니다. 숭실대입구역가야성입나다.
18705540,가야성 숭실대점중식당,,,상도동맛집 가야성숭실대점입니다 겉바싹속촉촉 탕수육과 풍미진한 짜장 초심을 읽지않고 맛있게 대접하겠습니다. 숭실대입구역가야성입나다.
18705540,가야성 숭실대점중식당,,,상도동맛집 가야성숭실대점입니다 겉바싹속촉촉 탕수육과 풍미진한 짜장면맛집 입니다 가족분들과 즐거운식사가 되셨다니 감사합니다.
18705540,가야성 숭실대점중식당,,,상도동맛집 가야성숭실대점입니다 겉바싹속촉촉 탕수육과 풍미진한 짜장면맛집 입니다 가족분들과 즐거운식사가 되셨다니 감사합니다.
18705540,가야성 숭실대점중식당,,,상도동맛집 가야성숭실대점입니다 불향가득한 어향동고는 가야성 시그니처대표요리입니가.정성스런 리뷰 맛깔난사진 감사합니다
18705540,가야성 숭실대점중식당,,,상도동맛집 가야성숭실대점입니다 불향가득한 어향동고는 가야성 시그니처대표요리입니가.정성스런 리뷰 맛깔난사진 감사합니다
18705540,가야성 숭실대점중식당,,,상도동맛집 가야성숭실대점입니다 불향가득한 잡채밥과 풍미진한 짜장을 정성스런 리뷰와 멋진사진 감사 드립니다.
18705540,가야성 숭실대점중식당,,,상도동맛집 가야성숭실대점입니다 불향가득한 잡채밥과 풍미진한 짜장을 정성스런 리뷰와 멋진사진 감사 드립니다.
18705540,가야성 숭실대점중식당,,,상도동맛집 가야성숭실대점입니다 불향가득한 짬뽕 가야성대표메뉴입니다. 해장하기좋은 짬뽕입니다.
18705540,가야성 숭실대점중식당,,,상도동맛집 가야성숭실대점입니다 불향가득한 짬뽕 가야성대표메뉴입니다. 해장하기좋은 짬뽕입니다.
18705540,가야성 숭실대점중식당,,,상도동맛집이자 숭실대맛집인 가야성 숭실대점입니다. 25년이나 된 중국집인만큼 음식들이 기가막힙니다. 짜장면은 깔끔하면서도 감칠맛이 엄청나고 짬뽕은 제가 먹은 짬뽕 중에서도 손꼽히게 맛있습니다. 탕수육도 밀가루 고기가 꽉차있는 진짜 고기 탕수육입니다.
18705540,가야성 숭실대점중식당,,,상도동맛집이자 숭실대맛집인 가야성 숭실대점입니다. 25년이나 된 중국집인만큼 음식들이 기가막힙니다. 짜장면은 깔끔하면서도 감칠맛이 엄청나고 짬뽕은 제가 먹은 짬뽕 중에서도 손꼽히게 맛있습니다. 탕수육도 밀가루 고기가 꽉차있는 진짜 고기 탕수육입니다.
18705540,가야성 숭실대점중식당,,,양도 많아서 단품 하나로도 배부르게 먹을 수 있었습니다.😀😀😃😃😃😃😃😃🥹🥹🥹🥹🥹
18705540,가야성 숭실대점중식당,,,양도 많아서 단품 하나로도 배부르게 먹을 수 있었습니다.😀😀😃😃😃😃😃😃🥹🥹🥹🥹🥹
18705540,가야성 숭실대점중식당,,,어향동고 맛도 최상급인데 다른곳 기면 기본 5만원 나오는데 여기는 맛도 가격도 다 잡았네요
18705540,가야성 숭실대점중식당,,,어향동고 맛도 최상급인데 다른곳 기면 기본 5만원 나오는데 여기는 맛도 가격도 다 잡았네요
18705540,가야성 숭실대점중식당,,,음식 맛도 좋고 너무 친절하셔서 즐거운 식사였어요
18705540,가야성 숭실대점중식당,,,음식 맛도 좋고 너무 친절하셔서 즐거운 식사였어요
18705540,가야성 숭실대점중식당,,,음식이 맛있고 분위기가 좋아서 중국집을 가실 때 꼭 들르시면 좋겠습니다! 추천합니다!
18705540,가야성 숭실대점중식당,,,음식이 맛있고 분위기가 좋아서 중국집을 가실 때 꼭 들르시면 좋겠습니다! 추천합니다!
18705540,가야성 숭실대점중식당,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 일상아이
18705540,가야성 숭실대점중식당,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 일상아이
18705540,가야성 숭실대점중식당,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임부모님, 친척・형제"
18705540,가야성 숭실대점중식당,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임부모님, 친척・형제"
18705540,가야성 숭실대점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임아이
18705540,가야성 숭실대점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임아이
18705540,가야성 숭실대점중식당,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임연인・배우자, 아이, 부모님"
18705540,가야성 숭실대점중식당,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임연인・배우자, 아이, 부모님"
18705540,가야성 숭실대점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상부모님
18705540,가야성 숭실대점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상부모님
18705540,가야성 숭실대점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상아이
18705540,가야성 숭실대점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상아이
18705540,가야성 숭실대점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
18705540,가야성 숭실대점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
18705540,가야성 숭실대점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
18705540,가야성 숭실대점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
