가게ID,가게명,평점,날짜,리뷰내용
11801934,교촌치킨 노량진점,,,교촌은 항상 허니콤보죠 ㅎㅎㅎ 오랜만에 아는사람끼리해서 먹어보았어요 ㅎㅎ 제가 먼저 먹자해서 오긴했지만 ㅎㅎ 교촌 대박나세요 ㅎ
11801934,교촌치킨 노량진점,,,그리고 사진에는 없지만 떡볶이도 맛있어요!떡볶이도 매콤하기때문에 허니랑 꿀조합입니다
11801934,교촌치킨 노량진점,,,남편이랑 치킨 맛있게 먹고 가요 ㅎㅎ 단체로 오시는 분들이 많아서 활기찬 분위기였어요!!
11801934,교촌치킨 노량진점,,,너무 불친절해서 다신 오고싶지 않아요.
11801934,교촌치킨 노량진점,,,네이버 예약한 시간에서 40분 지나서 받음. 카운터에서 20분 기다리라고 하셨는데.. 30분 넘게 기다림. 홀에 사람도 많아서 기다릴 만한 적당한 곳도 없음.
11801934,교촌치킨 노량진점,,,네이버 예약한 시간에서 40분 지나서 받음. 카운터에서 20분 기다리라고 하셨는데.. 30분 넘게 기다림. 홀에 사람도 많아서 기다릴 만한 적당한 곳도 없음.
11801934,교촌치킨 노량진점,,,다른 지점보다 맛있어서 꼭 퇴근하면서 포장해가요 친절하고 좋아요 추천합니다
11801934,교촌치킨 노량진점,,,"리뷰 974사진 1,186팔로워 24"
11801934,교촌치킨 노량진점,,,맛이야 당연히 좋았고 친절한 직원분들 덕분에 더 즐거운 식사를 할 수 있었습니다.
11801934,교촌치킨 노량진점,,,맛이야 당연히 좋았고 친절한 직원분들 덕분에 더 즐거운 식사를 할 수 있었습니다.
11801934,교촌치킨 노량진점,,,맛있게먹었어요 ㅎㅎ 허니콤보는 자주먹어도 안질려요윻ㅎㅎㅎㅎ
11801934,교촌치킨 노량진점,,,밤에 방문예약 없이 이용대기 시간 30분 이내일상혼자
11801934,교촌치킨 노량진점,,,밤에 방문예약 없이 이용대기 시간 30분 이내일상혼자
11801934,교촌치킨 노량진점,,,사무실 근처에 있는 치킨집인데 입점한 지 한 2년만에 방문했는데 너무 맛있네요 ^^
11801934,교촌치킨 노량진점,,,사무실 근처에 있는 치킨집인데 입점한 지 한 2년만에 방문했는데 너무 맛있네요 ^^
11801934,교촌치킨 노량진점,,,저녁에 방문예약 없이 이용대기 시간 30분 이내
11801934,교촌치킨 노량진점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
11801934,교촌치킨 노량진점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
11801934,교촌치킨 노량진점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
11801934,교촌치킨 노량진점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
11801934,교촌치킨 노량진점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
11801934,교촌치킨 노량진점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
11801934,교촌치킨 노량진점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
11801934,교촌치킨 노량진점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
11801934,교촌치킨 노량진점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
11801934,교촌치킨 노량진점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
11801934,교촌치킨 노량진점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
11801934,교촌치킨 노량진점,,,저녁에 방문포장·배달 이용대기 시간 10분 이내 일상혼자
11801934,교촌치킨 노량진점,,,저녁에 방문포장·배달 이용대기 시간 10분 이내 일상혼자
11801934,교촌치킨 노량진점,,,저녁에 방문포장·배달 이용대기 시간 30분 이내일상혼자
11801934,교촌치킨 노량진점,,,저녁에 방문포장·배달 이용대기 시간 30분 이내일상혼자
11801934,교촌치킨 노량진점,,,저녁에 방문포장·배달 이용대기 시간 30분 이내일상혼자
11801934,교촌치킨 노량진점,,,저녁에 방문포장·배달 이용대기 시간 30분 이상일상연인・배우자
11801934,교촌치킨 노량진점,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
11801934,교촌치킨 노량진점,,,전화로 치킨주문했는데 안된다고 해서 지금 가면 2명자리 가능하냐고 물어봤는데 ‘아마 가능할거 같아요’라고 해서 만석인줄알고 갔는데 사진과 같은 손님 아무도 없었던 상황ㅋㅋ. 가서 키오스크로 주문하려고 하니 키오스크 다 꺼져있음. 어떤 마스크 낀 여자알바생와서 아무말없이 띡띡 키오스크 누르길래 ‘지금 주문가능한거예요?’라고 하니 혼잣말로 씨부렁 거리더니 키오스크 켜주구고 감. 서비스 개판에 절대 가지마셈 기분더러움
11801934,교촌치킨 노량진점,,,점심에 방문예약 없이 이용대기 시간 30분 이내일상기타
11801934,교촌치킨 노량진점,,,점심에 방문예약 없이 이용대기 시간 30분 이상혼자
11801934,교촌치킨 노량진점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목
11801934,교촌치킨 노량진점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목
11801934,교촌치킨 노량진점,,,점심에 방문예약 후 이용대기 시간 바로 입장일상혼자
11801934,교촌치킨 노량진점,,,점심에 방문포장·배달 이용대기 시간 30분 이내일상연인・배우자
11801934,교촌치킨 노량진점,,,주위에서 치맥을 좋아하는 터라 최근 치킨집을 자주 가는듯 합니다. 오늘은 교촌이라 간장치킨에 생맥 한 잔 했네요. 간이 세지 않고 단짠인 치킨은 맥주와 궁합이 좋아요. 교촌의 비법은 하나씩 소스를 바르는 솔입니다만.. 위생은 믿을 수 있겠죠. ㅎ
11801934,교촌치킨 노량진점,,,"치킨 색깔 보자마자 이건 이상한데라는 의문이 듦. 초저녁부터 기름이 저렇다는 건 어제나 그저께 기름을 그대로 사용한다는 것. 닭도 냉동닭임. 뼈다귀가 시커멓고, 치킨 맛이 쓰다. 홀 손님도 없던데, 역시 이유가 있네. 양심을 가지고 장사하기 바랍니다. 재방문 의사 없음."
11801934,교촌치킨 노량진점,,,치킨이 맛있긴한데 교촌은 역시나 닭이 작은사이즈라 그런지 고기가 적네요
1554015835,"독한맥주맥주,호프",,,TV랑 스크린이 있어가지고 나중에 축구 경기 볼 때도 좋을 것 같고 모임하기도 좋아서 다음에 또 올게요👍
1554015835,"독한맥주맥주,호프",,,간만에 보슬하고 바삭한 먹태집 발견했어요 ㅎ 손도 빠르시고 친절하시네요
1554015835,"독한맥주맥주,호프",,,기차소리가 시끄럽긴하지만 노상에서 벚꽃보며 야외놀러간 분위기내서 좋았어요
1554015835,"독한맥주맥주,호프",,,"리뷰 1,311사진 337팔로워 11"
1554015835,"독한맥주맥주,호프",,,마감시간이 다가오는지 일하시는 분이 청소에 급해 제 발밑으로 빗자루가 들어와서 깜짝 놀랐지만 빙수는 맛잇게 먹었습니다 ㅋㅋㅎ
1554015835,"독한맥주맥주,호프",,,매장이 진짜진짜넓습니다...! 화장실도 깨끗해서 단체모임하기 최고좋음
1554015835,"독한맥주맥주,호프",,,먹태가 자꾸 생각나는곳~^^ 시원하니 맥주랑 냠냠
1554015835,"독한맥주맥주,호프",,,밤에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1554015835,"독한맥주맥주,호프",,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1554015835,"독한맥주맥주,호프",,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1554015835,"독한맥주맥주,호프",,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1554015835,"독한맥주맥주,호프",,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1554015835,"독한맥주맥주,호프",,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1554015835,"독한맥주맥주,호프",,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1554015835,"독한맥주맥주,호프",,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1554015835,"독한맥주맥주,호프",,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1554015835,"독한맥주맥주,호프",,,"안주가 다양해서 뭘 먹어야하나 고민되긴 했지만 주문한 튀김족발, 소시지 둘다 너무 만족스러웠어뇨!!! 맥주도 맛있고 안주랑 잘어울려서 맛있게 먹고 즐거운 시간 보냈어요👍 분위기도 좋고 2층에 단체석이 있어서 나중에 친구들 모임할 때 와도 좋을듯합니당!!!"
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 10분 이내 친목친구
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목
1554015835,"독한맥주맥주,호프",,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목, 일상연인・배우자, 친척・형제"
1554015835,"독한맥주맥주,호프",,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목, 일상연인・배우자, 친척・형제"
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1554015835,"독한맥주맥주,호프",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1554015835,"독한맥주맥주,호프",,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1554015835,"독한맥주맥주,호프",,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1554015835,"독한맥주맥주,호프",,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1554015835,"독한맥주맥주,호프",,,제가 본 노량진 술집 중 가장 넓고 안주종류 다양한 곳 같아요 안주들 퀄리티 최상이고 술집 분위기도 너무 좋고 술 종류도 다양해서 앞으로도 자주 방문하게 될 거 같아요 ㅎㅎ
1554015835,"독한맥주맥주,호프",,,제가 저번에 다른곳에서 슈바인학센 먹어보고 향신료가 너무 강해서 아쉬웠던 경험이 있는데 여긴 그런 한국인들의 입맛을 귀신같이 캐치하신곳! 튀김족발 시키시면 됩니다!! 독일 슈바인학센 특유의 향신료는 빠졌지만 겉바속촉 튀김족발의 한국적인 맛을 느끼실 수 있어요!!!
1554015835,"독한맥주맥주,호프",,,주문하면 초스피드인 ㅋ 먹태 바삭하니 잘나와요
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,고기도 촉촉하고 염지가 잘되어 너무너무 맛있었는데요. 심지어 껍질의 바삭함이 킥이었어요!
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,그렇게 바쁜데도 친절함 잊지않으시고 정말 최고인거같아요~ 진짜 더더 대박터져서 부자되셨으면 해요ㅎㅎ 닭죽도 맛있어요 참기름 빼고 해달라고 말씀드렸는데 바로 적용해주셔서 좋았어요 다만 확실히 가게도 확장하고 닭죽양도 그만큼 많이 만들어놓으셔서 그런지 너무 오래 끓여 좀 밥알들이 많이 풀어진게 아쉬웠네요 그래도 좋아요~
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,닭죽도 맛있어요 !! 다음엔 떡볶이세트 먹으러 갈게요~~ 날 선선해지면 야장필수!
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,"따끈한 닭죽은 부드럽고 깊은 맛을 살렸고, 통닭은 겉은 바삭·속은 촉촉하게 튀겨 누구나 맛있게 드실 수 있도록 준비했습니다."
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,똥집 맛집이네요! 맛있게 잘 먹었습니다 화장실이 내부에 있어 참 마음에 들어요 운 좋게 웨이팅없이 먹었습니다!
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,"리뷰 1,456사진 837팔로워 56"
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,"리뷰 693사진 1,886팔로워 72"
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,바로 튀겨서 나오고 육즙도 많고 너무 맛있어요!
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,밖은 아직 추워요. 닭은 맛있네요. 겉바속촉의 정석
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,"밤에 방문예약 없이 이용대기 시간 바로 입장데이트, 일상연인・배우자"
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,"밤에 방문예약 없이 이용대기 시간 바로 입장친목, 일상연인・배우자, 친구"
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,"사당갈때마다 가서 친구들이 그만좀 가자할정도의 단골집! 가성비 가심비 좋음,맛도 좋음"
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,생각보다 양이 굉장히 많아서 놀랐어요 ㅎㅎ 매장도 넓고 맛있었어요
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,아 통닭이 진짜 맛있어요. 꼭 통닭드세요! 바삭하니 미쳤음. 취한 와중에도 그건 꼭 기억났고 다음 날에도 바삭한게 기억났어요..🥹🩷
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,아님 떡볶이세트도 맛있겠더라구요~~! 만석이었지만 조금 기다리니 밖에 야장을 펴주셨어요👍🏻😊
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,엄청친절하고 맥주계산도 철저히 해주셔서 정말좋았어요
1605045524,"명인시골통닭 사당본점치킨,닭강정",,,여기는 진짜 맛집이에요. 최소 10번 이상은 간 것 같아요! 통닭이 다 거기서 거기지 하겠지만 여긴 다릅니다. 일단 닭이 크고 누린내 안나고 너무너무 잘 튀겨주셔서 튀김옷까지 완벽히 맛나요. 근데 대신에 바로바로 튀기시는 건지 메뉴 시키고 좀 기다려야 해요. 글고 맛난 곳이라 주말저녁에 가면 음식 나오는 데 좀 시간걸려요. 그치만 한입 맛보면 기다린 값어치를 느낄 수 있는 곳입니다. 닭죽 같이 나오는 닭죽세트도 자주 시켜 먹었는데 이 닭죽도 완전 별미에요. 별 다섯개 주고픈 곳!
