가게ID,가게명,평점,날짜,리뷰내용
2025964236,마초야 구의점,,,국물부터 시원하고 간이 세지 않고 김치도 맛있어요.
2025964236,마초야 구의점,,,규동이 먹고 싶어서 네이버 검색하다가 발견하고 방문했어요.
2025964236,마초야 구의점,,,날은 덥고 시원하면서 혼자 편하게 먹고 싶은 걸 찾다가 발견했어요. 웨이팅이 있긴 했는데 일식 특성상 회전율이 빨라서 얼마 안 기다리고 들어왔습니다. 자가제면이라 면도 너무 훌륭한데 쯔유? 가 막 짜지 않아서 먹기에 딱이었습니다. 치즈고로케 다들 추천해서 먹어봤는데 역시나 맛있고요. 다만 혼자 세 개를 다 먹으려니 힘들었을 뿐… 결국 다 먹었습니다 ㅎㅎ 지방 살아서 자주 못 가는게 유일한 단점이네요. 담에 가면 다른 우동도 먹어보고 싶어요 👍🏻
2025964236,마초야 구의점,,,냉우동은 익숙치 않았는데 쯔유에 적셔 먹는데 쫄깃하니 맛났구요 돈까스는 2만원대 고급전문점에서 먹는것보다 더 부드럽고 튀김옷이 분리되지 않아서 좋았습니다 규동은 맛을 3가지로 선택할 수 있어 아이용으로 순한맛을 시켰는데 입맛에 딱 맞았어요
2025964236,마초야 구의점,,,담에는 맛있어 보이는 새우튀김이 있는 냉우동을 시켜야겠어요 😃
2025964236,마초야 구의점,,,두번째 방문인데 냉우동 진짜 맛있습니다 면한가닥씩 음미하면서 드셔보세용 면자체로도 너무 맛있는데 냉우동 소스? 국물? 그건 진짜 더더더더 맛있어요 집 바로 앞에 이런음식점이 있어서 행운이예요!!
2025964236,마초야 구의점,,,두툼한 돈까스에 사이드도 다양해서 만족스러워용 ✨✨특히 고로케가 ㄹㅇ 맛도리임당 다음엔 덮밥이랑 냉우동 먹으러 올 예정 🫶🏻 매장도 깔끔하고 분위기 좋아서 데이트로 추천합니당 •u•
2025964236,마초야 구의점,,,뚝섬 키즈카페왔다가. 근처. 맛집 찾아보니까 새로오픈한 마초야가있길래. 오랜만에. 맛난우동 먹고싶어서 들렸어요
2025964236,마초야 구의점,,,"면이 쫄깃하고 탱글탱글해서 시원한 국물과 찰떡궁합! 튀김은 바삭하고 기름기도 적당해서 느끼하지 않아요. 곁들여 나온 유부초밥, 샐러드, 김치, 단무지도 깔끔하고 정갈했습니다. 맥주 한잔 곁들이니 금상첨화! 재방문 의사 100%입니다."
2025964236,마초야 구의점,,,세번째 방문입니다. 맛있고 주차 편해서 더욱 자주 오게 될것 같너요.
2025964236,마초야 구의점,,,아이와 같이 방문했는데 아이 식기와 나눠먹을 그릇도 셋팅해주셔서 편히 먹었네요 ^^
2025964236,마초야 구의점,,,"우동이 먹고 싶다는 아이와 함께 마초야 구의점에 방문했어요. 오픈한지 얼마 안돼서 매장도 깔끔하고 인테리어도 일본스러운 느낌이라 일본여행 온 느낌이었어요. 메뉴도 온우동, 냉우동, 돈카츠, 돈부리 등 여러가지가 있어서 손님들이 가족단위로도 많이 오고 혼밥하시는 분들도 많네요. 우리 가족도 골고루 냉우동, 온우동, 돈부리를 시켰는데 양도 많고 맛도 있고 직원분들도 친절해서 여기는 재방문 의향이 있어요. ^^ 맛있는 우동, 돈카츠 먹고 싶으신 분들에게 강력추천합니다. ^^"
2025964236,마초야 구의점,,,우동정식으로 주문하니 유부초밥과 튀김도 같이 나와서 더 든든하고 다양하게 맛볼수있어 좋았어요♡
2025964236,마초야 구의점,,,일주일에 한번씩 오고 있어요. 아이가 규동을 먹어보더니 또 가고 싶다고 ㅎㅎ 처음으로 우동도 시켜봤는데 새로운 느낌이에요. 온우동만 먹어봤거든요.
2025964236,마초야 구의점,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임연인・배우자, 아이"
2025964236,마초야 구의점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
2025964236,마초야 구의점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상아이
2025964236,마초야 구의점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
2025964236,마초야 구의점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
2025964236,마초야 구의점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
2025964236,마초야 구의점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
2025964236,마초야 구의점,,,저희 광진구 대표 맛집!! 자주 와서 먹는데 배신하지 않는 맛입니다ㅠㅠ 오늘은 부모님이랑 와서 먹었는데 부모님도 아주 좋아하셔서 너무너무 기쁘네용
2025964236,마초야 구의점,,,"전체적으로 깔끔하게 나오고, 가게 분위기도 차분해서 편하게 잘 먹은 것 같습니다☺️"
2025964236,마초야 구의점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
2025964236,마초야 구의점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
2025964236,마초야 구의점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
2025964236,마초야 구의점,,,"쫄깃한 면발, 튀김의 바삭함, 국물의 깔끔한 뒷맛... 오픈 즉시 동네 맛집으로 등극한 이래 변함없는 맛으로 자주 찾아오게 만드는..."
2025964236,마초야 구의점,,,첫 오픈때 왔다가 또 방문하게 되었어요! 붓카케우동을 좋아하는데 짜지않고 간이 적당한게 진짜 맛있어요! 돈카츠도 잡내없고 너무 맛있습니다. 사람 많은곳은 이유가 있는거같습니다! 자주 방문할게요!!
2025964236,마초야 구의점,,,특히 정식 시키면 사이드로 나오는 튀김이 바삭하고 종류도 여러개입니다
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,"그 끈적끈적한 테이블에 예약석 표시, 테크노 특유의 객단가 높일라고 하는짓"
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,그리고 같이 나오는 돈까스는 성인손바닥정도 되는 사이즈로 나오는데 두께도 적당하고 식감도 바삭바삭하니 맛있었어요!! 그리고 매장에서 식사하고나서 바로 앞에 하늘공원도 있어서 날씨 좋을때 가족들+연인이랑 맛있게 식사하고 하늘공원에서 데이트하기 좋을거같더라구요!
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,냉모밀도 주문하기 아주 잘했다는 생각이 들 정도로 너무너무너무 ! 맛있었습니다 ! 🩷🩷🩷
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,모둠카츠 구성이 알차고 양이 많아서 대식가인 저도 배부르게 먹었어요 막 튀겨서 바삭바삭 맛있고 치즈 돈까스는 치즈 양이 대박이예요🥹 돈카츠도 부드럽고 실하더라구요 !
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,모듬돈까스 완전 푸짐하고 바삭하고 맛있어요.^^ 치즈가츠 완전 짱! 치즈폭탄이예요~ 모듬이 양도 많고 다양하게 맛볼수 있어서 좋았어요. 니꾸우동은 불맛나게 구운고기가 들어 있고 국물이 시원했어요~ 여긴 양이 혜자네요! 맛있어요~^^
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,바쁜 점심시간에 혼자 가게되어서 좀 죄송스러운 마음도 있었는데 너무 친절하신 사장님 감사합니다.
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,"보통 직원이 불친절하면 사장님한테 얘기하면되는데, 사장님이 불친절하면 어디에 얘기해야되는지.. 음식서빙부터 시작해서, 저희 어머니가 오른손 깁스로 인해 포크를 사용하시다가 떨어뜨리셔서 포크 요청하니 기분나빠하시더라구요. 요청을 하면 대답도 없으시고, 먹는 내내 눈치보였네요. 기대없이 갔는데, 실망만하고 나왔습니다."
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,비도오고 밖으로 나가기 뭐하고 튀김은 땡기고.. 식당가 괜찮은곳 찾아보니 보여서 들어갔는데 치즈돈까스 보여서 주문해서 먹어봤는데 고소하고 입에 감기네요
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,아이가 어려 메뉴하나 다먹기 힘들고 어린이 메뉴가 없어 공깃밥추가 했는데 아이스크림한수쿱양이 1000원 이더라구요. 물가가 많이 올랐구나 했네요
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,양도 많고 먹을만 하네요... 단지 깍두기 반찬은 미리 셋팅한 한거라지만 커버없이 관리되어 말라삐트려져 있어서 신경 좀 써야겠네요...
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,오늘따라 더웠는데 냉모밀에 살얼음이 동동 떠서 시원하게 먹었습니다 해산물야끼면정식은 불 맛도 많이나고 고급진 맛이여서 아주 만족했습니다.
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,저녁에 방문예약 없이 이용대기 시간 30분 이내
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이친척・형제
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상, 나들이혼자"
1064554138,상상돈가츠&냉모밀 강변테크노마트점돈가스,,,점심에 방문예약 없이 이용대기 시간 10분 이내 일상혼자
