가게ID,가게명,평점,날짜,리뷰내용
31186491,고향양꼬치 건대점,,,건대 양꼬치거리에 있는 고향 양꼬치. 기존 메뉴에 무한리필이 생겨서 방문해봄.커다란 냉장고에 12종 정도 자유롭게 꺼내먹을 수 있게 어묵 완자 양고기 삼겹 소고기에 새우끼지 준비되어있는데 무한리필이라고 다른 고기가 아니라 기존 PCS 주문식과 같은 퀄의 고기라하니 맛도 여전한~ 게다가 꿔바로우 가지탕수등 8종의 음식도 셀프 리필이라 마음편히 먹을 수 있음 ㅎㅎ 꼬치 4번 40개+ 반찬 두번 리필까지 든든한 식사하고 나옴. 그런데 한 쪽에서 계속 꼬치 꿰는 모습을 보니 무한리필이라고 욕심내지 말고 구운거나 남기지 말아야겠다 생각이 들었음!
31186491,고향양꼬치 건대점,,,건대 양꼬치거리에 있는 고향 양꼬치. 기존 메뉴에 무한리필이 생겨서 방문해봄.커다란 냉장고에 12종 정도 자유롭게 꺼내먹을 수 있게 어묵 완자 양고기 삼겹 소고기에 새우끼지 준비되어있는데 무한리필이라고 다른 고기가 아니라 기존 PCS 주문식과 같은 퀄의 고기라하니 맛도 여전한~ 게다가 꿔바로우 가지탕수등 8종의 음식도 셀프 리필이라 마음편히 먹을 수 있음 ㅎㅎ 꼬치 4번 40개+ 반찬 두번 리필까지 든든한 식사하고 나옴. 그런데 한 쪽에서 계속 꼬치 꿰는 모습을 보니 무한리필이라고 욕심내지 말고 구운거나 남기지 말아야겠다 생각이 들었음!
31186491,고향양꼬치 건대점,,,"고기 크기도 큼지막하고 사이드도 맛있네요! 저는 가지튀김 주문했는데 진심 넘 맛났어여… 맥주 안주로 최고..!! 고기는 양갈비, 양꼬치, 마라양꼬치 다 주문해 먹어봤는데 양갈비꼬치가 젤 맛있었습니당 ㅎㅎ 매장도 넓어서 좋았어요"
31186491,고향양꼬치 건대점,,,고기도 여러 종류의 꼬치가 있어서 불판 바꾸지 않고 다양한 맛을 즐길 수 있어 좋습니다.
31186491,고향양꼬치 건대점,,,고기도 여러 종류의 꼬치가 있어서 불판 바꾸지 않고 다양한 맛을 즐길 수 있어 좋습니다.
31186491,고향양꼬치 건대점,,,고기에서 잡내가 적었고 가성비있게 맛있는 식사했습니다! 처음에 주류랑 음료에 대한 설명이 없어서 시키고 가만히 앉아있었는데 알고보니 셀프라고 하시더라구요. 오시는 분들은 참고하시면 좋을 거 같습니다🤍
31186491,고향양꼬치 건대점,,,고기에서 잡내가 적었고 가성비있게 맛있는 식사했습니다! 처음에 주류랑 음료에 대한 설명이 없어서 시키고 가만히 앉아있었는데 알고보니 셀프라고 하시더라구요. 오시는 분들은 참고하시면 좋을 거 같습니다🤍
31186491,고향양꼬치 건대점,,,고기에서 잡내가 적었고 가성비있게 맛있는 식사했습니다! 처음에 주류랑 음료에 대한 설명이 없어서 시키고 가만히 앉아있었는데 알고보니 셀프라고 하시더라구요. 오시는 분들은 참고하시면 좋을 거 같습니다🤍
31186491,고향양꼬치 건대점,,,네이버 리뷰보고 방문했는데 친절하시고 깨끗한 분위기에서 맛있게 잘먹고 갑니다
31186491,고향양꼬치 건대점,,,네이버 리뷰보고 방문했는데 친절하시고 깨끗한 분위기에서 맛있게 잘먹고 갑니다
31186491,고향양꼬치 건대점,,,네이버 리뷰보고 방문했는데 친절하시고 깨끗한 분위기에서 맛있게 잘먹고 갑니다
31186491,고향양꼬치 건대점,,,다양하게 먹고 싶어서 양고기모듬으로 시켰어요!! 고기도 냄새안나고 맛있어서 너무 만족했답니다.. 꼬치도 추가해서 먹었고 재방문 의사 있습니다ㅎㅎ
31186491,고향양꼬치 건대점,,,다양하게 먹고 싶어서 양고기모듬으로 시켰어요!! 고기도 냄새안나고 맛있어서 너무 만족했답니다.. 꼬치도 추가해서 먹었고 재방문 의사 있습니다ㅎㅎ
31186491,고향양꼬치 건대점,,,다양하게 먹고 싶어서 양고기모듬으로 시켰어요!! 고기도 냄새안나고 맛있어서 너무 만족했답니다.. 꼬치도 추가해서 먹었고 재방문 의사 있습니다ㅎㅎ
31186491,고향양꼬치 건대점,,,둘이서 양꼬치 2인분에 토마토계란탕 시켜서 맥주랑 먹었는데 양 많아서 충분합니다
31186491,고향양꼬치 건대점,,,둘이서 양꼬치 2인분에 토마토계란탕 시켜서 맥주랑 먹었는데 양 많아서 충분합니다
31186491,고향양꼬치 건대점,,,둘이서 양꼬치 2인분에 토마토계란탕 시켜서 맥주랑 먹었는데 양 많아서 충분합니다
31186491,고향양꼬치 건대점,,,"든든하게 무한리필 양꼬치 여기서 즐길수있었어요!!! 눈치 볼 필요없이 완전 고기 셀프, 오징어, 새우, 이런퀄리티가 있나싶기도하고 심지어 요리도 무제한!!! 너무 좋아요!고기가 맛있어요 실화인가요? 건대에서 자주 방문할것 같습니다 사장님 굿!!"
31186491,고향양꼬치 건대점,,,"든든하게 무한리필 양꼬치 여기서 즐길수있었어요!!! 눈치 볼 필요없이 완전 고기 셀프, 오징어, 새우, 이런퀄리티가 있나싶기도하고 심지어 요리도 무제한!!! 너무 좋아요!고기가 맛있어요 실화인가요? 건대에서 자주 방문할것 같습니다 사장님 굿!!"
31186491,고향양꼬치 건대점,,,무한리필 양꼬치에 중국요리에 눈이 휘둥그레해져서 얼른들어왔어요! 냉장고에 훠궈집처럼 가져다먹을수잇도록 정리 잘되어있고 넓고 깨끗합니당
31186491,고향양꼬치 건대점,,,"무한리필 이용했어요!! 8가지 꼬치류 마음껏 이용할 수 있고 요리류도 밥,꿔바로우 등 5가지 이상 있어서 마음껏 즐길 수 있었어요. 잘 먹고 갑니다~~!!"
31186491,고향양꼬치 건대점,,,"무한리필 이용했어요!! 8가지 꼬치류 마음껏 이용할 수 있고 요리류도 밥,꿔바로우 등 5가지 이상 있어서 마음껏 즐길 수 있었어요. 잘 먹고 갑니다~~!!"
31186491,고향양꼬치 건대점,,,"무한리필 이용했어요!! 8가지 꼬치류 마음껏 이용할 수 있고 요리류도 밥,꿔바로우 등 5가지 이상 있어서 마음껏 즐길 수 있었어요. 잘 먹고 갑니다~~!!"
31186491,고향양꼬치 건대점,,,무한리필로 양꼬치는 물론 매일 바뀐다는 4가지 요리까지 즐길 수 있어 너무 좋았습니다. 보통 무한리필하면 퀄리티가 떨어진다고 생각하기 쉬운데 고기 자체의 신선도는 물론 맛까지 훌륭해서 절대 다른 곳들과는 비교 불가했습니다. 심지어 아이들이 좋아하는 재료도 풍부해 온 가족이 식사하기에도 좋았습니다. 바로 옆 공영주차장에 주차를 하기도 편해서 더 마음에 들었구요.
31186491,고향양꼬치 건대점,,,무한리필로 양꼬치는 물론 매일 바뀐다는 4가지 요리까지 즐길 수 있어 너무 좋았습니다. 보통 무한리필하면 퀄리티가 떨어진다고 생각하기 쉬운데 고기 자체의 신선도는 물론 맛까지 훌륭해서 절대 다른 곳들과는 비교 불가했습니다. 심지어 아이들이 좋아하는 재료도 풍부해 온 가족이 식사하기에도 좋았습니다. 바로 옆 공영주차장에 주차를 하기도 편해서 더 마음에 들었구요.
