가게ID,가게명,평점,날짜,리뷰내용
1707788293,매드피자 건대점,,,갑자기 갓 나온 피자 먹고 싶어서 찾아왔는데 대성공🫶🏻 인테리어도 귀엽고 피자도 맛있음. 조각 피자도 있어서 간맥하러 오기도 ㄱㅊ을 듯. 고구마 피자 추천!
1707788293,매드피자 건대점,,,갑자기 갓 나온 피자 먹고 싶어서 찾아왔는데 대성공🫶🏻 인테리어도 귀엽고 피자도 맛있음. 조각 피자도 있어서 간맥하러 오기도 ㄱㅊ을 듯. 고구마 피자 추천!
1707788293,매드피자 건대점,,,건대 분위기 좋구요 피자 종류도 다양하고 조각이랑 M.L선택할수도 있어서 선택이편리해요! 피자맛도 다른피자가게랑은 비교불가입니다.... 데이트나 친목코스로 딱인것같아요
1707788293,매드피자 건대점,,,건대 분위기 좋구요 피자 종류도 다양하고 조각이랑 M.L선택할수도 있어서 선택이편리해요! 피자맛도 다른피자가게랑은 비교불가입니다.... 데이트나 친목코스로 딱인것같아요
1707788293,매드피자 건대점,,,더블베이컨 포테이토 피자 먹었는데 너무 맛있어요 ㅠㅠ 담에 또 올게요~~
1707788293,매드피자 건대점,,,더블베이컨 포테이토 피자 먹었는데 너무 맛있어요 ㅠㅠ 담에 또 올게요~~
1707788293,매드피자 건대점,,,더블베이컨 포테이토 피자 먹었는데 너무 맛있어요 ㅠㅠ 담에 또 올게요~~
1707788293,매드피자 건대점,,,더블베이컨 포테이토 피자 먹었는데 너무 맛있어요 ㅠㅠ 담에 또 올게요~~
1707788293,매드피자 건대점,,,더블베이컨이랑 스파게티 시켰는데 맛있고 노래좋고 에어컨 파워냉방이에요 오세여 맛있어여
1707788293,매드피자 건대점,,,더블베이컨이랑 스파게티 시켰는데 맛있고 노래좋고 에어컨 파워냉방이에요 오세여 맛있어여
1707788293,매드피자 건대점,,,더블베이컨이랑 스파게티 시켰는데 맛있고 노래좋고 에어컨 파워냉방이에요 오세여 맛있어여
1707788293,매드피자 건대점,,,더블베이컨이랑 스파게티 시켰는데 맛있고 노래좋고 에어컨 파워냉방이에요 오세여 맛있어여
