가게ID,가게명,평점,날짜,리뷰내용
2038058486,노티드 구의역,,,구의역 카페가 어디 숨어있었나 싶어요. 도넛 크림이 정말 풍부해서 한 입 베어 물면 부드러운 크림이 가득 느껴져요. 맛있는 도넛으로 달콤한 휴식을 즐기기 좋은 곳이네요.
2038058486,노티드 구의역,,,구의역 카페가 어디 숨어있었나 싶어요. 도넛 크림이 정말 풍부해서 한 입 베어 물면 부드러운 크림이 가득 느껴져요. 맛있는 도넛으로 달콤한 휴식을 즐기기 좋은 곳이네요.
2038058486,노티드 구의역,,,구의역 카페에서 도넛 먹었는데 진짜 맛있어요 직원분들도 너무 친절하고 정말 기분 좋게 먹고 왔어요
2038058486,노티드 구의역,,,넓고 쾌적한 매장과 한쪽으로 모아둔 테이블 배치를 좋게 봐주셔서 감사합니다.
2038058486,노티드 구의역,,,넓고 쾌적한 매장과 한쪽으로 모아둔 테이블 배치를 좋게 봐주셔서 감사합니다.
2038058486,노티드 구의역,,,노티드 기본이 젤 맛나용! 저희 엄마도 인정한! 우유 생크림 맛집💛 자리도 넓고 빵도 많아요!
2038058486,노티드 구의역,,,노티드 기본이 젤 맛나용! 저희 엄마도 인정한! 우유 생크림 맛집💛 자리도 넓고 빵도 많아요!
2038058486,노티드 구의역,,,"단, 매장이 협소해서 주말에 피크타임에는 자리에 앉기 힘든곳이구요..인기메뉴는 품절이 빨리되는거 같네요. 크림브륄레 첨 먹어봤는데 맛있어요"
2038058486,노티드 구의역,,,데이트 코스로 방문해 주시고 도넛과 포장까지 만족해 주셨다니 정말 감사드립니다! 산책하며 달콤한 시간을 보내실 수 있었다니 저희도 뿌듯하네요 💛 언제나 기분 좋은 추억을 드릴 수 있는 구의역 카페가 되겠습니다. 오늘도 달콤한 하루 보내세요💛
2038058486,노티드 구의역,,,"데이트 코스로 즐겁게 방문해 주시고, 도넛의 진열과 맛까지 만족해 주셔서 정말 기쁩니다! 🥰 예쁘게 준비된 도넛들이 선택의 즐거움이 될 수 있도록 항상 신경 쓰고 있으니 또 오셔서 달콤한 순간을 함께하세요. 소중한 시간에 노티드가 함께할 수 있어 감사드립니다 ✨ 오늘도 달콤한 하루 보내세요💛"
2038058486,노티드 구의역,,,"데이트 코스로 즐겁게 방문해 주시고, 도넛의 진열과 맛까지 만족해 주셔서 정말 기쁩니다! 🥰 예쁘게 준비된 도넛들이 선택의 즐거움이 될 수 있도록 항상 신경 쓰고 있으니 또 오셔서 달콤한 순간을 함께하세요. 소중한 시간에 노티드가 함께할 수 있어 감사드립니다 ✨ 오늘도 달콤한 하루 보내세요💛"
2038058486,노티드 구의역,,,데이트 코스와 나들이 코스로도 찾아주셨다니 너무 감사드립니다! 다양하게 준비된 도넛을 고르는 재미까지 느껴주셔서 기쁘네요 🥰 언제 오셔도 밝고 달콤한 분위기로 즐거운 시간을 보내실 수 있도록 늘 정성 다하겠습니다. 오늘도 달콤한 하루 보내세요💛
2038058486,노티드 구의역,,,데이트하시면서 들러주시고 도넛을 맛있게 즐기셨다니 다행이에요! 앞으로도 산책이나 나들이 코스로 편하게 들러주시면 언제나 맛있는 도넛과 함께 반겨드릴게요💛 오늘도 달콤한 하루 보내세요💛
2038058486,노티드 구의역,,,데이트하시면서 들러주시고 도넛을 맛있게 즐기셨다니 다행이에요! 앞으로도 산책이나 나들이 코스로 편하게 들러주시면 언제나 맛있는 도넛과 함께 반겨드릴게요💛 오늘도 달콤한 하루 보내세요💛
2038058486,노티드 구의역,,,도넛 다 먹고 나서 버리기 아까울 정도로 제품 관련 주의사항도 꼼꼼하게 설명되어 있네요
2038058486,노티드 구의역,,,도넛 다 먹고 나서 버리기 아까울 정도로 제품 관련 주의사항도 꼼꼼하게 설명되어 있네요
2038058486,노티드 구의역,,,"도넛뿐만 아니라 음료까지 맛있게 즐겨주셔서 정말 기쁩니다 🥰 구의역 카페 중에서도 인기 있는 이유를 직접 느껴주셨다는 말씀에 감사드리며, 앞으로도 늘 만족스러운 맛과 시간을 제공하도록 노력하겠습니다."
2038058486,노티드 구의역,,,따뜻한 말씀 남겨주셔서 진심으로 감사합니다😊 매장의 분위기와 직원들의 응대가 편안한 시간을 만들어드렸다고 하니 큰 보람을 느낍니다. 앞으로도 언제 방문하시든 기분 좋은 경험을 드릴 수 있도록 최선을 다하겠습니다.
2038058486,노티드 구의역,,,"만족스러운 경험을 하셨다니 저희도 정말 기쁩니다. 친절한 서비스와 맛있는 도넛, 깔끔한 인테리어와 좋은 분위기까지 함께 즐겨주셔서 감사드리며, 앞으로도 자주 찾아주실 수 있는 매장이 되도록 최선을 다하겠습니다. 오늘도 달콤한 하루 보내세요💛"
2038058486,노티드 구의역,,,"만족스러운 경험을 하셨다니 저희도 정말 기쁩니다. 친절한 서비스와 맛있는 도넛, 깔끔한 인테리어와 좋은 분위기까지 함께 즐겨주셔서 감사드리며, 앞으로도 자주 찾아주실 수 있는 매장이 되도록 최선을 다하겠습니다. 오늘도 달콤한 하루 보내세요💛"
2038058486,노티드 구의역,,,매장 분위기와 직원들의 응대까지 좋게 봐주셔서 감사드립니다. 방문하실 때마다 기분 좋은 경험을 드릴 수 있도록 더욱 정성껏 준비하겠습니다. 앞으로도 즐겁게 들러주세요! 오늘도 달콤한 하루 보내세요💛
2038058486,노티드 구의역,,,매장 분위기와 직원들의 응대까지 좋게 봐주셔서 감사드립니다. 방문하실 때마다 기분 좋은 경험을 드릴 수 있도록 더욱 정성껏 준비하겠습니다. 앞으로도 즐겁게 들러주세요! 오늘도 달콤한 하루 보내세요💛
2038058486,노티드 구의역,,,"매장에서 편히 앉아 즐겨주셨다니 더욱 기쁘고, 앞으로도 늘 기분 좋은 공간이 될 수 있도록 노력하겠습니다!"
2038058486,노티드 구의역,,,"매장에서 편히 앉아 즐겨주셨다니 더욱 기쁘고, 앞으로도 늘 기분 좋은 공간이 될 수 있도록 노력하겠습니다!"
2038058486,노티드 구의역,,,멋진 후기와 함께 이스트폴 내 새로운 공간을 예쁘게 봐주셔서 정말 감사드립니다! 인테리어와 분위기 모두 고객님께 좋은 인상으로 남았다니 보람차네요. 앞으로도 달콤한 도넛과 함께 기분 좋은 시간 보내실 수 있도록 항상 정성 다하겠습니다. 오늘도 달콤한 하루 보내세요💛
2038058486,노티드 구의역,,,멋진 후기와 함께 이스트폴 내 새로운 공간을 예쁘게 봐주셔서 정말 감사드립니다! 인테리어와 분위기 모두 고객님께 좋은 인상으로 남았다니 보람차네요. 앞으로도 달콤한 도넛과 함께 기분 좋은 시간 보내실 수 있도록 항상 정성 다하겠습니다. 오늘도 달콤한 하루 보내세요💛
2038058486,노티드 구의역,,,방문해주신 데 만족하셨다니 저희도 정말 기쁘고 감사한 마음이에요! 친절하게 느껴주신 점과 매장 분위기까지 좋게 봐주셔서 큰 힘이 됩니다. 앞으로도 맛과 서비스 모두 만족스러운 경험이 되실 수 있도록 노력하겠습니다! 오늘도 달콤한 하루 보내세요💛
2038058486,노티드 구의역,,,"불편을 드려 다시 한번 사과드리며, 다음 방문 시에는 더 나은 모습으로 찾아뵙겠습니다. 감사합니다!"
2038058486,노티드 구의역,,,"불편을 드려 다시 한번 사과드리며, 다음 방문 시에는 더 나은 모습으로 찾아뵙겠습니다. 감사합니다!"
2038058486,노티드 구의역,,,소중한 시간을 내어 방문해 주시고 예쁜 리뷰까지 남겨주셔서 감사드립니다! 도넛의 달콤함뿐 아니라 데이트 코스로도 만족을 드릴 수 있었다니 정말 기쁩니다. 언제든 산책하시다 편하게 들르셔서 달콤한 휴식 즐기실 수 있도록 정성껏 준비하겠습니다. 오늘 하루도 행복하고 달콤하게 보내세요💛
2038058486,노티드 구의역,,,소중한 첫 방문 후기 남겨주셔서 감사합니다😊 도넛 크림을 맛있게 즐겨주셨다니 정말 기쁘네요. 다음에 친구분과 함께 오실 때도 만족스러운 시간을 보내실 수 있도록 정성껏 준비하겠습니다💛 오늘도 달콤한 하루 보내세요💛
2038058486,노티드 구의역,,,소중한 후기 감사드립니다😊 단지 가까이에 있어 편리하게 이용해주셨다니 저희도 기쁩니다. 언제든 가볍게 들러 달콤한 도넛과 함께 즐거운 시간 보내시길 바랍니다💛 오늘도 달콤한 하루 보내세요💛
2038058486,노티드 구의역,,,소중한 후기 감사드립니다😊 단지 가까이에 있어 편리하게 이용해주셨다니 저희도 기쁩니다. 언제든 가볍게 들러 달콤한 도넛과 함께 즐거운 시간 보내시길 바랍니다💛 오늘도 달콤한 하루 보내세요💛
2038058486,노티드 구의역,,,쇼핑 전후에 저희 매장에서 편하게 쉬어가실 수 있었다니 기쁩니다. 도넛의 맛뿐만 아니라 매장 인테리어와 청결까지 만족해 주셔서 더욱 힘이 됩니다. 앞으로도 언제나 편안하고 달콤한 시간 되실 수 있도록 노력하겠습니다.
2038058486,노티드 구의역,,,쇼핑 전후에 저희 매장에서 편하게 쉬어가실 수 있었다니 기쁩니다. 도넛의 맛뿐만 아니라 매장 인테리어와 청결까지 만족해 주셔서 더욱 힘이 됩니다. 앞으로도 언제나 편안하고 달콤한 시간 되실 수 있도록 노력하겠습니다.
