가게ID,가게명,평점,날짜,리뷰내용
1555212741,도치피자 강변이탈리아음식,,,가족 모두 좋아하고 특히 아이들이 좋아해서 생일 등 기념일에 편한 분위기에 맛있는 음식으로 기념하는데 너무 즐겁고 좋네요~~^^
1555212741,도치피자 강변이탈리아음식,,,가족 모두 좋아하고 특히 아이들이 좋아해서 생일 등 기념일에 편한 분위기에 맛있는 음식으로 기념하는데 너무 즐겁고 좋네요~~^^
1555212741,도치피자 강변이탈리아음식,,,감베리 루꼴라 오일 파스타는 새우와 루꼴라가 잘 어울려 담백했어요.
1555212741,도치피자 강변이탈리아음식,,,감베리 루꼴라 오일 파스타는 새우와 루꼴라가 잘 어울려 담백했어요.
1555212741,도치피자 강변이탈리아음식,,,감베리 마르게리따 피자 주문 했는데 둘 다 너무 맛이 좋아요 : ) 아기의자도 구비 되어있다 하니 아기랑도 재방문 의사 있어요
1555212741,도치피자 강변이탈리아음식,,,감베리 마르게리따 피자 주문 했는데 둘 다 너무 맛이 좋아요 : ) 아기의자도 구비 되어있다 하니 아기랑도 재방문 의사 있어요
1555212741,도치피자 강변이탈리아음식,,,기념일이라 그동안 오고싶었던 도치피자 신랑이랑 왔어요. 음악도 좋고 무엇보다 음식 하나하나 맛있어요!!♡
1555212741,도치피자 강변이탈리아음식,,,"남자친구랑 소개팅 했던 장소인데..😝 남자친구가 어느피자,파스타를 먹으면 🍕도치피자가 맛있었지라고 자꾸 회상하고 노래를 불러서 다시왔어요~ 직원분들이 너무 친절하셔서 요구하는것도 다 들어주시고,잘 먹었습니다🤗 분위기는 덤이구 집근처 이런 레스토랑 하나라도 있어서 너무 뿌듯해요~🌷"
1555212741,도치피자 강변이탈리아음식,,,"남자친구랑 소개팅 했던 장소인데..😝 남자친구가 어느피자,파스타를 먹으면 🍕도치피자가 맛있었지라고 자꾸 회상하고 노래를 불러서 다시왔어요~ 직원분들이 너무 친절하셔서 요구하는것도 다 들어주시고,잘 먹었습니다🤗 분위기는 덤이구 집근처 이런 레스토랑 하나라도 있어서 너무 뿌듯해요~🌷"
1555212741,도치피자 강변이탈리아음식,,,"도치피자 강변점 방문했는데 가게 분위기가 아늑하고 깔끔해서 가족끼리 식사하기 너무 좋았습니다. 아기의자도 준비되어 있어 아이랑 같이 오기 편했고, 주차공간도 5~6자리 있어 이용하기 편리했어요. 가족식사하기 좋은 곳이라 추천드립니다!"
1555212741,도치피자 강변이탈리아음식,,,"도치피자 강변점 방문했는데 가게 분위기가 아늑하고 깔끔해서 가족끼리 식사하기 너무 좋았습니다. 아기의자도 준비되어 있어 아이랑 같이 오기 편했고, 주차공간도 5~6자리 있어 이용하기 편리했어요. 가족식사하기 좋은 곳이라 추천드립니다!"
1555212741,도치피자 강변이탈리아음식,,,도치피자 강변점 완전 맛있어요! 도우가 얇고 쫄깃해서 한입 먹자마자 감탄했어요. 치즈도 진~하고 토핑이 신선해서 끝까지 맛있게 먹었습니다. 분위기도 아늑해서 수다 떨기 딱 좋아요!! 또 가고 싶은 피자집이에요!
