가게ID,가게명,평점,날짜,리뷰내용
37112587,"동경암우동,소바",,,가성비도 좋고 가게도 시끄럽지도않고 직원분들도 모두 친절하셔서 다음에 또 방문하고싶습니다
37112587,"동경암우동,소바",,,"가장 인기있는 메뉴는 김치치즈가츠나베정식인데, 치즈랑 돈가스 넣은 김치찌개라고 생각하시면 얼추 맞아요 ㅎㅎㅎ"
37112587,"동경암우동,소바",,,결혼 전 가족들이랑만 오다가 남편 데려와봤는데 저희 둘 다 너무 맛있게 잘 먹었습니다ㅎㅎ
37112587,"동경암우동,소바",,,날이 더워 소바 맛집 검색하다가 급히 가게 된 곳인데 리얼 맛집이네요😋 음식이 정갈하고 깔끔합니다. 곧 또 갈집!
37112587,"동경암우동,소바",,,동경암은 믿고 먹어요! 음식도 맛있고 후식으로 챙겨주시는 오렌지도 달아요😭
37112587,"동경암우동,소바",,,마포구 최애 맛집입니다~ 사장님도 친절하시고 식후 제공되는 오렌지까지 완벽하네요!
37112587,"동경암우동,소바",,,맛이 깔끔해요. 친절한 사장님 고맙습니다.
37112587,"동경암우동,소바",,,모밀도 맛있고 새우튀김도 맛있네요. 후식으로 주신 자몽도 잘먹었습니다^^
37112587,"동경암우동,소바",,,뭐랄까 집에서 만든 것 같은 맛? 세련되지는 않고 푸근하고 따뜻한 느낌의 음식입니다. 점심시간엔 자리가 없네요. 친절하시고 좋아요~
37112587,"동경암우동,소바",,,밤에 방문예약 없이 이용대기 시간 바로 입장일상친척・형제
37112587,"동경암우동,소바",,,양도 많고 주방장님과 홀매니저님이 항상 친절하십니다. 식전에 나오는 계란찜이 맛나요 ㅎ
37112587,"동경암우동,소바",,,"우동세트 먹었습니다. 제가 원래 우동은 별로 안좋아하는데 이 집 우동은 면이 탱글탱글해서 깜짝 놀랐어요. 면도 맛있고, 오뎅도 일반적인 우동보다 탱글하고 살이 많아서 맛있더라구요."
37112587,"동경암우동,소바",,,우동세트 최고입니다! 면도 쫄깃하고 국물도맛있어요! 같이나오는 알밥은 김치넣어 비벼먹는걸 추천!
37112587,"동경암우동,소바",,,음식이 맛있고 너무 친절하셔서 재방문하고싶을정도로 좋았습니다.
37112587,"동경암우동,소바",,,"이번에는 우동을 주문해보았는데, 뭔가 추억이 생각나는 맛이에요! 자극적이지 않고, 면도 부들부들하고, 오뎅은 특별하게 맛있고, 쑥갓이랑 파랑 같이 들어가서, 집에서 따뜻하게 만들어준 느낌이에요!"
37112587,"동경암우동,소바",,,일본가정식 카레는 자극적이지 않고 담백해서 좋았어요 ㅎ
37112587,"동경암우동,소바",,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37112587,"동경암우동,소바",,,저의 최애 맛집 동경암 재재재방문입니다 사장님도 친절하시고 식후 챙겨주시는 과일은 매번 감동이네요
37112587,"동경암우동,소바",,,점심 간단히 해결하다가 임신하고 든든하게 먹고 싶어서 여기저기 찾아다니며 먹는 중인데 만족해서 앞으로도 종종 올거에용🫶
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 10분 이내 일상지인・동료
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 10분 이내 친목친구
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상기타
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상기타
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37112587,"동경암우동,소바",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
