가게ID,가게명,평점,날짜,리뷰내용
37556305,경성양꼬치 연남직영점,,,N번째 방문입니댜 연남동에서 여기만큼 양꼬치 맛있는곳이 없어용!! 직원분들도 친절하시고 오늘도 맛있게 먹고 갑니다 🤤😊
37556305,경성양꼬치 연남직영점,,,고기질이 좋아요! 다른매장에 비해서 양이 많습니다! 같이 나오는 양배추도 좋아용
37556305,경성양꼬치 연남직영점,,,길가다 양꼬치집이 보여서 우연히 들어왔는데 고기 질이 너무 좋아요!!! 그리고 찐맛집이에요...고기도 큼직하고 부드럽고 꼬지에서 너무 잘빠져요 :)
37556305,경성양꼬치 연남직영점,,,너무 친절하게 계속 저희 테이블 신경써주시고.. 덕분에 편안하게 먹어요 ㅎㅎ❤️ 창가쪽에 앉아서 밖 풍경 보면서 먹으니까 너무너무 좋네요😆 감사합니다 사장님 더더욱 번창하세요!!
37556305,경성양꼬치 연남직영점,,,도톰함 고기가 다른 양고기집과 차별점도 있고 맛있어요!! 온면도 맛있어서 다음에도 또 방문할것 같습니다
37556305,경성양꼬치 연남직영점,,,두번째 방문이에여! 여기 양꼬치 두툼햐서 더 맛있는거같어요 추천합니당!!
37556305,경성양꼬치 연남직영점,,,또 먹고싶어요 사장님도 직원분들도 친절하시고 아주 만족하면서 먹고왔어요 >_<
37556305,경성양꼬치 연남직영점,,,마라꼬치 너무 맛있습니다!!! 덕분에 행복한 데이트 였습니다:) 연남에서 즐기는 양꼬치
37556305,경성양꼬치 연남직영점,,,배고파서 직장 근처라 홀린듯 들어왔는데 고기가 은근 두툼한편이고 질이 좋아보여요!! 매장도 청결하고 냄새도 안나구 직원분도 친절하세요
37556305,경성양꼬치 연남직영점,,,양갈비 양꼬치 질이 너무 좋고 부드럽고 맛있습니다! 연남에서 양꼬치 드실때 여기로 오시면 될거같아요!
37556305,경성양꼬치 연남직영점,,,"양꼬치 맛집 찾아서 친구와 방문했어요. 양꼬치와 마라양꼬치 기본으로 맛있구~ 양갈비도 촉촉해요. 냄새 안나게 환기도 잘되구, 여기저기 체안점도 많은 듯~ 점점 양꼬치를 즐기게 될꺼 같아요! 직원분들도 엄청 친절하세요. 😄"
37556305,경성양꼬치 연남직영점,,,양꼬치 전문가인 동료의 추천으로 왔는데 정말 대박입니다! 홍대에서 양꼬치 먹을거면 무조건 여기!
37556305,경성양꼬치 연남직영점,,,양꼬치 퀄이 너무 좋아요🥹🥹💕 넘 맛있구.. 물만두 맛있다고 해서 물만두도 시켜봤는데 후회없는 선택이에용… 낮부터 술을 부르는 맛이네용 담에 홍대와서 양꼬치 먹을 일 있으면 여기로 또 올거같아요!!!! 존맛 🤤
37556305,경성양꼬치 연남직영점,,,양꼬치를 제가 처음 먹어봤는데 너무 맛있어서 부모님 데려왔어요 두 번째는 냄새가 약간 나더라구요 저는 그 향도 나쁘지 않았는데 부모님은 힘들어하셔서 나오는 날마다 다르니 향에 민감하면 좀 힘들 것 같아요 매장은 처음에는 괜찮았는데 술 마시니 많이 더웠어요
37556305,경성양꼬치 연남직영점,,,언제와도 너무 맛있습니다 양꼬치 퀄리티 진짜 양꼬치 집 중에서 원탑입니다 그리고 여기 사이드 다먹어봤는데 얼큰만두국이 최고입니다 맵찔이시면 좀 매울수도 그런데 청양고추매움이라 청양고추 단련되신분들은 괜찮을듯요 양꼬치에 제일잘어울리고 느끼한거 잘잡아줍니다
37556305,경성양꼬치 연남직영점,,,연남 경성양꼬치 다녀왔는데 가게 분위기가 깔끔하고 모임하기 좋았습니다.
37556305,경성양꼬치 연남직영점,,,"연남동에서 양꼬치 먹게 될 때 항상 오는 곳이에요. 양꼬치, 옥수수국수 다 너무 맛있어요. 고기 퀄리티가 좋아서 물리지 않고 자꾸 먹게 돼요!"
37556305,경성양꼬치 연남직영점,,,연남동에서 양꼬치 먹고싶으면 찾는 곳이에요ㅎㅎ 신선하고 맛있어요~~!👍🏻👍🏻
37556305,경성양꼬치 연남직영점,,,오랜만에 양꼬치 땡겨서 먹으러 왔는데 넘 맛있었습니다~! 통창도 열려서 시원하고 좌석도 편해서 좋았어요👍👍 직원도 친절하십니다!
37556305,경성양꼬치 연남직영점,,,오랜만에 왔는데 역시 넘나 맛있는… 홍대에서 양꼬치는 진짜 여기가 젤 맛있어요😭 맨날 여기만 옴 마라갈비도 특색있구 맛있음 고기 잡내두 없구 중국에서 먹었던 양꼬치 다음으로 젤 퀄리티 있음🥹 제발 여기를 오세요… 맥주맛이 100배는 좋아집니다😻😭😻😭😻😭
37556305,경성양꼬치 연남직영점,,,잡내도 적고 맛있어요!!! 온면도 가성비 좋고 양배추도 입가심하기 넘 좋네용❤️
37556305,경성양꼬치 연남직영점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임기타
37556305,경성양꼬치 연남직영점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
