가게ID,가게명,평점,날짜,리뷰내용
32053000,동경 돈가스,,,"리뷰 1,303사진 1,059팔로워 121"
32053000,동경 돈가스,,,망원시장과 망원역 사이에 있어 사람이 많아요. 히레가스 먹었는데 맛있고 친절해요.
32053000,동경 돈가스,,,망원시장에 놀러가면서 배고파서 밥집을 둘러보다 돈가스라면이라는 신기한 메뉴를 보고! 딸아이가 먹고싶다 하여 들렀어요❤️ 완전 성공적...!!!! 메뉴가 그냥 다 맛있는데 특히 돈가스가 고소하고 잘튀겨져서 맛있었어요. 다음에가도 또갈것같습니다❤️
32053000,동경 돈가스,,,"안심 , 등심 돈가스 시켜먹었는데 안심이 더 부드럽고 등심은 알던 맛 입니다 세트랑 일반이랑 우동 조금 나오는거로 1500원 차이 나는데 미니우동은 별로였네요 ㅎㅎ 매장 직원분들이 연령대가 있으신 분들이라 엄청 친절하시진 않지만 나름 잘 먹고왔습니다😊"
32053000,동경 돈가스,,,오랫동안 터주대감인 동경 돈까스 맛있어요
32053000,동경 돈가스,,,"이럴줄 알았으면 첨에 밥 나 왔을때 사진 찍을걸 그랬네요 시장안에 있는 식당에서 캔 음료도 2,500원이나 받고 참…"
32053000,동경 돈가스,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상아이
32053000,동경 돈가스,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 10분 이내 일상혼자
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이부모님
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이친구
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트부모님
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상부모님
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
32053000,동경 돈가스,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
32053000,동경 돈가스,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상혼자
32053000,동경 돈가스,,,점심에 방문포장·배달 이용대기 시간 바로 입장친목친구
1038806414,망원돈까스,,,"가게는 아담하지만 깔끔하고, 웨이팅이 있을 만큼 인기 많은 곳이더라고요. 기다림 끝에 맛본 돈까스는 정말 기대 이상! 튀김옷은 얇고 바삭하면서도 고기는 두툼하게 잘라져 있어 씹을 때마다 육즙이 살아있었어요. 기름지지 않고 담백해서 끝까지 맛있게 먹을 수 있었고, 소스도 진하고 고소해서 고기와 잘 어울렸습니다. 사이드 메뉴들도 정갈하게 나와서 만족스러웠고, 가격대비 퀄리티도 좋아서 재방문 의사 100%! 망원동 근처 가신다면 꼭 들러보시길 추천드려요 😋👍"
1038806414,망원돈까스,,,늘 맛있는 돈까스를 먹을수있는 곳이에요! 종류도 많고 양도 푸짐하고 친절해요!^^
1038806414,망원돈까스,,,늦은 시간 밥집 찾아 헤매다 우연찮게 들어갔는데 완전 만족.. 홀에 계신 주인(?)분 넘 츤데레 친절+유쾌.. 기분 좋은 저녁 식사했습니다~
1038806414,망원돈까스,,,"망원동 대표 돈가스집. 늦게까지 열어서 더 좋아요! 안심 돈가스 넘 맛잇어요! 그리고 소모밀(4,000원) 맞아요??? 양이 너무 많아요! 잘먹엇습니다"
1038806414,망원돈까스,,,망원동 돈가스 맛집입니다. 배달기사님도 드시고 계셔서 바로 들어왔어요. 바삭한 돈가스가 양도 많고 느끼하지않고 밑반찬도 넉넉합니다.
1038806414,망원돈까스,,,망원에서 돈까스하면 여기 먼저 생각나요! 일식 카츠보다는 종류가 훨씬 많은 여기서는 항상 메뉴 고를때 결정장애가 된다죠🤤 성북동 돈까스랑 카레덮밥 주문했는데 너무 맛있어서 먹다말고 공깃밥 하나 더 주문했어요 ㅋㅋㅋㅋㅋ 맛있게 잘먹었습니다🩷🩷
1038806414,망원돈까스,,,매장이 넓어서 편하게 둘이서 먹었습니다 맛있고 양도 많아서 배불렀습니다 사장님께서 친절히 설명해주시고 신경써주셔서 맛있게 잘 먹었습니다 감사합니다
1038806414,망원돈까스,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1038806414,망원돈까스,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1038806414,망원돈까스,,,서울 나들이 왔다가 딸이 돈까스 먹고 싶다고하니 망원돈까스가 생각나서 방문했어요^^
1038806414,망원돈까스,,,소모밀도 육수에 가쓰오부시맛이 진하게 우러나오면서 맛있어요! 소모밀이지만 양이 작지않아서 사이드로 주문해서 둘이 먹기 딱 좋아요! 경양식 돈까스는 양도 많고 맛있어요. 회사 근처에 있다면 평일에 정말 자주 올꺼 같은 곳이에요!
1038806414,망원돈까스,,,아이들한테도 겨자나 포크도 말하지않아도 먼저 챙겨주셔서
1038806414,망원돈까스,,,"안녕하세요, P2260님! 😊 우와, 이렇게 맛있게 드셨다니 정말 기뻐요! 💖 성북동 돈까스가 취향 저격이라니, 진짜 뿌듯하네요! 그리고 바쁜 와중에도 챙겨드릴 수 있어서 너무 행복했어요! 다음에 또 오신다니, 저도 기다리고 있을게요! 🌟 대박 맛집으로 기억해주셔서 감사합니다! 🙏💕"
1038806414,망원돈까스,,,"안녕하세요, 망원돈가스입니다! 😊 리마커블3117님, 저희 코돈부르를 좋아해 주셔서 정말 기쁘네요! 💖 망원시장 근처에서 편하게 오시길 바라요! 치즈 가득한 돈까스와 맛있는 밑반찬이 마음에 드셨다니 뿌듯합니다!✨ 말씀해주신 양배추샐러드와 사라다 조합에 대한 피드백도 소중히 생각하겠어요. 다음엔 더 만족스러운 메뉴로 찾아뵐게요! 감사합니다! 🙏"
1038806414,망원돈까스,,,양도 많고 밑반찬도 많아서 안느끼하고 맛있게 돈까스를 먹을 수 있는 집. 집근처였다면 자주 왔을 듯! 추천
1038806414,망원돈까스,,,오랜만에 방문 했어요 성북동 돈가스랑 돈가스 모밀세트 주문 했는데 돈가스 너무 맛있고 반찬도 샐러드도 싱싱하고 맛있어요~^^ 또 올께요
1038806414,망원돈까스,,,원래 가려고 했던곳이 휴가여서 급으로 방문하게 됬는데 동네 맛집이었어요! 돈까스 경양식이라 부먹이지만정말 바삭하고 고기도 촉촉해서 맛있었고 소스도 그냥 맛있어요🥹칼칼한 김치우동이랑 찰떡콩떡이에요! 새우튀김도 새우도 통실하고 김이 모락모락한게 바삭함도 아주 잘 살아있고 정말 맛있어요! 완전 동네 찐맛집!👍🏻
1038806414,망원돈까스,,,음식이 맛있어요 자주 올거 같습니다 사장님 번창하세요!! 우동도 맛있고 돈까스도 맛있네요!
1038806414,망원돈까스,,,이름에 지명들어가면 이미 맛있는집...다맛있어요 양도 많고 좋아요 !!!!
1038806414,망원돈까스,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
1038806414,망원돈까스,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목, 나들이, 일상연인・배우자, 친구, 지인・동료, 혼자"
1038806414,망원돈까스,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
1038806414,망원돈까스,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1038806414,망원돈까스,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1038806414,망원돈까스,,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자, 아이"
1038806414,망원돈까스,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
1038806414,망원돈까스,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1038806414,망원돈까스,,,정말 맛있고 친절한 동네에서 소중한 곳이에요. 이번에 사진을 안찍고 정신없이먹어서 옛날사진으로 대체합니다 ㅎㅎㅎㅎ
1038806414,망원돈까스,,,조금 늦었지만 급하게 식사를 위해 전화하고 들어왔습니다!!! 이번엔 망원스페셜도 넣어봤는데 1인으로 생각했다가 아주 3인뷴이상 먹고가요... 넉넉합니다:)
1038806414,망원돈까스,,,"치즈코돈부르와 소모밀 주문했습니다. 돈까스의 튀김 퀄리티도 참 좋고, 치즈도 맛있고 채소도 아삭한 식감이 살아있어서 맛있어요. 소모밀도 살얼음도 좋고 양도 푸짐해서 좋았습니다. 네모 햄, 사과, 마카로니, 양배추 등이 들어있는 사라다(?)도 뭔가 추억의 맛이 느껴지는 별미인 것 같아요. 샐러드 드레싱, 돈까스 소스도 그때그때 냉장고에서 꺼내주시고 둘러보면 깔끔하게 관리되는 것이 느껴지는 곳입니다. 양파장아찌와 일본식 무절임(?)도 참 좋은데, 밥이 좀 푸석해서 그게 아쉬워요. 밥맛만 좀 더 좋아지면 정말 좋을 것 같습니다!"
31583220,"망원동즉석우동 본점우동,소바",,,♦️대한민국 도시거리와 둘레길을 걸어 다니면서 음식점과 경치를 소개하는 유튜버 & 리뷰어 입니다✔️
31583220,"망원동즉석우동 본점우동,소바",,,♦️대한민국 도시거리와 둘레길을 걸어 다니면서 음식점과 경치를 소개하는 유튜버 & 리뷰어 입니다✔️
31583220,"망원동즉석우동 본점우동,소바",,,가성비 맛집입니다 돈까스 고기 신선하고 잡내도 없고 맛있습니다 다만 오늘 소스가 쫄았는지 좀 짜네요 오늘 빼곤 거의 맛있담니다 유재석도 다녀갔고 서울에서 이만한 가격에 이만큼 맛난 돈까스집(원래 우동집😂) 찾기 힘들거 같네요 강추예요 👍🏻👍🏻
