가게ID,가게명,평점,날짜,리뷰내용
1552708337,5959양꼬치 본점양꼬치,,,간혹 생각나는 양꼬치 상수 연남 합정 홍대 신촌 이대 포함 마포구에선 이곳이 제일입니다
1552708337,5959양꼬치 본점양꼬치,,,고수무침에 양꼬치면 세상 행복! 꼭 먹어야할 추천조합!
1552708337,5959양꼬치 본점양꼬치,,,"망원동에서 양꼬치집 찾으신다면 이집 추천합니다 !! 가성비도 좋고, 냄새도 안나고 맛있어요 ~~"
1552708337,5959양꼬치 본점양꼬치,,,망원역과 가깝고 고기도 맛있어요^^ 매장도 넓고 시원해서 편하게 이용하고 갑니다^^
1552708337,5959양꼬치 본점양꼬치,,,매번 먹을 때 마다 신선한 양고기~~ 친절한 직원분들덕에 저녁 정말 맛있게 잘 먹고갑니다 *_*
1552708337,5959양꼬치 본점양꼬치,,,"먼저 고기의 질이 아주 뛰어났습니다. 입에 넣는 순간 육즙이 가득 퍼지면서 부드럽게 씹히는 맛이 일품이었고, 고소한 풍미가 오래도록 남아있어 감탄이 절로 나왔습니다. 또 직원분들이 직접 구워주시면서 가장 맛있는 타이밍에 먹을 수 있도록 세심하게 챙겨주셔서 더욱 만족스러웠습니다."
1552708337,5959양꼬치 본점양꼬치,,,삼겹 꼬치만 둘이서 삼 인분 시켰는데 아주 맛있게 잘 먹고 갔습니다. 번창하세요 사장님.
1552708337,5959양꼬치 본점양꼬치,,,삼겹/목살 양꼬치 둘 다 맛있고 고추잡채가 진짜 맛도리.. 안먹으면 후회해요
1552708337,5959양꼬치 본점양꼬치,,,새롭게 반찬으로 추가된 건두부무침도 맛있고 무엇보다 생양꼬치다보니 남녀노소 거부감없이 다가가기가 좋아요
1552708337,5959양꼬치 본점양꼬치,,,"양갈비가 두껍고 신선해서 너무 맛있어요👍 부모님이 양고기 냄새를 안좋아 하시는데, 여기는 신선해서 괜찮다고 엄청 잘 드셨어요. 처음으로 가족맛집에 양고기집이 생겼습니다.☺️"
1552708337,5959양꼬치 본점양꼬치,,,양꼬치 너무 맛있어서 재방문 합니다 탕류같은 요리들도 맛있어요! 직원분들도 친절하십니다
1552708337,5959양꼬치 본점양꼬치,,,양꼬치가 먹고싶어 찾아왔는데 종류도 다양하고 맛있어요! 거기에 하얼빈까지 얹으면 천국입니다...💛 잘먹겠습니다🤤
1552708337,5959양꼬치 본점양꼬치,,,양꼬치가 먹고싶어서 합정에서 유명한 5959양꼬치를 먹으러왔어요~~ 너무 잘왔나봐요 양꼬치들도 맛있고 냉면도 맛있게 잘먹었어요ㅎㅎ 추천이요~~!
1552708337,5959양꼬치 본점양꼬치,,,양꼬치에 맥주 똭 먹으면서 하늘보니 너무 좋습니다 양꼬치 먹으러 꼭 오세요 추천합니다😏
1552708337,5959양꼬치 본점양꼬치,,,"이동네 양꼬치 , 요리 원탑입니다!!! 진짜 음식, 양꼬치, 다 맛있어요 항상 여기만 오는,, 리뷰만 봐도 여기만 오는지 알 수 있숨미당"
1552708337,5959양꼬치 본점양꼬치,,,"저녁에 방문예약 없이 이용대기 시간 10분 이내 데이트친구, 지인・동료"
