가게ID,가게명,평점,날짜,리뷰내용
1445814666,주로,,,그리고 안주도 도랏?? 진짜 저 깐쇼새우 도 맛잇고
1445814666,주로,,,그리고 안주도 도랏?? 진짜 저 깐쇼새우 도 맛잇고
1445814666,주로,,,기본 안주도 알새우칩에 양념소스도 주시고 인테리어도 예쁘고 무엇보다 의자가 폭신해서 너무 좋았습니다. 데이트하기 너무 즇음💕
1445814666,주로,,,기본안주가 알새우칩이라 좋았어요. 우삼겹나베 먹었는데 고ㅔㄴ찮았어요.
1445814666,주로,,,기본안주가 알새우칩이라 좋았어요. 우삼겹나베 먹었는데 고ㅔㄴ찮았어요.
1445814666,주로,,,나가사키 짬뽕은 많이 맵지는 않은데 얼큰한 맛이어서 해장 하기 좋아요!!
1445814666,주로,,,나가사키 짬뽕은 많이 맵지는 않은데 얼큰한 맛이어서 해장 하기 좋아요!!
1445814666,주로,,,데리야키토리도 완전 닭꼬치 느낌이라 담백하고 맛있었습니당 망원에서 분위기있는 술집 찾으신다면 주로 강추드립니당 !!
1445814666,주로,,,데리야키토리도 완전 닭꼬치 느낌이라 담백하고 맛있었습니당 망원에서 분위기있는 술집 찾으신다면 주로 강추드립니당 !!
1445814666,주로,,,망원동 골목에 이런 맛집이 있었다니..♡ 이 가격에 이 맛에 이런 분위기 단골 예약이요❤️❤️ 베스트 메뉴로 깐풍새우랑 우삼겹 나베 시켰는데 진짜 너무너무 맛있고 양도 짱많아서 넘 배부르게 잘먹었어요ㅠㅠ 가게도 너무 깨끗하고 시끄럽지 않아서 데이트하기나 얘기하기도 너무 좋구 무엇보다 친절하시고 음식이 너무 맛있네용ㅎㅎ 망원동 술집으로 넘 추천이요!!! 다음에 다른 메뉴도 먹어보러 또 갈 거예용 재방문 의사 100프로❤️
1445814666,주로,,,망원동 골목에 이런 맛집이 있었다니..♡ 이 가격에 이 맛에 이런 분위기 단골 예약이요❤️❤️ 베스트 메뉴로 깐풍새우랑 우삼겹 나베 시켰는데 진짜 너무너무 맛있고 양도 짱많아서 넘 배부르게 잘먹었어요ㅠㅠ 가게도 너무 깨끗하고 시끄럽지 않아서 데이트하기나 얘기하기도 너무 좋구 무엇보다 친절하시고 음식이 너무 맛있네용ㅎㅎ 망원동 술집으로 넘 추천이요!!! 다음에 다른 메뉴도 먹어보러 또 갈 거예용 재방문 의사 100프로❤️
1445814666,주로,,,망원동 분위기 좋은 술집!! 화장실도 깨끗하고 사장님들도 친절하시고 .. 특히 나베가 진짜 맛도리입니다🎶
1445814666,주로,,,망원동 조용한 골목가에 위치한 주로 ! 음식이 나오기전 이미 인테리어에서 느껴지는 나만의 술집 느낌 ☺️ 음식들이 저렴한데 맛도 깔끔하고 너무 만족했습니다. 음식부터 인테리어까지 모두 정성이 느껴지는 기분 좋은 술집이었습니다.
1445814666,주로,,,망원역 술집! 여러분 초밥집 보다 맛있는 연어초밥이 주로에 있어요!!!🤣 진짜 강추드려요ㅠㅠㅠ!!! 또 먹으러 재재재 방문하고 싶을정도 입니다🫶 입에서 사르르 녹는맛💓 꼭 한번 드시러 방문해 보세요!!ㅎㅎ
1445814666,주로,,,"매장이 조금 작지만 분위기가 좋아요! 사장님들도 다 친절하시고 음식이 하나같이 맛있어요☺️ 기본 안주로 알새우칩이랑 어떤 소스가 같이 나오는데 기본 안주부터 넘 센스가 있더라구요,, 안주 가격도 비싼 편이 아니라서 부담이 없고 또 재방문하고 싶어요!!"
1445814666,주로,,,멘치카츠 진짜 바삭바삭하면서 맛있고 신라면 리조또도 간 적당하고 밥이 진짜 리조또같이 되서 맛있었어요🤤👍🏻
1445814666,주로,,,바테이블 엄청 아늑해요 ㅎㅎ 저희는 소고기 나베랑 연어초밥 먹었는데 최고였어요ㅠㅜ 연어초밥 점심에 또 따로 가서 먹고싶을정도로 최고였습니당 히히 너무 맛있게 먹었어요 또방문하겠습니다~~
1445814666,주로,,,부채살 버터 볶음 풍미가 장난 아니고 너무 좋더라고요 ! 그리고 안에 있는 양파도 버터에 볶아서 그런지 달달한 감칠맛이 올라와서 맛있었습니다 !
1445814666,주로,,,부채살 스테이크 대대대대존맛 엄청 부드럽고 양도 많음 !! 신라면 리조또는 신기해서 시켜봤는데 살짝 매콤하고 진짜 신라면 맛이 나서 맛이 없을수가 없는.. 그리고 양이 진짜 많은데 가격이 저렴함 가성비까지 갖춘 맛집 추천이용
1445814666,주로,,,"부채살도 가득가득에 양파, 구운야채좋아하는데 다 가득가득 주셔서 만족스러웠던곳 !! 저는 친구와가서 테이블자리에서 먹었지만 ,가게 내부 바자리도있었는데 테이트할때 얘기하면서 먹기좋아보이더라구요! 사장님 , 직원분도 친절하시고 기분좋게먹고나왔어요! ◡̈"
1445814666,주로,,,분위기와 맛을 다잡은 맛집!! 나베는 양이 정말 많아서 안주로 먹는데 너무 든든하고 맛있었어요! 깐풍새우는 야채랑 같이 볶아져서 가볍게 즐겼습니다. 굿굿
1445814666,주로,,,신라면 리조또랑 우삼겹나베 시켰는데 둘다 넘 맛있네여 베스트메뉴는 믿고 시키셔도 될 것 같아용
1445814666,주로,,,아늑하고 분위기 있는 인테리어 친절하신 사장님까지! 데이트하기에 좋을 것 같은 공간이에요 ㅎㅎ 칠리새우는 꽤 매콤해서 매운거 잘드시는 분들에게 추천 멘츠커츠는 누구에게나 추천드립니다! 식사 대용 메뉴도 많아서 1차로도 좋고 2차로 가볍게 드시기에도 좋을 것 같음!!
1445814666,주로,,,아늑하고 분위기좋은 망원동 이자카야 주로!
1445814666,주로,,,아직 숨겨진 맛집 느낌이라 내부에 사람도 별로 없어서 조용하고 좋았습니다! 유명해 지기 전에 재방문 하고 싶어요 ㅎㅎ
