가게ID,가게명,평점,날짜,리뷰내용
1706675619,604seoul브런치,,2025-10-03,"현장 기록: 망원동에서 가장 빨리 웨이팅 생기는 곳, 8시 오픈인데 9시에 가면 이미 이름 적어야 함, 보안관 604 음식 다 먹어본 입장에서 당당히 외칠 수 있음, 메뉴판에서 당신의 손가락이 무엇을 고르든 훌륭한 아침이 될 것"
1706675619,604seoul브런치,,,604에선 늘 라떼를 마셨는데 초코 파우더가 올라간 크림라떼로 새롭게 시도해봤어요! 적당히 달달해요
1706675619,604seoul브런치,,,겨우 들어갔는데 한참 늦게 온 다음 테이블 사람들이 먼저 주문하고 먼저 받아서 음식 받기까지 15분 더 대기...
1706675619,604seoul브런치,,,그리고 모두 친절하게 대해주셔서 더더 기분이 좋았습니다!
1706675619,604seoul브런치,,,나나이모 한 잔이면 쌓인 스트레스가 쏘ㅑ악 내려감ㅠㅠ 다음에는 쉬림프도 포장 해봐야겠음👍
1706675619,604seoul브런치,,,매번 방문할때마다 여러가지 샌드위치를 도전하지만 역시나 맛있네요…ㅎㅎ
1706675619,604seoul브런치,,,샌드위치 러버로서 원앤온리 쉬림프번이 있다고 해서 방문했어요. 인테리어 느좋~!! 담엔 다른 샌드위치도 먹어보고 싶네요😃
1706675619,604seoul브런치,,,샌드위치가 빨리 나와서 행복하게 포장해다가 맛있게 먹었습니다!! 감사합니다😸
1706675619,604seoul브런치,,,샌드위치뿐만 아니라 커피도 너무 맛있는데요..? 운좋게 웨이팅없이 바로 들어갔어요! 진짜 너무너무 맛있었습니다😋😋
1706675619,604seoul브런치,,,쉬림프번 기대한대로 너무 맛있습니다 집에서 만들어서 매일 먹고 싶은데 집에서 하면 왜 이 맛이 안날까요
1706675619,604seoul브런치,,,쉬림프번 항상 궁금했는데 운 좋게 자리가 있어서 들어가서 먹어볼 수 있었네요! 빵이 바삭하고 새우 소스랑 잘 어울렸어요
1706675619,604seoul브런치,,,아메리카노 연하게 마시니까 좋습니다! 오후 늦은 시간이 되면 오히려 웨이팅 없고 음식도 빨리 나오고 좋은 거 같아요. 맛있게 먹었습니다!
1706675619,604seoul브런치,,,아침에 방문예약 없이 이용대기 시간 10분 이내 일상
1706675619,604seoul브런치,,,어제 저녁을 안먹어서 혼자 메뉴 두 개나 먹었다는…. 새우콜드샌드위치가 대표메뉴던데 빵이 엄청 바삭하고 약간 구름과자(?) 같은 느낌이라 남성분들은 저거 하나만 드시면 약간 부족 할 수 있어요 ㅎㅎ
1706675619,604seoul브런치,,,"영국에 살아보고, 미국에 20번 이상 가보았지만 두 나라의 특성과 맛 잘 모른다. 그래도 어설프게 아는 사람의 특성상 아는 척 할 수 있다. 호주에서 온 친구와 아침을 먹으러 망원동 604seoul에서 만났다. 그릴드 치즈 토스트와 쉬림프 번을 주문했다. 전자가 런던 Borough Hall Market의 맛이라면, 후자는 Chealsea Market 맛이다. 개인적으로 부드러운 번보다는 씹는 맛 있는 샤워도우를 좋아해서 그릴드 치즈 토스트가 내 취향이었다."
1706675619,604seoul브런치,,,오랜만에 방문했는데 오전에도 웨이팅이 있네요..! 나나이모랑 전부 다 맛있어요~~
1706675619,604seoul브런치,,,오트라떼 변경하는 데 추가금 없어서 좋아요! 장소가 아늑하고 커피 맛있습니다ㅎㅎ
1706675619,604seoul브런치,,,이거 하나 먹으러 망원동 옵니다 그래도 후회 없는 맛입니다 오래오래 번창해주세요… 찐 행복의 맛이에요ㅠ
1706675619,604seoul브런치,,,점심에 방문예약 없이 이용대기 시간 바로 입장
1706675619,604seoul브런치,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1706675619,604seoul브런치,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
1706675619,604seoul브런치,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1706675619,604seoul브런치,,,점심에 방문포장·배달 이용대기 시간 30분 이내일상혼자
1706675619,604seoul브런치,,,점심에 방문포장·배달 이용대기 시간 바로 입장
1706675619,604seoul브런치,,,출근하면 이렇게 따뜻하고 맛있는 샌드위치와 커피를 즐길 시간여유가 마땅히 없는데
1706675619,604seoul브런치,,,치즈와 꿀이 입혀진 크로와상에 커피 한 잔으로도 기분이 좋아지는 604! 운 좋게 웨이팅 없이 들어감ㅠ 나갈때 나나이모 테이크아웃은 기본이니 604 방문 시 꼭 드셔보길!!
1706675619,604seoul브런치,,,커피도 맛있고 샌드위치도 맛있지만 멀리서 찾아오는 건 적극 권장하진 않아요. 동네 주민분들이 간단히 먹고 가는 카페라고 생각해요. 그리고 자리가 다닥다닥 붙어있어서 운이 나쁘면 많이 시끄러울 수 있어요.
1706675619,604seoul브런치,,,허니 치즈 크로와상 맛있어요! 꿀을 많이 뿌려주셔서 좋습니다ㅎㅎ 커피 컵도 귀여워요
1706675619,604seoul브런치,,,화실 수업올때 마다 가끔 오는데 변하지 않은 맛있음이 좋아요!!!! 평일에도 웨이팅이 있긴 하지만 오래 안기다려도 되서 괜찮아요!!!
1560358848,Alive214,,,✔️폴다토 시켰는데 토마토 소스가 너무 맛있어서 부모님도 너무 좋아하셨어요🥰🥰
1560358848,Alive214,,,근처에 브런치카페 찾다가 들어온 곳! 가게는 아담하고 따듯한 분위기였습니다. 샌드위치 구성도 되게 알차서 샌드위치 맛집이였어요🫶
1560358848,Alive214,,,망원 브런치맛집 찾아보다가 발견한 곳인데 샌드위치 종류가 많아요ㅎㅎㅎ갈릭쉬림프랑 햄치즈 시켰는데
1560358848,Alive214,,,망원 올때마다 여기와서 먹어요~~ 친구들 추천도 해줬는데 다들 너무 맛있데요~~^^
1560358848,Alive214,,,망원동 브런치맛집 남편이랑 모처럼 여유로운 시간 보냈어요! 분위기도 아늑하고 맛은 완벽🤩 샌드위치 좋아해서 주말에는 샌드위치 맛집 찾아다니는데 치아바타 빵도 부드럽고 속 재료도 가득 차 있어요! 샌드위치맛집 인정
1560358848,Alive214,,,바로 여자친구랑 왔는데 저도 여자친구도 매우 만족 하고 먹고있어요!!♥️♥️
1560358848,Alive214,,,분위기 너무 좋고 샌드위치도 예뻐요! 망원역이랑 가까워서 좋네용!
1560358848,Alive214,,,분위기가 아늑하고 편안해요 ! 브런치도 합리적인 가격에 맛도 있구요😀😆 음식도 빠르게 나왔어요 ! 여유롭게 브런치 하고 싶을 때 오면 좋을 것 같아요! 프랑스 음악이 흘러나오고 평화로워요 ! 빵도 맛있고 감자크림스프 ㅠㅠ 너무 맛있어요 !
1560358848,Alive214,,,"브런치맛집이래서 방문했는데, 음식 비주얼도 좋고 재료들도 너무 신선하네요~ 샌드위치맛집 인정입니답!!"
1560358848,Alive214,,,샌드위치 맛집이라고해서 지도에 저장해놓고 꼭 가보고 싶은 곳이었는데 드디어 왔어요! 시그니처인 갈릭쉬림프 치아바타 먹었는데 너무 맛있어요 ㅠㅠ 다음엔 토마토 소스있는 치아바타도 먹고 싶어요 ㅠㅠ 브런치맛집이에요 진짜
1560358848,Alive214,,,"샌드위치도 깔끔하고 맛있더라구요, 야근할 때도 생각나는 맛입니다. ^^ 브런치 드시고 싶으실 때 찾아오세요~~"
