가게ID,가게명,평점,날짜,리뷰내용
1736301435,노주,,,(오후 1시인데 … 오전 1시로 잘못 체크했어요 ㅜㅜ)
1736301435,노주,,,가성비로 즐기는 코스요리인데 퀄리티 너무 좋아요🥰 식전빵 에피타이저 파스타 그리고 디저트까지 완벽합니당 ㅎㅎ 매장 분위기도 너무 좋아서 굿~☺️
1736301435,노주,,,너무 맛있게 점심메뉴 잘먹었네요 섬세한 터치가 들어간 음식들을 한입한입 소중히 먹었습니다^^
1736301435,노주,,,"디너코스 먹으러 재방문 했어요,, 일단 여기 모든 음식들이 다 너무 맛있는데 구성이 이 금액에 과연 사장님이 남는게 있나 싶을 정도로 알찹니다,, 기념일 데이트 등등 중요한날 가성비 있게 즐기고 싶으신 분들 강추입니다,,♥️ 사장님이 뭘 주시든 우리는 그저 눈물흘리며 배터지게 먹고 나올 뿐입니다."
1736301435,노주,,,런치 B코스 35000원 이면 너무나도 합리적인 가격이 아닐까 싶어요. 정성스러운 에피타이저에 - 작아도 손이 많이가는 음식들이예요 . 원바이트이긴 한데 다양한 맛이 풍부하게 느껴져요. 게다가 생면파스타의 식감과 익힘이 너무 좋습니당ㅎㅎ 알리오 올리오 파스타에 시즈닝이 너무잘되어있어요. 레몬샤벳은 정말 부드럽고 시지않고 상큼해서 코스 마무리까지 너무 기분좋게 끝났어요. 재방문의사 있습니당
1736301435,노주,,,런치 코스 가성비가 좋아요♡ 식전빵과 치즈 조합도 맘에 들었고 아뮤즈부쉬도 다채롭고 파스타도 면식감이 좋네요
1736301435,노주,,,런치코스로 이용하면 삼만원대에 즐길수있어서 가성비 좋았고 와인도 많아서 다음에는 와인마시러 방문해봐야겠어요!
1736301435,노주,,,"망원동 숨은 맛집 발견! 🍝 35,000원 런치 B코스인데, 음식 하나하나가 예술💖 유자리코타치즈 포카치아, 비트 트러플치즈 타르트, 캐비어 새우 샐러드까지 눈과 입이 행복😆 앤초비 새우 마늘 파스타는 레몬향 폭발, 생면의 탱글탱글함+양도 푸짐! 와인도 다양하고, 바 자리 앉으면 셰프 라이브까지 볼 수 있어 기분 황홀✨ 가심비 끝판왕!"
1736301435,노주,,,망원에서 이 가격에 이런 고급스런 양식을 먹을 수 있다는건 행운💕 데이트로 이만한데 없겠고 소개팅 하면 대성공할 곳!! 2층 창가자리 사수하시길🎶
1736301435,노주,,,망원역에 이렇게 맛있는 이탈리아 레스토랑 있는지 몰랐어요! 특히 런치코스 가성비 있는데 맛이 너무 너무 훌륭했어요. 연인과 함께 오기에도 너무 좋을 것 같았습니다. 망원 파스타나 망원 코스요리 찾는 분들에게 추천.
1736301435,노주,,,"매일매일 달라지는 파스타 메뉴에 기대하며 방문하는 곳. 쉐프님 솜씨가 좋아, 새로운 파스타는 몇번을 먹어도 맛있어요. 혼자와도 맘편히 먹을 수 있고, 한입거리로 내어주시는 애피타이저도 넘 맛있어요. 특히 아란치니🩷 오늘 파스타는 엔초비 홍새우 파스탑니당"
1736301435,노주,,,메뉴 하나하나는 임팩트있고 전체적으로는 밸런스가 좋은 코스였어요! 점심코스인데 알차고 사장님이 세심하셔서 속도도 맞춰주셔서 편안한 식사시간 되어서 만족했습니다 ㅎㅎㅎ
1736301435,노주,,,분위기 좋은 곳에서 맛있고 특별한 메뉴들로 식사 잘 하고 갑니다. 가성비에 가심비까지 갖춰서 방문하기 너무 좋은 것 같아요ㅎㅎ
1736301435,노주,,,분위기도 좋고 음식도 맛있고 ~~ 음식에 맞는 주류 추천도 잘 해주셔서 넘조아용😄 벌써 여러번 재방문인데 좋은사람들과 좋은 자리 있을때마다 찾게되는거 같아요 🩷
1736301435,노주,,,생일 기념으로 남자친구가 알아보고 예약해서 방문했습니다~ 생일 기념으로 온거 알아보시고 생일머리띠와 디저트에 문구까지! 세심하게 챙겨주셔서 너무 감사했습니다ㅜ 덕분에 즐겁고 행복한 추억 만들고가용~ 코스A 메뉴들도 너무 맛있고 특히 시작 코스인 무화과 깜빠뉴와 한입거리 3가지가 최고 만족스럽더라구용~
1736301435,노주,,,"생일기념으로 친구랑 갔는데 정말 잊지못할 생일이 될 것 같습니다.. 특히 코스 쉐어메뉴로 나온 샤프론버터파스타,, 다른곳에서는 단품으로만 거의 3만원대에 먹었는데 여기서은 코스요리에 포함되어 있어서 엔트리에서 마지막 스테이크 디저트까지 알차게 먹을 수 있었답니다.. 다녀온지 벌써 1달이 넘어가는데"
