가게ID,가게명,평점,날짜,리뷰내용
13371744,가원 망원본점,,,"가원 망원본점에 방문하게 된 이유는 가끔 지나가다 보면 손님이 많았고 맛있어 보여서 나중에 방문해야지 했는데, 퇴근 후에 출출해서 방문하게 되었습니다. 들어서자 마자 많은 손님들이 계셨고, 직원분들도 엄청 친절했습니다. 제가 주문한 메뉴는 삼선 짜장과 군만두입니다. 양도 많았고, 맛있게 식사했습니다. 다음에는 짬뽕을 먹어봐야겠다고 생각이 들었습니다. 옆 테이블 손님이 엄청 맛있게 드셔서 짬뽕도 먹고 싶어졌습니다."
13371744,가원 망원본점,,,"가원 망원본점에 방문하게 된 이유는 가끔 지나가다 보면 손님이 많았고 맛있어 보여서 나중에 방문해야지 했는데, 퇴근 후에 출출해서 방문하게 되었습니다. 들어서자 마자 많은 손님들이 계셨고, 직원분들도 엄청 친절했습니다. 제가 주문한 메뉴는 삼선 짜장과 군만두입니다. 양도 많았고, 맛있게 식사했습니다. 다음에는 짬뽕을 먹어봐야겠다고 생각이 들었습니다. 옆 테이블 손님이 엄청 맛있게 드셔서 짬뽕도 먹고 싶어졌습니다."
13371744,가원 망원본점,,,가지칠리소스는 제가 비건이 아님에도 항상 비건으로 먹습니다. 과하게 기름지지 않고 맛있거든요. 육식 좋아하는 지인들 몇 명 데려가봤는데 다 평이 좋았어요 :)
13371744,가원 망원본점,,,고기요리 채식요리 다 먹어봤는데 맛의 차이 못 느끼겠어요
13371744,가원 망원본점,,,"그렇지만 맵찔이인 저도 한 그릇 뚝딱 해치울 수 있었던 부드럽고 푸짐한 마파두부를 생각하면 또 먹으러 오고 싶어집니다. 여기 음료수인 아이스티가 워낙 맛있기도 하고, 또 이렇게 친절하신 사장님들 계신 곳에서 기분 좋게 식사하기도 흔치 않으니까요. 다음에는 마파두부 밥으로 또 먹으러 올 거에요b"
13371744,가원 망원본점,,,그리고 짬뽕밥은 당면이 살짝 들어가있고 국물이 깔끔하고 진하게 맛있었어요!
13371744,가원 망원본점,,,그리고 짬뽕밥은 당면이 살짝 들어가있고 국물이 깔끔하고 진하게 맛있었어요!
13371744,가원 망원본점,,,"급하게 먹느라 사진은 못 찍었는데, 짬뽕 진짜 맛있었어요! 아이스티도 너무 달지 않고 녹차향이 잘 어우러져서 정말 맛있는 음료수 였습니다."
13371744,가원 망원본점,,,"급하게 먹느라 사진은 못 찍었는데, 짬뽕 진짜 맛있었어요! 아이스티도 너무 달지 않고 녹차향이 잘 어우러져서 정말 맛있는 음료수 였습니다."
13371744,가원 망원본점,,,마늘향이 감칠맛을 더 해주고 면도 쫄깃하고 국물 시원칼칼 .... 조금더 매웠으면 했는데 전보다 맛있어졌어요
13371744,가원 망원본점,,,비건옵션이 가능한 중국집🌱 가지칠리와 마파두부면 비건으로 먹었어요😊 가지 안에 두부가 들어가서 담백하고 소스가 정말 맛있어요 ! 마파두부면은 자극적이고 매콤해요. 두 메뉴 다 맛있게 먹었어요💚
13371744,가원 망원본점,,,비건옵션이 가능한 중국집🌱 가지칠리와 마파두부면 비건으로 먹었어요😊 가지 안에 두부가 들어가서 담백하고 소스가 정말 맛있어요 ! 마파두부면은 자극적이고 매콤해요. 두 메뉴 다 맛있게 먹었어요💚
13371744,가원 망원본점,,,음식이 골고루 다 맛있어요 매장 청결하고 직원분도 친절해서 기분 좋은 식사였습니다
13371744,가원 망원본점,,,일반짬뽕 곱빼기를 시켰는데 양은 곱빼기라고 생각하기는 아쉬웠다. 맛은 처음에는 괜찮다라고 느꼈다. 하지만 먹으면 먹을수록 그냥 일반적인 약간 달달한 고춧가루 맛으로 느껴졌다. 사장님과 직원분들은 친절하셨다.
13371744,가원 망원본점,,,일반짬뽕 곱빼기를 시켰는데 양은 곱빼기라고 생각하기는 아쉬웠다. 맛은 처음에는 괜찮다라고 느꼈다. 하지만 먹으면 먹을수록 그냥 일반적인 약간 달달한 고춧가루 맛으로 느껴졌다. 사장님과 직원분들은 친절하셨다.
13371744,가원 망원본점,,,일부러 식사시간 피해 갔는데도 주말이라 그런지 사람이 많았어요. 잘먹었습니다!
13371744,가원 망원본점,,,일부러 식사시간 피해 갔는데도 주말이라 그런지 사람이 많았어요. 잘먹었습니다!
13371744,가원 망원본점,,,잡채밥과 짬뽕 밥 🍚 을 먹었어요. 둘다 깊이있고 맛있게 먹었습니다.
13371744,가원 망원본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
13371744,가원 망원본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
13371744,가원 망원본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
13371744,가원 망원본점,,,"저녁에 방문포장·배달 이용대기 시간 10분 이내 가족모임아이, 연인・배우자"
13371744,가원 망원본점,,,"저녁에 방문포장·배달 이용대기 시간 10분 이내 가족모임아이, 연인・배우자"
13371744,가원 망원본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장
13371744,가원 망원본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장
13371744,가원 망원본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
13371744,가원 망원본점,,,탕수육 R 사이즈를 먹었는데 맛있었습니다.그리고 탕수육소스가 달지가 않아서 좋았습니다. 그리고 짬뽕이 적절한 맛이여서 좋았습니다.삼선짜장도 소스류가 적절하여
13371744,가원 망원본점,,,탕수육 R 사이즈를 먹었는데 맛있었습니다.그리고 탕수육소스가 달지가 않아서 좋았습니다. 그리고 짬뽕이 적절한 맛이여서 좋았습니다.삼선짜장도 소스류가 적절하여
13371744,가원 망원본점,,,탕수육이 바삭은 아니고 쫀득쫀득한데 그게 너무 맛있고 고기도 두툼하니 맛있어요😍
13371744,가원 망원본점,,,해물탕면 주문했는데 쭈꾸미.새우.오징어 등 해물 다양하게 들어있고 국물도 맛있어요.
1835965631,강동원중식당,,,"+ 사장님이 미안하신지 음료를 서비스로 주시더라구요,, 안받으려고 했는데 계속 권하셔서"
1835965631,강동원중식당,,,"+ 사장님이 미안하신지 음료를 서비스로 주시더라구요,, 안받으려고 했는데 계속 권하셔서"
1835965631,강동원중식당,,,"+ 사장님이 미안하신지 음료를 서비스로 주시더라구요,, 안받으려고 했는데 계속 권하셔서"
1835965631,강동원중식당,,,"- 탕수육, 탕후루같이 바삭한 식감과 안심을 사용해서 속은 정말 부드러운 이곳만의 요리다. 젓가락으로 들어올릴 때는 겉부분의 소스가 찐득해서 입에 다 묻겠다 싶었는데 막상 먹을 때는 그렇지 않아서 신기했다."
1835965631,강동원중식당,,,"- 탕수육, 탕후루같이 바삭한 식감과 안심을 사용해서 속은 정말 부드러운 이곳만의 요리다. 젓가락으로 들어올릴 때는 겉부분의 소스가 찐득해서 입에 다 묻겠다 싶었는데 막상 먹을 때는 그렇지 않아서 신기했다."
1835965631,강동원중식당,,,"2층 자리라 먹기 전 결제하고 올라가야했는데, 결제한 시간은 11시 27분이네요. 5번쯤 아니고서는 11시에 못들어가니 그냥 차라리 늦게 와서 전화받고 들어가는게 나을것 같아요. 자리에서 음식받은건 11시 45분이었습니다."
