가게ID,가게명,평점,날짜,리뷰내용
1936893750,"민영활어공장 망원시장점초밥,롤",,,1만원에 이런 구성이고 싱싱해서 식감까지 너무 좋습니다. 초밥 드시고 싶다면 여기서 꼭!
1936893750,"민영활어공장 망원시장점초밥,롤",,,"계란초밥만 파는 메뉴가 있어서 좋아요~! 초밥도 추억의 맛이라 맛있었습니다^0^ 진열 안 되어 있어서 벌써 품절인가 싶었는데, 주문 가능하다고 바로 만들어서 포장해주셨어요!! 덕분에 신선하고 맛있는 초밥 먹어서 기쁩니다🫶"
1936893750,"민영활어공장 망원시장점초밥,롤",,,"광어와 우럭 회입니다. 적당한 두께, 부드러움, 싱싱함, 양도 푸짐하고 너무 풍족하고 입 속 만족스럽게 먹었어요."
1936893750,"민영활어공장 망원시장점초밥,롤",,,구성도 좋고 맛있게 잘먹었습니다. 너무 얇지듀 두껍지도 않아서 저랑 남편 모두의 입맛에 맞았습니다
1936893750,"민영활어공장 망원시장점초밥,롤",,,날이 너무 더워그런지 연어랑 새우가 비린내가 심한게 있어요. 그거 빼고는 맛있게 잘 먹었습니다.
1936893750,"민영활어공장 망원시장점초밥,롤",,,너무 궁합이 잘 맛는 신선 시원 깔끔 부드러운 초밥입니다.
1936893750,"민영활어공장 망원시장점초밥,롤",,,두툼한 생선회를 꼬들꼬들 초 밥에 얹어 맛있게 보여 포장 구매 했습니다. 광어 뱃살만으로 구성된 메뉴가 있는 것도 독특하네요. 역시 꼬소한것이 맛있습니다
1936893750,"민영활어공장 망원시장점초밥,롤",,,망원시장안에있는초밥집~초밥맛집이네요~짱맛있게먹었어요
1936893750,"민영활어공장 망원시장점초밥,롤",,,민영활어공장있길래 회로 광어+연어+숭어 조합 구매해서 집와서 바로 먹었는데 신선하고 맛있게 먹었습니다.가성비도 좋고 연어가 두툼해서 좋았어요!!!!!!
1936893750,"민영활어공장 망원시장점초밥,롤",,,보냉백 포장해주시고 초밥 가성비좋고 괜찮아요~|
1936893750,"민영활어공장 망원시장점초밥,롤",,,새우 이름은 잊었는데 신선하고 고소하면서 달았어요. 13000원에 좋은 초밥 먹어서 여기 가끔 잘 애용합니다.
1936893750,"민영활어공장 망원시장점초밥,롤",,,새우 초밥 맛있어요. 새우가 크고 통통하고 밥이 참 맛있게 식감이 좋습니다.
1936893750,"민영활어공장 망원시장점초밥,롤",,,싱싱 탱탱 식감과 가성비 너무 좋은 구성
1936893750,"민영활어공장 망원시장점초밥,롤",,,"싱싱하고 위생적이고요, 식감이 맛있는 초밥 집입니다. 뭘 선택해도 실패없는 초밥집입니다."
1936893750,"민영활어공장 망원시장점초밥,롤",,,저녁에 방문예약 없이 이용대기 시간 바로 입장
