가게ID,가게명,평점,날짜,리뷰내용
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,갈때마다 아주 맛있게 먹고오지요. 굿~~
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,"누룽지는 안나오고 흐물거리고, 닭고기가 훈제아닌 물에 담긴 삼계탕 같아요. 더 연구하셔서 맛나게 해주세요.^^"
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,누룽지는 처음인데 깔끔하고 담백하니 맛이 좋습니다^^
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,누룽지통닭을 시켰는데 너무너무 맛있어요...열무맛집.. 딴치킨도 먹어보고 싶네요...
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,닭과 누룽지 거기에 열무김치 조합이 굿~
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,"돌판에 닭과 누룽지가 올려져 나오니 식지 않게 먹을수 있어서 좋았어요. 닭이 부드럽고 신선한 느낌을 받았고, 매콤한 닭발도 소주안주로 괜찮았습니다. 한강 놀러갔다 무심코 들렀는데 너무 만족했네요. 우리 동네엔 왜 이런 곳이 없는지..."
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,마포체육센터에서 가족들과 볼링하고 저녁겸 치킨이 먹고싶어서 들린곳인데 밥과술과치킨을 동시에 해결할 수있는 곳이었어요. 사람들의 붐비는시간을 피해 젤 먼저 오픈런으로 방문했어요ㅎㅎ
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,밤에 방문예약 없이 이용대기 시간 바로 입장
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,불닭은 처음 먹었는데 매콤하니 아주 맛나네요.
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,비오는날 생각나서 매운맛이 당겨서 매운닭발과 누룽지통닭 주문해서 맛있게 먹었어요.
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,오픈 할때부터 다녔다가 이사간지 10년이 넘어서 다시 와봤는데 맛도 분위기도 그대로인게 너무 정감있고 좋았네요~
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,"장사 이번달까지만하나요? 닭은 그럭저럭맛있습니다. 그런데 물을 달라고해야하는 식당이 아직도 있나요, 불친전 알바 기본교육도 제대로 되있는거같지 않고 다시는 올일없을것같네요"
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,저녁에 방문예약 없이 이용대기 시간 10분 이내 회식지인・동료
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임부모님
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임연인・배우자
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,"저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임연인・배우자, 아이"
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친척・형제
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,"지방에서 친구가 놀러와서 처음 방문했는데, 너무 맛있었어요!! 방문했을 때 구운 닭이 다 떨어져서 30분정도 기다렸는데 너무 배고파서 죽는줄 알았지만, 너무 맛있어서 다 용서 됐습니다! 3명이서 2개 시켰는데 눈깜짝할 사이에 다 먹었습니다!"
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,토요일 저녁 친구들 모임 장소로 예약하고 방문했어요. 우선 닭이 너무 맛있어서 종류별로 다 주문해서 먹았어요. 닭고기 살이 엄청 부드러워 한잎 먹자마자 눈이 휘둥그레졌네요. 사장님 너무 친절해서 분위기 업됐어요. 재방문 의사 있습니다.
37898538,"계림원누릉지통닭구이 망원점치킨,닭강정",,,한강 가는길에 들럿는데 맛있었어요 추천해요 !
