가게ID,가게명,업종,평점,날짜,리뷰내용
18222123,맛집곱창구이 방배점,맛집,,,그리고!! 기본 반찬 중에 깍뚜기가 정말정말 찐이에요... 처음에 먹고 정말 놀라서 다섯 번은 리필한 듯 계속 생각 나는 맛이에요 다른 데랑 비교할 그게... 안 됨(진심으로 깍뚜기 집에 들고 가고 싶어요 사장님) 그리고 된찌가... 맛있음 꼭 드세요 뜨겁게 끓이다가 바로 주시는데 그 상태로 먹어야 돼요... 밥 세 공기 무조건 가능한 그런 된찌임 볶음밥도 마무리로 딱 먹어 주면 완벽한 마무리가 됨... 다음에 또 와서 먹어야지... 🤤
18222123,맛집곱창구이 방배점,맛집,,,다음에 방문하신다면 만족스러운 식사가 되시도록 노력하겠습니다. 혹 식사하시다 불편하거나 불만족스러운 일이 있음 바로 말씀해주시면 그 즉시 응대해드리겠습니다.
18222123,맛집곱창구이 방배점,맛집,,,마늘 곱창이 진짜 맛있어요… 막창도 다른 데랑 다르게 달고 쫄깃하고 너무 맛있었어요 기름이 많지 않아 느끼하지도 않아서 친구랑 둘이서 거하게 먹었네요 일하시는 분들도 다 너무 친절해서 좋았어요
18222123,맛집곱창구이 방배점,맛집,,,마늘곱창 찐맛집이에요 ㅠㅠㅠㅜㅜ 완전 맛나고 볶음밥은 말 해 뭐 해 ... 자주자주 들릴게요💓💓💓💓💓
18222123,맛집곱창구이 방배점,맛집,,,"방배동 골목에서 우연히 찾은 맛집곱창구이. 기본 간부터가 감칠맛 폭발! 퐁당 빠진 마늘은 고소하고 달큰하며, 특양의 쫄깃함은 씹을수록 고급스러운 풍미가 입안 가득 퍼집니다. 곱창 특유의 잡내는 1도 없고, 숯불 향까지 더해져 술이 절로 생각나는 맛! 가격도 합리적이라 가성비 최고였어요. 사당·방배 일대 곱창집을 여러 번 다녀봤지만, 여기만큼 ‘한 번 맛보면 재방문 예약’인 곳은 드뭅니다. 비 오는 날, 지글지글 익어가는 곱창 앞에서 마음까지 따뜻해진 저녁이었어요. 🌈"
18222123,맛집곱창구이 방배점,맛집,,,식사에 만족하셨다니 뿌듯하네요. 지금보다 더 큰 만족감을 느끼실 수 있도록 노력하도록 하겠습니다. 감사합니다 ☺️
18222123,맛집곱창구이 방배점,맛집,,,식사에 만족하셨다니 뿌듯하네요. 지금보다 더 큰 만족감을 느끼실 수 있도록 노력하도록 하겠습니다. 감사합니다 ☺️
18222123,맛집곱창구이 방배점,맛집,,,안녕하세요 늉찌님 또 오셨네요!!^^ 금요일은 아무래도 만석이다 보니 저희가 손님들에게 소홀해지지 않을까 걱정이 많습니다~항상 찾아와 주시고 맛있게 드셔주셔서 감사합니다 👍 😄 오시면 꼭 말씀해주세요 그래야 우리 단골님 뭐 하나라도 더 드리죠!!😊 감사합니다 ~
18222123,맛집곱창구이 방배점,맛집,,,안녕하세요 맛집곱창구이 입니다. 예약 방문 감사드립니다. 마늘곱창은 저희의 시그니처 메뉴로 많은 손님들께서 만족해주시는 메뉴입니다. 그만큼 손도 많이 가는 메뉴로 큰 노력이 들어가는데 좋은 식사 시간을 보내셨다니 다행입니다. 다음에 또 뵙겠습니다 😄
18222123,맛집곱창구이 방배점,맛집,,,안녕하세요 맛집곱창구이 입니다. 예약 방문 감사드립니다. 마늘곱창은 저희의 시그니처 메뉴로 많은 손님들께서 만족해주시는 메뉴입니다. 그만큼 손도 많이 가는 메뉴로 큰 노력이 들어가는데 좋은 식사 시간을 보내셨다니 다행입니다. 다음에 또 뵙겠습니다 😄
18222123,맛집곱창구이 방배점,맛집,,,"안녕하세요, 2두딘님! 😊 맛있다고 해주셔서 정말 감사합니다! 앞으로도 더욱 맛있고 신선한 곱창구이로 보답할 수 있도록 최선을 다할게요! 자주 놀러 오세요! 🍽️💕"
18222123,맛집곱창구이 방배점,맛집,,,"안녕하세요, 맛집곱창구이의 깻잎오이당근싫엉님! 😊 다시 찾아주셔서 정말 감사해요! 볶음밥과 곱창이 입맛에 맞으셨다니 너무 기쁘네요! 앞으로도 맛있고 행복한 경험을 선사할 수 있도록 노력할게요! 다음에도 꼭 다시 오세요! 🍽️💕"
18222123,맛집곱창구이 방배점,맛집,,,"안녕하세요, 맛집곱창구이의 사장입니다! 😊 나비난나니아님, 소중한 리뷰 정말 감사해요! 마늘 곱창이 맛있었다니 너무 기쁘네요! 🎉 대창과 염통에 대한 피드백도 잘 받아들여서 더욱 맛있게 개선할게요! 다음에 오시면 더 만족스러운 경험을 드릴 수 있도록 노력할게요. 꼭 다시 찾아주세요! 감사합니다! 💕"
18222123,맛집곱창구이 방배점,맛집,,,"안녕하세요, 맛집곱창구이입니다! 할라피뇨소세지피자빵님✨ 저희 곱창을 이렇게 사랑해주시다니 너무 감동이에요! 만취해서도 맛있게 드셨다니, 저희도 뿌듯하답니다😊 시원한 분위기를 즐기시며 언제든지 오세요! 앞으로도 영원히 맛있는 곱창으로 모실게요! 건강하세요, 감사합니다💕"
18222123,맛집곱창구이 방배점,맛집,,,"안녕하세요, 맛집곱창구이입니다! 😊 만족하셨다니 정말 기쁘네요! 앞으로도 맛있는 음식으로 자주 찾아뵐 수 있도록 노력할게요. 언제든지 환영합니다! 감사합니다! 💖"
18222123,맛집곱창구이 방배점,맛집,,,"안녕하세요, 맛집곱창구이입니다! 😊 맹공주16님, 친구 추천으로 방문해 주셔서 정말 감사드려요! 친구의 선택이 탁월했다니 저희도 너무 기쁘네요! 😍 맛있게 드셨다니 다행이에요! 언제든지 다시 오세요~ 기다리고 있을게요! 감사합니다! 🙏"
18222123,맛집곱창구이 방배점,맛집,,,"안녕하세요, 맛집곱창구이입니다, 늉찌님! 🌟 곱창에 대한 기억이 좋지 않으셨다니 안타깝지만, 저희 가게에서의 경험이 이렇게 긍정적으로 바뀌어 너무 기뻐요! 😍 대창의 겉바속촉한 식감과 곱창의 맛을 즐기셨다니 저희도 정말 뿌듯합니다! 💖 지인분과 함께 오셔서 더욱 특별한 시간이 되셨기를 !! 앞으로도 더욱 맛있고 행복한 경험을 드리기 위해 최선을 다할게요! 다시 한번 감사드립니다! 🙏"
18222123,맛집곱창구이 방배점,맛집,,,"안녕하세요, 뷰리얌님! 😊 맛집곱창구이에 방문해 주셔서 정말 감사해요! 모듬곱창이 맛있었다니 너무 기쁘네요! 😍 볶음밥도 바삭하게 드셨다니 저희의 노력에 보람을 느낍니다! 앞으로도 더욱 맛있는 음식을 제공하도록 할게요! 다시 뵐 수 있기를 기대할게요! 감사합니다! 🍽️"
18222123,맛집곱창구이 방배점,맛집,,,"안녕하세요, 비니핑님! 😊 맛집곱창구이를 사랑해 주셔서 정말 감사해요! 마늘 곱창의 맛과 저희의 친절함을 느껴주셨다니 너무 기쁘네요. 앞으로도 항상 맛있고 만족스러운 서비스로 보답할게요! 자주 놀러 와주세요!💕"
18222123,맛집곱창구이 방배점,맛집,,,"안녕하세요, 소나기5976님! 😊 친절함과 맛을 칭찬해 주셔서 정말 감사해요. 앞으로도 맛있는 곱창과 따뜻한 서비스로 보답할게요! 언제든지 또 놀러와 주세요. 감사합니다! 🍽️💖"
18222123,맛집곱창구이 방배점,맛집,,,"안녕하세요, 승진이형님! 😊 마늘곱창을 맛있게 드셨다니 정말 기쁘네요! 잡내도 없고 맛있다고 해주셔서 감사해요! 저희가 매일 정성껏 준비하는 만큼 앞으로도 더욱 맛있는 음식으로 보답할게요! 볶음밥도 좋아해 주셔서 정말 감사합니다! 다음에도 꼭 다시 찾아주세요!💕"
18222123,맛집곱창구이 방배점,맛집,,,"안녕하세요, 하니앙뀨님! 😊 곱창구이와 볶음밥이 맛있다라 평하셔서 너무 기쁘고 감사해요! 앞으로도 더욱 맛있는 음식을 제공할 수 있도록 열심히 할게요! 다시 방문해 주시면 정말 행복할 것 같아요. 감사합니다! ❤️ 참고로 사진은 저희가게가 아니예요~^^"
18222123,맛집곱창구이 방배점,맛집,,,알바분들도 친절하시고 고기 종류도 다 알려주시고 냄새도 안나고 너무 맛있어요!! 김치볶음밥은 특히 필수 꼭 드세요~
18222123,맛집곱창구이 방배점,맛집,,,언제 방문하셔도 만족하실 수 있는 맛집곱창구이가 되겠습니다 감사합니다 !
18222123,맛집곱창구이 방배점,맛집,,,언제 방문하셔도 만족하실 수 있는 맛집곱창구이가 되겠습니다 감사합니다 !
18222123,맛집곱창구이 방배점,맛집,,,"여자 세명이었고 간판메뉴인 마늘곱창 두개, 모둠곱창 한개 주문했습니다 둘다 잡내 1도 없이 고소하고 너무 맛있었어요! 다만 양이 조금 아쉬워서 볶음밥 두개 시켜 야무지게 마무리 했습니다"
18222123,맛집곱창구이 방배점,맛집,,,올 때마다 직원 분들이 너무나도 친절하게 응대해주셔서 더 맛있게 먹을 수 있는 것 같아요 다른 곳에서는 맛 볼 수 없는 마늘곱창은 안에 마늘이 들어있어서 그런가 느끼하지 않게 곱창을 즐길 수 있더라고요 강추합니다 !!!
18222123,맛집곱창구이 방배점,맛집,,,"원래 리뷰 잘 안쓰는데, 남직원분이 너무 친절하셔서 작성하게 됐어요! 처음 매장 들어갈때부터 먹는 와중 계속 신경써주시고 부족한 반찬 말씀 드리지 않아도 친절하게 가져다주시고 웃으시면서 고객 응대 하시는 모습이 너무 좋아보이더라구요! 서비스업에 오래 있었다보니 그게 참 쉽지 않은 걸 잘 알아서 음식도 맛있었지만 친절함에 더 행복하고 맛있게 친구랑 먹고 왔네요 ㅎㅎ 다음에 사당 가면 또 방문하려구요! 좋은 기억 남겨주셔서 감사합니다, 마늘곱창 진짜 맛있었어요 :)"
18222123,맛집곱창구이 방배점,맛집,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 친목친구
18222123,맛집곱창구이 방배점,맛집,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 친목친구
18222123,맛집곱창구이 방배점,맛집,,,저의 최애 곱창집! 마늘 곱창이랑 모듬곱창 주문해서 먹었어요!! 진짜 쏘맥이랑 넘 잘 어울리고 마지막 볶음밥은 어찌나 맛있던지.. 정말 갈때마다 너무 만족하는 곱창집입니당!! 개인적으로 막창 곱창이 너무 맛나서 담번엔 두개만 주문해서 먹으려구요! 직원분들도 친절하시고 너무 맛나게 즐기고 가요!
