가게ID,가게명,평점,날짜,리뷰내용
2008997483,고설우 삼성점,,,"감사합니다 앞으로도 최고의 메뉴와 서비스를 제공하겠습니다. 소중한 리뷰에 감사드리며, 또 뵙길 기대합니다! 😊"
2008997483,고설우 삼성점,,,고급스러운 분위기에 개별 룸도 있어서 데이트 장소로 딱이었어요. 코스 구성도 좋고! 직원분들도 친절하셨어요.
2008997483,고설우 삼성점,,,"남편이랑 데이트겸 방문했어요! 코스 요리로 먹었는데 개별룸이서 식사할 수 있어서 좋았어요. 한끼 식사에 한우, 캐비어, 우니 등등 각종 고급 재료를 맛볼 수 있어서 좋았어요 ㅎㅎ 음식이 천천히 나오는 편이라 접대하는 자리로도 좋을 것 같아요!"
2008997483,고설우 삼성점,,,"누구와 함께 가도 만족할만한 퀄리티와 구성, 맛과 분위기라 각종 모임장소로 너무 좋습니다. 최고! 추 천하고 싶은 맛집입니다.^^"
2008997483,고설우 삼성점,,,"다양하게 맛볼 수 있는 맡김차림 한우코스요리 먹었는데 요리구성도 알차고 음식도 맛있어요. 직원분들도 친절하시고 식사내내 편안하게 즐길 수 있어 좋았네요! 특히 분위기가 고급스럽고 프라이빗룸이 있어서 기념일데이트, 비즈니스접대, 회식, 상견례 자리로 방문해도 좋을거같아요. 콜키지프리, 주차가능하니 참고하시길!"
2008997483,고설우 삼성점,,,다음에도 다시 찾아주시면 만족스러운 식사하실수있도록 하겠습니다 오늘도 행복한 하루보내세요 😊
2008997483,고설우 삼성점,,,룸으로 되어있어 프라이빗하게 대화하기에도 좋고 모임이나 특별한날 방문하기에 너무 좋을거같아요!
2008997483,고설우 삼성점,,,룸이 많고 콜키지 1병까지 공짜라서 좋습니당 점심에는 3만원이하의 솥밥정식이 있어서 외부 미팅 있을 때 애용해요. 저녁 맡김차림은 먹어봤는데 고기가 너무 맛있습니다. 안심이 특히 맛있어서 부위로는 안심 추천합니다!! 고기를 직접 구워주시는게 가장 큰 장점입니다. 확실히 구워주시니 퀄리티 있는 고기가 더 맛있네요
2008997483,고설우 삼성점,,,"룸이 잘 갖춰져 있어 회식장소로도 추천드리고 싶고, 와인 1병 콜키지를 무료로 제공해 주셔서 모임할 때 특히 좋을 것 같습니다"
2008997483,고설우 삼성점,,,맡김차림 코스 먹고 왔는데 메뉴 하나하나 다 괜찮았습니다. 소고기는 당연하고 다른 메뉴 중엔 전복이 원픽이었음. 삼성역 쪽에서 프라이빗 룸 찾는 중이라면 가보실만 함
2008997483,고설우 삼성점,,,"맡김차림코스답게 처음부터 끝까지 만족스러운 코스였습니다. 생선요리는 비린내와 잡내가 하나도 없었고, 한우는 입에서 살살녹아 기분좋은 식사를 할 수 있었습니다."
