가게ID,가게명,평점,날짜,리뷰내용
36667123,노메 이자카야 삼성점,,,2차로 갔다가 안주가 너무 맛있어서 다시 1차로 오기로 ㅎㅎㅎㅎ
36667123,노메 이자카야 삼성점,,,2차로 갔다가 안주가 너무 맛있어서 다시 1차로 오기로 ㅎㅎㅎㅎ
36667123,노메 이자카야 삼성점,,,2차로 들렀는데 배가 불러도 안주가 맛있어서 계속 먹게 되더라구요
36667123,노메 이자카야 삼성점,,,2차로 들렀는데 배가 불러도 안주가 맛있어서 계속 먹게 되더라구요
36667123,노메 이자카야 삼성점,,,"2층이라 외부 시선도 적고, 은은한 조명 덕분에 분위기까지 완벽했습니다"
36667123,노메 이자카야 삼성점,,,"2층이라 외부 시선도 적고, 은은한 조명 덕분에 분위기까지 완벽했습니다"
36667123,노메 이자카야 삼성점,,,국물 맛이 깊어서 놀랐어요 김치찜이 이렇게 맛있기 있기..? 밥이랑 먹는것도 물론 맛있지만 이거 술도둑임 ㅋ
36667123,노메 이자카야 삼성점,,,국물 맛이 깊어서 놀랐어요 김치찜이 이렇게 맛있기 있기..? 밥이랑 먹는것도 물론 맛있지만 이거 술도둑임 ㅋ
36667123,노메 이자카야 삼성점,,,깐풍기 진짜 맛있어요!!! 술종류도 다 있구 친구랑 연인이랑 오기 너무 좋아용
36667123,노메 이자카야 삼성점,,,깐풍기 진짜 맛있어요!!! 술종류도 다 있구 친구랑 연인이랑 오기 너무 좋아용
36667123,노메 이자카야 삼성점,,,깐풍기너무마있어여~~~ㅋㅋ기대이상입니다. 감자튀김도 감사합니다. 분위기도 조용하고 대화 나누기 좋습니다.
36667123,노메 이자카야 삼성점,,,깐풍기너무마있어여~~~ㅋㅋ기대이상입니다. 감자튀김도 감사합니다. 분위기도 조용하고 대화 나누기 좋습니다.
36667123,노메 이자카야 삼성점,,,"깐풍치킨도 입맛에 맞았고요, 전반적으로 안주 퀄리티가 높은 곳이네요^^"
36667123,노메 이자카야 삼성점,,,"깐풍치킨도 입맛에 맞았고요, 전반적으로 안주 퀄리티가 높은 곳이네요^^"
36667123,노메 이자카야 삼성점,,,다른 메뉴들도 먹어보고 싶을 만큼 구성 다양하고 고르는 재미도 있었어요
36667123,노메 이자카야 삼성점,,,다른 메뉴들도 먹어보고 싶을 만큼 구성 다양하고 고르는 재미도 있었어요
36667123,노메 이자카야 삼성점,,,매콤 깐풍기는 겉바속촉의 정석이었어요ㅎㅎ 달달하면서도 매콤한 맛이 입맛 확 살려줘요ㅎㅎ 술안주로 강추🍻
