가게ID,가게명,평점,날짜,리뷰내용
1712042587,노야 스타필드 코엑스,,,3살 아이 생일이라서 가족들과 생일파티겸 방문했습니다. 육수도 맛있고 재료들도 신선해서 아이도 잘 먹네요. 어른들도 다들 맛있다 맛있다 하면서 먹었습니다. 재방문 의사 있습니다~
1712042587,노야 스타필드 코엑스,,,3살 아이 생일이라서 가족들과 생일파티겸 방문했습니다. 육수도 맛있고 재료들도 신선해서 아이도 잘 먹네요. 어른들도 다들 맛있다 맛있다 하면서 먹었습니다. 재방문 의사 있습니다~
1712042587,노야 스타필드 코엑스,,,✔무한리필이지만 다른 브랜드랑다른점은 테이블에 앉아서 태블릿으로 주문하면 직원이 바로바로 가져다주는 구조라 직원들만 움직이기때문에 매장이 어수선하지도않아요
1712042587,노야 스타필드 코엑스,,,그리고 숙주가 너무 없길래 주문할려고 보니까 솔드아웃?
1712042587,노야 스타필드 코엑스,,,그리고 숙주가 너무 없길래 주문할려고 보니까 솔드아웃?
1712042587,노야 스타필드 코엑스,,,맛나네요 무한리필이라 고기의 질을 생각안햇는데 고기가 맛있더라구요
1712042587,노야 스타필드 코엑스,,,"매장 분위기나 음식은 마음에 들어요 근데 직원들 교육은 다시 하셔야 할듯, 불친절한 편이고 와이파이 뜨는데 와이파이 없다고 하고.. 먹는데 그릇 정리를 얼마나 시끄럽게 하는지 조용하게 먹고 싶어서 일부러 늦게 간건데 그릇 정리하는 소리때문에 엄청 불편했네요 손님도 별로 없는데 무슨 그릇정리를 그렇게 계속 해대는지 정리를 할거면 소리 안나게 하던가요 전반적으로 직원들 태도가 별로입니다"
1712042587,노야 스타필드 코엑스,,,"매장 분위기나 음식은 마음에 들어요 근데 직원들 교육은 다시 하셔야 할듯, 불친절한 편이고 와이파이 뜨는데 와이파이 없다고 하고.. 먹는데 그릇 정리를 얼마나 시끄럽게 하는지 조용하게 먹고 싶어서 일부러 늦게 간건데 그릇 정리하는 소리때문에 엄청 불편했네요 손님도 별로 없는데 무슨 그릇정리를 그렇게 계속 해대는지 정리를 할거면 소리 안나게 하던가요 전반적으로 직원들 태도가 별로입니다"
1712042587,노야 스타필드 코엑스,,,매장이 넓고 쾌적했어요 평일 점심시간인데도 여유가 있어보였습니다
1712042587,노야 스타필드 코엑스,,,"먹느라정신팔려서 사진이 처음에 받은것밖에 없네요ㅎㅎ 스키야키가 먹고싶어서 갔는데요, 샤브샤브도 재료는 같으니 맛있겠죠? 계란을풀어서 찍어먹는데 진짜 계속들어가더라구요. 고기 리필을해도 처음이랑 같은 고기를 가져다주셔서 좋았습니다. 다른곳에서는 처음만좋은거나오고 점점 고기가 안좋아지는곳도 있거든요. 채소도 신선하고 맛있었습니다. 나중에 죽을 먹었는데요, 죽에는 채소가 거의 안들어가서 살짝 아쉽긴했습니다."
1712042587,노야 스타필드 코엑스,,,"먹느라정신팔려서 사진이 처음에 받은것밖에 없네요ㅎㅎ 스키야키가 먹고싶어서 갔는데요, 샤브샤브도 재료는 같으니 맛있겠죠? 계란을풀어서 찍어먹는데 진짜 계속들어가더라구요. 고기 리필을해도 처음이랑 같은 고기를 가져다주셔서 좋았습니다. 다른곳에서는 처음만좋은거나오고 점점 고기가 안좋아지는곳도 있거든요. 채소도 신선하고 맛있었습니다. 나중에 죽을 먹었는데요, 죽에는 채소가 거의 안들어가서 살짝 아쉽긴했습니다."
1712042587,노야 스타필드 코엑스,,,메뉴 구성이 어렵고 복잡하고 추가로 시키고 싶어도 못 시켰는데 새로 방문 했더니 무한리필 코스로 한우 돼지고기 2가지 코스로 단순화 돼서 좋네요. 추가로 시킬 수도 있구요.
1712042587,노야 스타필드 코엑스,,,무한리필 샤브샤브를 먹을 수 있는 노야! 엄청 고급진 느낌의 집이라 괜히 뭔가 대단한 사람이 된 것 같았어요! 버섯도 고기도 야채도 무한 리필이라 배부르게 먹을 수 있어용
1712042587,노야 스타필드 코엑스,,,"버섯도 좀 좋은버섯으로 세팅이되고 전체적으로 좀 고급스러운 무제한샤브집인것처럼 재료나 고기의 신선도,"
1712042587,노야 스타필드 코엑스,,,"버섯이랑 야채, 고기가 넘나 신선하고 무제한 리필 가능해서 천천히 오래 얘기하며 먹기 좋았어요 ㅎㅎ"
1712042587,노야 스타필드 코엑스,,,"버섯이랑 야채, 고기가 넘나 신선하고 무제한 리필 가능해서 천천히 오래 얘기하며 먹기 좋았어요 ㅎㅎ"
1712042587,노야 스타필드 코엑스,,,분위기 좋은 프리미엄 샤브샤브인데 야채와 고기는 무한리필이라 가성비 너무 좋습니다. 저희는 단체라 룸에서 식사였는데 홀 쪽도 분위기 좋아 보이네요.. 오랜만에 반가운 분들과 함께여서 좋았고 계산해주신 형님 감사합니다. 퇴직한 날 좋은일이 많은 하루였습니다~
1712042587,노야 스타필드 코엑스,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1712042587,노야 스타필드 코엑스,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1712042587,노야 스타필드 코엑스,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
1712042587,노야 스타필드 코엑스,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1712042587,노야 스타필드 코엑스,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1712042587,노야 스타필드 코엑스,,,"점심에 방문예약 후 이용대기 시간 바로 입장가족모임아이, 연인・배우자"
