가게ID,가게명,평점,날짜,리뷰내용
1088186105,만평우동 홍대점,,,(하지만 다른 메뉴들도 보았는데 다른 메뉴들도 가성비가 좋아요!)
1088186105,만평우동 홍대점,,,가성비가 좋아요! 올 때마다 너무 맛있어서 자주 오게 됩니다 홍대 오시면 와보시면 좋을 것 같아요
1088186105,만평우동 홍대점,,,"딸아이랑 왔는데, 둘이서 간단하게 저녁 먹기 좋고, 가성비 훌륭한 집이이에요.홍대입구와 합정역 근처인데요, 근처에 볼일이 있었고 우동이 먹고 싶었는데, 냉우동 먹고 싶다는 딸아이를 위해 선택했어요., 가라아게 양도 적절해서 여자들이 먹기 딱이네요.우동으로 유명한 집이라서 우동, 그리고 메밀 소바 좋아하는 전 , 매밀 소바를 사켰어요. 면이 댕기는날 오면 좋아요^^ 그리고 약간의 단백질은 필요하죠. 가성비도 좋고, 둘이 아닌 혼밥하기도 좋네요."
1088186105,만평우동 홍대점,,,만평우동 홍대 혼밥도 좋고 데이트도 좋고 점심 저녁 가성비 짱 홍대입구역 이자 합정역 우동 맛집이에요 자주 오고 싶아요
1088186105,만평우동 홍대점,,,세트메뉴가 새로 나왔어요 !! 가성비 맛집으로 최고에요 홍대ㅠ혼밥 데이트 최고에요 맛있어요~~ 벌써 3번째 방문이에요 !!!
1088186105,만평우동 홍대점,,,스키야키 온센타마고에 찍어먹는데 완전 맛있어요! 같이 나오는 우동도 맛있구 냉우동도 신기해서 시켜봤는데 맛있더라구요ㅎㅎ 가격도 저렴하고 자주 올 것 같아요!
1088186105,만평우동 홍대점,,,오늘 우동이 땡겨서 먹으러왔는데 직접 바테이블에 앉아서 조리되는 과정도 구경할수있규 무엇보다 우동면이 너무 탱글탱글하고 맛있었어요 ㅠㅠ!! 냉우동먹으니 더위가 싹 가시는 기분이었어용 담에 홍대오면 꼭 또 오려구여!!❤️
1088186105,만평우동 홍대점,,,외국 친구랑 같이 갔는데 사장님이 너무 친절하세요 🥺너무 맛있게 잘 먹었습니다! 날씨가 슬슬 추워지는데 국물도 너무 맛있고 따뜻해요. 가성비도 미쳤습니다. 또 방문할게요!
1088186105,만평우동 홍대점,,,음식 맛있어요~! 맛집이라 그런지 웨이팅은 조금 있는 편이에요!
1088186105,만평우동 홍대점,,,음식이 너무 맛있고 가성비도 좋아요. 매장도 질 꾸며져있어서 여행온 것 같네요
1088186105,만평우동 홍대점,,,일본식 불고기 간장베이스 고기 두부 파 고명 우동 (소)
1088186105,만평우동 홍대점,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 나들이혼자
1088186105,만평우동 홍대점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
1088186105,만평우동 홍대점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
1088186105,만평우동 홍대점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구
1088186105,만평우동 홍대점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1088186105,만평우동 홍대점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1088186105,만평우동 홍대점,,,점심에 대기없이들어왔어요! 저렴하고 맛있어서 자주와요 ! 홍대가성비 맛집 추전합니다
1088186105,만평우동 홍대점,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
1088186105,만평우동 홍대점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1088186105,만평우동 홍대점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1088186105,만평우동 홍대점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1088186105,만평우동 홍대점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1088186105,만평우동 홍대점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1088186105,만평우동 홍대점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1088186105,만평우동 홍대점,,,추천받고 드디어 와본 만평우동!!!!! 기대했던 대로 맛도 가격도 장소도 너무 좋았습니다💗 대학생 둘이서 가난한 서울 여행 하는데 참 도움된 곳이었어요 앞으론 자주 올 것 같습니다🤭잘먹었습니다!! 감사합니다❤️
1088186105,만평우동 홍대점,,,키츠네우동도 위에 올라가는 유부가 엄청 크고(사진에 있는 유부도 조금 뜯어 먹은 거에요!!) 달달 짭짤 맛있어요~!! 홍대 올 때마다 자주 먹게 되네용 ❤️
1088186105,만평우동 홍대점,,,튀김도 바삭하고 오코노미돈카츠라는 새로운 메뉴가 있어서 시켜봤는데 맛있어요! 사장님이 요구사항도 잘 들어주시고 매장도 시원하고 전반적으로 즐거운 식사시간 이었습니다🥹🫶🏻✨🩷🌟
1088186105,만평우동 홍대점,,,합정에서 혼밥할 일이 있어서 보니까 맛도 가격도 너무 좋은 우동집 발견 !! 원래 따끈한 우동 먹으려고 왔는데 ㅋㅋ 갑자기 오늘 너무 더워서 냉우동 픽 ! 근데 매장이 시원해서 뜨끈한 우동도 괜찮을 것 같아요~ 추천합니다 .ᐟ.ᐟ
1088186105,만평우동 홍대점,,,홍대에서 혼밥힐러 오든 친구랑 오든 다 좋을 장소입니다.
1212665407,백소정 홍대합정점,,,#블로그협찬 #상수역맛집 #합정역맛집 #홍대맛집 #백소정 #백소정홍대합정점 #마제소바 #등심카츠 #모짜렐라치즈카츠
1212665407,백소정 홍대합정점,,,근처 식당 중에서 여기가 너무 좋아용 프랜차이즈라 가끔 다른 지역에서도 먹은 적 있긴한데 여기가 베스트인 거 같네요 ㅎㅎ!! 특히 마제소바 강추 👀👀
1212665407,백소정 홍대합정점,,,내부도 엄청 쾌적하고 음식 양도 많아요!! 직원분들도 매우 친절하시고 오늘 돈까스가 너무 먹고싶은 마음에 혼자 방문해서... 혼밥 가능할지 걱정했는데 모두들 반갑게 맞이해주셔서 감사했습니다! 돈까스도 튀김옷도 적당하고 바삭바삭한게 진짜 맛있어요! 평소 백소정이라는 브랜드를 좋아하지만 가끔 눅눅하거나 기름 쩐내 나는 지점도 있는데 이 곳은 진짜 깔끔하고 맛있어요!! 무엇보다도 매장 전체가 청결하고 맛도 좋아 매우 추천드립니다!
1212665407,백소정 홍대합정점,,,따끈따끈하니 더 맛있어요오 걸어온 보람이 있습니다 💚 그리고 친절하셔서 기분이 넘 좋습니다 ㅎㅎ
1212665407,백소정 홍대합정점,,,마제소바 좋아하는데 마라 마제소바가 새로 나왔다가해서 바로 먹어봤는데 마라탕/마라샹궈 너낌 제대로라서 매콤매콤하니 맛있게 먹었습니다!!!!!!!!
1212665407,백소정 홍대합정점,,,마제소바 처음먹어보는데 맛있어요~ 직원분들도 친절하세요~^^
1212665407,백소정 홍대합정점,,,마제소바도 맛있었고요. 역시 1등은 돈까스!! 두툼하면서 느끼하지않고 담백해요. 점심시간되니 직장인들 밀려오더라구요. 애니가글도 있고 매장이 깔끔해서 맘에 들어요. 합정점심맛집 찾는 분들에게 추천해요!
1212665407,백소정 홍대합정점,,,모둠가츠 시켰는데 돈까스는 겉바속촉 제대로였어요!! 전체적으로 분위기가 밝고 창가자리도 있어서 창밖 보면서 먹을 수 있어서 좋았어요~! 직원분들도 친절하고 특히나 소스나 반찬 마음껏 먹을 수 있는점도 좋은것 같아요!! 치즈카츠는 하나도 안느끼하고 진짜 맛있었어요!
1212665407,백소정 홍대합정점,,,백소정에서 치즈모듬카츠 먹었어요~ 치즈카츠랑 돈카츠 두개 조합된 메뉴랍니다! 카츠 둘다 너무 맛있었는데 특히 치즈카츠 대박이였어요👍 치즈가 완전 쭈욱 늘어나더라구요
1212665407,백소정 홍대합정점,,,세트로 나오는 튀김들 맛 없거나 조금 나오는 경우가 많은데 여기는 돈카츠는 촉촉 바삭하고 새우는 엄청 크고 통실해서 완전 맛나요
1212665407,백소정 홍대합정점,,,소스류를 좋아하는데 돈까스 소스를 옆에 두고 먹을 수 있는 점도 맘에 들었구요!
1212665407,백소정 홍대합정점,,,양도 푸짐하고 맛있어용!ㅎㅎ 마제소바 먹고 싶으면 항상 오는 곳 보장된 맛이용
1212665407,백소정 홍대합정점,,,역시 시원하고 쫄깃한면발의 냉우동 짱맛입니다!! 냉모밀도 야채가 많이들어 맛나요~~ 믿고먹는 백소정!!
1212665407,백소정 홍대합정점,,,와사비를 넣어먹으면 더 맛있다는 팁이 있어 넣었는데 매운거 못드시는 분도 먹을만큼 안맵고 감칠맛만 더해지네요!
1212665407,백소정 홍대합정점,,,우동도 나오고 돈카츠도 미니로 나오는게 아니라 충분히 나와서 좋았어요 카레양도 1.5인분정도는 되는거 같네요 너무 맛있게 잘 먹고 갑니다
1212665407,백소정 홍대합정점,,,음식 양이 많아서 좀 남겼습니다! 특히 가츠동 밥 양념이 너무 잘 되어있었어요!!!백소정에서 마제소바 처음 먹은 후 늘 오면 시키는 메뉴입니다!!
