가게ID,가게명,평점,날짜,리뷰내용
1528833676,꾸울과자점,,,"가게 들어오자마자 너무 맛있는 향도 나고, 빵도 너무 맛있었어요!!! 또 올 거 같아요!"
1528833676,꾸울과자점,,,"가게 들어오자마자 너무 맛있는 향도 나고, 빵도 너무 맛있었어요!!! 또 올 거 같아요!"
1528833676,꾸울과자점,,,들어서자마자 나는 달달한 향기에 정신없이 샀답니다.. 다 하나같이 너무너무 맛있고 이 근방에서 휘낭시에 최고맛집이에요
1528833676,꾸울과자점,,,맛있어서 가끔 와서 디저트 사가요!🤤🤍 학교 바로 뒤에 있어서 좋구 전 초코휘낭시에가 제일 맛있어서 매번 이것만 먹고있어요 ㅎㅎ 전에 커피도 먹어봤는데 맛있었습니다🫶
1528833676,꾸울과자점,,,상수오면 자주 방문하는데 연휴라고 예쁘게 포장해주셨어요 감사합니다💕
1528833676,꾸울과자점,,,"에그타르트 겉은 쫌 두껍고 빠쟙?한편이어서 쪼금 아쉽소, 속은 엄청 부드럽고 많이 달진 않아요. 필링 맛은 좋았어요!! 물이 흐르니까 길빵같은건 조심하세용"
1528833676,꾸울과자점,,,"에그타르트 겉은 쫌 두껍고 빠쟙?한편이어서 쪼금 아쉽소, 속은 엄청 부드럽고 많이 달진 않아요. 필링 맛은 좋았어요!! 물이 흐르니까 길빵같은건 조심하세용"
1528833676,꾸울과자점,,,오전에 왔더니 디저트가 엄청 많아요! 파운드케잌이랑 오레오 쿠키 처음 사봤는데 맛있어 보이네용 ㅎㅎ
1528833676,꾸울과자점,,,오전에 왔더니 디저트가 엄청 많아요! 파운드케잌이랑 오레오 쿠키 처음 사봤는데 맛있어 보이네용 ㅎㅎ
1528833676,꾸울과자점,,,이번에는 실속세트로 먹었는데 할인률도 좋고 맛도 최고에요 근처 홍대디저트카페 중에서 간식으로는 진짜 최고..! 특히 황치즈 쿠키가 맛도리입니다!
1528833676,꾸울과자점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이아이
1528833676,꾸울과자점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이아이
1528833676,꾸울과자점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1528833676,꾸울과자점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1528833676,꾸울과자점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1528833676,꾸울과자점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1528833676,꾸울과자점,,,처음 와봤는데 매장도 예쁘고 디저트가 다양해서 좋네요! 맛있어요 😍
1528833676,꾸울과자점,,,처음 와봤는데 매장도 예쁘고 디저트가 다양해서 좋네요! 맛있어요 😍
1528833676,꾸울과자점,,,추석 당일 전 날에 일하는 쉬는시간에 당일예약으로 급하게 추석 선물세트 2개 픽업 요청드렸는데 갑작스러움에도 불구하고 준비해주셔서 너무 감사드렸어요 ㅜㅜ
1528833676,꾸울과자점,,,친구가 디저트 포장할만한 가게로 추천해줘서 왔는데 종류도 많고 가격도 적당하고 맛있어서 만족합니다! 다음에 또 재방문예정이에요. 각종 할인도 있어서 다들 잘 챙겨주세요!!
1528833676,꾸울과자점,,,친구들한테 늘 맛있다고 들었는데 진짜 맛있어요 홍대디저트카페 짱이에요!!
1528833676,꾸울과자점,,,친구들한테 늘 맛있다고 들었는데 진짜 맛있어요 홍대디저트카페 짱이에요!!
1528833676,꾸울과자점,,,항상 너무 잘 먹던 디저트샵입니다! 졸업 후 생각나서 오랜만에 방문했는데도 여전히 친절하셨어요! 학교 올 때마다 종종 들를게요 번창하세요 💗💗
1528833676,꾸울과자점,,,항상 너무 잘 먹던 디저트샵입니다! 졸업 후 생각나서 오랜만에 방문했는데도 여전히 친절하셨어요! 학교 올 때마다 종종 들를게요 번창하세요 💗💗
1528833676,꾸울과자점,,,홍대디저트카페 꾸울!! 디저트 땡기거나 소소하게 선물할 일 일있으면 항상 여기 방문해요 저는 휘낭시에랑 소금빵 스콘 파운드케이크가 제일 맛있는 거 같아요 다 맛있는건가… 에그타르트도 맛있어요!
1528833676,꾸울과자점,,,홍대디저트카페로 유명한 꾸울..!!! 홍대생이지만 처음 방문했는데 맛있어보이는 메뉴들이 너무 많았고 3시쯤 갔는데 유자 파운드는 거의 없었어용!!
1528833676,꾸울과자점,,,홍대디저트카페로 유명한 꾸울..!!! 홍대생이지만 처음 방문했는데 맛있어보이는 메뉴들이 너무 많았고 3시쯤 갔는데 유자 파운드는 거의 없었어용!!
1528833676,꾸울과자점,,,홍대생이라 자주 방문하는데 홍대디저트카페 중에 빵은 여기가 제일 맛있습니다..! 특히 휘낭시에는 촉촉함이 남달라요!! 너무 맛있게 잘 먹었습니다!😆
1528833676,꾸울과자점,,,홍대생이라 자주 방문하는데 홍대디저트카페 중에 빵은 여기가 제일 맛있습니다..! 특히 휘낭시에는 촉촉함이 남달라요!! 너무 맛있게 잘 먹었습니다!😆
1528833676,꾸울과자점,,,휘낭시에 검색하다가 찾았는데 이미 유명한 곳이군요..!!!!! 휘낭시에 종류많고 에그타르트도 있어요
1270396816,"더블유오앤카페,디저트",,,"2층, 지하층 있는데 개인적으로는 지하층 디자인이 예뻐요 ✨ 인센스 향도 나서 분위기 좋습니당"
1270396816,"더블유오앤카페,디저트",,,"2층, 지하층 있는데 개인적으로는 지하층 디자인이 예뻐요 ✨ 인센스 향도 나서 분위기 좋습니당"
1270396816,"더블유오앤카페,디저트",,,감각적인 인테리어가 분위기를 더해주고 빵 커피가 너무 맛있어서 좋네요 👍 홍대에 이런 카페가 있다니 이제 여기만 올 것 같아요 ☺️☺️
1270396816,"더블유오앤카페,디저트",,,감각적인 인테리어가 분위기를 더해주고 빵 커피가 너무 맛있어서 좋네요 👍 홍대에 이런 카페가 있다니 이제 여기만 올 것 같아요 ☺️☺️
1270396816,"더블유오앤카페,디저트",,,"리뷰 1,200사진 1,193팔로워 42테마 1"
1270396816,"더블유오앤카페,디저트",,,"리뷰 1,200사진 1,193팔로워 42테마 1"
1270396816,"더블유오앤카페,디저트",,,"매장 - 홍대, 합정, 상수역 사이에 위치 / 대형 베이커리 카페 / 새벽 2시까지 심야 운영 / 층별 인테리어 1층은 숲속, 2층은 캠핑, 지하는 동굴 느낌으로 꾸며져 있어 사진 찍기 좋은 포인트가 가득"
1270396816,"더블유오앤카페,디저트",,,"매장 - 홍대, 합정, 상수역 사이에 위치 / 대형 베이커리 카페 / 새벽 2시까지 심야 운영 / 층별 인테리어 1층은 숲속, 2층은 캠핑, 지하는 동굴 느낌으로 꾸며져 있어 사진 찍기 좋은 포인트가 가득"
1270396816,"더블유오앤카페,디저트",,,"물론 커피는 말할것도 없이 맛있고, 적당한 산미에 적당히 달달한느낌도 있고ㅎㅎ"
1270396816,"더블유오앤카페,디저트",,,"물론 커피는 말할것도 없이 맛있고, 적당한 산미에 적당히 달달한느낌도 있고ㅎㅎ"
1270396816,"더블유오앤카페,디저트",,,빵과 케이크도 처음 보는 메뉴가 많아서 고민되더라구용🥹💗 핸드드립 커피도 있어서 자주 올 것 같아요❣️
1270396816,"더블유오앤카페,디저트",,,빵과 케이크도 처음 보는 메뉴가 많아서 고민되더라구용🥹💗 핸드드립 커피도 있어서 자주 올 것 같아요❣️
1270396816,"더블유오앤카페,디저트",,,소금빵 맛집 찾아다니는거 좋아하는데 샤인머스켓 우유크림 소금빵 진짜 맛있어요!!
1270396816,"더블유오앤카페,디저트",,,소금빵 맛집 찾아다니는거 좋아하는데 샤인머스켓 우유크림 소금빵 진짜 맛있어요!!
1270396816,"더블유오앤카페,디저트",,,소금빵 먹고싶어서 왔는데 생각보다 종류가 넘 많아서 행복했습니더 :) 공간도 넓고 분위기도 쾌적해요! 소금빵 먹고싶을 때 또 오려구요 >.<
1270396816,"더블유오앤카페,디저트",,,소금빵 메뉴가 많고 케이크도 많아서 다양하게 고를 수 있어서 좋았어요 그리거 인테리어도 너무 멋져요
1270396816,"더블유오앤카페,디저트",,,소금빵 메뉴가 많고 케이크도 많아서 다양하게 고를 수 있어서 좋았어요 그리거 인테리어도 너무 멋져요
1270396816,"더블유오앤카페,디저트",,,엄청난 인테리어….!!!! 1층도 완전 짱이다 생각했는데 지하로 내려오니 무슨 동굴처럼 되어있었습니당
1270396816,"더블유오앤카페,디저트",,,엄청난 인테리어….!!!! 1층도 완전 짱이다 생각했는데 지하로 내려오니 무슨 동굴처럼 되어있었습니당
1270396816,"더블유오앤카페,디저트",,,여기 소금빵 맛집이라 자주 사먹어요 ㅎㅎ매장도 넓고 쾌적해서 좋아요!
1270396816,"더블유오앤카페,디저트",,,여기 소금빵 맛집이라 자주 사먹어요 ㅎㅎ매장도 넓고 쾌적해서 좋아요!
1270396816,"더블유오앤카페,디저트",,,일산만큼 큰 카페는 아니지만 홍대의 아기자기한 느낌과는 사뭇 다른 시원시원한 카페입니다~
1270396816,"더블유오앤카페,디저트",,,일산만큼 큰 카페는 아니지만 홍대의 아기자기한 느낌과는 사뭇 다른 시원시원한 카페입니다~
1270396816,"더블유오앤카페,디저트",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1270396816,"더블유오앤카페,디저트",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1270396816,"더블유오앤카페,디저트",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1270396816,"더블유오앤카페,디저트",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1270396816,"더블유오앤카페,디저트",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1270396816,"더블유오앤카페,디저트",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1270396816,"더블유오앤카페,디저트",,,저렴하게 소금빵을 맛볼 수 있어요 !!🥐🥐
1270396816,"더블유오앤카페,디저트",,,저렴하게 소금빵을 맛볼 수 있어요 !!🥐🥐
1270396816,"더블유오앤카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
1270396816,"더블유오앤카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
1270396816,"더블유오앤카페,디저트",,,"점심에 방문예약 없이 이용대기 시간 바로 입장데이트, 일상친구"
1270396816,"더블유오앤카페,디저트",,,"점심에 방문예약 없이 이용대기 시간 바로 입장데이트, 일상친구"
1270396816,"더블유오앤카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1270396816,"더블유오앤카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1270396816,"더블유오앤카페,디저트",,,주말에 항상 사람 많아서 평일에 왔는데 분위기도 너무 좋고 직원 분이 너무 착하셨어요ㅠㅠ 킹왕짱❤️🤤❤️ 소금빵도 개존맛탱🥰
1270396816,"더블유오앤카페,디저트",,,주말에 항상 사람 많아서 평일에 왔는데 분위기도 너무 좋고 직원 분이 너무 착하셨어요ㅠㅠ 킹왕짱❤️🤤❤️ 소금빵도 개존맛탱🥰
1270396816,"더블유오앤카페,디저트",,,지하1층에서 복층으로 되어 있는 꽤 사이즈가 있는 카페입니다. 주로 파는 메뉴는 소금빵이라 달달구리한 디저트에 아쉬울때 오기 좋아요. 내부 넓고 소금빵 맛있었어요.
1270396816,"더블유오앤카페,디저트",,,지하1층에서 복층으로 되어 있는 꽤 사이즈가 있는 카페입니다. 주로 파는 메뉴는 소금빵이라 달달구리한 디저트에 아쉬울때 오기 좋아요. 내부 넓고 소금빵 맛있었어요.
1270396816,"더블유오앤카페,디저트",,,직원분들이 엄청 친절하세요!! 소금빵맛집입니당! 분위기가 아주 굿👍🏻🤍
1270396816,"더블유오앤카페,디저트",,,직원분들이 엄청 친절하세요!! 소금빵맛집입니당! 분위기가 아주 굿👍🏻🤍
1270396816,"더블유오앤카페,디저트",,,처음 방문한 소금빵집인데 기대 이상이었어요. 겉은 바삭하고 속은 쫄깃하면서도 버터 향이 진하게 퍼져서 한입 먹자마자 만족스러웠습니다. 짭조름한 소금이 은근하게 밸런스를 잡아줘서 끝까지 물리지 않고 먹을 수 있었어요. 따뜻할 때 먹으니 안에 촉촉한 결이 살아 있어서 훨씬 더 맛있었습니다.
1270396816,"더블유오앤카페,디저트",,,처음 방문한 소금빵집인데 기대 이상이었어요. 겉은 바삭하고 속은 쫄깃하면서도 버터 향이 진하게 퍼져서 한입 먹자마자 만족스러웠습니다. 짭조름한 소금이 은근하게 밸런스를 잡아줘서 끝까지 물리지 않고 먹을 수 있었어요. 따뜻할 때 먹으니 안에 촉촉한 결이 살아 있어서 훨씬 더 맛있었습니다.
1270396816,"더블유오앤카페,디저트",,,친구랑 왔는데 오랜만에 느좋카페를 발견해서 정말 좋았어요
1270396816,"더블유오앤카페,디저트",,,친구랑 왔는데 오랜만에 느좋카페를 발견해서 정말 좋았어요
1270396816,"더블유오앤카페,디저트",,,카페 분위기도 좋고 소금빵도 맛있고 커피도 맛있어요! 주차도 편하게하고 너무 좋네요~ 재방문의사 있습니다.
1270396816,"더블유오앤카페,디저트",,,카페 분위기도 좋고 소금빵도 맛있고 커피도 맛있어요! 주차도 편하게하고 너무 좋네요~ 재방문의사 있습니다.
1270396816,"더블유오앤카페,디저트",,,카페 인테리어 분위기가 너무 좋아요. 늦은시간까지 하구요 커피가 맛있아요 좋은향이 나고 노래소리와 장르가 너무 좋아요.. 👍 👍 최고
1270396816,"더블유오앤카페,디저트",,,카페 인테리어 분위기가 너무 좋아요. 늦은시간까지 하구요 커피가 맛있아요 좋은향이 나고 노래소리와 장르가 너무 좋아요.. 👍 👍 최고
