가게ID,가게명,평점,날짜,리뷰내용
38404891,꽃피는고기,,,ㅜㅜ 넘 맛있었어요 ㅠㅠ 냉면도 진짜 깔끔하게 맛있구!! 사장님 넘 예쁘시고 친절하셔서 넘 기분좋게 맛있게 잘 먹고 갑니다!!!🩷🩷🩷🩷🩷🩷
38404891,꽃피는고기,,,ㅜㅜ 넘 맛있었어요 ㅠㅠ 냉면도 진짜 깔끔하게 맛있구!! 사장님 넘 예쁘시고 친절하셔서 넘 기분좋게 맛있게 잘 먹고 갑니다!!!🩷🩷🩷🩷🩷🩷
38404891,꽃피는고기,,,게다가 양도 많고 사장님께서 너무 친절하셔서 정말 추천합니다!!!
38404891,꽃피는고기,,,게다가 양도 많고 사장님께서 너무 친절하셔서 정말 추천합니다!!!
38404891,꽃피는고기,,,고기 세상에서 젤 잘꾸우심! 유머감각 탑재! 너무 기분좋은 식사였습니다. 또 오고싶은 곳이에요. 또간집? ㄴㄴ 또오싶 ㅇㅇ
38404891,꽃피는고기,,,고기 세상에서 젤 잘꾸우심! 유머감각 탑재! 너무 기분좋은 식사였습니다. 또 오고싶은 곳이에요. 또간집? ㄴㄴ 또오싶 ㅇㅇ
38404891,꽃피는고기,,,고기 질도 좋고 반찬도 다 맛있어요! 사장님도 너무 친절하셔서 먹는내내 기분좋게 먹을 수 있었어요^^! 다음에 또 올게요! 상수역에서 고깃집 찾으면 여기추천합니다!
38404891,꽃피는고기,,,고기 질도 좋고 반찬도 다 맛있어요! 사장님도 너무 친절하셔서 먹는내내 기분좋게 먹을 수 있었어요^^! 다음에 또 올게요! 상수역에서 고깃집 찾으면 여기추천합니다!
38404891,꽃피는고기,,,고기도 멋드러지게 나오고 맛있고! 직원분들도 넘 친절하셔서 기분 좋은 저녁 식사가 되었어요!^^ 잘 먹었습니당♡
38404891,꽃피는고기,,,고기도 멋드러지게 나오고 맛있고! 직원분들도 넘 친절하셔서 기분 좋은 저녁 식사가 되었어요!^^ 잘 먹었습니당♡
38404891,꽃피는고기,,,고기를 비롯해 밑반찬 냉면 전부 맛있어서 행복한 시간 보내고 갑니다.
38404891,꽃피는고기,,,고기를 비롯해 밑반찬 냉면 전부 맛있어서 행복한 시간 보내고 갑니다.
38404891,꽃피는고기,,,고기질이 항상 좋고 진짜 남자친구랑 배터지게 먹고 나왔어용ㅎㅎ🌈사장님도 너무너무 친절하시고 매번 기분좋은 식사하고 나오네용 담에 또올께요💛👏🏻🫶🏻
