가게ID,가게명,평점,날짜,리뷰내용
1064834738,7번방 홍대점,,,3번째 방문이에요! 홍대에서 조용하고 안주싸고 맛있는곳 찾으신다면 여기 왕 추천할게요🫶🏻
1064834738,7번방 홍대점,,,3번째 방문이에요! 홍대에서 조용하고 안주싸고 맛있는곳 찾으신다면 여기 왕 추천할게요🫶🏻
1064834738,7번방 홍대점,,,8명방이라 안주 3개 시켰는데 다 너무 맛있게 먹었어요.
1064834738,7번방 홍대점,,,8명방이라 안주 3개 시켰는데 다 너무 맛있게 먹었어요.
1064834738,7번방 홍대점,,,단체 모임도 괜찮은 거 같아요!! 다음에도 오고 싶습니다 ㅠㅠ 완전 추천!! 분위기 뿜뿜 스껄ㄹ
1064834738,7번방 홍대점,,,단체 모임도 괜찮은 거 같아요!! 다음에도 오고 싶습니다 ㅠㅠ 완전 추천!! 분위기 뿜뿜 스껄ㄹ
1064834738,7번방 홍대점,,,"닭볶음탕은 국물이 칼칼하면서도 진하게 우러나 매운맛과 닭고기의 고소한 맛이 딱 맞아떨어졌습니다. 푹 익은 감자와 당근도 함께 어우러져 든든하게 한 끼를 즐길 수 있었고, 국물에 밥 비벼 먹으니 정말 최고였어요. 전체적으로 양도 푸짐하고 맛도 깔끔해서 만족스러웠습니다. 다음에도 또 먹고 싶을 만큼 기억에 남는 맛이었어요 😋👍"
1064834738,7번방 홍대점,,,"닭볶음탕은 국물이 칼칼하면서도 진하게 우러나 매운맛과 닭고기의 고소한 맛이 딱 맞아떨어졌습니다. 푹 익은 감자와 당근도 함께 어우러져 든든하게 한 끼를 즐길 수 있었고, 국물에 밥 비벼 먹으니 정말 최고였어요. 전체적으로 양도 푸짐하고 맛도 깔끔해서 만족스러웠습니다. 다음에도 또 먹고 싶을 만큼 기억에 남는 맛이었어요 😋👍"
1064834738,7번방 홍대점,,,룸 완전 한적하고 유튜브도 되고 게임도 되고 시설 너무 좋아요! 치킨도 엄청 맛있습니당 ㅎ0ㅎ
1064834738,7번방 홍대점,,,"룸술집은 처음인데, 주말기준 한방에 5천원으로 가격도 괜찮아요! 또한 안주가 가성비가 좋고, 양이 많아서 3명에서 2개만 시켜도 충분해요!😛 홍대에서 조용히 먹을 수있는 술집으로 추천합니다!"
1064834738,7번방 홍대점,,,"룸술집은 처음인데, 주말기준 한방에 5천원으로 가격도 괜찮아요! 또한 안주가 가성비가 좋고, 양이 많아서 3명에서 2개만 시켜도 충분해요!😛 홍대에서 조용히 먹을 수있는 술집으로 추천합니다!"
1064834738,7번방 홍대점,,,룸이여서 조용하게 편하게 잘. 놀수 있었고 마이크 대여도 돼서 술 마시면서 노래 부를 수 있어서 좋았엉요! 술게임 종류도 다양해서 게임 하면서 재밌게 술 마실 수 있어서 너무 좋아여 화채 꼭 드셔보셨으면 좋겠어요!
1064834738,7번방 홍대점,,,룸이여서 조용하게 편하게 잘. 놀수 있었고 마이크 대여도 돼서 술 마시면서 노래 부를 수 있어서 좋았엉요! 술게임 종류도 다양해서 게임 하면서 재밌게 술 마실 수 있어서 너무 좋아여 화채 꼭 드셔보셨으면 좋겠어요!
1064834738,7번방 홍대점,,,메뉴도 다양하고 룸이여서 조용하고 대화하기 좋아요!! 룸비도 평일 3천원 밖에안해서 가성비도 좋습니당~!! 김볶밥도 너무 맛있어요!
1064834738,7번방 홍대점,,,밤에 방문예약 없이 이용대기 시간 10분 이내 데이트연인・배우자
1064834738,7번방 홍대점,,,밤에 방문예약 없이 이용대기 시간 10분 이내 데이트연인・배우자
1064834738,7번방 홍대점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1064834738,7번방 홍대점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1064834738,7번방 홍대점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1064834738,7번방 홍대점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1064834738,7번방 홍대점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1064834738,7번방 홍대점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1064834738,7번방 홍대점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1064834738,7번방 홍대점,,,방마다 여행지의 컨셉으로 되어있어서 굉장히 색다르고 재밌습니다. 무엇보다 좌석이 룸이어서 더더 좋은 것 같아요. 아마 다들 넘 시끄러운 걸 싫어하시는 분들은 룸을 찾으시는데 보통 룸술집은 가격도 비싸서 안타까운 점도 있었는데 이곳은 가격이 비싼 편이지만 그만큼 양과 분위기가 엄청 좋고 맛도 있습니다. 홍대에서 분위기있는 룸술집 찾으시면 추천드려요!!
1064834738,7번방 홍대점,,,방마다 여행지의 컨셉으로 되어있어서 굉장히 색다르고 재밌습니다. 무엇보다 좌석이 룸이어서 더더 좋은 것 같아요. 아마 다들 넘 시끄러운 걸 싫어하시는 분들은 룸을 찾으시는데 보통 룸술집은 가격도 비싸서 안타까운 점도 있었는데 이곳은 가격이 비싼 편이지만 그만큼 양과 분위기가 엄청 좋고 맛도 있습니다. 홍대에서 분위기있는 룸술집 찾으시면 추천드려요!!
1064834738,7번방 홍대점,,,분위기 좋고 얘기하기 편해요 룸이라서 프라이빗하고 편해요 가성비도 좋아요
1064834738,7번방 홍대점,,,분위기 좋고 얘기하기 편해요 룸이라서 프라이빗하고 편해요 가성비도 좋아요
1064834738,7번방 홍대점,,,분위기도 넘 좋고 다른 술집은 시끄러운데 여긴 대화하기도 편해요! 안주도 맛있고 편하고 다같이 오기 넘 좋습니다~~ 다음에 또 오고 싶어요!
