가게ID,가게명,평점,날짜,리뷰내용
1061165053,길상양꼬치 홍대본점,,,"3명이서 4꼬치에 칭따오2개, 어향가지1먹고 9만원대면 나름 잘 먹은것같아요😋"
1061165053,길상양꼬치 홍대본점,,,금방 바로 구워져서 진짜 맛있게 먹었고 조합도 좋았는데 불 때문에 더워서 계속 열오름 ㅠㅠㅠㅠ 결국 1시간도 안되서 나와서 아쉬웠음.
1061165053,길상양꼬치 홍대본점,,,금방 바로 구워져서 진짜 맛있게 먹었고 조합도 좋았는데 불 때문에 더워서 계속 열오름 ㅠㅠㅠㅠ 결국 1시간도 안되서 나와서 아쉬웠음.
1061165053,길상양꼬치 홍대본점,,,너무 맛있고 직원분도 너무 친절하세요 !!! 매장이 넓고 양꼬치 가게인데도 공기가 시원하고 청결해서 쾌적하게 식사할 수 있었어요. 음식도 빨리 나오고 자리도 적절히 떨어져 있어서 대화하면서 식사하기에 좋더라구요!! 음식도 너무 맛있어요! 데이트할 때 완전 추천드립니다!!
1061165053,길상양꼬치 홍대본점,,,더운데 구이가 괜찮을까 걱정했는데 매장 시원하고 깔끔해서 좋았어요! 음식도 맛있었구요. :)
1061165053,길상양꼬치 홍대본점,,,더운데 구이가 괜찮을까 걱정했는데 매장 시원하고 깔끔해서 좋았어요! 음식도 맛있었구요. :)
1061165053,길상양꼬치 홍대본점,,,마파두부는 마라맛 향신료 느낌으로 처음엔 혀가 꽤 얼얼함 나는 맛있게 먹었으나 향신료 향 별로 안 좋아하는 친구는 향이 강하다고 했돠
1061165053,길상양꼬치 홍대본점,,,마파두부는 마라맛 향신료 느낌으로 처음엔 혀가 꽤 얼얼함 나는 맛있게 먹었으나 향신료 향 별로 안 좋아하는 친구는 향이 강하다고 했돠
1061165053,길상양꼬치 홍대본점,,,맛있어요. 고기 질이 참 좋아요. 양고기 짱 맛있어요. 사장님도 넘 친절하세요. 아침부터 오픈런 맛있게 먹고 갑니다. :)
1061165053,길상양꼬치 홍대본점,,,매장이 엄청 넓고 쾌적해서 단체모임하기 너무 좋을 것 같아요!! 고기도 신선하면서 육즙대박 맛있고 짬뽕 스타일의 온면 너무 매력있어요!! 사장님 너무 친절하십니다 ㅎㅎ 홍대 양꼬치~~~ 길상이 최고
1061165053,길상양꼬치 홍대본점,,,밤에 방문예약 없이 이용대기 시간 바로 입장비즈니스지인・동료
1061165053,길상양꼬치 홍대본점,,,밤에 방문예약 없이 이용대기 시간 바로 입장비즈니스지인・동료
1061165053,길상양꼬치 홍대본점,,,"양갈비, 향라새우, 마라탕까지 순서대로 하나씩 맛보니 각 메뉴 특징이 확실히 달라서 조합해 먹는 즐거움이 있었어요."
1061165053,길상양꼬치 홍대본점,,,"양갈비, 향라새우, 마라탕까지 순서대로 하나씩 맛보니 각 메뉴 특징이 확실히 달라서 조합해 먹는 즐거움이 있었어요."
1061165053,길상양꼬치 홍대본점,,,"양꼬치 먹구싶어서 볼일보러 홍대 왔다가 방문했는데, 양꼬치 말구 갈비살로 시켜봤습니당 양갈비살 진자 부드럽네요,,그리구 마늘꼬치 꼭 꼭 시키세요 진자 맛도리 온면으로 마무리 푸파중이었는데 서비스로 너무 맛있는 물만두도 주셨습니다 ㅎㅎ"
1061165053,길상양꼬치 홍대본점,,,양꼬치가 두껍구 메뉴가 다양해요! 어항가지도 같이 시켰는데 너무 맛있어용👍 다음에는 마라탕도 시켜서 먹어보려구요! 잘먹었습니당
1061165053,길상양꼬치 홍대본점,,,양꼬치가.... 너무 맛있습니다... 먹으면서 계속 맛있다는 말밖에 못함.. 맛있어요.
1061165053,길상양꼬치 홍대본점,,,"양꼬치랑 양갈비, 향라새우까지 다양하게 주문해서 비교해보니 각각 매력이 뚜렷하게 느껴졌습니다."
1061165053,길상양꼬치 홍대본점,,,"양꼬치랑 양갈비, 향라새우까지 다양하게 주문해서 비교해보니 각각 매력이 뚜렷하게 느껴졌습니다."
1061165053,길상양꼬치 홍대본점,,,와 퇴근하고 양꼬치 땡겨서 방문한 곳!! 매장도 넓고 깨끗하고 양꼬치도 너무 맛있어요...☺️🤤🤤🤤 소주 한잔과 양꼬치 한 점 찰떡궁합🫰🙌 또 방문할게요!!!
1061165053,길상양꼬치 홍대본점,,,"저녁에 방문예약 후 이용대기 시간 바로 입장가족모임부모님, 친척・형제"
1061165053,길상양꼬치 홍대본점,,,"저녁에 방문예약 후 이용대기 시간 바로 입장가족모임부모님, 친척・형제"
1061165053,길상양꼬치 홍대본점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자, 아이"
1061165053,길상양꼬치 홍대본점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자, 아이"
1061165053,길상양꼬치 홍대본점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상, 가족모임연인・배우자, 아이"
1061165053,길상양꼬치 홍대본점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상, 가족모임연인・배우자, 아이"
1061165053,길상양꼬치 홍대본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
1061165053,길상양꼬치 홍대본점,,,"평일 저녁 시간쯤에 방문했는데 대기없이 바로 식사했습니당 세트 하나 시켜서 둘이서 나눠 먹었는데 양이 엄청 많네요,,,😘 진짜 배부르게 먹었습니다!!! 잡내도 하나도 없고 너무 맛있게 잘 먹었습니다 다음에 방문해서 다른 메뉴도 시켜먹어보고 싶어요🥹 서비스로 주시는 만두도 촉촉하고 맛났어요! 또 방문할게용"
1061165053,길상양꼬치 홍대본점,,,"평일 저녁 시간쯤에 방문했는데 대기없이 바로 식사했습니당 세트 하나 시켜서 둘이서 나눠 먹었는데 양이 엄청 많네요,,,😘 진짜 배부르게 먹었습니다!!! 잡내도 하나도 없고 너무 맛있게 잘 먹었습니다 다음에 방문해서 다른 메뉴도 시켜먹어보고 싶어요🥹 서비스로 주시는 만두도 촉촉하고 맛났어요! 또 방문할게용"
1830503715,따롱이훠궈 홍대점,,,很高兴您在弘大店体验到了与传统火锅不同的小火锅特色～ 丰富的食材搭配再加上朋友点的虾滑、水饺和凉拌鸡爪，都能即刻享用，真的很方便又特别🦐🥟 辣味牛肉锅让您吃得过瘾，两个人也能吃得饱饱的，这样的评价对我们是极大的鼓励🔥 店铺宽敞、适合聚会的环境也是我们一直努力保持的优势。期待您下次再来品尝！
1830503715,따롱이훠궈 홍대점,,,很高兴您在弘大店体验到了与传统火锅不同的小火锅特色～ 丰富的食材搭配再加上朋友点的虾滑、水饺和凉拌鸡爪，都能即刻享用，真的很方便又特别🦐🥟 辣味牛肉锅让您吃得过瘾，两个人也能吃得饱饱的，这样的评价对我们是极大的鼓励🔥 店铺宽敞、适合聚会的环境也是我们一直努力保持的优势。期待您下次再来品尝！
1830503715,따롱이훠궈 홍대점,,,가격도 괜찮고 친구랑 모임까지 추천해주신 덕분에 “홍대 맛집”으로서 더 자신감이 생깁니다 😄
1830503715,따롱이훠궈 홍대점,,,가격도 괜찮고 친구랑 모임까지 추천해주신 덕분에 “홍대 맛집”으로서 더 자신감이 생깁니다 😄
1830503715,따롱이훠궈 홍대점,,,"강남점에 이어 홍대점까지 만족하셨다니 저희에게 정말 큰 힘이 됩니다 🙏 육수와 신선한 재료, 그리고 소스바까지 즐겁게 경험해주셔서 기쁘고, 접근성까지 좋다고 말씀해 주셔서 더없이 뿌듯하네요. 앞으로도 홍대 맛집으로서 언제 찾아주셔도 만족스러운 훠궈 경험을 드릴 수 있도록 최선을 다하겠습니다 🍲✨"
