가게ID,가게명,평점,날짜,리뷰내용
1574560244,더 씨생선회,,,근데 회를 한입 딱 먹는순간 두께가 혀씹는것처럼 도톰하니 너무 쫠깃쫠깃해여
1574560244,더 씨생선회,,,기본 메뉴부터 완벽하구요. 제가 가본 곳중에서 가장 알차고 신선하고 맛있어요. 단골입니다. :)
1574560244,더 씨생선회,,,너무 맛있어요 특히 처음먹어보는 고등어회 신선하고 비린맛도 없네요 다 만족하고갑니다
1574560244,더 씨생선회,,,너무 바쁘신데도 친절하고 스끼다시도 넘 많이 나와용 💕💕💕 감사해요
1574560244,더 씨생선회,,,더무 더워서 들어왔던 식당인데 생각 이상으로 너무너무 맛있고 직원분들이 친절해요 ~
1574560244,더 씨생선회,,,"마포 한복판, 시끌벅쩍 골목길에 자리한 더 씨(The Sea) 지인 추천으로 방문했는데, 첫 입에서부터 감탄이 절로 나오는 해산물 맛집입니다"
1574560244,더 씨생선회,,,"밤에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목친구"
1574560244,더 씨생선회,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1574560244,더 씨생선회,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1574560244,더 씨생선회,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1574560244,더 씨생선회,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1574560244,더 씨생선회,,,스끼다시가 엄청 잘 나오고 회도 맛있습니다 !!!
1574560244,더 씨생선회,,,신선하고 기본찬도 잘나와서 재방문 하려구요 회 먹고싶을때마다 오려구요 다들 친절하시고 매장도 청결해서 기분좋게 먹구갑니다💗
1574560244,더 씨생선회,,,여름 제철 메뉴라고 해서 잿방어랑 우럭 시켜 먹었는데 너무 맛있어요. 비주얼도 예쁘고 잘 먹고 갑니다!!💙🩵👍👍
1574560244,더 씨생선회,,,오징어회 너무 맛있습니다ㅏㅏ 싱싱하고 찬으로 나오는 새우장이랑 꼬막찜도 너무 맛있습니다! 재방문 예정!
1574560244,더 씨생선회,,,와 사실 잿방어 기대하고 왔는데 연어도 너무 맛있고 잿방어도 너무 맛있고
1574560244,더 씨생선회,,,이모님 엄청 친절하시고 아이가 연어 먹고 싶어해서 부탁드렸는데 엄청 많이 주시네요
1574560244,더 씨생선회,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 나들이친구
1574560244,더 씨생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임연인・배우자
1574560244,더 씨생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1574560244,더 씨생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1574560244,더 씨생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1574560244,더 씨생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1574560244,더 씨생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장비즈니스지인・동료
1574560244,더 씨생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1574560244,더 씨생선회,,,죽은 오징어 주지 않아서 진짜 질기지 않고 너무 맛있어요 ! 기본찬으로 나오는 간장 게장도 맛있구 피조개도 신선해요 !
1574560244,더 씨생선회,,,추천받아서 왔는데 음식 종류도 다양하고 처음에 나오는 반찬들도 맛있어요 새우 통통해서 좋아요
1574560244,더 씨생선회,,,친구들이 스끼다시 맛집이라고 해서 왔는데 들어오자마자 시원해서 너무너무 좋았구요 스끼다시도 많이 나오고 회도 쫀득해서 넘 맛있네용ㅎㅎ 직원분들도 정말 친절하세요! 잘 먹고 갑니당 많이 파세요~~~~ ♥
1574560244,더 씨생선회,,,활어회 먹으러는 더씨로 와요.푸짐하니 잘 나오고 항상 잘먹고 가는 곳입니다. 싱싱하고 쫄깃한 활어드실꺼면 강추!
1574560244,더 씨생선회,,,회만 시켰는데.. 밑반찬이 너~~무 알차요! 회도 너무 맛있어요ㅠㅠㅠㅠㅠ 두번째 방문인데 앞으로도 계속 자주 애용할게요❤️ 주변에 소문 많이 내야지😊
2079205460,바다주막 홍대점,,,"""한 달도 안 돼서 다시 와주셔서 감사해요 😊 물회랑 게살탕 맛있게 드셨다니 기쁩니다! 다음에도 맛있게 준비해둘게요 🍻"""
2079205460,바다주막 홍대점,,,"""한 달도 안 돼서 다시 와주셔서 감사해요 😊 물회랑 게살탕 맛있게 드셨다니 기쁩니다! 다음에도 맛있게 준비해둘게요 🍻"""
2079205460,바다주막 홍대점,,,1차부터 2차까지 코스로 추천해주셔서 큰 힘이 됩니다 :)
