가게ID,가게명,평점,날짜,리뷰내용
37128226,감격시대,,,가성비 진짜 알찬구성이고 특히 서비스 찌개 대박이에요 밥 두그릇 그냥 가능!!!!!! 우마이!!!!!
37128226,감격시대,,,"가족모임으로 방문했어요! 어른들도 아이들도 대만족 초이스👍고기 질이 진짜 좋아서 아주 탁월한 선택이었네요👏 사장님도 직원 분들도 왕 친절하시고 서비스도 빨라요 단체 모임이나 회식, 회사 동료들이랑, 가족 외식까지 어디에나 잘 어울려서 강추합니다☺"
37128226,감격시대,,,계산하고 나가는 입구 옆에 아이스크림 기계 있어서 만들어 먹을 수 있어서 완벽한 식사였습니당 ㅎㅎ
37128226,감격시대,,,고기 미친듯이 먹었어요. 스페셜로 먹었는데 종류도 다양하고 밑반찬이랑 된찌가 너무 맛있어서 잘 들어가요. 원없이 먹어버렸다!!! 그리고 직원분들이 너무 친절하세요! 환기도 잘돼서 냄새도 안배이고 편하게 먹을 수 있었어요
37128226,감격시대,,,"고기 질과 맛이 좋아 계속 추가해 드셨다는 말씀, 사이드 메뉴까지 ‘맛도리’였다는 표현에 웃음이 납니다."
37128226,감격시대,,,고기 품질이 너무 좋고 맛있어요! 기본 반찬이랑 찌개도 맛있었어요 사장님도 너무 친절하시고 잘 챙겨주셔서 좋았어요ㅎㅎ
37128226,감격시대,,,고기타워 비주얼부터 압도적이던 교대역고기집 감격시대. 168시간 침지 숙성 소고기부터 제주산 오겹까지 퀄리티가 좋아 무한리필이라는 말이 무색할 정도네요.
37128226,감격시대,,,교대남부터미널 근처에 24시 고깃집이 없는데 감격시대가 유일무이한 것 같네용ㅋㅋㅋ 사장님도 너무 친절하시고 고기질도 엄청 좋아요! 냉면이랑 차돌라면도 미쳤뜸....!! 서비스로 나온 된장찌개도 차돌이 듬뿍 들어가있어서 만족도 최상!!!ㅎㅋㅎ
37128226,감격시대,,,교대맛집이라 회식하러왔습니다. 소고기 진짜 맛잇고 좋아요 고기도 부드럽고 육향도 좋고 가성비도 진짜 좋네요 다음에 또 회식오겠습니다
37128226,감격시대,,,날 더운데 에어컨 잘 오는 자리에 바람까지 세밀하게 조절해주셔서 밥먹는 내내 쾌적하게 즐겼어요👍🏻
37128226,감격시대,,,"다양한 부위를 마음껏 즐길 수 있고, 된장·계란찜·묵사발까지 알찬 구성에 만족하셨다는 평가를 들으니 참 뿌듯합니다. ㅎㅎ"
37128226,감격시대,,,도토리묵사발과 된장찌개 만으로도 밥 한 공기 비우셨다는 말씀에 만족스러운 한 끼를 선사한 것 같아 기쁩니다. ㅎㅎ
37128226,감격시대,,,"돼지갈비 먹고 싶어서 왔는데, 기본 반찬으로 나오는 묵사발이나 찌개도 맛있고 고기도 양이 많고 맛잇네요!! 직원분들도 친절하시고 가격대도 너무 좋아서 다음에는 소 먹으러 와보려구요 ㅎㅎ 후식 아이스크림도 서비스고 예약하고 오시면 음료수도 서비스로 주시는 게 좋았어요 ㅎㅎ"
37128226,감격시대,,,된장찌개도 너무 잘먹고 고기도 배부르게 먹었습니다👍🏻
37128226,감격시대,,,리뷰쓰고 직후에 고기 리필했다가 화가나서 수정합니다. 두번째 사진이 리필받은 오겹살인데요. 저거말고도 나머지도 기름이 거의 대부분인 어디 고기 주고 남은 찌끄러기같은 부분을 리필받았습니다. 처음 세팅은 리뷰 남겨야하니 신경써서 주시고 리필용은 이렇게 주시나요? 직원분에게 얘기했더니 첫마디가 이런부분 싫어하시나요? 라더군요. 당황해서 그냥 바꿔달라고 하지도않고 계산하고 나왔습니다. 리뷰 믿고갔다가 실망하고 나왔습니다.
37128226,감격시대,,,말해 뭐해 진짜 존맛이었구요 숯불 상태도 굿입니다 화력도 좋아서 바로바로 구워지구요 고기 부위별로 한판씩 먹다보면 벌써 다먹고 없어요 ㅋㅋㅋ 그리고 파절이랑 묵사발이 나오는데 아 이게 자꾸 고기를 더먹게 만들어요 또 먹고싶네요!!
37128226,감격시대,,,먹다보니 금새 순삭해버렸네요ㅎㅎㅎ 전에 다른메뉴들도 먹어보니 두루두루 메뉴구성도 알차고 맛도 전반적으로 평타 이상이네요👍👍 고기집이라 그런가 고기질도 넘 좋구 잡내도 안나네요! 점심 푸지게 먹고 왔습니당❣️
37128226,감격시대,,,무한리필 고기 시켰는데 무한리필인데도 고기 질이 엄청 좋아서
37128226,감격시대,,,무한리필 첫판부터 엄청 푸짐 하게 나오는데 고기질도 좋아요! 직원분들도 엄청 친절 하고 빠르세요 다음에도 또올거같아요
37128226,감격시대,,,뭐처럼 어머니와 전시회 보기전 맛있는 고기를 먹기위해 찾던 중 고기의 질이 좋아보여 예약하고 찾아갔습니다. 그리고 뭐처럼 질이 좋은 고기를 먹으니 기분이 매우 좋네요. 어머니도 고기의 맛이 좋다고 잘 드셔 너무 기뻤습니다.만약 고기먹으러 가는 일이 생긴다면 다시 찾아가고싶네요.
37128226,감격시대,,,사장님 너무 친절하세요!!! 스페셜 무한으로 2명이서 먹었는데 2판만 먹어도 너무 배가 부르네요... 고기들 질도 좋고 앞으로 종종 올 것 같아요!! 식전 묵사발도 넘 맛있고 차돌된장라면도 기가막히게 끓여주십니다!!! 여러 모로 감격인 감격시대!!
37128226,감격시대,,,사장님 너무 친절하시구 무한리필임에도 고기 질이 너무 좋아요ㅠㅠ 맛있고 주차도 잘 안내해주셔서 좋았습니다ㅎㅎ 맛집이고 추천이에요!! 올해만 회식으로 2번째 방문입니다! 적극 추천이에요!! 사장님 친절하시니 꼭 오세요^^
37128226,감격시대,,,사장님 서비스 많이 많이 챙겨주시고 밑반찬들도 너무 맛있었어요 친구들이랑 같이 온거였는데 만족스럽게 먹다가 갑니다 재방문 무조건 할거같아여!!!
37128226,감격시대,,,서초 소고기 맛집이라고 해서 와봤는데 소고기 무한리필집인데 가격도 저렴하고 고기질이 좋아요 육회 진짜 맛있고요 사장님도 친절하셔서 처음 가봤는데 되게 만족하며 먹었습니다
37128226,감격시대,,,"숯불에 고기 구워 먹는 분위기도 나고 맛도 엄지척이에요. 쌈뿐만 아니라 샐러드, 계란찜, 된장찌개까지 반찬 구성이 너무 알차요."
37128226,감격시대,,,시대무한리필 2인 상차림의 첫인상이 좋았다는 말씀과 된장찌개와 반찬의 간이 잘 맞았다는 평에 큰 보람을 느낍니다. ㅎㅎ
37128226,감격시대,,,양념갈비 먹었는데 고기도 너무 좋고 양념도 정말 맛있더라고요. 기본 찬들도 훌륭하고 된장찌개가 조미료 쓰는 다른 가게들이랑 달리 육수가 게 베이스에 찐하고 정말 맛있었습니다. 다른 고기들도 다음에 먹으러 와야겟네요!
37128226,감격시대,,,"양도 푸짐하고 사장님도, 직원분들도 모두 친절하고 고기부위 설명까지 해주셔서 정말 만족한 맛집입니다! 2명이서 먹기엔 양이 너무 많아서 남겼지만 중간중간 사장님께서 맛보라고 주시는 고기들도 정말 다 맛있어서 리필이 필요 없었어요!! 맛있게 잘 먹었습니다😋😋"
