가게ID,가게명,평점,날짜,리뷰내용
19877730,미소의집떡볶이,,,가게 안이 너무 더워요. 좀 친절하면 더 좋을텐데 다들 무뚝뚝한게 아쉽네요.
19877730,미소의집떡볶이,,,고등학생때 학교앞에서 먹던 즉석 떡볶이 맛이예요. 양념만두도 따뜻하고 양념도 맛있어요!
19877730,미소의집떡볶이,,,늦은저녁 거의 라스트오더타임에 갔더니 기다리지 않고 곧바로 들어갔어요. 딱 한석 남아서 다행.
19877730,미소의집떡볶이,,,둘이서 즉떡2+쫄면1+계란1+튀순1+볶밥1 이렇게 시켰는데 완전 배부르게 먹었어요! 가성비 넘침! 쫄면사리 맛잇긴한데 엄청 불어서 소스가 다 없어지니까 볶밥할때 안좋도라구여... 라면사리로 드시는걸 추천드립니다 특히 튀순 볶밥이 맛있어요 가성비 갑~~
19877730,미소의집떡볶이,,,"떡볶이가 안짜서 너무 좋았고, 사이드 꼭 하나씩 다 드셔보세요 다 맛있어요,,"
19877730,미소의집떡볶이,,,떡볶이는 사실 평범한대 튀긴 순대는 단순한데도 계속 끌리는 맛이네요
19877730,미소의집떡볶이,,,떡볶이도 떡볶이지만 아주 별미가있는 곳 😋😋😋
19877730,미소의집떡볶이,,,"리뷰 1,478사진 1,411팔로워 70테마 3"
19877730,미소의집떡볶이,,,맛있고 가성비 좋아요! 유명하다해서 왔는데 솔직히 엄청나게 맛있다! 이런맛인지는 잘 모르겠네욤 ㅎㅎ 그렇지만 먹을만합니다 ㅎㅎ
19877730,미소의집떡볶이,,,미소의집은 진짜 한달에 한번은 꼭 가줘야해요! 매번 리뷰에 적지만 튀김순대 왕강추입니다☆☆☆☆☆
19877730,미소의집떡볶이,,,사당으로 이사간 후 먹었던 애*분식보다 제 입에는 미소가 더 맛있는거 같네요
19877730,미소의집떡볶이,,,생활의달인 970회 즉석 떡볶이와 튀김 순대 달인으로 출연한 미소의 집은 성시경의 먹을텐데에도 출연할 정도로 인기가 많은 곳이에요.
19877730,미소의집떡볶이,,,순대튀김 소문듣고 벼르다 이제야 갔는데 와. 떡볶이 너무 맛있고 순대튀김은 물건이네요. 달지않아 좋고 떡도 말랑하고 완벽한 즉떡이에요!
19877730,미소의집떡볶이,,,순대튀김은 간이 조금 되어 있는지 짭쪼름하고 제공되는 찍먹 소스와 먹으면 단짠고소.
19877730,미소의집떡볶이,,,순대튀김이 특이하고 맛있었어요. 떡볶이는 한번 먹어볼 걸로 충분했습니다.
19877730,미소의집떡볶이,,,시중에서 판매하는 다른 떡볶이들과의 가장 큰 차이점은 다음날 장트러블이 없다는 것 같습니다. 맛도 물론 좋고요. 맛을 낼 때 인위적으로 막 첨가하지 않기 때문에 가능한 것 같습니다. 오래오래 찾아가고 싶어요.
19877730,미소의집떡볶이,,,"아버지 나이대로 보이는 남자 두분은 웃으며 참 친절하게 맞아주셨어요! 그런데 계산받으시는 남자분은 제가 있는내내 핸드폰만 보시고 셀프인줄 모르고 요청했는데 정말 무섭게 ""셀프에요""라고,,,,,,( •︠ˍ•︡ ) 정말 무안했다는,,,,그리고 에어컨은 작동하는건지 먹는내내 정말 더웠어요. 친절하셨던 아버지 나이대에 남자 두분 아니였다면 정말 더 솔직하게 느낀대로 리뷰작성했을 것 같아요!"
19877730,미소의집떡볶이,,,인생즉떡집이에요... 떡볶이도 재료 하나하나에 양념이 잘 배어있고 야끼만두는 갓튀기신거에 살짝만 양념을 발라서 더 바삭하고 튀김순대도 갓 튀긴거라 진짜 사기적으로 맛있어요... 혈당스파이크 와도 좋을 맛
19877730,미소의집떡볶이,,,일단 지하인데 에어컨도 없는듯하고..(있는데 안 틀은건지는 모르겠지만요) 벽 선풍기 두대가 다라서.. 끓이면서 먹기엔 너무 더웠어요ㅠ 여름엔 비추.. 떡볶이는 즉떡인데 1인분도 주문 가능해보여서 혼자 갔는데.. 떡볶이 1인분에는 무조건 사리 하나는 추가해야된다더라구요... 결국 1인분 주문은 불가란 얘기... 메뉴에 미리 써두심 좋을 것 같아요~
19877730,미소의집떡볶이,,,일하시는 분들이 좀 더 친절하면 좋겠네요 옛날분들이지만 서비스 마인드가 부족해보이시네요
19877730,미소의집떡볶이,,,저녁에 방문예약 없이 이용대기 시간 30분 이상일상친구
19877730,미소의집떡볶이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
19877730,미소의집떡볶이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
19877730,미소의집떡볶이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
19877730,미소의집떡볶이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구
19877730,미소의집떡볶이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구
19877730,미소의집떡볶이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목부모님
19877730,미소의집떡볶이,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
19877730,미소의집떡볶이,,,점심시간이라서 혼밥하기 부담스러웠는데 다행히 테이블이 좀 여유가 있어서 1인분 즉떡 먹게 됨. 그대신 1인분만 시킬 땐 꼭 사리추가해야 해서 오히려 좋아~ ㅋ
19877730,미소의집떡볶이,,,점심에 방문예약 없이 이용대기 시간 10분 이내 일상지인・동료
