가게ID,가게명,평점,날짜,리뷰내용
1652220988,가츠오 교대본점,,,"가츠오 교대본점에서 쿠로고마 돈까스와 냉우동을 먹었는데, 속살이 뻑뻑하지 않고 이렇게 부드러운 돈까스는 처음이었습니다. 한입 베어 물었을 때 느껴지는 고기의 촉촉함과 바삭한 튀김옷의 조화가 정말 훌륭했고, 고소한 풍미가 입안 가득 퍼져서 계속 감탄이 나왔습니다. 돈까스가 이렇게 부드러울 수 있구나 하는 생각이 들 만큼 특별한 맛이었어요. 함께 주문한 냉우동은 시원하면서도 깔끔한 맛으로 돈까스와 환상적인 조합이었습니다. 전반적으로 음식 퀄리티, 식감, 맛 모두 기대 이상이었고, 진짜 맛있어서 다음에 또 올 생각입니다. 다음에는 다른 메뉴까지 다양하게 맛보러 다시 방문할 계획입니다."
1652220988,가츠오 교대본점,,,교대역 근처에서 근무하다가 떠나기 전에 돈까스 맛집이라고 유명해서 방문했는데 너무 맛있어요! 쿠로고마는 완전 겉바속촉이고 맛집답게 안심도 퍽퍽하지않고 완전 부들부들했어요! 등심도 맛있었지만 쿠로고마 안심 원픽이에요!!!
1652220988,가츠오 교대본점,,,남친과 교대역 데이트 하러 왔어요ㅎㅎ 가게도 예쁘고 맛있네요 흑돼지라는 여기만의 메뉴를 팔길래 와보았습니다. 직원분들도 친절해요!
1652220988,가츠오 교대본점,,,늘 자주 오던 곳인데 매번 올때마다 맛있게 먹고 갑니다 돈까스의 튀김옷을 직접 만든 빵가루로 만드셔서 더욱 바삭하고 눅눅해지는 맛이 없이 다 먹을 때까지 바삭하게 먹을 수 있습니다. 또 고기질도 매우 부드럽고 맛있고 먹는데에 거부감 없이 잘 먹을 수 있어요 오늘도 맛있게 먹고 갑니다
1652220988,가츠오 교대본점,,,대표메뉴 시켜봤는데 너무 맛있어요!! 가츠들이 완전 겉바속촉이고 샐러드도 소스랑 먹으면 완전 맛있어요 다음에 한번 더 올거에요!
1652220988,가츠오 교대본점,,,"돈까스 맛집이라는 소문답게 기본적으로 돈까스가 맛있었고, 냉우동도 매력적이었습니다. 다 좋았지만 그중에서도 최고는 샐러드 소스인 듯 하네요. 양배추를 리필해서 계속 버무려 먹을 정도였습니다."
1652220988,가츠오 교대본점,,,맛있는 돈까스 먹고 싶어서 오랜만에 왔어요. 여전히 존맛 카레도 같이 시켜서 먹었는데 이것도 맛있네여!!
1652220988,가츠오 교대본점,,,먹느라 사진을 못 찍었는데... 진짜 면과 육수와 우엉튀김이 환상적이에요 진짜로;;;;;
1652220988,가츠오 교대본점,,,바삭하게 튀겨진 등심카츠가 정말 맛있었어요. 고기는 두툼하지만 전혀 질기지 않고 육즙이 살아있습니다. 소스와 함께 먹으니 느끼하지 않고 밥이랑도 잘 어울려요. 매장도 깔끔하고 직원분들도 친절했습니다.
1652220988,가츠오 교대본점,,,서울교대에 올일이 있어서 서울교대 돈까스 맛집 검색후에 오게되었어요~ 소문대로 돈까스 맛있고 아이가 잘 먹네요^^ 조금만 늦게 왔다면 웨이팅이 걸릴 수도 있었겠어요~ 타이밍 좋게 들어와서 기분좋게 먹고 갑니다^^
1652220988,가츠오 교대본점,,,수많은 리뷰가 증명하듯 너무 맛있고 고기맛이 담백하여 맛잇게 먹을수 잇었어요😋
1652220988,가츠오 교대본점,,,시그니처 메뉴도 있고 샐러드랑 밥 리필도 해줘서 좋은거같아요! 자주올거같네요
1652220988,가츠오 교대본점,,,시그니처 메뉴도 있고 샐러드랑 밥 리필도 해줘서 좋은거같아요! 자주올거같네요
1652220988,가츠오 교대본점,,,안심진짜 부드럽고 냉우동도 독특하고 거기안에들은우엉튀김이 너무맛있어요😆
1652220988,가츠오 교대본점,,,안심카츠 진짜 부드럽고 튀김도 바삭바삭하고 고소해서 너무 맛있어요 ㅎㅎㅎ 냉우동안에 들어있는 튀김도 진짜 맛있습니다!!
1652220988,가츠오 교대본점,,,안심카츠 진짜 부드럽고 튀김도 바삭바삭하고 고소해서 너무 맛있어요 ㅎㅎㅎ 냉우동안에 들어있는 튀김도 진짜 맛있습니다!!
1652220988,가츠오 교대본점,,,않아서 좋았습니다 고기는 두꺼워서 식감이 좋았고 소스도 깔끔하고 좋은 시간이었습니다
1652220988,가츠오 교대본점,,,여기는 직접 구워낸 식빵으로 가루를 내서 튀긴대요! 뭔가 더 맛있는것 같은 느낌ㅋㅋㅋㅋㅋ 소스통은 섞어보겠다고 흔들면 바로 나오니 조심하세요ㅎㅎㅎ
1652220988,가츠오 교대본점,,,여기는 직접 구워낸 식빵으로 가루를 내서 튀긴대요! 뭔가 더 맛있는것 같은 느낌ㅋㅋㅋㅋㅋ 소스통은 섞어보겠다고 흔들면 바로 나오니 조심하세요ㅎㅎㅎ
1652220988,가츠오 교대본점,,,오랜만에 오는 가츠오! 엄청 그리웠어요^^ 쿠로고마안심흑가츠의 비주얼 완전 대박!😋👍 겉바속촉이에요😄😁 따끈따끈한 맛있는 온우동은 면발이 아주 부드럽고 저녁을 행복하게 만들어요.😊 돈가츠와 우동의 조합은 환상적이에요!!☺️ 교대에서 맛있는 돈가츠를 원하신다면~ <가츠오>에서 식사해보시길 강력추천드립니다!🙆🏻‍♂️
1652220988,가츠오 교대본점,,,오픈 전에 왔는데 몇분 일찍 들어와도 된다고 해주셔서 친절하고 좋앗어요 ! 음식도 시킨지 얼마 안됐는데 금방 나오고 매장 내 분위기도 좋아서 누구랑 와도 좋을거 같아요 ~
1652220988,가츠오 교대본점,,,와 이집 돈가스 잘해요!! 겉바속촉..등심 안심 둘다 부드럽고 맛있어서 뭘 선택하든 후회하지 않을거에요..뀰맛..
1652220988,가츠오 교대본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1652220988,가츠오 교대본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1652220988,가츠오 교대본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구
1652220988,가츠오 교대본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1652220988,가츠오 교대본점,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목, 나들이, 일상, 데이트친구, 혼자, 지인・동료, 연인・배우자, 아이"
1652220988,가츠오 교대본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1652220988,가츠오 교대본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1652220988,가츠오 교대본점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장가족모임부모님, 연인・배우자"
1652220988,가츠오 교대본점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장가족모임부모님, 연인・배우자"
1652220988,가츠오 교대본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1652220988,가츠오 교대본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1652220988,가츠오 교대본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1652220988,가츠오 교대본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1652220988,가츠오 교대본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1652220988,가츠오 교대본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1652220988,가츠오 교대본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1652220988,가츠오 교대본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1652220988,가츠오 교대본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1652220988,가츠오 교대본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
