가게ID,가게명,평점,날짜,리뷰내용
1139820659,노크 강남본점,,,갑자기 잡힌 모임이었는데 예약으로 편하게 이용할 수 있었어요 직원분들이 센스 있게 대응해주셔서 다들 만족했고 분위기도 완벽했습니다
1139820659,노크 강남본점,,,그리고 안주도 맛있어서 술더 잘들어가네요. 잘 놀다갑니다!
1139820659,노크 강남본점,,,나중에 따지니 “안내문 보세요”라고 했다네 ㅋ그 안내문이 룸차지 안내문인지 손님들이 어케 알아요?ㅋㅋ심지어 같이간 친구들 안내문 들으라는 말 아무도 못들음.. 룸차지 있는줄 알았으면 안갔을거임 결제하고 보니까 안주 하나 시켰는데도 12만원 나옴
1139820659,노크 강남본점,,,노래 들으면서 술 마시니까 더 분위기 살고 안주도 맛있어서 술이 술술 들어갔어요 또 오고 싶은 공간이에요ㅎㅎ
1139820659,노크 강남본점,,,단 키오스크에서 결재하는 방식으로 바뀌었으면 합니다 카드를 가져가서 보관해두는 방식은 굉징히 낯선방식입니다
1139820659,노크 강남본점,,,단 키오스크에서 결재하는 방식으로 바뀌었으면 합니다 카드를 가져가서 보관해두는 방식은 굉징히 낯선방식입니다
1139820659,노크 강남본점,,,단체로 술 먹을 곳이 필요해서 찾아 갔는데 생각했던 것보다 좋았어요!! 룸도 잘 되어있어서 얘기 하기도 편했고 각 룸마다 스피커가 있어서 원하는 노래 맘껏 들을 수 있어서 좋아요 안주도 다 넘 맛있고 무엇보다 일하시는 분이 짱 예뻐요!😘😘😘 첨엔 금액 걱정 했었는데 엔빵하니까 얼마 안 나오더라구요 ㅎㅎ
1139820659,노크 강남본점,,,룸 깔끔하고 조명도 은은해서 분위기 제대로예요 안주 맛있고 술도 잘 들어가고ㅎㅎ 조용한 자리에서 친구랑 오랜만에 편하게 수다 떨다 왔어요
1139820659,노크 강남본점,,,룸 분위기 너무 좋고 직원분들 친절해서 완전 만족하고 왔어요! 안주 양 많고 맛있어서 술 안 좋아하는 친구도 잘 먹더라구요 😊
1139820659,노크 강남본점,,,룸 안이 프라이빗하게 되어 있어서 단체 모임에 딱이었어요 음악도 원하는 걸로 틀 수 있어서 분위기가 더 살고 안주도 푸짐해서 다들 만족했습니다
1139820659,노크 강남본점,,,룸술집이라고 해서 2차로 친구랑 방문했는데 직원분 친절하시구 시끄럽지 않아서 분위기도 너무 좋았어요
