가게ID,가게명,평점,날짜,리뷰내용
1916007090,그레도제빵사베이커리,,,2층에 빵제조하는 공간이 커서 기대했는데 옥수수치즈빵 겉이 질겨서 잘 안 잘리고 안에 마요네즈가 들어 느끼한맛..! 그냥그랬어요! 에그타르트나 다른빵이 더 맛있을거같아요 오후4시쯤 에그타르트 포함 빵이 거의 다 소진되어 있었던 점 참고하세요! 디카페인 아메리카노는 산미가 아주 약간 있는 편이에요 주말 오후 기준 1층은 가족단위로 와서 시끌벅쩍하고 2층은 작업하기 좋은 조용한 분위기였어요 개인적으로 아쉬운 점도 있었지만 분위기가 좋고 2층까지 있는 넓은 카페라 좋았어요. 다음엔 좀 이른 시간에 방문해보고 싶은 곳이에요
1916007090,그레도제빵사베이커리,,,근데 어제랑 식감이 다른 명란바게트.. 질기고 바삭함이 덜함 ㅜ 아쉽.. 항상 같은 맛을 유지하면 좋겠네요!!
1916007090,그레도제빵사베이커리,,,너무맛있어요~ 댜른빵집서 기분나빠서 바로나와서 유턴하려고 가는길에 발견!! 와..진짜맛집은 여기네요.
1916007090,그레도제빵사베이커리,,,동네 빵 맛집! 앙버터와 에그타르트 시켜서 평일 오후 시간 여유롭게 보낼 수 있었어요! 흑당라떼도 맛있고 다음에는 다른 빵들도 먹으러 지인들과 다시 오고 싶네요~
1916007090,그레도제빵사베이커리,,,매번 빵 포장만 하다가 커피 맛있다고 들어서 라떼도 주문했는데 넘 맛있네요ㅎ 포장할인도 되서 굿!!
1916007090,그레도제빵사베이커리,,,매장이 넓어서 다행히 기다리진 읺았고 커피도 괜찮았어요.
1916007090,그레도제빵사베이커리,,,바질베이글과 명란 바게트 먹었는데 빵이 맛있네요 커피와도 잘 어울립니다 감사합니다 ^^
1916007090,그레도제빵사베이커리,,,빵 컷팅은 왜이렇게 하다마는건지 갈때마다 빵 컷팅하는 분 바뀌면 꼭 이래요
1916007090,그레도제빵사베이커리,,,"빵은 호박부자님, 소금에그타르트, 버터프레첼 주문했고 하나같이 다 맛있네요!! 돈이 아깝지 않은 맛이에요😊 밀크티는 500원 추가해서 두유로 변경해서 마셨는뎅 후기대로 정말 맛있습니다♥️ 공간이 어둡긴 하지만 아늑하고 조용해서 대화 나누기에 좋아요✨"
1916007090,그레도제빵사베이커리,,,빵이 맛있어요! 석관동 빵 맛집~ 새로운 시즌 메뉴도 나오면 좋겠어요
1916007090,그레도제빵사베이커리,,,소금빵에그타르트 신박해서 먹어봤는데 맛없없 조합이네요🙂‍↕️ 맛있어서 집 갈 때 2개 더 포장했어요! 그리고 돼지꼬리바게트도 신기해서 사봤는데 생각보다 딱딱하지않고 맛있어서 좋았어요. 빵 종류 많아서 고민하는 시간도 길었읍니다🙂‍↕️
1916007090,그레도제빵사베이커리,,,"소금에그타르트도 넘 맛있고, 샌드위치랑 커피로 가볍게 아침으로 좋았어요"
