가게ID,가게명,업종,평점,날짜,리뷰내용
37672886,가부 본점중식당,중식,,,10년도 더 전에 근처에 있는 어린이집 교사하던 시절부터 이미 터를 잡고 있는 가부본점인데
37672886,가부 본점중식당,중식,,,10년도 더 전에 근처에 있는 어린이집 교사하던 시절부터 이미 터를 잡고 있는 가부본점인데
37672886,가부 본점중식당,중식,,,개인적으로 짬뽕을 좋아하는데 가부만큼 국물맛도 진하고 깊은맛 내는것은 요새 찾기 힘들어요!!
37672886,가부 본점중식당,중식,,,근로자의날 쉬어서 11시 1분 입장으로 오픈런 갔는데도 벌써 네다섯팀이 앉아계시네요
37672886,가부 본점중식당,중식,,,근로자의날 쉬어서 11시 1분 입장으로 오픈런 갔는데도 벌써 네다섯팀이 앉아계시네요
37672886,가부 본점중식당,중식,,,남편 생일이라서 갔는데 남편이 넘 맛있게 먹었대요 ㅋㅋㅋ근처면 한달에 한번은 왔을 것 같다고 차돌짬뽕이 취저라네여👏🏻
37672886,가부 본점중식당,중식,,,다른 중국집가면 속이 부대껴서 못 먹는데 여기는 전혀 그런거 없고 맛있습니다.
37672886,가부 본점중식당,중식,,,단골손님들도 많이 오는 동네맛집으로 인정받은 곳으로 가족 외식이나 데이트 장소 친구들모임장소로 완전 추천합니다 👍 🙆 😎
37672886,가부 본점중식당,중식,,,단골손님들도 많이 오는 동네맛집으로 인정받은 곳으로 가족 외식이나 데이트 장소 친구들모임장소로 완전 추천합니다 👍 🙆 😎
37672886,가부 본점중식당,중식,,,"단체로 점심 식사를 하러 갔습니다. 점심 식사는 11시부터 가능합니다. 계절메뉴 굴탕면, 그리고 해물백짬뽕, 해물볶음짜장면, 짜장면, 탕수육을 주문했습니다. 재료가 너무 신선했고, 잡내가 전혀 없었고 채소도 신선했고 불맛이 아주 좋았습니다. 탕수육도 오리지널 기본 맛이 일품이었습니다."
37672886,가부 본점중식당,중식,,,"리뷰 2,209사진 912팔로워 21"
37672886,가부 본점중식당,중식,,,부모님이 좋아하시는 성신여대 중식당이에요. 재료를 아끼지 않는 느낌이에요! 면도 면이지만 해물과 야채가 양껏 들어있어서 배부르게 먹을 수 있어요! 깐풍기는 처음 먹어봤는데 겉은 바삭해서 시간이 지나도 크리스피하고 안은 부들부들해서 너무 맛있었어요!!
37672886,가부 본점중식당,중식,,,부모님이 좋아하시는 성신여대 중식당이에요. 재료를 아끼지 않는 느낌이에요! 면도 면이지만 해물과 야채가 양껏 들어있어서 배부르게 먹을 수 있어요! 깐풍기는 처음 먹어봤는데 겉은 바삭해서 시간이 지나도 크리스피하고 안은 부들부들해서 너무 맛있었어요!!
37672886,가부 본점중식당,중식,,,손님 오셔서 포장해 갔는데. 다들 맛있게 잘 먹음. 자주 이용하는 중식당. 토요일 7시 가니 홀은 만석!!!
37672886,가부 본점중식당,중식,,,손님 오셔서 포장해 갔는데. 다들 맛있게 잘 먹음. 자주 이용하는 중식당. 토요일 7시 가니 홀은 만석!!!
37672886,가부 본점중식당,중식,,,양 많고 속재료 듬뿍 주고 무엇보다 걍 맛있어요
37672886,가부 본점중식당,중식,,,양 많고 속재료 듬뿍 주고 무엇보다 걍 맛있어요
