가게ID,가게명,평점,날짜,리뷰내용
11591181,금왕돈까스 본점돈가스,,,"20분만에 다먹고 주차요금 정산하러 나왔는데 처음10분 300원이라고 크게 써있는데 1500원 계산하라고 하더니 따지니까..나중에는 기본이 1200원이라고 말바꾸시고, 싫으면 책임자한테 전화하라고 하시네요.."
11591181,금왕돈까스 본점돈가스,,,4년만에 성북동 금왕돈가스 갔어요. 사람은 훨씬 많고 양도 많고 맛도 좋고. 얼씨구나~
11591181,금왕돈까스 본점돈가스,,,"80년대 어릴적 엄마손 잡고 레스토랑 온것 처럼 맛있게 잘먹었어요~ 치킨 소 돼지 세가지 맛, ‘금왕정식’ 먹었는데 다 맛있지만 역시 대표 메뉴라 그런지 (돼지)돈까스가 제일 고소하고 맛있네요~🤭 상차림도 정갈하고 양도 푸짐하고 정말 즐거운 식사였어요~❤️"
11591181,금왕돈까스 본점돈가스,,,"가끔 생각나는 맛이에요~ 금왕정식, 안심돈까스 맛있고 고추도 맵지않고 맛있어요."
11591181,금왕돈까스 본점돈가스,,,근데 얼마 나오지 않았지만 앞에 주차장이 성북구 꺼라고 유료입니다. 예전엔 주차요원도 있었고 주변 돈까스집들도 주차요금 없는거 같았는데 아쉬웠슴.
11591181,금왕돈까스 본점돈가스,,,금왕돈가스 양이 엄청나네요. 길상사갔다가 밥 먹으러 왔어요. 가게 앞쪽 주차장은 공영주차장이었어요. 편하게 주차하고 정산하면 되네요. 돈가스는 옛날 왕돈가스 그느낌 그대로에요. 스프도 맛나고 마카로니 콩 양배추도 굿~ 양도 많아서 다 못드시고 포장하시는 분들도 많네요. 저희는 등심 안심 먹었는데 다 괜찮네요. 옛날돈가스 생각나면 추천드립니다.
11591181,금왕돈까스 본점돈가스,,,"너무너무 맛있어요!! 그리고 계란후라이 같이 보이는 신선한 양배추 샐러드를 한가득 주시는데 소스도 넘 맛있고 돈까스, 스테이크랑 곁들여먹기 좋더라고요. 음식이 정갈하고 맛나요~~ 주차요원분, 매장 안 직원분들도 친절하셔서 아이랑 기분 좋게 식사하고 왔어요^^ 감사합니다!"
11591181,금왕돈까스 본점돈가스,,,늘 맛있게 먹는데 이번에는 돈까스에서 누린내가 좀 많이 났어요ㅜㅜ
11591181,금왕돈까스 본점돈가스,,,"돈까스 아주 맛나요, 그러나 써빙 아줌마들 진짜 불친절 하네요. 정말 밥맛 떨어졌어요."
11591181,금왕돈까스 본점돈가스,,,"리뷰 2,042사진 413팔로워 17"
11591181,금왕돈까스 본점돈가스,,,맛은 없었는데 그럭저럭 먹을만 했다 치고 다른 사람이 먹다 마신 종이컵에 남아있는 물을 테이블 위에 부어서 테이블 닦으시던데 위생상태 문제있는 거 아닌가요? 절대 다신 안 오고 지인들한테 추천도 안 해요.
11591181,금왕돈까스 본점돈가스,,,매장 자체고 넓고 깔끔하고 기름 냄새없이 쾌적해요.사방이 창이라 눈도 시원해요. 주차장 있으나 늘 만차인 듯.돈가스 정식중에 치킨 가스가 젤 맛있고 기름 냄새 없어요. 소스는 옛날 소스 맛.전체적으로 깔끔한 맛.줄서서 먹을 만큼의 맛은 아닌 쏘쏘
11591181,금왕돈까스 본점돈가스,,,매장은 적당히 넓은 편이며 평일 저녁 시간은 한산 했습니다. 맛은 음.. 적당히 먹을만 했습니다. 주차는 유료이며 어떤 일인지는 모르겠지만 본인이 주차 시간보다 4배는 많은 다른 시간으로 주차 계산 기계로 출력되어 조금 당황스러웠습니다.(주차 관리하시는 분이 기본 시간으로 정산을 도와주셨습니다.)
11591181,금왕돈까스 본점돈가스,,,먹으면서 이건 아니다 싶어 반 이상을 남겼어요. 저에겐 남산 돈까스보다 못한 맛 ㅠ 제꺼만 그랬을까요. 다른 분들은 다 맛있다 하신걸로 봐서 개인적인 취향과 입맛 차이인듯..
11591181,금왕돈까스 본점돈가스,,,모처럼 엄.빠와 드라이브 나들이하며 들른 곳.
11591181,금왕돈까스 본점돈가스,,,샐러드 소스도 어찌 만드신 건지 케찹도 마요네즈도 아닌 특제소스라 더 맛있네요 맛있게 먹고 갑니다~^^
11591181,금왕돈까스 본점돈가스,,,성북 시티투어 중 방문ㅡ워낙 오래된 집이라 믿고 먹을수 있는 추억의 돈카스 굿ㅡ정식 주문하니 돈카츠ㆍ함박ㆍ생선 까스까지 푸짐하고 맛있어요ᆢ가족 나들이 많이 오시네요
11591181,금왕돈까스 본점돈가스,,,"손바닥 2개만한 크기의 왕돈가스에 옛날 경양식집처럼 고전적인 양배추샐러드, 마카로니, 완두콩통조림ㅋㅋㅋ"
