가게ID,가게명,평점,날짜,리뷰내용
37672886,가부 본점중식당,,,10년도 더 전에 근처에 있는 어린이집 교사하던 시절부터 이미 터를 잡고 있는 가부본점인데
37672886,가부 본점중식당,,,10년도 더 전에 근처에 있는 어린이집 교사하던 시절부터 이미 터를 잡고 있는 가부본점인데
37672886,가부 본점중식당,,,개인적으로 짬뽕을 좋아하는데 가부만큼 국물맛도 진하고 깊은맛 내는것은 요새 찾기 힘들어요!!
37672886,가부 본점중식당,,,근로자의날 쉬어서 11시 1분 입장으로 오픈런 갔는데도 벌써 네다섯팀이 앉아계시네요
37672886,가부 본점중식당,,,근로자의날 쉬어서 11시 1분 입장으로 오픈런 갔는데도 벌써 네다섯팀이 앉아계시네요
37672886,가부 본점중식당,,,남편 생일이라서 갔는데 남편이 넘 맛있게 먹었대요 ㅋㅋㅋ근처면 한달에 한번은 왔을 것 같다고 차돌짬뽕이 취저라네여👏🏻
37672886,가부 본점중식당,,,다른 중국집가면 속이 부대껴서 못 먹는데 여기는 전혀 그런거 없고 맛있습니다.
37672886,가부 본점중식당,,,단골손님들도 많이 오는 동네맛집으로 인정받은 곳으로 가족 외식이나 데이트 장소 친구들모임장소로 완전 추천합니다 👍 🙆 😎
37672886,가부 본점중식당,,,단골손님들도 많이 오는 동네맛집으로 인정받은 곳으로 가족 외식이나 데이트 장소 친구들모임장소로 완전 추천합니다 👍 🙆 😎
37672886,가부 본점중식당,,,"단체로 점심 식사를 하러 갔습니다. 점심 식사는 11시부터 가능합니다. 계절메뉴 굴탕면, 그리고 해물백짬뽕, 해물볶음짜장면, 짜장면, 탕수육을 주문했습니다. 재료가 너무 신선했고, 잡내가 전혀 없었고 채소도 신선했고 불맛이 아주 좋았습니다. 탕수육도 오리지널 기본 맛이 일품이었습니다."
37672886,가부 본점중식당,,,"리뷰 2,209사진 912팔로워 21"
37672886,가부 본점중식당,,,부모님이 좋아하시는 성신여대 중식당이에요. 재료를 아끼지 않는 느낌이에요! 면도 면이지만 해물과 야채가 양껏 들어있어서 배부르게 먹을 수 있어요! 깐풍기는 처음 먹어봤는데 겉은 바삭해서 시간이 지나도 크리스피하고 안은 부들부들해서 너무 맛있었어요!!
37672886,가부 본점중식당,,,부모님이 좋아하시는 성신여대 중식당이에요. 재료를 아끼지 않는 느낌이에요! 면도 면이지만 해물과 야채가 양껏 들어있어서 배부르게 먹을 수 있어요! 깐풍기는 처음 먹어봤는데 겉은 바삭해서 시간이 지나도 크리스피하고 안은 부들부들해서 너무 맛있었어요!!
37672886,가부 본점중식당,,,손님 오셔서 포장해 갔는데. 다들 맛있게 잘 먹음. 자주 이용하는 중식당. 토요일 7시 가니 홀은 만석!!!
37672886,가부 본점중식당,,,손님 오셔서 포장해 갔는데. 다들 맛있게 잘 먹음. 자주 이용하는 중식당. 토요일 7시 가니 홀은 만석!!!
37672886,가부 본점중식당,,,양 많고 속재료 듬뿍 주고 무엇보다 걍 맛있어요
37672886,가부 본점중식당,,,양 많고 속재료 듬뿍 주고 무엇보다 걍 맛있어요
37672886,가부 본점중식당,,,양이 푸짐하고 너무 맛있는 잡채밥이 감동이에요! 맛있고 최고에요!
37672886,가부 본점중식당,,,"예전부터 자주 가는 곳 입니다. 성신여대 중식 하면 가부 죠!! 삼선짬뽕, 차돌짬뽕 맛있고 유린기도 좋아해요."
37672886,가부 본점중식당,,,"오향장육. 시원하고. 칠리새우, 탕수육 바삭하고 맛나고. 게살유산슬도 진득하니 향도 좋음. 추천하는 중식당. 다만 웨이팅이 있을수 있으니. 일찍 가거나 좀 느즈막히 가는걸 추천."
37672886,가부 본점중식당,,,유린기 진짜 맛도리👍 성신여대 중국집은 가부가 최고네요!!
37672886,가부 본점중식당,,,유린기 진짜 맛도리👍 성신여대 중국집은 가부가 최고네요!!
37672886,가부 본점중식당,,,유명세를 탄다는 것은 다 그만한 이유가 있는 게 맞는 듯하네요. 깔끔하면서도 정갈한 맛. 기름지지 않으면서도 깊은 풍미를 느낄 수 있으니 맛이 없을 수 없겠죠? ㅎ
37672886,가부 본점중식당,,,잡채밥 양도 많고 불 맛 가득 하니 진짜 맛있어요!! 다음에 또 먹으러 오려구요😍 짜장면이랑 탕수육도 맛있게 잘 먹었습니다. 원래 찍먹파인데 부먹으로 나와도 눅눅 하지 않고 갓 튀겨서 바삭 하니 진짜 맛있었어요. 강추!!
37672886,가부 본점중식당,,,잡채밥 양도 많고 불 맛 가득 하니 진짜 맛있어요!! 다음에 또 먹으러 오려구요😍 짜장면이랑 탕수육도 맛있게 잘 먹었습니다. 원래 찍먹파인데 부먹으로 나와도 눅눅 하지 않고 갓 튀겨서 바삭 하니 진짜 맛있었어요. 강추!!
37672886,가부 본점중식당,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 일상연인・배우자"
37672886,가부 본점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37672886,가부 본점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상부모님
37672886,가부 본점중식당,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
37672886,가부 본점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37672886,가부 본점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37672886,가부 본점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37672886,가부 본점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37672886,가부 본점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
37672886,가부 본점중식당,,,점심에 방문예약 없이 이용대기 시간 10분 이내 데이트연인・배우자
37672886,가부 본점중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장
37672886,가부 본점중식당,,,"점심에 방문예약 없이 이용대기 시간 바로 입장가족모임연인・배우자, 기타"
37672886,가부 본점중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
37672886,가부 본점중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
37672886,가부 본점중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
37672886,가부 본점중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
37672886,가부 본점중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친척・형제
37672886,가부 본점중식당,,,"중국냉명 먹으러 갔어요. 냉면은 기대처럼 맛있었고, 크림새우도 오래간만에 먹었는데 맛있어요!"
37672886,가부 본점중식당,,,진짜 많더라고요.. 역시나 맛집인거죠.. 너무 맛있게 싹싹 긁어먹고 나왔어요 ^^~ 친절하고 추천해요 ^^
37672886,가부 본점중식당,,,진짜..깐풍기 여태 먹어본 깐풍기중에 양념도 매콤하니 질리지 않고 겉바속촉의 대명사였습니다 ㅠㅠ
35168517,공푸 성신여대본점중식당,,,5시에 저녁 시작하자마자 왔더니 기다리지 않고 들어올 수 있었어요
35168517,공푸 성신여대본점중식당,,,계란 노른자가 살포시 터져서 국물에 적셔서 먹음 정말 굿!!!:)
35168517,공푸 성신여대본점중식당,,,"고기덮밥이 진짜 고기 듬뿍에 양념도 딱 맛있고 계란후라이가 까지 딱 얹어주는 센스 크~흐 ㅜㅜ,, 차돌짬뽕밥은 얼큰하면서도 차돌이 부드럽게 씹혀서 너무 잘 어울렸습니다bb 두 메뉴 다 너무 맛있게 먹었어요. 사장님도 친절하시고 매장 안이 시원해서 더운 날씨에도 쾌적하게 식사할 수 있어서 너무 좋았습니다 >_0 :)"
35168517,공푸 성신여대본점중식당,,,공푸 차돌 짬뽕이 성신여대중국집 맛집으로 엄청 유명하다길래 와봤어요!! 소문대로 짬뽕은 차돌 맛 가득하게 맛있구요 탕수육도 튀김 옷은 바삭하고 고기는 부들부들했어요👍🏻 바쁜 와중에 직원 분들도 친절하셔서 기분 좋은 점심식사였습니다!!
35168517,공푸 성신여대본점중식당,,,드셔보시면 왜 성신여대짬뽕하면 공푸하는지 아실거예요. 저같은 맵찔이는 기본만..그래도 부드럽고 칼칼해요
35168517,공푸 성신여대본점중식당,,,맛있는 중식을 먹고싶어서 성신여대 중국집 검색해서 왔어요! 리뷰랑 평이 좋던데 맛집이라 그런지 사람도 많네요!!!
