가게ID,가게명,평점,날짜,리뷰내용
11852057,갈비명가이상 길음신관,,,"가족들과 여행 갔다가 오는 길에 들렸습니다. 좋은 저녁 식사 했네요. 주차장도 넓고 발렛주차여서 편하고, 홀도 넓어서 가족식사 하기 좋았습니다. 고기 질도 좋고 숯불에 먹으니 맛있네요. 또 방문하겠습니다:)"
11852057,갈비명가이상 길음신관,,,가족들과 오랜만에 하는 외식이였는데 역시 갈비이상! 저희 모두 너무 기분 좋게 맛있게 먹었습니다
11852057,갈비명가이상 길음신관,,,가족들이랑 항상 외식할때마다 오는곳이에요 갈비랑 된장찌개랑 너무 맛있고요 반찬이 무슨 몇가지가 나오는지 모를정도로 많이 주고 새우도 리필 가능해서 너무 좋아요 ㅠㅠ 비냉이랑 같이 먹으면 너무 맛있습니다 😀
11852057,갈비명가이상 길음신관,,,가족모임으로 방문했는데 고기가 정말 신선하고 맛있었어요. 아이도 잘 먹어요. 직원분들도 친절해서 편안하게 식사할 수 있었습니다. 분위기도 좋아서 다음 모임도 여기서 하고 싶네요!
11852057,갈비명가이상 길음신관,,,갈비먹으러오기 좋은 식당이에요 그리고 가게도 깔끔하고 고급진분위기에요 종업원분들이 친절하시고 잘안내해주세요 가족끼리 오기 좋은 식당입니다. 맛집이에요
11852057,갈비명가이상 길음신관,,,갈비탕 국물 진하고 맛있어요~~ 육질도 좋고 식사용으로 너무 만족스럽네요!! 잘 먹고 갑니다~!
11852057,갈비명가이상 길음신관,,,"결혼기념일이라 유명하다길래 찾은 식당인데 두 번은 안 올 것 같음. 붐비는 시간대도 아니었는데, 웬만한 돼지갈비 전문점 보다도 응대가 형편 없음. 이상눈꽃양념갈비 2인 시켰음. 소고기 구워주다 말고 다 탈 때까지 종업원은 나타날 생각도 없음. 주문할때부터 계산할때까지 마주친 모든 직원에게서 친절함이라고는 손톱만큼도 느껴보지 못함. 나름 지역에서 유명한 식당이라는데 세상이 날 속이는건가 싶었음. 불만족스럽긴 했지만 이렇게 한 번 와본덕에 앞으로 거를 수 있으니 다행이라고 생각하기로 함👍🏼"
11852057,갈비명가이상 길음신관,,,고기 너무 맛있고 부드러워서 또 오고 싶어요! 미리 나오는 반찬들도 맛있어서 고기랑 조합이 너무 좋습니다~ 된장찌개랑 밥이랑 국이랑 같이 먹어도 너무 맛있을 것 같아요. 다음에 오면 세트로 시켜볼게요~
11852057,갈비명가이상 길음신관,,,고기 맛있어서 허겁지겁 먹느라 사진 못 찍고 새우장도 나온거 구워먹는다 한컷ㅋㅋㅋ
11852057,갈비명가이상 길음신관,,,고기가 부드러운 식감이고 맛있어요 다양한 반찬들도 많이나오면서 맛이 좋아요 일단 전체적으로 음식들이 퀄리티가 좋아서 마음에들어요 또 방문각이고 지인에게 추천하고 싶은 맛집입니다 강추 강추
11852057,갈비명가이상 길음신관,,,"고기기 두껍고 질이 좋고 부드러워요. 적당한 단짠의 조화로운 양념맛이에요. 고기도 다 구워주시고 친절해요. 밑반찬 종류도 여러 가지이고 맛있어요. 특히, 해초샐러드랑 단호박범벅이 맛나요 물냉면은 약간 평양냉면처럼 심심하면서도 깔끔한 맛이에오."
11852057,갈비명가이상 길음신관,,,고기는 구워주진 않는 분위기였고... 맛은 눈꽃갈비 늘 맛있게 먹어서 같은 맛이었어요
11852057,갈비명가이상 길음신관,,,고기질도 좋고 밑반찬들도 다 너무 예쁘고 깔끔하게 잘 나와서 좋아요❤️
11852057,갈비명가이상 길음신관,,,길음동 맛집이라 자주 들립니다. 고기양도 어마어마하고 한뚝배기하면 하루가 든든해요 부모님도 아주 좋아하셔요~^^ 반찬도 맛있고 길음동에서 인기있는 집이에요!
11852057,갈비명가이상 길음신관,,,룸이 있어 가족 외식이나 모임 장소로 강력 추천해요! 훌륭한 맛과 분위기를 모두 갖춘 곳입니다.
11852057,갈비명가이상 길음신관,,,맛있어요👍👍👍 점심시간에 갔는데 맛집이라 엄청 사람 많네요 ㅎ 직원분들도 친절하시고 좋아요!
11852057,갈비명가이상 길음신관,,,모처럼만에 돼지갈비(소갈비가 맛있지만 넘 비싸서ㅠ)도 시켜서 갈비탕과 먹으니 엄청 푸짐하게 잘 먹는 느낌입니다. 모처럼만에 온 동생내외도 매장도 넓고 깨끗하며 직원분들도친절하고 음식도 맛있다며 참 좋아하네요. 집근처에 이런곳이 있어 자주 들르고 편리하게 이용할수있어서 넘 넘 좋습니다~^^
11852057,갈비명가이상 길음신관,,,"밑반찬이 깔끔하게 나와서 고기 굽는 동안 정말 맛있게 잘 먹었습니다. 메인 메뉴인 갈비도 간이 적당했는데, 기왕이면 밥이랑 먹는 게 더 맛있는 것 같아요. 오랜만에 돈 쓰는 맛 있는 식사였습니다!"
11852057,갈비명가이상 길음신관,,,"반찬도 하나같이 정갈하고 다양해서 입맛을 즐겁게 해주었고, 매장도 청결해서 기분 좋게 식사할 수 있었습니다. 무엇보다 직원분들이 친절해서 편안한 분위기에서 식사했어요. 하지만 이 집의 진짜 매력은 역시 돼지갈비! 부드럽고 양념이 잘 배어 정말 맛있게 먹었습니다. 다음에도 꼭 다시 오고 싶은 집이에요."
11852057,갈비명가이상 길음신관,,,부모님 모시고 가족식사하기 좋은 곳 이상! 평일에 오니까 한가하고 고기도 구워주시고 너무 좋아요! 고기 맛있는 건 당연하고 서버분 서비스도 너무 좋고 친절하셔서 기분 좋게 식사했습니다!
11852057,갈비명가이상 길음신관,,,부모님 생신 기념으로 왔습니다. 창가룸 뷰도 좋고 고급스럽습니다. 생갈비랑 양념갈비 맛있습니다.
11852057,갈비명가이상 길음신관,,,부모님이 너무 좋아하시는 이상갈비에 명절 모임으로 가족들과 왔어요:) 아이도 잘 먹는 이상갈비! 집 근처라 자주 오는데 양념갈비가 정말 맛있어요! 다들 친절하시고 고기도 맛있고 반찬도 잘 나와요:) 후식 된장찌개와 냉면도 별미입니다!
11852057,갈비명가이상 길음신관,,,부모님이랑 오랜만에 와서 먹으니 너무 맛있네용 ㅎㅎ 주차도 편해서 신관을 자주 이용해요
11852057,갈비명가이상 길음신관,,,설렁탕은 김치가 맛있어야 완성인데 밑반찬으로 나오는 깍두기가 참 맛있네요! 잘 먹고 갑니다 ㅎㅎ
11852057,갈비명가이상 길음신관,,,"성북구 갈비명가 이상은 고기의 질부터 서비스까지 만족도가 높은 곳이었습니다. 숯불에 구워내는 갈비가 정말 부드럽고 육즙이 가득해 감탄이 절로 나왔습니다. 반찬도 정갈하게 잘 나와 고기와 함께 먹기에 딱 좋았고, 직원분들이 직접 구워주셔서 편하게 식사할 수 있었습니다. 내부 인테리어도 깔끔하고 가족 모임이나 회식 장소로 손색이 없을 만큼 분위기가 좋았습니다. 가격 대비 만족도가 뛰어나 다시 찾고 싶은 맛집으로 추천드립니다."
11852057,갈비명가이상 길음신관,,,성북구쪽에서 규모도 있고 맛있는 갈비집은 <갈비명가이상>인 것 같아요.
11852057,갈비명가이상 길음신관,,,"숯불에 구워내는 순간 퍼지는 고소한 향부터 침샘을 자극했습니다. 한 입 먹는 순간, 부드러운 육질과 달콤짭짤한 양념의 조화가 환상적이었어요. 갈비 본연의 감칠맛이 살아있으면서도, 과하지 않은 양념이 고기의 맛을 한층 더 돋보이게 합니다. 씹을수록 터지는 육즙은 밥 한 공기를 순식간에 비우게 만들 정도였어요. 무엇보다 갈비가 질기지 않고 부드러워서 남녀노소 누구나 맛있게 즐길 수 있을 것 같습니다. 정말 완벽한 갈비였어요!"
11852057,갈비명가이상 길음신관,,,아버지가 여기 갈비탕을 너무나 좋아하셔서 일주일에 2~3번은 꼭 들르는듯 합니다. 매장도 넓고 직원분들도 친절하시고 음식도 맛있습니다. 고기를 연구하는 연구소도 있다하니 고기질이 좋고 맛있을수 밖에 없는듯요~ 오늘도 일요일이라 가족단위 손님들이 많으시네요~ 모두들 맛있게 드시고 다음 한주도 힘차게 시작하셨으면 합니다~ 화이팅~~!!!!!
11852057,갈비명가이상 길음신관,,,"아이 생일 기념으로 고기 먹으러 왔는데, 역시 이상 갈비는 너무 맛있어요~ 가족 모두가 믿고 먹는 갈비👍🏻👍🏻 부모님들도 좋아 하시고, 아이들도 좋아해요~ 된장찌개+ 공기밥 후식도 맛있어요🫶🏻"
11852057,갈비명가이상 길음신관,,,오랜만에 온 이상갈비… 갈비 너무 맛있고 밑반찬도 좋아요~ 점심특선도 있어서 알차게 많이 먹고 갈 수 있었어요 길음동에 지점이 두 개니 기다리지 않고 먹으러 오게 되네요 이상갈비~☺️
11852057,갈비명가이상 길음신관,,,"이상갈비오면 항상 갈비랑 냉면을 같이 시켜서 먹어요. 반찬도 정갈하고 고기도 맛있고, 냉면도 맛있고 어느하나 빠지는게 없어요. 오늘은 후식으로 누룽지에 된장찌개도 시켰는데 된장찌개도 맛있네요"
11852057,갈비명가이상 길음신관,,,이상눈꽃양념갈비 4인분 시켜서 어른3명 아이1명 맛있고 배부르게 잘 먹었네요!!! 또 직접 구워주셔서 편하게 먹을 수 있었고 반찬들도 리필 되어 푸짐하게 먹는 기분이에요:) 후식물냉면과 된장찌개도 말모말모!! 갈비명가이상 추천합니다!!!
11852057,갈비명가이상 길음신관,,,저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임부모님
11852057,갈비명가이상 길음신관,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이친구
11852057,갈비명가이상 길음신관,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
11852057,갈비명가이상 길음신관,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
11852057,갈비명가이상 길음신관,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상, 가족모임아이, 부모님"
11852057,갈비명가이상 길음신관,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상아이, 연인・배우자"
11852057,갈비명가이상 길음신관,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
