가게ID,가게명,평점,날짜,리뷰내용
1740828846,건너집,,,"고기 질이 너무 좋아요 !! 삼겹살, 목살, 갈매기살 다 맛있었는데 특히 참숯에서 구워 먹으니까 풍미가 다르네요. 반찬이랑 채소도 깔끔하고 신선해서 만족했어요. 재방문 의사 100% 입니당🥩🔥 살얼음생맥 최고!"
1740828846,건너집,,,"고기 질이 정말 좋아서 입에서 살살 녹아요. 초벌되어 있어 편하게 먹을 수 있었고, 반찬도 하나같이 깔끔하고 맛있었습니다. 재방문 의사 100%"
1740828846,건너집,,,"고기 초벌해서 나와서 조금만 구워주면 바로 익어서 좋습니다. 소금+빵가루 조합이 대박이고, 한입 먹자마자 너무 맛있다 연발했어요ㅜㅜ 무조건 재방문 의사있는 맛집이에요 옆에 연옌들 싸인도 많은 이유를 알았어요 ㅎㅎ 명란계란찜이랑 된찌도 꼭 드세요,,!"
1740828846,건너집,,,고기도 고기지만 곁들이 반찬으로 나오는 김치와 청어알이 고기맛을 더해주네요. 성수동 한가운데서 가격도 합리적이고 맛있습니다!
1740828846,건너집,,,고기도 초벌로 훈연해서 나와 금방 구워 먹을 수 있어서 간편하고 맛도 있어요
1740828846,건너집,,,구운김에 청어알까지 있어서 다른 고기집이랑 차별점이 있는 것 같아요! 사장님도 친절하시고 센스넘치셔서 가방에 기름튈까 앞치마도 둘러주셨어요ㅎㅎ!! 전체적으로 음식이 다 맛있고 서비스도 좋아서 재방문할것같아요 :)
1740828846,건너집,,,너무 맛있어보여서 눈이 돌아버려 사진 못찍었는걸요 ㅜ 그래서 계란찜으로 대체 하지만 진짜 여기 꼭 오세요!!! 서비스도 혜자고 진~~~짜 맛있아요!!!
1740828846,건너집,,,"맛: 고기 질이 정말 좋았어요. 특히 한우 등심은 육즙이 살아 있고, 입에서 살살 녹는 느낌! 숙성 삼겹살도 담백하면서 풍미가 깊었어요. 고기 외에도 곁들임 반찬들도 하나같이 정성스럽고, 된장찌개까지 완벽했습니다."
1740828846,건너집,,,매장도 깔끔하고 특유의 삼겹살 비린내 식당냄새가 안 난는 걸 보니 냄새 관리도 잘 해주시는 거 같아요! 재방문 의사 있구 더더욱 번창하시길 응원합니다😇🥳
1740828846,건너집,,,맨날 지나다니면서 침만 질질 흘렸는데 기회가 되어 처음 들어와봤습니다! 숯불에 구워먹는거라 좋고 감칠맛 납니당 ㅎㅎ 밑반찬도 다 맛있어요! 오늘은 항정 품절이라 못 먹어서 아쉽지만 다음에 또 오려구요 ㅎㅎ
1740828846,건너집,,,부모님이랑 함께 왔는데 매장도 너무 깨끗하고 시원했고 고기질도 좋아요! 분위기도 좋고 가격도 저렴하고 너무 맛있어서 다음에 또 방문하겠습니다ㅎㅎㅎ
1740828846,건너집,,,사장님 진짜 친절하시구 고기맛 너무 좋아요 ㅠㅠㅠ 성수에서 이런 정도의 퀄리티 고기집 거의 없는데
1740828846,건너집,,,삼겹살이 맛있구 밑반찬이 잘 나와서 너무 좋아요!!! 특히 된장찌개가 굉장히 매콤 얼큰해서 시원하고 맛있는것 같아요❤️ 담에 또 오려구요~~~~~~
1740828846,건너집,,,성수 놀러왔는데 돌아다니면서 에너지를 다 써서 근처에 고깃집을 찾았는데 마침 건너편에 건너집이 있어서 바로 보자마자 갔는데 직원분들도 너무 친절하시고 매장도 너무 깔끔해서 기분좋게 맛있게 먹었습니다!!! 앞으로 성수 놀러오면 무조건 여기만 올거에요 ㅠㅠ 너무 맛있어요🫶🫶
1740828846,건너집,,,"여기 훈연향나는 숯불초벌구이 맛집이라는데ㅠㅠ 진짜 고기에 이런 향 나는거 첨 경험해보는데 진짜 넘나리 맛도리에요ㅠㅠㅠ 고기 다 구워주시고, 초벌해서주셔서 진짜 넘나리 맛나요ㅠㅠ건너집까지 줄서길 응원합니다..🙌👏"
1740828846,건너집,,,예약하고 가니 넓은 자리 잡아놔주셔서 편하게 먹고 나왔습니다.
1740828846,건너집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1740828846,건너집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장아이
1740828846,건너집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1740828846,건너집,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1740828846,건너집,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1740828846,건너집,,,"저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자, 친구"
1740828846,건너집,,,"점심에 방문예약 없이 이용대기 시간 바로 입장데이트, 나들이, 가족모임아이, 연인・배우자"
1740828846,건너집,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1740828846,건너집,,,점심에 방문예약 후 이용대기 시간 바로 입장친목친구
1740828846,건너집,,,"정말 너무 맛있게 먹었습니다!!! 고기 질이 확실히 다른 집이랑 다르고, 잡내도 하나도 안 났어요! 사장님이 자부심 가지고 일하시는 이유가 있네요ㅎㅎ 사이드로 나온 김치볶음밥, 버섯, 명란마요계란찜 정말 하나도 안 빼놓고 다 맛있있었어요!! 매실하이볼까지 완벽히 맛있었습니다. 심지어 원래 겉절이 별로 안 좋아하는데도 다 먹을 만큼 겉절이도 맛있었습니다. 성수동에서 회식할 고깃집 찾는 도중에 다른 집 가려다가 사진으로 봤을때 고기질이 여기가 제일 좋아보여서 최종적으로 오게 된 건데 정말 잘 온 거 같아요 ㅎㅎㅎ 다음에도 다른 친구들이랑 재방문 할 거 같습니다! 무엇보다 사장님, 직원분들 모두 친절하시고, 고기까지 잘 구워주셔서 너무 편하게 잘 먹었습니다! 다음에 또 방문할게요~"
1740828846,건너집,,,지나가다가 맛있어보여서 들어왔는데 반찬 구성이 좋아서 놀랐어여 !! 고추냉이랑 명이나물 나오는것도 너무 좋구여 !! 고깃집에 육회있으면 무조건 시키는 스타일인데 시키길 너무 잘했습니다 ㅠㅠㅠ 고기도 초벌되어나와서 좋아요 !!! 계란찜도 👍 명란 크기도 굉장해요 무엇보다 맛이 최고예요 .. 👊
1740828846,건너집,,,직원분들도 너무 친절하시고 숯불로 구워내서 고기도 너무 맛있습니다 근처 오면 꼭 한 번 드서보세용🥹❤️
1740828846,건너집,,,"초벌구이 해서 메뉴가 나오고 처음에는 직접 구워주세요 고기에 숯불향이 잘 베어요 쌈장에 양념 날치알이 올려서 나오고 깻잎양념장, 와시비, 빵가루 등등 다양하게 골라서 찍어 먹을수있어요 명이나물이랑 겉절이도 다양해요~"
1740828846,건너집,,,"친구 추천으로 방문했는데, 직원분들이 항상 웃으면서 응대해주셔서 너무 인상 깊었습니다!!음식이 더 맛있게 느껴질 정도로 서비스가 훌륭하고 친절한 직원분들 덕분에 꼭 다시 오고 싶은 곳이 됐습니당 재방문 의사 200%입니다‼️‼️‼️‼️"
1284848210,고공 성수본점,,,4년전부터 오기 시작한 단골집이에요!! 올때마다 토시살 만 뿌십니다 그런데 그 어디 토시살도 여기보다 맛있는데가 없으요 자주 오고싶지만 더 성공해서 주1회 먹는게 인생 목표입니다 ㅋㅋ 꿀조합팁!! 토시살+ 하우스솔트 조금+ 와시비 약간 +대파절임 이렇게 드시면 무제한으로 토시살이 들어가는 마법🥹🥹ㅋㅋㅋ올때마다 직원분들도 너무 친절하시고 고기를 구워주셔서 훨씬 편하고 맛있게 먹을수있어서 자꾸 찾아오는거같아요 더 번창하세요🤍🤍
1284848210,고공 성수본점,,,6인 기준 넘 좁고 테이블 밑에 공간도 없어서 힘들었음
1284848210,고공 성수본점,,,갑자기 고기가 먹고싶어서 급하게 찾아보고 방문했는데 기본 반찬도 많고 고기도 직접 구워주셔서 부드럽고 너무 맛있어요 ㅠㅠ!! 메뉴도 친절하게 설명해주시고 특히 유자고추 소스가 킥이었어요... 다음에 또 서울숲 오게되면 재방문 의사 100%입니다 !!
1284848210,고공 성수본점,,,"고기 다 구워주셔서 편하게 먹을 수 있고, 밑반찬 하나하나 다 맛있어요."
1284848210,고공 성수본점,,,고기 질도 좋고 반찬 구성이 다양하게 나와서 더 맛있게 먹을 수 있었습니다. 된장찌개도 고기랑 양파 등 재료가 다양하게 들어가서 맛있었어요!
1284848210,고공 성수본점,,,고기맛있는건 기본이고 곁들임 할 수 있는게 여러 종류가있어서 다양하게 조합해먹는 맛있습니다.
1284848210,고공 성수본점,,,돼지가 제일 제 취향이고 버섯까지 너무 맛있게 직접 구워주세요. 고기에 곁들여 먹을 양념도 고퀄에 다양해서 질리지않고 먹을 수 있습니다ㅠㅠ 후식으로 먹은 비빔면과 된찌까지 모두 최고에요오.....
1284848210,고공 성수본점,,,"매장이 어느 고깃집보다 청결했고 직원분들도 너무 친절히 대해주시고 고기도 맛있게 구워주셔서 데이트 잘 하고 왔습니다! 고기 질은 냄새 하나없이 너무너무 부드러워요 소모임, 가족, 데이트 모든 외식에 최적인듯합니다👍"
1284848210,고공 성수본점,,,목살 질이 너무 이쁘고 보기만해도 맛있는거 같아요! 처음 와봤는데 또 올거 같아요
1284848210,고공 성수본점,,,무생채 먹자마자 넘 맛있어서 국수에 같이 먹고싶었네요 ㅋㅋ
1284848210,고공 성수본점,,,반찬도 맛있구 고기도 구워주셔서 좋아용👍 여기말고 다른 지점 먼저 갔었는데 그때도 좋은 기억이었어서 방문했어요 ㅎㅅㅎ
1284848210,고공 성수본점,,,분위기도 좋고 고기질도 좋고 싸먹는거 좋아하는데 곁들여먹을 수 있는게 많아서 굳!
1284848210,고공 성수본점,,,"삼겹살 두툼하고 육즙이 가득해서 너무 맛있었어요. 직원분이 직접 구워주셔서 편하게 먹을 수 있었고, 반찬과 소스 종류도 다양해서 질리지 않고 즐길 수 있었네요. 인테리어도 깔끔해서 데이트나 모임 장소로 딱 좋은 곳이에요. 성수에서 고기 드시고 싶으시면 꼭 추천드려요! ^^"
1284848210,고공 성수본점,,,소고기와 돼지고기 모두 파는 곳에 가야하는 상황이라 둘다 맛있는 곳을 찾기가 쉽지 않았습니다!
1284848210,고공 성수본점,,,아이들이 어려서 외식이 힘든데 고기도 다 구워주시고 아이들 오는거도 환영해주세요
1284848210,고공 성수본점,,,예약후 회식으로 처음와봤는데 고기고 맛있고 구워주셔서 서비스도 좋았습니다!
1284848210,고공 성수본점,,,음식깔끔하고 맛있어요!직원분들도다친절하시고 구워주셔서 더맛있게먹을수있어요~또올께요!
1284848210,고공 성수본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이부모님
1284848210,고공 성수본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1284848210,고공 성수본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1284848210,고공 성수본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1284848210,고공 성수본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1284848210,고공 성수본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1284848210,고공 성수본점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
1284848210,고공 성수본점,,,저녁에 방문예약 후 이용대기 시간 바로 입장회식지인・동료
1284848210,고공 성수본점,,,정말 맛있게 구워주셔서 편안하게 맛있게 즐길 수 있어요!
1284848210,고공 성수본점,,,지인들괴 방문했는데 너무 맛있게 먹고 갑니다~ 다음에 또 방문할게요~^^
1284848210,고공 성수본점,,,직원분들이 바로바로 구워주셔서 편하게 먹을 수 있었어용
1284848210,고공 성수본점,,,"회사 교육행사 끝나고 매번 회포를 푸는 곳.. 돼지세트, 소세트.. 어느것이나 부드럽고 맛있다"
1284848210,고공 성수본점,,,회사 근처라 종종 오는 곳인데 맛있어요! 고기 퀄리티가 좋고 목살이 진짜 촉촉하고 부드럽습니다. 소 돼지 고기 모두 괜찮아서 뭘 선택하셔도 만족할거에요 ㅎㅎ 직접 구워 주시는 것도 너무 편하고 기본으로 나오는 반찬들도 다 맛있습니당~~ ㅎㅎ
38350296,곱씹어유,,,곱창 질이 좋은건 아무것도 못이겨요!!분위기도 아늑하니 술이 쫙쫙 들어갑니다 소스가 엄청 맵긴한데 확 사라지는 그 맛있는맛..사장님이 직접 다 경험해보고 만드신거같아요 궁채조차도 너무 맛나영 지방이 살짝쿵 낀 곱이 꽈악찬 곱창에 안에 크리미한 고소한그맛... 한번오면 다신 다른데 못가여
38350296,곱씹어유,,,곱창 질이 좋은건 아무것도 못이겨요!!분위기도 아늑하니 술이 쫙쫙 들어갑니다 소스가 엄청 맵긴한데 확 사라지는 그 맛있는맛..사장님이 직접 다 경험해보고 만드신거같아요 궁채조차도 너무 맛나영 지방이 살짝쿵 낀 곱이 꽈악찬 곱창에 안에 크리미한 고소한그맛... 한번오면 다신 다른데 못가여
38350296,곱씹어유,,,나만의 곱창 1순위 맛집인 성수의 '곱씹어유'. 질 좋은 한우곱창만을 사용하여 어디서 보지 못할 정도로 꽉찬 곱창만 내어주어 상호에 딱 맞게 곱을 씹는 맛이 일품인 식당이다.
38350296,곱씹어유,,,나만의 곱창 1순위 맛집인 성수의 '곱씹어유'. 질 좋은 한우곱창만을 사용하여 어디서 보지 못할 정도로 꽉찬 곱창만 내어주어 상호에 딱 맞게 곱을 씹는 맛이 일품인 식당이다.
38350296,곱씹어유,,,대창을 먹으러 왔지만 곱창도 맛있었습니다! 사장님이 친절하셔서 편하게 밥을 먹을 수 있었습니다!! 번창하세요^.^
38350296,곱씹어유,,,대창을 먹으러 왔지만 곱창도 맛있었습니다! 사장님이 친절하셔서 편하게 밥을 먹을 수 있었습니다!! 번창하세요^.^
38350296,곱씹어유,,,대창이랑 닭이 푸짐하게 들어잇습니다! 밑반찬도 5가지나 있어서 좋아요 ◡̈ 맛있습니당
38350296,곱씹어유,,,대창이랑 닭이 푸짐하게 들어잇습니다! 밑반찬도 5가지나 있어서 좋아요 ◡̈ 맛있습니당
38350296,곱씹어유,,,"리뷰가 너무 좋아서 방문하였는데, 진심 맛집입니다. 소곱창 맛없기 힘들지만, 이렇게까지 신선하고 맛있는집도 찾기 힘들거든요!! 사장님들도 너무 친절하시고 무엇보다 곱창이 너무 맛있어요!! 사장님이 자부심 있으실만한 곳👍"
38350296,곱씹어유,,,"리뷰가 너무 좋아서 방문하였는데, 진심 맛집입니다. 소곱창 맛없기 힘들지만, 이렇게까지 신선하고 맛있는집도 찾기 힘들거든요!! 사장님들도 너무 친절하시고 무엇보다 곱창이 너무 맛있어요!! 사장님이 자부심 있으실만한 곳👍"
38350296,곱씹어유,,,모듬 시켜서 먹었는데 직접 잘라주시고 밑반찬도 맛있었어요~! 곱창도 최근 먹었던거 중에서 제일 맛있었어요!! 매장 분위기도 엄청 좋고 데이트하기 넘 좋았습니다.
38350296,곱씹어유,,,모듬 시켜서 먹었는데 직접 잘라주시고 밑반찬도 맛있었어요~! 곱창도 최근 먹었던거 중에서 제일 맛있었어요!! 매장 분위기도 엄청 좋고 데이트하기 넘 좋았습니다.
38350296,곱씹어유,,,모듬곱창은 순삭 하느라 사진 못찍었네요. 너무 맛있게 먹고 너무 이쁜 하트 볶음밥도 너무 맛있게 잘 먹었습니다~2차로 와서 배부른데도 너무 잘 먹었어요~
38350296,곱씹어유,,,모듬곱창은 순삭 하느라 사진 못찍었네요. 너무 맛있게 먹고 너무 이쁜 하트 볶음밥도 너무 맛있게 잘 먹었습니다~2차로 와서 배부른데도 너무 잘 먹었어요~
38350296,곱씹어유,,,"밤에 방문예약 없이 이용대기 시간 10분 이내 데이트친구, 연인・배우자"
38350296,곱씹어유,,,"밤에 방문예약 없이 이용대기 시간 10분 이내 데이트친구, 연인・배우자"
38350296,곱씹어유,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
38350296,곱씹어유,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
