가게ID,가게명,평점,날짜,리뷰내용
1207438102,도도한면 성수본점,,,>> 평일 점심시간에 방문했는데 웨이팅없이 바로 들어갈 수 있어 좋았음. 그냥 크림우동이랑은 다른 느낌같아서 시켜봤는데 뭔가 처음 먹어보는 느낌 ?? 차가운크림소스에 우동면이 어색하지 않을까 했는데 생각보다 부드럽고 맛있었음. 특히 카스테라랑 그레놀라 넣어서 먹을 수도 있는데 카스테라는 더 부드러워지고 그레놀라는 다른식감 추가되서 각각 장점이 있음.
1207438102,도도한면 성수본점,,,갈치우동은 감치맛과 매콤한 갈치속젓 양념우동에 갈치튀김이 대박이네요~~ ^^ 고수는 따로해서 먹었어요. 찌쿠타마구카케는 시원한 우동에 쫄깃한 어묵튀김과 잘 어우러져 간장 소스의 맛이 맛있어요.
1207438102,도도한면 성수본점,,,성수 맛집 도도한면 성수본점에서 냉우동이랑 갈치우동 먹었어요 🍢🐟 숙성한 쯔유랑 직접 뽑은 자가제면 생면으로 만들어서 면 탱글함은 물론이고요! 갈치우동 크림우동 마라우동 독특한 메뉴가 있어서 혀가 즐겁습니다 😋 특히 갈치우동은 진짜... 어디서도 맛볼 수 없는 양념맛으로 밥까지 비벼서 한끼 뚝딱했어요! 🍚 브레이크 타임도 없어서 언제든 방문하기 좋습니당 🫶
1207438102,도도한면 성수본점,,,아는 언니와 첫만남으로 도도한면에서 했는데 기대 이상으로 너무 맛있어서 놀랐어요..! 면 정말 엄청 탱글탱글하니 맛있고 국물이 정말 진국이에요… 국물 마시고 반해버렸어요 재방문 의향 너무너무 있습니다!👍🏻😋
1207438102,도도한면 성수본점,,,아이와 주말 성수 나들이나왔는데 골목란에 있어서 찾는데는 조금 시간이 걸렸지만 면발이 쫄깃하고 육수맛이 진하고 감칠맛이 좋았습니다.아이도 잘먹고 저도 잘먹었습니다~
1207438102,도도한면 성수본점,,,오랜만에 온 도도한면! 치쿠타마우동과 갈치우동입니다. 오리지널 우동보다는 이색적인 우동 먹고싶으면 오는 곳. 그럼에도 면발이나 맛은 늘 맛있어요.
1207438102,도도한면 성수본점,,,우동이 진짜 맛있는 맛집 도도한면 성수본점을 다녀왔습니다! 크림우동은 진짜 다른곳에서 맛볼 수 없는 특별한 맛이었습니다. 세트 구성으로 나온 새우튀김이랑 연어유부초밥까지 완벽했습니다.
1207438102,도도한면 성수본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트아이
1207438102,도도한면 성수본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1207438102,도도한면 성수본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1207438102,도도한면 성수본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목부모님
1207438102,도도한면 성수본점,,,"점심에 방문예약 후 이용대기 시간 10분 이내 나들이, 여행친척・형제"
1380430757,오레노카츠 성수본점,,,고객님! 넓은 매장에서 다양한 메뉴까지 만족해주셨다니 정말 감사드립니다😊 추천까지 남겨주셔서 큰 힘이 되네요. 앞으로도 편안한 공간에서 맛있는 식사 즐기실 수 있도록 최선을 다하겠습니다💖
1380430757,오레노카츠 성수본점,,,고객님! 넓은 매장에서 다양한 메뉴까지 만족해주셨다니 정말 감사드립니다😊 추천까지 남겨주셔서 큰 힘이 되네요. 앞으로도 편안한 공간에서 맛있는 식사 즐기실 수 있도록 최선을 다하겠습니다💖
1380430757,오레노카츠 성수본점,,,고객님! 여러 번 찾아주신 것도 감사한데 이렇게 정성스러운 첫 리뷰까지 남겨주셔서 정말 큰 힘이 됩니다😊 돈까스와 함께 냉모밀 육수까지 맛있게 즐겨주셨다니 뿌듯하네요. 앞으로도 늘 변함없는 맛과 정성으로 만족 드릴 수 있도록 최선을 다하겠습니다💖
1380430757,오레노카츠 성수본점,,,고객님! 여러 번 찾아주신 것도 감사한데 이렇게 정성스러운 첫 리뷰까지 남겨주셔서 정말 큰 힘이 됩니다😊 돈까스와 함께 냉모밀 육수까지 맛있게 즐겨주셨다니 뿌듯하네요. 앞으로도 늘 변함없는 맛과 정성으로 만족 드릴 수 있도록 최선을 다하겠습니다💖
1380430757,오레노카츠 성수본점,,,분위기 좋고 음식도 깔끔하게 나와서 만족했습니다. 치즈돈카츠는 바삭하면서도 안에 치즈가 쭉 늘어나고 느끼하지 않아서 좋았어요. 어묵우동 국물도 깔끔해서 돈카츠랑 궁합이 좋았습니다. 성수 데이트 코스로 딱이에요!
1380430757,오레노카츠 성수본점,,,아기랑 성수동 나들이왔다가 오레노카츠 방문했는데요 체다치즈 소스 돈까스도 엄청맛잇고 아기 수저포크 앞접시 가위도따로챙갸주시고 맛도너무너무있어서 저녁아기랑 잘먹고갑니당❤️완전 추천해요👍성수동거리다걸어보고 바로있어서 좋아요😍잘먹고갑니다 다음에또올게요
1380430757,오레노카츠 성수본점,,,"안녕하세요 고객님! 늘 궁금해하셨다니 찾아와 주셔서 정말 감사드리고 돈카츠의 겉바속촉 식감부터 냉모밀, 매콤돈카츠까지 맛있게 즐겨주셔서 저희도 너무 기쁩니다😊 냉모밀이 특히 입맛에 잘 맞으셨다니 뿌듯하고, 다음 방문에는 냉소바도 꼭 만족드릴 수 있도록 정성껏 준비해두겠습니다💕"
1380430757,오레노카츠 성수본점,,,"안녕하세요 고객님! 소중한 주말 점심시간에 방문해 주셔서 감사드리고 스페셜 A세트를 다양하게 즐겨주시고 만족해 주셔서 정말 기쁩니다😊 돈카츠는 부드러운 연육과 깔끔한 튀김옷으로, 냉우동은 탱글한 식감으로 칭찬해 주신 점 모두 큰 힘이 됩니다! 대기 안내부터 직원 응대, 매장 공간까지 세심하게 살펴봐 주셔서 감사드리며 다음에도 더욱 쾌적하고 맛있는 식사 경험 드릴 수 있도록 정성 다하겠습니다💕"
1380430757,오레노카츠 성수본점,,,안녕하세요 고객님! 이번에는 마제소바에 도전해 주셔서 감사드리고 맛있게 드셨다니 정말 기쁩니다😊 야근 중에도 생각날 만큼 만족해 주셨다는 말씀에 큰 힘이 되고 언제 오셔도 든든한 한 끼가 되실 수 있도록 항상 정성 다하겠습니다💕
1380430757,오레노카츠 성수본점,,,안녕하세요 고객님! 이번에는 마제소바에 도전해 주셔서 감사드리고 맛있게 드셨다니 정말 기쁩니다😊 야근 중에도 생각날 만큼 만족해 주셨다는 말씀에 큰 힘이 되고 언제 오셔도 든든한 한 끼가 되실 수 있도록 항상 정성 다하겠습니다💕
1380430757,오레노카츠 성수본점,,,"안녕하세요 고객님! 평소 잘 안 드시던 체다치즈까지 도전해 주시고 맛있게 드셨다니 정말 감사드립니다😊 고기와 튀김의 기본 맛에 이어 비빔소바까지 만족해 주셔서 기쁘고, 오레노카츠만의 특색 있는 메뉴 구성이 잘 전달된 것 같아 더욱 뿌듯합니다! 다음에도 즐거운 식사 되실 수 있도록 정성 다하겠습니다💕"
1380430757,오레노카츠 성수본점,,,"안녕하세요 고객님! 평소 잘 안 드시던 체다치즈까지 도전해 주시고 맛있게 드셨다니 정말 감사드립니다😊 고기와 튀김의 기본 맛에 이어 비빔소바까지 만족해 주셔서 기쁘고, 오레노카츠만의 특색 있는 메뉴 구성이 잘 전달된 것 같아 더욱 뿌듯합니다! 다음에도 즐거운 식사 되실 수 있도록 정성 다하겠습니다💕"
1380430757,오레노카츠 성수본점,,,오늘 데이트 겸 오레노 카츠 성수점을 왔는데 너무 맛있었어요! 데이트하기에 분위기도 좋고 메뉴도 다양해서 남자 입맛엔 당연히 취저인데 여자친구도 다양한 메뉴에서 고를 수 있어서 대만족했습니다!
1380430757,오레노카츠 성수본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1380430757,오레노카츠 성수본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1380430757,오레노카츠 성수본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1380430757,오레노카츠 성수본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1380430757,오레노카츠 성수본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
1380430757,오레노카츠 성수본점,,,직장 근처에서 여러 곳 방문해보셨는데 저희를 제일 좋게 봐주셔서 정말 감사드립니다😊 항상 맛있게 드실 수 있도록 변함없이 준비하겠습니다! 또 뵙겠습니다🙏
1380430757,오레노카츠 성수본점,,,차를 끌고와서 주차를 어떻게 해야하나 곤란하던 참에 직원분이 친절하게 유선 상으로 안내해주셔서 편하게 주차할 수 있었습니다
