가게ID,가게명,평점,날짜,리뷰내용
1104075584,이미지수,,,결국 제 잔 입닿는 곳에 한마리가 앉아버린 결말이었지만 거의 다 먹은 후라 그나마 괜찮...았^.ㅠ
1104075584,이미지수,,,기념일로 예약해서 왔어요! 성수에서 분위기 좋은 와인바 찾다가 알게 되었는데 분위기가 생각보다 더 좋고 음식도 예쁘고 직원 분도 너무너무 친절하세요!! 다음에 꼭 다시 올거에요~성수와인바 중에 최고! 번창하세요! 그리고 문어구이 소스 진짜 최고!! 레시피 궁금해용 ㅠㅠ
1104075584,이미지수,,,남자친구 생일이라 여기저기 알아보다 성수와인바 윕성수 분위기가 너무 좋길래 바로 예약했는데 공간도 너무 예쁘고 음식도 너무 맛있었어요! 예약할 때 좋은 자리 요청드렸었는데 제일 예쁜 자리로 준비해주셔서 더 특별한 생일이 된 거 같아요! :)
1104075584,이미지수,,,남자친구와 기념일 때문에 방문했어요:) 예약하고 방문 하니까 좋은 자리 앉을 수 있어서 좋았어요!! 트러플 크림 파스타 시켰는데 너무 너무 맛있어서 두그릇 먹을 수 있을 것 같아요ㅠㅠ 부모님 모시고 오고 싶은 곳입니다!!
1104075584,이미지수,,,너무 분위기 좋아서 깜짝 놀랐구 음식도 엄청 맛있어요! 와인도 고급진 향에 깔끔하고 완전 맛있습니당 일요일 저녁에 와서 그런지 너무 붐비지 않아서 더 좋았어요!!
1104075584,이미지수,,,느좋 성수와인바가 있다해서 왔는데 진짜 분의기 최고네요 데이트하기 띡 좋을거 같아요! 음식도 너무 맛있어요 와인도 친절하고 추천해쥬셔서 봏았어요 다음에 또올게용
1104075584,이미지수,,,다양한 와인종류와 맛있는 음식으로 너무 만족한 레스토랑입니다. 뽈뽀 소스도 맛있고 페어링하는 와인도 상세히 설명해주셔서 더 맛있게 먹을 수 있었던 거 같아요!
1104075584,이미지수,,,동생들이랑 먹으러갔어요 ^_^ 메뉴들이 다 좋았지만 특히 문어구이가 정~말 부드러우면서도맛있었고 문어구이의 사이드디쉬 감튀도 아이올리소스랑찰떡궁합! 와인바답게 와인도 다양하고 논알콜도준비되어있어 운전해야하는 사람도 같이 즐길수있고 좋았어요~
1104075584,이미지수,,,"모든음식이 너무너무 맛있고 특히 이베리코,문어구이 추천드립니다! 이 음식은 어떻게 구성되어있는지 친절하게 설명해주시는 매니저님들 서비스도 너무 친절해서 꼭 다시 방문할 예정입니다! 와인도 설명이 너무 잘 써져있어서 좋았습니다"
1104075584,이미지수,,,무화과샐러드는 시즌디쉬인 듯 한데 무조건 드셔보시길 추천합니다 친구와 좋은 시간 보냈어요🍷✨
1104075584,이미지수,,,문어가 먹고싶은데 마침 성수에서 맛집 검색해보다가 문어가 대표메뉴인듯해서 방문했어요! 차를 가져온 관계로 와인을 먹지 못했는데 문어는 딱 첫 입 먹자마자 아 와인 먹어야돼!! 싶은 맛이었어요 ㅜㅜ 너무 아쉬워서 다음엔 다른 메뉴도 먹어보러 와 보려고요! 분위기도 좋아서 소개팅으로도 많이 오는 장소 같았습니다
1104075584,이미지수,,,문어가 진자 맛도리...특히 공간에서 주는 감각적인 경험이 기억에 남았어요!!!
1104075584,이미지수,,,문어디쉬에 감자가 특히 맛있었고 아이올리 소스가 너무너무 맛있어요.
1104075584,이미지수,,,문어요리가 맛있다 해서 추천받은 성수와인바 윕인데 와인도 정말 멋진 맛이지만 문어요리에 부드러운 문어와 문어를 잘 감싸주는 소스가 이 식당에 제일 매력적인 부분인 것 같습니다. 이 외에도 파스타도 본연의 맛과 향이 너무 좋고 와인바인 만큼 와인과 다 전반적으로 잘 어울려서 너무 잘 먹었습니다. 감사합니다
1104075584,이미지수,,,"벌써 8번째 방문,, 👍 여름이라 초당옥수수 뇨끼가 나왔더라구요!! 뽈뽀는 뭐 서울에서 젤 맛있구 ..❤️ 문어구이 꼭 시켜드세요 ,, 신상 뇨끼도 성공적 ,, 분위기 항상 너무 좋고 와인 종류도 많으니까 성수 들리시면 꼭 가시길 ! 성수와인바 윕 성수 최고 ㅠㅠ"
1104075584,이미지수,,,분위기 넘 아늑하고 와인 종류 다양해요! 음식이 고급지고 맛있어서 와인 페어링하기 좋습니다. 직원분이 와인이랑 음식 다 설명해주시고 친절하셔서 잘 머물다 갑니다:) 성수와인바 윕 추천합니다.
1104075584,이미지수,,,"분위기 좋고 음식에 맞게 와인 추천해주셔서 너무 좋았어요 ㅎㅎ 데이트,친구랑 함께 성수 와인바 찾으시면 추천 드려요"
1104075584,이미지수,,,분위기가 너무 좋고 왁자지껄한 느낌이 없어서 너무 좋았어요 영수증 리뷰로 아이스크림도 먹었는데 너무 맛있었습니다! 음식이 일단 너무 맛있어요 재방문 의사 100000프로입니다!!
1104075584,이미지수,,,분위기도 좋고 테이블 간격도 적당해서 특별한 날 가기 좋습니다!
1104075584,이미지수,,,성수 술집 찾아서 방문했는데 너무 즐거운 시가누이었어요 ㅎ 새우 부르스케티 맛나요 ㅎ 문어구이도🐙🐙 굳굳 👍👍😋😋 스파클링 하우스 와인 달딜하고 너무 맛있어요 ㅎ
1104075584,이미지수,,,성수 와인바 !! 윕 너무 조아요 🩷😌🩷 미리 전화로 예약하고 바로 입장했는데 직원분들도 너무 친절하시고 문어요리 무화과 샐러드 맛있고 상세하게 설명해주셔서 더 맛있었던 것 같아요! 매장도 넘 예쁘고 분위기도 좋아서 데이트 장소로 강추 ✨
1104075584,이미지수,,,성수 와인바 로도 유명하던데 다음엔 저녁에 와서 와인한잔 해야겠습니다. 추천드려요!
1104075584,이미지수,,,"성수 와인바로 지인분께 추천받아서 방문했어요! 입장하자마자 매장 분위기에 반해서 너무 기분 좋았고, 음식 밸런스도 참 좋았어요! 와인 추천도 잘 해주셔서 지인들과 너무 만족스러운 시간 보내고 갑니다 :) 또올게요!!❤️"
1104075584,이미지수,,,성수에서 와인바 찾다가 방문했습니다! 맛있는 음식들이 가지런히 나와서 기분 좋게 식사하고 갑니다! 인테리어와 음악도 너무 좋았어요~
1104075584,이미지수,,,성수오기전 급 검색해서 왔는데 메뉴도 와인도 분위기도너무좋아요…🫶 이럴줄알았으면 밤에올걸.. ㅋㅋ 서빙해주시는 여자서버님도 너무 친절하시구 담에 또 방문할게요 감사합니다 😎🤟
1104075584,이미지수,,,성수와인바 매장 분위기가 너무 좋구 음식도 기대이상으로 맛있어요 친구들 모임이나 데이트로 너무 좋은장소입니당
1104075584,이미지수,,,성수와인바 찾을때 공영주차장 바로 옆이라 데이트하기두 너무 좋아요 ~~~ 오래오래 운영해주세옹
1104075584,이미지수,,,"성수와인바로 추천해요!! 바틀 와인도 저렴한 편이구 음식도 다 맛도리에욥🫶 분위기도,노래도 좋아서 도란도란 얘기하면서 데이트하구 왔슴미당ㅎㅎ"
1104075584,이미지수,,,예전부터 너무 오고싶었던 곳이었는데 드디어 방문했습니다. 늘 기대했던곳은 실망이 컸는데 윕은 너무너무 만족항 수 있었어요. 예쁜 공간. 맛닜는 안주 그리고 가성비있는 음식과ㅜ맛 모든게 완벽했습니다. 추천해주신
1104075584,이미지수,,,"오늘은 식사하면서 간단하게 한잔만 마시려고 왔는데, 와인 종류가 너무 많아서 꼭 날잡고 와야겠습니다."
1104075584,이미지수,,,와인도 음식에 맞게 추천해주셔서 알맞은 와인을 선택해서 먹을수있어서 좋았어요
1104075584,이미지수,,,와인종류도 어마어마하게 많아서 성수와인바 찾으시는 분들은 여기 꼭 와보시면 좋을듯요
1104075584,이미지수,,,외관부터 예뻤는데 내부도 너무 예쁘고 무엇보다 음식이 너~무 맛있었어요 다음에 성수에 온다면 또 올생각이 있습니다 성수와인바 답게 와인 종류도 많고 안주도 딱 알맞게 있어서 맛있게 즐기고 갑니다
1104075584,이미지수,,,유튜브에서 보고 방문하게 됐는데 분위기도 너무 좋고 음식도 맛있네용ㅎㅎ
1104075584,이미지수,,,"음식 비주얼이 넘 좋아서 놀랬는데, 맛까지 아주 만족스러웠습니다😃 성수와인바로서 낮에도 와인하기 넘 좋네요! 피노그리 좋아해서 글래스로 마셨는데, 페어링 넘 좋네요!!"
1104075584,이미지수,,,음식도 맛있고 분위기도 좋아용! 성수 와인바로 추천합니다! 문어구이랑 살시치아 파스타 추천이용:) 고구마 칩스도 주워먹기 좋습니다👍👍
1104075584,이미지수,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1104075584,이미지수,,,"저녁에 방문예약 후 이용대기 시간 바로 입장가족모임연인・배우자, 아이"
1104075584,이미지수,,,"전부터 오고 싶었던 성수 와인바인데, 마침 올 일이 있어 일부러 북성수까지 찾아왔습니다. 와인이 다양하게 있고 설명도 친절히 잘 해주셔서 즐거운 시간을 보냈습니다. 추천해주신 오렌지 와인 맛있었어요. 다음에는 내츄럴 와인으로 마셔보고 싶습니다."
1104075584,이미지수,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1104075584,이미지수,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친척・형제
1104075584,이미지수,,,점심에 방문예약 후 이용대기 시간 바로 입장일상연인・배우자
1104075584,이미지수,,,점심에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
1104075584,이미지수,,,주문한 메뉴도 다 맛있고 와인도 추천해주셔서 좋아요! 특히 라자냐가 맛있어용 다음에 또 방문할게요!
1104075584,이미지수,,,"진짜 왕 맛있어요!! 이런 곳 마음에 들어요 100개 누르고 싶은 곳! 와인은 안마셨지만, 성수와인바 찾는다면 오기 좋을듯! 사람 없어서 너무 행복한 시간이었습니다!!"
