가게ID,가게명,평점,날짜,리뷰내용
1063564420,서울바당 뚝섬점,,,가성비 너무 좋고 해산물 진짜 싱싱해요. 해산물 종류도 다양하게 나와서 술안주로 최고..멍게가 입에서 살살 녹습니다. ㅎ 매장이 넓지는 않은데 아늑해서 포근한 느낌! 힙한 실내 포차 분위기라 친구랑 가도 좋고 커플끼리 가도 굿👌
1063564420,서울바당 뚝섬점,,,"기본으로 나오는 콩나물국부터 완전 맛있더니 맑은 조개탕 해물 한 상 전부 다 맛있어서 술이 술술 들어갔어요.안키모(아귀간)랑 초대리밥, 와사비 얹어서 김에 싸먹으면 진짜 입에서 살살 녹습니다."
1063564420,서울바당 뚝섬점,,,깔끔하고 세련된 인테리어와 아늑한 조명 편안한 분위기라 대화나누기 좋구요
1063564420,서울바당 뚝섬점,,,뚝섬 해산물 맛집으로 유명한 이유가 느껴졌어요. 회전율이 빨라 웨이팅이 있어도 금방 들어갈 수 있었습니다.
1063564420,서울바당 뚝섬점,,,뚝섬과 성수 사이에서 이렇게 신선한 해산물을 맛볼 줄은 몰랐어요. 서울바당은 제철 재료로 만든 요리들이 하나같이 완성도가 높았습니다.
1063564420,서울바당 뚝섬점,,,바다 향 가득한 해산물 한접시에 다양한 해산물들을 맛 볼 수 있어서 좋았어요
1063564420,서울바당 뚝섬점,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1063564420,서울바당 뚝섬점,,,우선 안주가 너무 맛있구요 육류선호가 또는 해산물선호가 따로 없이 함께할수있는 메뉴도 있어서 좋습니다 완전 단골각이에요❣️
1063564420,서울바당 뚝섬점,,,웨이팅이 좀 있었지만 그래도 회전률이 빨라바로들어갈수있었고 제철재료들로 만든 신선한 메뉴들이 많아서 좋았습니다 자주올것같아요 넘 마싯써용 😍
1063564420,서울바당 뚝섬점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1063564420,서울바당 뚝섬점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1063564420,서울바당 뚝섬점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
