가게ID,가게명,평점,날짜,리뷰내용
38590315,미테이블 서울숲성수본점,,,너무 맛있어요! 고기도 부드럽고 크림파스타가 느끼할 까봐 걱정이었는데 살짝 매워서 너무 맛있었어요✨💗 마라폭립도 적당한 마라라서 처음 드셔보시는 분들도 맛있게 드실 수 있는 맛이에요😆
38590315,미테이블 서울숲성수본점,,,너무 맛있어요! 고기도 부드럽고 크림파스타가 느끼할 까봐 걱정이었는데 살짝 매워서 너무 맛있었어요✨💗 마라폭립도 적당한 마라라서 처음 드셔보시는 분들도 맛있게 드실 수 있는 맛이에요😆
38590315,미테이블 서울숲성수본점,,,너무너무 맛있는 미테이블❤️ 올때마다 빵추가해먹어요 ㅋㅋ랍스타스테이크(꽃등심) 알배추랑 양파 겻둘여먹으면 진짜 미슐랭 저리가라~ 너무 맛있네요
38590315,미테이블 서울숲성수본점,,,너무너무 맛있는 미테이블❤️ 올때마다 빵추가해먹어요 ㅋㅋ랍스타스테이크(꽃등심) 알배추랑 양파 겻둘여먹으면 진짜 미슐랭 저리가라~ 너무 맛있네요
38590315,미테이블 서울숲성수본점,,,다음 방문 때에도 특별한 날에 어울리는 맛과 분위기로 만족 드릴 수 있도록 정성껏 준비하겠습니다.
38590315,미테이블 서울숲성수본점,,,다음 방문 때에도 특별한 날에 어울리는 맛과 분위기로 만족 드릴 수 있도록 정성껏 준비하겠습니다.
38590315,미테이블 서울숲성수본점,,,"랍스타 바질파스타부터 폭립, 감튀, 고구마튀김까지 다양하게 즐겨주셔서 감사합니다!"
38590315,미테이블 서울숲성수본점,,,"랍스타 바질파스타부터 폭립, 감튀, 고구마튀김까지 다양하게 즐겨주셔서 감사합니다!"
38590315,미테이블 서울숲성수본점,,,맛집이래서 방문해보았는데 예약없이 바로 입장 가능했고 맛도 너무 좋아요~~
38590315,미테이블 서울숲성수본점,,,벌써 4번째인 미테이블 서울숲점 여기는 크림파스타 맛집입니다.. 꾸덕하고 스테이크크림파스타로 시키시면 저렴하게 고기까지 즐길 수 있어요 고기도 양이 많아요.. 오일파스타랑 같이 시키면 느끼하지도 않고 맛있습니다!
38590315,미테이블 서울숲성수본점,,,벌써 4번째인 미테이블 서울숲점 여기는 크림파스타 맛집입니다.. 꾸덕하고 스테이크크림파스타로 시키시면 저렴하게 고기까지 즐길 수 있어요 고기도 양이 많아요.. 오일파스타랑 같이 시키면 느끼하지도 않고 맛있습니다!
38590315,미테이블 서울숲성수본점,,,사진 속 메뉴인 꽃등심 스테이크 크림파스타와 킹쉬림프 바질크림파스타는 부드러운 소스와 고소한 토핑이 어우러져 아이부터 어른까지 모두 좋아하시는 메뉴랍니다.
38590315,미테이블 서울숲성수본점,,,사진 속 메뉴인 꽃등심 스테이크 크림파스타와 킹쉬림프 바질크림파스타는 부드러운 소스와 고소한 토핑이 어우러져 아이부터 어른까지 모두 좋아하시는 메뉴랍니다.
38590315,미테이블 서울숲성수본점,,,생일이라 남자친구랑 다녀왔는데 너무너무너무 맛있었어요!! 세트 가성비가 너무 좋았고 폭립마라올리오 파스타도 다른데선 없었던 처음 보는 메뉴라 주문해봤는데 완전 만족입니당 폭립 원래 살 바르기 귀찮은데 포크랑 칼로 너무 부드럽게 발라졌고 스테이크는 말모.. 너무 맛있었어요 에피타이저로 나오는 빵이랑 스프도 너무좋았어요! 이른 저녁 시간에 가서 웨이팅 없이 입장했니용 ㅎㅎ 재구매 의사 완전있어요!!!💗
