가게ID,가게명,평점,날짜,리뷰내용
1446879076,규카츠정 성수점일식당,,,5시 오픈런 했어요! 고기가 너무 부드러워서 조금만 익혀서 먹어도 돼요. 생와사비를 사용해서 너무너무 좋아요 ㅎㅎ 지하인데 가게 분위기도 좋고 깔끔해요
1446879076,규카츠정 성수점일식당,,,5시 오픈런 했어요! 고기가 너무 부드러워서 조금만 익혀서 먹어도 돼요. 생와사비를 사용해서 너무너무 좋아요 ㅎㅎ 지하인데 가게 분위기도 좋고 깔끔해요
1446879076,규카츠정 성수점일식당,,,5시 오픈런 했어요! 고기가 너무 부드러워서 조금만 익혀서 먹어도 돼요. 생와사비를 사용해서 너무너무 좋아요 ㅎㅎ 지하인데 가게 분위기도 좋고 깔끔해요
1446879076,규카츠정 성수점일식당,,,고기 부드럽고 냄새도 안 나고 맛있어요. 직원분들도 친절하세요. 웨이팅도 금방 빠져요 다음에 또 올게요!
1446879076,규카츠정 성수점일식당,,,고기 부드럽고 냄새도 안 나고 맛있어요. 직원분들도 친절하세요. 웨이팅도 금방 빠져요 다음에 또 올게요!
1446879076,규카츠정 성수점일식당,,,규카츠 너무 맛있어서 자주 와요! 친절하시고 음식도 깔끔해요~ 성수동 맛집이에요😋
1446879076,규카츠정 성수점일식당,,,규카츠 너무 맛있어서 자주 와요! 친절하시고 음식도 깔끔해요~ 성수동 맛집이에요😋
1446879076,규카츠정 성수점일식당,,,규카츠 너무 맛있어서 자주 와요! 친절하시고 음식도 깔끔해요~ 성수동 맛집이에요😋
1446879076,규카츠정 성수점일식당,,,규카츠 노래부르다가 드디어 왔는데 너무 맛있어요~주말엔 웨이팅이 많아서 캐치테이블 추천합니당!!
1446879076,규카츠정 성수점일식당,,,규카츠 노래부르다가 드디어 왔는데 너무 맛있어요~주말엔 웨이팅이 많아서 캐치테이블 추천합니당!!
1446879076,규카츠정 성수점일식당,,,규카츠 노래부르다가 드디어 왔는데 너무 맛있어요~주말엔 웨이팅이 많아서 캐치테이블 추천합니당!!
1446879076,규카츠정 성수점일식당,,,규카츠정 양도 넉넉하고 너무 맛있어용!!캐치테이블 예약 하고 오시길 추천드립니다~~
