가게ID,가게명,평점,날짜,리뷰내용
1144502172,골든센트리중식당,,,갈릭버터새우 새우가 크고 탱글하니 너무 맛있어요. 양도 꽤 넉넉하고 간도 적절해서 술안주로 딱이에요. 방방지도 수비드라그런지 촉촉하니 만족스럽게 먹었어요.
1144502172,골든센트리중식당,,,골든센트리 진짜 찐 맛집! 성수역에서 5분 정도만 걸어가면 있는데 살짝 골목 안쪽이라 모르는 사람은 지나칠 수도 있어요.
1144502172,골든센트리중식당,,,골든센트리 진짜 찐 맛집! 성수역에서 5분 정도만 걸어가면 있는데 살짝 골목 안쪽이라 모르는 사람은 지나칠 수도 있어요.
1144502172,골든센트리중식당,,,"광저우에 오래 살았던 남자친구가 인정한 중식 맛집이에요!! 탕수육, 마파두부, 차슈 볶음밥 세 메뉴 시켰는데 다 맛있었어요~ 탕수육은 무조건 .. 필수 .. 💞"
1144502172,골든센트리중식당,,,"광저우에 오래 살았던 남자친구가 인정한 중식 맛집이에요!! 탕수육, 마파두부, 차슈 볶음밥 세 메뉴 시켰는데 다 맛있었어요~ 탕수육은 무조건 .. 필수 .. 💞"
1144502172,골든센트리중식당,,,꼭 먹어야 하는 메뉴 ㅠㅠ 분위기도 고급스럽고 성수동 온다면 데이트 맛집으러 추천할게요 ! 다음에 또 올게요 잘먹었어용
1144502172,골든센트리중식당,,,마파두부는 안에 두부까지 수제로 만드셨는데 짐짜진짜진짜진짜 맛있습니다
1144502172,골든센트리중식당,,,분위기너무좋죠.. 화이트와인과 중식퓨전요리. ㅋ어함가지 튀김옷이 너무바삭해서 식감 미쳤어요^^바삭하고 가지의촉촉함까지 와인안주로 대박♡버터갈릭새우..큼지막한 새우가많이들어가있고 얇은 면까지 배고플틈없이 맛있게 먹었네요~~째즈음악에 취해서 화이트와인즐기니 여주인공이된것처럼 기분넘좋아요..
1144502172,골든센트리중식당,,,"사시미, 차슈 볶음밥, 파이황과, 어향가지 먹었는데 양이 적당하고 감칠맛 폭팔…이라 아주 맛있게 먹고 왔어요 ~"
1144502172,골든센트리중식당,,,"사시미, 차슈 볶음밥, 파이황과, 어향가지 먹었는데 양이 적당하고 감칠맛 폭팔…이라 아주 맛있게 먹고 왔어요 ~"
1144502172,골든센트리중식당,,,"성수동 이 힙한곳에 이렇게나 분위기 좋은 차이니즈 레스토랑이 있을지 상상도 못했는데 분위기, 음식, 사비스까지 최고였어요!! 특히 직원분이 추천해주신 어향가지 진짜 강추에요... 기분좋게 와인과 즐기는 중식 덕에 행복한 식사 마쳤습니다. 다음에 친구들과도 한번 방문해보려구요!!🧡💙😄"
1144502172,골든센트리중식당,,,"성수에 있는 보물같은 곳입니다 💎 국내에서 흔하지 않게(?) 광동식 요리를 코스로 맛볼 수 있어 중국식 사시미, 빵빵지, 어향가지 등이 있는 코스 B를 먹었는데 진짜… 너무 맛있습니다 😭 아니 ㅠㅠ 이런 곳을 이제 발견했나 싶을 정도로 정말 감동적이었습니다 ㅠㅠ 특히 어향가지… 🍆 가지 싫어하시는 분들도 이건 눈물 흘리며 먹을 것이라고 장담합니다! 겉바속촉의 끝판왕에 칠리 소스(?) 가 진짜 기가 막힙니다… 할 수만 있다면 산처럼 쌓아두고 먹고 싶을 정도였습니다 ⛰️"
1144502172,골든센트리중식당,,,"어른2,아이1 와 함께 낮에 방문했는데 성수동에서 이렇게 고급 스런 관둥식 중식을 맛볼수 있어서 좋았어요. 어향가지 정말 너무 훌륭해서 제 인생 가지 요리👍🏻 양도 진짜 푸짐해요. 버터갈릭새우도 너무 맛있었고, 친절한 배려 덕분에 아이도 잘 먹었답니다."
