가게ID,가게명,평점,날짜,리뷰내용
1088009411,기미사 성수,,,ㅡ 1층과 지하1층에 인별업로드 하기에 좋은 실내인테리어
1088009411,기미사 성수,,,각 메뉴들에 대해서 사용됨 재료나 원두에 대해 자세히 설명해주셔서 커피에 대해 알고 마시니까 더 맛을 잘 느낄 수 있었어요 !
1088009411,기미사 성수,,,게이샤로 이렇게 맛볼수있던게 정말 좋았고 모두 맛있었습니다.
1088009411,기미사 성수,,,궁금했던 파나마 TNT랩 프룻펀치 줍줍 성공 ୧ʕ•̀ᴥ•́ʔ୨
1088009411,기미사 성수,,,"기미사 미미블렌드(게이샤) 드립커피로 마셨어요. 원두 시향했을 때 폭발하듯 밀려오는 꽃향기가 인상적이었습니다. 뜨거울 때 첫 맛은 날카로운 떫은 맛이 느껴지는데 금방 사라지고 바로 부드러운 고소함이 몰려들었습니다. 두번째부터 머금었을때는 날카로움은 사라지고 부드러움, 고소함, 단맛이 조화롭게 입안에 기분좋게 맴돌았습니다. 장점이자 단점이라면 너무나 부드럽다는 것을 들을 수 있을 것 같습니다. 좋은 커피를 마시는 것은 다도의 영역에 들어서는 것과 같은 것 같습니다. 여유와 음미가 어우러지는 커피는 음료가 아니라 도의 경지라 할 수 있겠고 그것을 기미사에서 느낄 수 있었습니다."
1088009411,기미사 성수,,,기미사코스 이용했는데 친절하고 알기쉬운 설명은 좋았는데 커피맛은...글쎄요. 데이트하면서 이용해볼법한 정도의 가벼운 느낌이었습니다.
1088009411,기미사 성수,,,당일 예약 없이 가능하다고 하셔서 운좋게 기미사코스로 먹게되었어요☺️ 세가지 모두 맛이 있었지만 2번째 메뉴인 미미 블렌드로 만든 라떼가 제일 맛있었어서 기억에 남아요. 약간 진한 밀크티 느낌이었는데 향이 너무 좋았어요..! 개별메뉴로 비싸게 파셔도 먹을 의향 충분히 있습니다🙏🏻🤍 설명해주시는 직원분이 너무 친절하셔서 또 가고싶습니다.
1088009411,기미사 성수,,,라떼는 좀 약해서 플랫화이트를 시켰는데도 커피가 저한테는 약허게 느껴 졌어요.
1088009411,기미사 성수,,,"리뷰 1,656사진 1,175팔로워 286테마 1"
1088009411,기미사 성수,,,"리뷰 664사진 1,070팔로워 83"
1088009411,기미사 성수,,,메뉴 가격대가 다양한데 부담 없이 시작했다가 점점 더 깊이 있는 맛을 경험할 수 있는 구조라 커피를 좋아하시던 안좋아하시던 새롭고 재밌는 경험을 할 수 있어 추천드리고 싶습니다.
1088009411,기미사 성수,,,밑에 깔려있는 시트? 과자? 가 너무 딱딱해서 스푼으로 잘 안잘렸고
1088009411,기미사 성수,,,산미 좋고 단향이 진짜 좋아서 야르 ୧ʕ•̀ᴥ•́ʔ୨
1088009411,기미사 성수,,,설명도 너무 잘해주시는데 질문할때마다 모르는 게 없으셔서 더 신기했어요
1088009411,기미사 성수,,,성수동 기미사. 커피가 맛있다는 소문에 갔는데 깔끔하고 담백한 커피맛이 좋았음. 사람이 적어 되게 한적하다는 느낌이고 1층과 지하에 사람이 많지 않아서 대화하고 쉬기에 편한 곳. 특히 더운 날에 좋은 휴식처였음!
