가게ID,가게명,평점,날짜,리뷰내용
1257495305,"고도식육류,고기요리",,,1월에 제 생일에 첫 방문을 했습니다 웬만한 고깃집은 두 번 잘 안 가는데 너무 맛있게 먹었던 기억에 한 번 더 가고 싶다는 생각이 들어서 웨이팅까지해서 이번에 방문하게 되었어요
1257495305,"고도식육류,고기요리",,,고기는 다 직접 구워주고 부위 설명도 해준다. 고기 찍어 먹는 소스가 매우 다양하다. 밑반찬 하나하나 다 신경 쓴게 느껴진다. 다 맛있음. 파김치가 맛이 제대로 들어서 고기와 잘 어울렸다. 간장 소스는 구운 대파를 꽂아주는데 직원들이 모두 추천한다. 고기 퀄리티는 등심을 미디움 레어로 구워주는데 아주 부드러워서 녹아버렸다.
1257495305,"고도식육류,고기요리",,,고기를 좀 천천히 먹었는데 알바생분들이 텀도 잘 주고 다먹어갈때 되면 와서 주워줌 진짜 서비스도 개좋음
1257495305,"고도식육류,고기요리",,,고도식 드뎌 먹어봤어요~ 고기에 찍어먹는 황태소금 너무 맛나네요👍🏻
1257495305,"고도식육류,고기요리",,,그래서 주방에서 다 만들어나오나보다 하고 또 그냥 계속 기다렸어요. 저희보다 늦게들어온 옆테이블은 볶음밥까지 다 먹고 나갔는데도 저희 볶음밥이 안나와서 또 다시 물어보니 그제서야 확인하고 갖다주심.. 처음엔 왜 주문 들어갔다고 대답하셨나요? 이해가 안갑니다 재방문은 안할듯합니다
1257495305,"고도식육류,고기요리",,,근데 된장술밥도 복음밥도 서비스로 주신 고추기름 순두부 찌개도 넘맛 쫀맛이엇어요
1257495305,"고도식육류,고기요리",,,"근처 순수라는 미용실에서 일하는데 회식으로 20번 정도 간거 같아요 ☺️🫶🏻 진짜 겁나 맛있어요 ... 제주도 안갑니다 이제 ㅋ😆 친절한 직원분이 정말 노릇노릇 촉촉하게 고기도 잘구워 주시고 , 지인들 이랑도 몇번 갔었는데 ... 정말 데려가는 사람들 마다 전부 다 좋아하고 맛있게 먹어서 너무 행복해요 ❤️"
1257495305,"고도식육류,고기요리",,,돼지고기를 소고기스테이크처럼 구워주시는 마법을 경험하고싶다면 꼭 와보셔야됩니다…알등심풍미가 장난아니여서… 생각날때마다 방문합니다 아직 여길 이길맛집을 전 찾지 못했습니당 여기가 일짱이에요. 고도식…대치동으로도 와주세요(요새 빈 임대장소 꽤있단말이죠) ㅋㅋ ㅜㅜ 암튼 평생 가게 열어주셔야됩니다!!! 고도식 파이팅!
1257495305,"고도식육류,고기요리",,,된장술밥 맛이 이상해서 문의드렸더니 정말 된장에 문제가 있었고 직원분은 다시 해드리겠다하고 사과도 없으시더라구요 기본인 순두부 찌개는 맛있었고 표고밥은 표고도 없는데 왜 표고밥인지(..) 모르겠어요
1257495305,"고도식육류,고기요리",,,리뷰 881사진 937팔로워 47테마 3
1257495305,"고도식육류,고기요리",,,매년 연중행사로 고도식 가요. 올해는 다소 변질된것 같네요..내년부턴 안가기러...벚꽃 하이볼도 달라졌고..복분자라서 ㅠㅠ 맛은 그닥...물냉면 맛있어요.
1257495305,"고도식육류,고기요리",,,먼저나오는 순두부찌개부터 반찬들도 다 맛났고 고기도 사진찍기도 전에 다 먹어 버려 자세한 사진없음. 친절하고 맛있고 기분좋은 저녁이었다.
1257495305,"고도식육류,고기요리",,,"물은 미지근하다 못 해 따뜻하고, 하이볼은 2+1이라 그런지 위스키 한방울 탄 듯 하고, 맥주는 매장 오픈 직전에 냉장고에 넣어도 이보다 차가울 것 같네요. 동남아처럼 얼음 넣어서 마셨네요 ㅋ."
1257495305,"고도식육류,고기요리",,,설명도 자세히 해주셔서 더 맛있게 먹을 수 있었단거 같아요! 너무 너무 만족하고 갑니다
1257495305,"고도식육류,고기요리",,,알등심 부위 미쳤습니다. 버터에 구워주시는데 고소함이 배가되서 맛이없을수 없는것같아요
