가게ID,가게명,평점,날짜,리뷰내용
1290570696,끄네들로,,,굴뚝빵 종류도 다섯가지라니.. 심지어 바로 바로 구워줍니다!!!! 너무 맛있어요. 보들보들.. 이런 식감은 처음입니다 꼭 먹어보세요!!!
1290570696,끄네들로,,,굴뚝빵으로 유명하다고 해서 먹으러왔어요! 즉석빵 종류로 고르면 주문 즉시 바로 구워주세요. 따끈한 즉석빵을 바로 먹을 수 있다는 점이 너무 좋아요!
1290570696,끄네들로,,,굴뚝빵은 처음 먹어보는데 겉은 바삭하고 속은 촉촉하고 잼이랑 곁들여 먹으니까 맛있어요
1290570696,끄네들로,,,굴뚝빵이 먹고싶었는데 잠실에 있어서 먹어 볼 수 있었어요ㅎㅎ 메뉴도 다양하고 옵션도 많아서 맛있게 여러 조합으로 먹을 수 있네여 ㅎㅎ
1290570696,끄네들로,,,디저트가 특이하고 맛있어요. 그리고 사장님? 이 엄청 친절하십니다. 바로 나온 빵은 특히 더 맛있어요
1290570696,끄네들로,,,매장은 협소하지만 잠실온김에 맛있게 먹었어요~~ 시나몬 맛있네요 같이주신 애플잼과 곁들어 먹어요
1290570696,끄네들로,,,맨날 지나다니기만 하다가 처음 가봣는데 매장이 협소한데 사람이 많았따. 그리고 커피보다 비싼 빵값.. 맛있엇는데 넘 비싸서 자주는 못올듯. 그리고 빵을 구워서 나오기때문에 15분이 걸린다 해놓고 왜 내빵은 3분만에 나와요.. 따뜻한 연기도 안나고.. 아쉬웠는데 사람많아서 그냥 먹엇다.
1290570696,끄네들로,,,빵냄새가 고소하니 너무 맛있어보이네요 주문즉시 만들어주셔셔 따뜻한 빵을 먹을수있네요 저번에 먹었덤 아이스크림도 너무 맛있어서 또먹으러왔어요
1290570696,끄네들로,,,소보로랑 땅콩버터 세트로 골랐는데 즉석빵이 아니어서 아쉬웠지만 소보로빵을 얇게 해서 촉촉하게 구운느낌이라 너무 부드럽고 맛있어요! 땅콩버터도 잘 어울려서 계속 먹게 되네요ㅎㅎ 여전히 맛있어서 담에 또 올게요~
1290570696,끄네들로,,,시나몬도 향이 너무 좋고 크런치카라멜도 맛또리입니다. 매번 오고 있는데 진짜 맛있어요. 사장님 번창하세요
1290570696,끄네들로,,,아침에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상부모님
1290570696,끄네들로,,,"여기 빵 맛집임 예전에 왔을때 막 어떤사람이 3,4개씩 사가던데 이해안갔는데 그렇게 사가는 사람이 바로 나였음 ㅋㅋㅋ.. 주기적으로 생각나는 맛 개인적으로 오리지널이랑 시나몬 추천"
1290570696,끄네들로,,,"오랜만에 다시 찾은 그 맛이 예전 추억까지 되살려주어 더 특별하게 다가왔습니다. 덕분에 점심 시간이 단순한 식사가 아니라, 맛과 감정이 함께 어우러진 기분 좋은 경험이 되었습니다."
1290570696,끄네들로,,,웨이팅 맛집!! 지나가면 항상 사람 많던데 오전 시간 이용해서 방문했어요 🙂
1290570696,끄네들로,,,유투브 보고 알았는데 너무 맛있어요! 가격대가 좀 있긴 한데ㅠ 완전 겉바속촉이에요! 안에 빵이 완전 촉촉하고 사르르 녹아요. 저는 소금이랑 플레인 먹었는데 둘 다 맛있는데 플레인을 주문 즉시 구워줘서 더 맛있었던거 같아요~
1290570696,끄네들로,,,잠실오면 꼭 들려보고 싶었던 곳인데 오늘 시간이 맞아서 드디어 들렸습니다 ㅎㅎ 평소에 흔하게 먹는 디저트가 아닌 샤로운 디저트라 뭔가 신기했고 맛도 좋아서 하루종일 기분이 좋을거 같아요!
1290570696,끄네들로,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 친목친구
1290570696,끄네들로,,,저녁에 방문예약 없이 이용대기 시간 바로 입장
1290570696,끄네들로,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
1290570696,끄네들로,,,점심에 방문예약 없이 이용대기 시간 바로 입장가족모임아이
1290570696,끄네들로,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이아이
1290570696,끄네들로,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이친구
1290570696,끄네들로,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
1290570696,끄네들로,,,"점심에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목, 나들이연인・배우자, 친구, 지인・동료, 혼자"
1290570696,끄네들로,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1290570696,끄네들로,,,"주말이라 빈자리 없을줄알았는데, 반절 비어있다가 2-3시되니 꽉찼어요!!"
1290570696,끄네들로,,,주문하면 바로 만들어서 따뜻하고 고소한 버터풍미가 느껴져서 맛있어요😋
1290570696,끄네들로,,,직원분들도 너무 친절하고 유튜브에서도 유명하고 소금끄네들로 진짜 존맛이예요 다들 드셔보세요
1290570696,끄네들로,,,체코에서 먹고 오랜만에 먹고 싶었는데 마침 잠실에 있어서 방문했어요! 주문 즉시 구워주는 시스템이라 식은 빵이 아니라서 너무 좋은 것 같습니다😍
1290570696,끄네들로,,,체코에서 먹었던 굴뚝빵이 생각나서 여기까지 찾아왔습니다…!!! 체코에처럼 옆에서 굴뚝빵 즉석에서 굽고 계시고.. 맛도 추억의 맛그대로🥹🫠🫠🕺 더 다양하게 커스텀할 수 있어서 좋았어요💖 굴뚝빵 그리운 분들 추천합니다!!!
1290570696,끄네들로,,,콰삭 시나몬은 그냥 먹어도 맛있지만 사과잼이랑 생크림이 들어가니 더 맛있어지는게 왜 인기 많은지 알 것 같아요😍
1290570696,끄네들로,,,포장해와서 집에서 먹으려고 했는데 버스에 다먹은거 실화 😄너무 맛있어서 다음주도 또 가려고요
1290570696,끄네들로,,,"플레인, 시나몬 ,아몬드 주문하자마자 바로 만들어주셔서 따끈따끈하고 디카페인 아메리카노도 맛있어요!"
1290570696,끄네들로,,,"회사 점심시간에 종종 들르는 곳인데, 너무 맛있어서 가족들 데리고 주말에 방문했어요. 갓구운 빵이라 너무 맛있어요. 커피랑 조합이 좋네요 :)"
1683267156,밀파니베이커리,,,8시부터 30프로 세일해서 사면 진짜 저렴한가격으로 맛있는빵 살수도 있어요
1683267156,밀파니베이커리,,,"너무 맛있어요..! 쌀빵이라 기대안했는데, 어쩜,,버터향이 왤케 진한지 ㅜㅜ 밑면이 바삭바삭 크러스트 질감이라 씹는 재미도 있어요! 빵 가격도 전체적으로 저렴한 느낌이구요! 2층은 숲🌳뷰가 있어 뻥 뚫린 느낌이 들어요!"
1683267156,밀파니베이커리,,,"너무 맛있어요..! 쌀빵이라 기대안했는데, 어쩜,,버터향이 왤케 진한지 ㅜㅜ 밑면이 바삭바삭 크러스트 질감이라 씹는 재미도 있어요! 빵 가격도 전체적으로 저렴한 느낌이구요! 2층은 숲🌳뷰가 있어 뻥 뚫린 느낌이 들어요!"
1683267156,밀파니베이커리,,,"대파크림치즈베이글, 모카크림치즈번, 바삭카레빵, 디카페인아메리카노 먹었어요!!^^ 2층은 뷰가 참 좋네요ㅎㅎ 주차 공간도 넉넉한 편이고, 2층도 자리가 꽤 넓어서 좋아요👍🏻 빵이랑 커피 다 너무 맛있는데 그중에서 커피랑 바삭카레빵 아주 맛있었어요!!❤️❤️ 1층에 빵 종류가 엄청 많은데 담에 또 방문해서 다른 빵도 먹어보고 싶어요ㅎㅎ 맛있게 잘 먹고 좋은 시간 보내다가 갑니다^^ 담에 또 올게요!ㅎㅎㅎ"
1683267156,밀파니베이커리,,,"대파크림치즈베이글, 모카크림치즈번, 바삭카레빵, 디카페인아메리카노 먹었어요!!^^ 2층은 뷰가 참 좋네요ㅎㅎ 주차 공간도 넉넉한 편이고, 2층도 자리가 꽤 넓어서 좋아요👍🏻 빵이랑 커피 다 너무 맛있는데 그중에서 커피랑 바삭카레빵 아주 맛있었어요!!❤️❤️ 1층에 빵 종류가 엄청 많은데 담에 또 방문해서 다른 빵도 먹어보고 싶어요ㅎㅎ 맛있게 잘 먹고 좋은 시간 보내다가 갑니다^^ 담에 또 올게요!ㅎㅎㅎ"
1683267156,밀파니베이커리,,,매장이넓어 답답한 느낌이 없어서 좋아요. 아이들이 좋아하는 에그타르트 또 새로 나온 메론빵도 먹었어요~! 일상의 쉼표가 되어주는 밀파니~!
1683267156,밀파니베이커리,,,매장이넓어 답답한 느낌이 없어서 좋아요. 아이들이 좋아하는 에그타르트 또 새로 나온 메론빵도 먹었어요~! 일상의 쉼표가 되어주는 밀파니~!
1683267156,밀파니베이커리,,,"메론빵에 있는 크림을 메론맛으로 직접 만들었는데, 참 맛나요 🍞☕️🤍"
1683267156,밀파니베이커리,,,"메론빵에 있는 크림을 메론맛으로 직접 만들었는데, 참 맛나요 🍞☕️🤍"
1683267156,밀파니베이커리,,,본가 올 때마다 들리는 곳인데 공간도 넓고 애기랑 와서 먹을 것도 많아요~~~ 오늘도 빵이 맛있어요 좋네요 굿~~
1683267156,밀파니베이커리,,,빵은 나오는 시간이 따로 있더라구요. 디음엔 11시 이후에 방문해보려구요ㅎㅎ 빵이랑 커피 다 너무 맛있어요..
1683267156,밀파니베이커리,,,빵은 나오는 시간이 따로 있더라구요. 디음엔 11시 이후에 방문해보려구요ㅎㅎ 빵이랑 커피 다 너무 맛있어요..
1683267156,밀파니베이커리,,,빵이랑 커피 너무 맛있어요~! 11시쯤 왔더니 따끈한 무화과깜바뉴 먹을 수 있었습니다. 무화과 양이 혜자에요!!
1683267156,밀파니베이커리,,,새로 나온 빵 먹어봤는데 피자맛 나고 맛있어요~
1683267156,밀파니베이커리,,,아인슈페너 커피 메론빵 올리브치아바타 다 맛있음~! 메론빵에 크림이 메론향 굿.
1683267156,밀파니베이커리,,,아인슈페너 커피 메론빵 올리브치아바타 다 맛있음~! 메론빵에 크림이 메론향 굿.
1683267156,밀파니베이커리,,,아침에 방문예약 없이 이용대기 시간 바로 입장데이트아이
1683267156,밀파니베이커리,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1683267156,밀파니베이커리,,,"앙버터 프레첼, 프로아상, 치아바타가 최애 메뉴입니다 8시 이후에는 30프로 할인도 해서 좋아요;)"
1683267156,밀파니베이커리,,,"오랜만에 공부하러 왔는데 역시 집중 잘되고, 사람이 많은데 넓어서 너무 좋아요! 여긴 빵도 맛있고 커피도 맛있어요"
1683267156,밀파니베이커리,,,오랜만에 먹었는데 변함없이 맛있습니다..👍👍
1683267156,밀파니베이커리,,,왠만한 근교대형빵집만큼 빵종류가 많고 특히 소금빵이 너무 맛있는 카페입니다🤤
1683267156,밀파니베이커리,,,이 동네에서 여기가 잠깐 머물며 카공하기 젤 좋은 곳 같아요! 전 참고로 평일 오후에 방문했습니다.
1683267156,밀파니베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1683267156,밀파니베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1683267156,밀파니베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1683267156,밀파니베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1683267156,밀파니베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트지인・동료
1683267156,밀파니베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트지인・동료
1683267156,밀파니베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트지인・동료
1683267156,밀파니베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장연인・배우자
1683267156,밀파니베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상, 가족모임연인・배우자, 아이"
1683267156,밀파니베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1683267156,밀파니베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1683267156,밀파니베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1683267156,밀파니베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1683267156,밀파니베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1683267156,밀파니베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1683267156,밀파니베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1683267156,밀파니베이커리,,,"점심에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자, 부모님, 아이"
1683267156,밀파니베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1683267156,밀파니베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1683267156,밀파니베이커리,,,창도 크고 카페 내부도 넓어서 아기랑 가기 좋네요
1683267156,밀파니베이커리,,,처음 와봤는데 빵 종류도 많고 맛있고 분위기도 너무 좋아요!! 주차 편해서 자주 올것 같네요 ㅎㅎ
1683267156,밀파니베이커리,,,처음 와봤는데 빵 종류도 많고 맛있고 분위기도 너무 좋아요!! 주차 편해서 자주 올것 같네요 ㅎㅎ
1683267156,밀파니베이커리,,,카페 에어컨이 빵빵하니 오래 머무를 계획이면 너무 얇게 입기 금지🤧
1683267156,밀파니베이커리,,,테이크아웃으로 한두번 먹어보고 매장에서 먹은건 처음이라 빵도 처음 먹어봤는데 맛있었어용👍
1683267156,밀파니베이커리,,,테이크아웃으로 한두번 먹어보고 매장에서 먹은건 처음이라 빵도 처음 먹어봤는데 맛있었어용👍
1683267156,밀파니베이커리,,,토요일 브런치겸 남편이랑 왔는데 일찍이라 주차여유 있어 좋았어요! 시그니쳐인 쌀소금빵과 마늘바게트 픽하고 남편이 좋아하는 메론빵도 먹어봤는데 맛있네요! 서울에 조용하니 숲세권을 즐기는 커피타임이였어요~아이들 위해 몇가지 빵들 사가지고 가려고요!
1683267156,밀파니베이커리,,,할인해서 저렴하게 잘 샀어요. 사서 오는 길에 빵하나 순삭했네요. 집앞이라 자주 애용합니다.
1437977435,뵈르앤코,,,간단히 노트북 작업하러 왔는데 음료도 맛있고 디젙트도 맛있네요 ㅎㅎㅎ 앞으로 자주 이용할거 같아요!! 무엇보다 소금빵 종류가 많아서 좋아요!
1437977435,뵈르앤코,,,간단히 노트북 작업하러 왔는데 음료도 맛있고 디젙트도 맛있네요 ㅎㅎㅎ 앞으로 자주 이용할거 같아요!! 무엇보다 소금빵 종류가 많아서 좋아요!
1437977435,뵈르앤코,,,"기본 소금빵도 맛있고,, 바치케도 넘 저렴해서 다음에 꼭 먹겠노라"
1437977435,뵈르앤코,,,"기본 소금빵도 맛있고,, 바치케도 넘 저렴해서 다음에 꼭 먹겠노라"
1437977435,뵈르앤코,,,늦은 시간에 소금빵이 너무너무 먹고싶어서 검색했더니 사진부터 너무 맛있어보이는 집을 찾아 방문했습니당 소그빵 종류도 너무 많고 휘낭시에 케이크라는 특별한 메뉴도 있어서 재방문의사 백프로입미당 감사합니당
1437977435,뵈르앤코,,,"다만 노트북하기 좋은 분위기인데, 콘센트는 없어서 미리 풀충 필수!!🥲 공부하기에는 좋을 것 같아요!!"
1437977435,뵈르앤코,,,"다만 노트북하기 좋은 분위기인데, 콘센트는 없어서 미리 풀충 필수!!🥲 공부하기에는 좋을 것 같아요!!"
1437977435,뵈르앤코,,,데이트하기 좋아요! 분위기도 좋고 소금빵 맛집 ♡◟(●•ᴗ•●)◞♡ 공부하러와도 좋을거같아용 !!
1437977435,뵈르앤코,,,데이트하기 좋아요! 분위기도 좋고 소금빵 맛집 ♡◟(●•ᴗ•●)◞♡ 공부하러와도 좋을거같아용 !!
1437977435,뵈르앤코,,,데이트하기 좋아요! 분위기도 좋고 소금빵 맛집 ♡◟(●•ᴗ•●)◞♡ 공부하러와도 좋을거같아용 !!
1437977435,뵈르앤코,,,디저트가 맛있어서 오는데 소금빵 종류도 엄청 다양해졌네요 ~ 혼자 와서 작업하기도 좋고 깔끔해요~ 다음에 와서 소금빵 꼭 먹어볼게요!
1437977435,뵈르앤코,,,디저트가 맛있어서 오는데 소금빵 종류도 엄청 다양해졌네요 ~ 혼자 와서 작업하기도 좋고 깔끔해요~ 다음에 와서 소금빵 꼭 먹어볼게요!
1437977435,뵈르앤코,,,"먼저 초코 소금빵은 겉은 바삭하면서 속은 쫄깃하고, 위에 뿌려진 소금이 진한 초콜릿 맛을 딱 잡아줘서 달콤하면서도 깔끔했어요. 그냥 한 입 먹자마자 기분 좋아지는 맛 😋"
1437977435,뵈르앤코,,,"먼저 초코 소금빵은 겉은 바삭하면서 속은 쫄깃하고, 위에 뿌려진 소금이 진한 초콜릿 맛을 딱 잡아줘서 달콤하면서도 깔끔했어요. 그냥 한 입 먹자마자 기분 좋아지는 맛 😋"
1437977435,뵈르앤코,,,멜론 라떼는 카페에서 처음(?) 보는 것 같아요 갠적으로 다른 곳에서 파는 수박주스보다 요즘 여름에 먹기 좋네요 ! 🍈 메로나 맛 최고 디저트도 넘 맛나요~ 😋
1437977435,뵈르앤코,,,분위기도 좋아서 사진도 잘 나오고 인테리어가 엄청 예뻤어요!!! 엄청 감성적인..
1437977435,뵈르앤코,,,분위기도 좋아서 사진도 잘 나오고 인테리어가 엄청 예뻤어요!!! 엄청 감성적인..
1437977435,뵈르앤코,,,석촌역카페 뵈르앤코에 다녀왔어요❤️에그타르트와 소금빵이 너무 맛있고 음료도 맛있어요🫶🏻✨카페 분위기도 넘 좋구 베이커리 맛있어요 추천합니다💕
1437977435,뵈르앤코,,,석촌역카페 뵈르앤코에 다녀왔어요❤️에그타르트와 소금빵이 너무 맛있고 음료도 맛있어요🫶🏻✨카페 분위기도 넘 좋구 베이커리 맛있어요 추천합니다💕
1437977435,뵈르앤코,,,선물할 목적으로 가다 들렸는데 버스에서 부터 눈길을 끄는 예쁜 외관에 저도 모르게 발걸음을 옮겼어요. 자연채광에 정말 인테리어도 예쁘고 친구들이랑 같이 와서 이야기 하면서 주말을 즐기고 싶더라고요. 그리고 근무하시는 분께서 센스있게 포장 외관에 디저트 이름들 써주셔서 정말 감사했습니다^^ 번창하세요
1437977435,뵈르앤코,,,선물할 목적으로 가다 들렸는데 버스에서 부터 눈길을 끄는 예쁜 외관에 저도 모르게 발걸음을 옮겼어요. 자연채광에 정말 인테리어도 예쁘고 친구들이랑 같이 와서 이야기 하면서 주말을 즐기고 싶더라고요. 그리고 근무하시는 분께서 센스있게 포장 외관에 디저트 이름들 써주셔서 정말 감사했습니다^^ 번창하세요
1437977435,뵈르앤코,,,소금빵 휘낭시에 넘 맛있어요 ㅎㅎㅎㅎ 조용하고 얘기하기 좋네요~~!! 석촌역 카페 넘 추천드려요!!!
1437977435,뵈르앤코,,,소금빵 휘낭시에 넘 맛있어요 ㅎㅎㅎㅎ 조용하고 얘기하기 좋네요~~!! 석촌역 카페 넘 추천드려요!!!
1437977435,뵈르앤코,,,소금빵은 진짜 이거 하나만으로도 방문할 이유 충분해요. 겉은 바삭하고 안은 쫀득+버터향 미쳤어요.
1437977435,뵈르앤코,,,소금빵은 진짜 이거 하나만으로도 방문할 이유 충분해요. 겉은 바삭하고 안은 쫀득+버터향 미쳤어요.
