가게ID,가게명,평점,날짜,리뷰내용
1883778270,MIP,,,낮보다 차분한 분위기 속에서 여유롭게 즐길 수 있어 더 특별했어요.
1883778270,MIP,,,낮에 방문했었는데 테라스에서 석촌호수 보면서 먹으면 음식맛이 2배일거 같아요
1883778270,MIP,,,내부 분위기가 깔끔하고 브런치 메뉴도 다양해서 뭐 먹을지 고민하다가 리조또랑 라떼 시켰는데 대박 맛있었어요 🥪✨
1883778270,MIP,,,너무 맛있어요ㅠㅠㅎㅎㅎㅎ 반려견도 올 수 있고 내돈내산 3번째입니다ㅎㅎ 분위기도 최고에영
1883778270,MIP,,,로제파스타는 새우가 통통하니 씹는 맛이 넘 좋았고 우삼겹리조또는 고소하고 식감도 살아있어서 아주 만족스러웠습니다.
1883778270,MIP,,,망고 빙슈는 설빙 보다 조금 더 맛있고 연인들이 분위기 내러오기 참 좋을것같아요 강력 추천합니다.
1883778270,MIP,,,매장도 넓고 쾌적해서 식사하는 동안 친구와 즐거운 시간 보낼 수 있었습니다!
1883778270,MIP,,,매장분위기도 좋고 직원분들도 친절하셔서 기분좋게 식사했습니다 👍
1883778270,MIP,,,매장입구 예쁘게 찍어주셔서 감사합니다 ㅎㅎ 다음에도 방문하셔서 맛있는 커피 시원~하게 드시구가세요 !
1883778270,MIP,,,"메뉴들이 다양해서 뭐 먹을지 행복한 고민에 빠질 수 있고, 날씨도 좋았는데 석촌 호수 앞이라 뷰 마저 맛집인 밉ㆅ 전에 다른 지인들이랑 왔을 땐 저녁에 왔었는데 낮에 오니까 또 다른 느낌이라 새로웠어요! 까르보나라에 수란 톡 터뜨려 먹으니까 진짜 최고 맛있어요 담백 고소의 극치ㅠㅠ🤍🤍 스테이크 에그 베네딕트도 고기는 너어무 부드럽고 신선하고 건강한 맛🤤 무조건 또 또 또간집이 될••"
1883778270,MIP,,,분위기 너무좋고 날씨 좋을때 테라스에서 먹으면 좋습니다!
1883778270,MIP,,,분위기 너무좋고 날씨 좋을때 테라스에서 먹으면 좋습니다!
1883778270,MIP,,,"분위기가 정말 좋았고, 양도 푸짐해서 만족스러웠습니다. 재료도 신선하고 다양해서 먹는 내내 기분이 좋았어요. 직원분들도 친절하셔서 편안하게 이용할 수 있었습니다. 다음에도 꼭 다시 방문하고 싶습니다!"
1883778270,MIP,,,분위기도 좋고 음식도 맛있고 좋아요!! 데이트 코스 추천드려용!! 주차도 편하고 좋네요~^^
1883778270,MIP,,,브런치 맛집이라길래 와봤는데 너무 맛있었어요! 분위기도 너무 좋고 잘 먹고 갑니당☺️
1883778270,MIP,,,브런치 맛집이라길래 와봤는데 너무 맛있었어요! 분위기도 너무 좋고 잘 먹고 갑니당☺️
1883778270,MIP,,,사진 너무 예쁘게 찍어주셨네요..감사합니다!! 다음에도 오셔서 맛있는 음식 드시구가세요 ㅎㅎ!
1883778270,MIP,,,사진 너무 예쁘게 찍어주셨네요..감사합니다!! 다음에도 오셔서 맛있는 음식 드시구가세요 ㅎㅎ!
1883778270,MIP,,,"석촌호수 맛집이에요!! n번째 방문인데 브런치 먹기도 좋구, 저녁에 오면 조명도 예쁘게 되어있어서 분위기 있구 매장도 깔끔해서 좋아요~ 메뉴 종류도 다양하고 데이트코스로 추천합니다아👍👍 응대해주시는 직원 분들이 친절해요🤍"
1883778270,MIP,,,시금치 우삼겹 리조또랑 까르보나라 넘 맛있어요 ☺️
1883778270,MIP,,,오늘 먹은 시저샐러드랑 투움바 파스타도 너무 맛있어요~ 아메리카노도 맛집!
1883778270,MIP,,,오늘 먹은 시저샐러드랑 투움바 파스타도 너무 맛있어요~ 아메리카노도 맛집!
1883778270,MIP,,,오픈 시간 맞춰와서 비교적 한가하고 조용한 분위기에 잘 먹고 갑니다.
1883778270,MIP,,,음식 너무 맛있고 분위기도 좋고 직원분들도 너무 친절하십니다 😍 테라스에서 먹으니까 선선하니 좋았어요 재방문의사 완전 있어요
1883778270,MIP,,,음식이 너무 맛있어요! 분위기도 좋고 술이 술술 들어가요! 디저트까지 한 자리에서 먹기도 좋습니다.
1883778270,MIP,,,음식이 다 맛있고 간이 세지 않아 부모님이 만족하셨어요 재료도 신선한 게 느껴지고 석촌호수뷰를 보면서 먹을 수 있어서 좋았습니다
1883778270,MIP,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1883778270,MIP,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1883778270,MIP,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1883778270,MIP,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1883778270,MIP,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1883778270,MIP,,,저희MIP는 해가 기울수록 손님들께 색다른분위기를 드리고자 매장의 분위기를 바꾸도록 노력하고 있습니다.
1883778270,MIP,,,저희MIP는 해가 기울수록 손님들께 색다른분위기를 드리고자 매장의 분위기를 바꾸도록 노력하고 있습니다.
1883778270,MIP,,,전에 방문하고 맛있었던 기억이 있어서 친구랑 방문했어요 맛있어요 여전히
1883778270,MIP,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1883778270,MIP,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1883778270,MIP,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1883778270,MIP,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1883778270,MIP,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1883778270,MIP,,,"점심에 방문예약 후 이용대기 시간 바로 입장친목반려동물, 아이, 연인・배우자"
1883778270,MIP,,,점심에 방문예약 후 이용대기 시간 바로 입장친목친구
1883778270,MIP,,,제가먹은 리조또 중에 제일 맛있었어요! 3명이서 메뉴 3개 시켰는데 남길정도로 양도많고 푸짐해요 재료도 신선한 것들만 엄선해서 쓰시는 것 같아요 다음에 또 방문할 의사 있습니다!🩷🩷🩷
1883778270,MIP,,,"지나가다 인테리어가 너무 좋아서 들어왔어요. 에프터눈티세트 너무 좋으네요. 샌드위치 , 마카롱, 브루스게타 등 다양하고 맛있어요~"
1883778270,MIP,,,지난번에 방문했는데 분위기도 좋고 음식도 맛있어서 재방문인데 역시 만족스럽습니다. 또 올게요!
1883778270,MIP,,,"직원분들도 친절하시고, 공간 전체가 세련되고 편안한 느낌이에요. 잠실에서 분위기 좋은 카페 찾는 분께 추천합니다"
1883778270,MIP,,,"직원분들도 친절하시고, 공간 전체가 세련되고 편안한 느낌이에요. 잠실에서 분위기 좋은 카페 찾는 분께 추천합니다"
1883778270,MIP,,,"집근처라 종종 브런치 맛, 분위기 내고싶을때 먼저 생각하게 되는 곳이예요"
