가게ID,가게명,평점,날짜,리뷰내용
12927282,다다 풀코스일식당,,,37천원짜리 먹었는데 옛날 28천원짜리보다 훨씬못하네요
12927282,다다 풀코스일식당,,,3만원으로 다양한요리를 맛볼수 잇어 좋아요 산낙지 전복 각종튀김과 회 거기에 해물칼국수 마무리로 알밥과 매운탕 푸짐하게 잘먹엇어요
12927282,다다 풀코스일식당,,,가성비도 좋고 룸에서 식사해서 가족외식으로 넘 잘 선택한거 같아요~
12927282,다다 풀코스일식당,,,다양한 구성이 재미있게 즐길 수 있네요 ㅎㅎ
12927282,다다 풀코스일식당,,,"리뷰 1,756사진 795팔로워 47"
12927282,다다 풀코스일식당,,,먹느라 사진 빠트린 산낙지 멍게 까지 👍곧이어 전복구이 금가루회까지 대접제대로 받는 느낌입니다
12927282,다다 풀코스일식당,,,메뉴 다양하게 나오구 하나하나 다 맛있어서 좋았어요 😀
12927282,다다 풀코스일식당,,,메뉴가 다양하고 직원분께서 계속 살피시면서 음식 금방 가져다주셔서 편하게 먹을 수 있었어요 👍
12927282,다다 풀코스일식당,,,"몇년 전에 가보고,푸짐했던 기억이 있어 엄마 모시고 재방문했어요.방이 있어 좋았고 다양한 음식을 먹을 수 있어 좋았어요.고급지거나 세련된 느낌은 아니지만 가까운 사람들과 푸짐하게 가성비 코스라 좋습니다.주차도 편하고요~"
12927282,다다 풀코스일식당,,,"방이동 맛집으로 일식이 먹고싶어서 갔어요. 첫방문인데 리뷰후기가 좋더라구요. 음식이 빨리 나오고, 식사하는동안 편안했고, 음식도 맛있었어요"
12927282,다다 풀코스일식당,,,브레이크 타임 근처라 저희가 잘못 시켰지만 맛있게 먹고 가요~!!
12927282,다다 풀코스일식당,,,사무실 근처 점심식사하러 찾았는데 너무 괜찮아서 놀랐어요
12927282,다다 풀코스일식당,,,손님 대접하기 위해 예약했었는데 너무 만족하셔서 저도 기분이 좋았네요
12927282,다다 풀코스일식당,,,솔직히 리뷰보구 예약해서 찾아갔는데 . . . 실망이 커요 젤 비싼 메뉴먹었는데(활어회특사시미) 특이다보니 먼가 특별할줄알았는데 . . . 1인 48000원인데 . . . 그냥 회정식먹어두 나올 메뉴들이구요 한두개 빼고는 . . 칼국수 진짜 맹맛이구 리뷰사진엔 왕만두에 꽃게까지들어잇어는뎅 왕만두는 무슨 작은 물만두몇개 꽃게두 안들어잇꾸 . . . 매운탕 기대했었는데 매운탕도 너무 싱겁 ㅜㅜ 입맛이 까다로운 편이 아닌뎅 . . 두번 다시는 안 갈것같아요 리뷰 알바인가요 ? 진심 . . 실망이 너무 큽니다
12927282,다다 풀코스일식당,,,알찬 점심정식 시어머님과 함께 식사했는데 맛있게 잘드셨고 남편도 계속 맛있다고 이야기하면서 먹어서 이 곳을 검색해서 가자고 한 제 입장에서 너무 뿌듯했어요. 저도 맛있게 먹었고 가족모임에 강추합니다.
12927282,다다 풀코스일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상부모님
12927282,다다 풀코스일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
12927282,다다 풀코스일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
12927282,다다 풀코스일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
12927282,다다 풀코스일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
12927282,다다 풀코스일식당,,,저녁에 방문예약 후 이용대기 시간 바로 입장가족모임부모님
12927282,다다 풀코스일식당,,,"저녁에 방문예약 후 이용대기 시간 바로 입장가족모임아이, 부모님"
12927282,다다 풀코스일식당,,,"저녁에 방문예약 후 이용대기 시간 바로 입장가족모임연인・배우자, 부모님"
12927282,다다 풀코스일식당,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
12927282,다다 풀코스일식당,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
12927282,다다 풀코스일식당,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
12927282,다다 풀코스일식당,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
12927282,다다 풀코스일식당,,,점심 정식 잘 먹었습니다. 동네 일식집이에요~
12927282,다다 풀코스일식당,,,점심에 방문예약 없이 이용대기 시간 30분 이상데이트연인・배우자
12927282,다다 풀코스일식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
12927282,다다 풀코스일식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
12927282,다다 풀코스일식당,,,"점심에 방문예약 후 이용대기 시간 바로 입장가족모임부모님, 연인・배우자, 친척・형제, 아이"
12927282,다다 풀코스일식당,,,"점심에 방문예약 후 이용대기 시간 바로 입장가족모임아이, 부모님"
12927282,다다 풀코스일식당,,,점심에 방문예약 후 이용대기 시간 바로 입장데이트부모님
12927282,다다 풀코스일식당,,,점심에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
12927282,다다 풀코스일식당,,,점심에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
12927282,다다 풀코스일식당,,,점심에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
12927282,다다 풀코스일식당,,,점심에 방문예약 후 이용대기 시간 바로 입장친목친구
12927282,다다 풀코스일식당,,,풀코스 횟집을 2차로 오는 바람에 나오는 음식을 골고루 다 먹질 못해서 아쉬웠다.
12927282,다다 풀코스일식당,,,"하지만 오늘은 너무나도 불쾌한 경험을 했습니다. 처음 보는 직원분이 맡아주셨는데, 손님을 맞이하는 첫마디부터 다른 손님들 뒷얘기로 시작하더니, 코스 하나하나 서빙할 때마다 불만이 가득한 태도로 응대해 정말 불편한 식사 시간이 되었습니다. 가족 모두가 당황스러워했고, 겨우 맞춘 모임도 망쳐 속상했습니다."
12927282,다다 풀코스일식당,,,회정식 먹었는데 이것저것 많이나오고 맛있어요😋 먹느라 다른 음식은 찍지도 못했네요^^.. 정말 맛있게 잘먹었습니다👍🏻
12927282,다다 풀코스일식당,,,회정식2만 시켰는데 초등아이도 같이 충분히 먹을수 있도록 덤도 많이주셔서 너무 감사합니다!
1533487189,동경산책 석촌호수점일식당,,,4인세트구성먹었는데 다 너무맛있고 처음에나오는 마끼 간도적당하니 에피타이져로 식욕돋우기 완전 딱이에요.
1533487189,동경산책 석촌호수점일식당,,,가게가 깔끔하고 직원분들이 엄청 친절하세요! 그리고 저는 에비텐사케동 친구는 연어소바 먹었는데 새우튀김이 짭짤바삭해서 맛있고 소바도 연어가 맛있대용 특히 주먹밥이 완죤 기여워요ㅠ저 사이드는 처음보는데 꽤 맛잇었어용💕
1533487189,동경산책 석촌호수점일식당,,,군인 친구랑 같이 일식 집을 찾던후 리뷰도 좋고 구성이나 가격이 알차서 가성비가 좋다고 생각하여 방문하였습니다. 저는 에비텐 사케동과 친구는 에비텐규동을 시켰는데 둘다 입맛에 맞으며 새우도 통통해서 좋았습니다. 추천드려요! ><
1533487189,동경산책 석촌호수점일식당,,,"남자친구랑3주만에 하는 데이트라 어디갈지 고민을 많이 했는데, 리뷰도 좋고 음식도 너무 맛있어보여서 왔어요 :)"
1533487189,동경산책 석촌호수점일식당,,,늘 사람이 많아 궁금했는데 휴일 점심이라 들어오게됐어요.
1533487189,동경산책 석촌호수점일식당,,,롤이 정말 맛있어요! 연어가 싱싱하고 밥 양념도 딱 적당해서 먹기 좋네요ㅎㅎ
1533487189,동경산책 석촌호수점일식당,,,맛 보기에 좋습이다 스키야끼도 만족해요 위치도 너무 좋네요 아주 만족합니다 다른 메뉴도 먹고싶어요
1533487189,동경산책 석촌호수점일식당,,,"맛있지만 신선하고 깔끔한 저녁을 먹고싶어서 석촌 여러 일식집 찾다가 우연히 찾아서 들어온 집인데 롤메뉴도 다양하고 맛있고, 연어아보카도동도 깔끔담백한 맛이였어요!! 분위기두 너무 좋고 특히 정식 시켰을때 반찬구성이 너무 알차고 맛있더라구요 🤩 다음에 또 올게요~!!"
1533487189,동경산책 석촌호수점일식당,,,매장 분위기도 깔끔하면서 음식도 정갈해서 부모님이랑도 오기 좋아요 !! 정식으로 시키면 트레이로 나오기 때문에 보기도 좋습니당 롤이 정말 맛있어요 ~
1533487189,동경산책 석촌호수점일식당,,,매장 분위기도 깔끔하면서 음식도 정갈해서 부모님이랑도 오기 좋아요 !! 정식으로 시키면 트레이로 나오기 때문에 보기도 좋습니당 롤이 정말 맛있어요 ~
1533487189,동경산책 석촌호수점일식당,,,"맨날 웨이팅 있어서 지나갈때마다 궁금했는데, 평일 저녁전에 오니까 웨이팅없이 바로 입장했어요!"
1533487189,동경산책 석촌호수점일식당,,,"맨날 웨이팅 있어서 지나갈때마다 궁금했는데, 평일 저녁전에 오니까 웨이팅없이 바로 입장했어요!"
1533487189,동경산책 석촌호수점일식당,,,분위기도 너무 고급스럽고 가격에 비해 음식 퀄리티도 만족스러워요! 송리단길 데이트 오신다면 강추 드립니다~~ 재방문할게요!
1533487189,동경산책 석촌호수점일식당,,,분위기도 조용하고 음식도 너무 맛있어서 석촌호수 올때마다 먹는 것 같아요!
1533487189,동경산책 석촌호수점일식당,,,석촌호수왔다가 들리게됐어요!! 더운여름 시원한 소바가 너무 땡겼고 연어 소바라니 너무 신박하고 맛있었어요 함께나온 주먹밥에도 연어가 들어있어요!! 밥이먹고싶었던 남친도 맛있게먹었답니다 추천해요!!
1533487189,동경산책 석촌호수점일식당,,,석촌호수왔다가 들리게됐어요!! 더운여름 시원한 소바가 너무 땡겼고 연어 소바라니 너무 신박하고 맛있었어요 함께나온 주먹밥에도 연어가 들어있어요!! 밥이먹고싶었던 남친도 맛있게먹었답니다 추천해요!!
1533487189,동경산책 석촌호수점일식당,,,"송리단길 지나다니면서 항상 사람 많은거 보고 궁금해서 가족이랑 같이 왔어요! 사케롤 정식, 에비틴규동 정식, 키와미 사케 비빔우동 정식 시켰는데 다 너무 맛있었어요! 담에 또 올 것 같아요~!"
1533487189,동경산책 석촌호수점일식당,,,송리단길에 온 김에 일식 땡겨서 여기 왔어용!! 가성비도 괜찮고 내부도 쾌적해서 너무너무 좋았어요 !! 헤헤 다음에도 또 오고 싶어요 >_< !!
1533487189,동경산책 석촌호수점일식당,,,송파에서 사랑니 뽑고 지나가던 중에 사람이 많이 들어가는 것 같아서 들어왔는데 잘 온 것 같아요ㅠㅠ 친절하시고 분위기도 좋고 너무 맛있습니다 다음에 또 올 거 같아요! 사람이 많다는 건 맛집이라는 뜻이죠!
1533487189,동경산책 석촌호수점일식당,,,역시 맛있네요 이 근처에서 가장 맛있게 먹은게 동경산책같아요~ 스키야끼 양도 맛도 너무 좋아서 맛있게 잘 먹었네요~ㅎㅎ 재방문 의사있어욤ㅎ
1533487189,동경산책 석촌호수점일식당,,,역시 맛있네요 이 근처에서 가장 맛있게 먹은게 동경산책같아요~ 스키야끼 양도 맛도 너무 좋아서 맛있게 잘 먹었네요~ㅎㅎ 재방문 의사있어욤ㅎ
1533487189,동경산책 석촌호수점일식당,,,연어 소바 정식은 신선한 연어와 시원한 메밀소바 조합이 깔끔하고 담백했어요. 전체적으로 양도 푸짐하고 맛의 밸런스가 좋아 만족스러운 한 끼였어요.
1533487189,동경산책 석촌호수점일식당,,,연어 소바 정식은 신선한 연어와 시원한 메밀소바 조합이 깔끔하고 담백했어요. 전체적으로 양도 푸짐하고 맛의 밸런스가 좋아 만족스러운 한 끼였어요.
1533487189,동경산책 석촌호수점일식당,,,"연어가 주인공인 정갈한 한상. 차갑게 우려낸 메밀국수에 두툼한 연어 슬라이스가 얹혀 감칠맛이 깔끔하고, 모둠 사이드(튀김, 샐러드, 오차즈케용 주먹밥, 디저트 젤리)까지 구성 탄탄. 연어 롤은 겉은 살짝 불맛, 속은 촉촉해 밸런스가 좋다. 간장 소스가 과하지 않아 끝맛이 담백하고 재방문 의사 충분. 점심 웨이팅이 있으니 오픈 시간 맞춰 방문 추천. 가격 대비 만족감 높은 잠실 숨은 연어 맛집."
1533487189,동경산책 석촌호수점일식당,,,연어도 너무 맛있고 테이블도 다닥다닥 붙어있지 않고 떨어져 있어서 친구랑 얘기하기 너무 편해요
1533487189,동경산책 석촌호수점일식당,,,연어소바 너무 맛있어요 ㅠㅜ큼직큼직한 연어가 들어가 있어서 너무 좋고 양도 많아서 데이트로 추천드립니당 ㅎㅎ 스키야끼 국물도 진해서 둘이 먹기 좋은거 같습니당 추천!
1533487189,동경산책 석촌호수점일식당,,,연어소바 너무 맛있어요 ㅠㅜ큼직큼직한 연어가 들어가 있어서 너무 좋고 양도 많아서 데이트로 추천드립니당 ㅎㅎ 스키야끼 국물도 진해서 둘이 먹기 좋은거 같습니당 추천!
1533487189,동경산책 석촌호수점일식당,,,오랜만에 서울에 올라온 엄마와 방문했어요! 예전부터 가야지 가야지 하다가 왔는데 스키야키 진짜... 진짜 맛있네요. 수란에 고기 찍어먹으면 진짜... 진짜...ㅠㅠㅠㅠ 귀여운 후식도 준비되어 있고 한 입 가지튀김 굿이에요~~~! 인테리어두 짱귀여움
1533487189,동경산책 석촌호수점일식당,,,우연히 찾아왔는데 너무 좋아요. 한국에도 이렇게 롤을 팔다니 히히 친절하고 맛있고 양도 많고 가격도 착해요
1533487189,동경산책 석촌호수점일식당,,,"음식 양이 정말 많고, 퀄리티 대비 가격도 정말 합리적이에요. 송리단길에서 일식 당기면 자주 올것같아요"
1533487189,동경산책 석촌호수점일식당,,,음식은 보기에도 너무 예쁜데 맛도 미쳤어요 원래도 자주 오던 곳인데 오랜만에 오니까 더 맛있어요ㅠㅠ 연어완전 신선하고 짱이에요!
1533487189,동경산책 석촌호수점일식당,,,음식은 보기에도 너무 예쁜데 맛도 미쳤어요 원래도 자주 오던 곳인데 오랜만에 오니까 더 맛있어요ㅠㅠ 연어완전 신선하고 짱이에요!
1533487189,동경산책 석촌호수점일식당,,,인테리어 잘되어있고 테이블 간격 넓어서 소개팅 하기 좋을 거 같아요 나베랑 롤 먹었는데 다음에는 텐동 먹어보고 싶음
1533487189,동경산책 석촌호수점일식당,,,인테리어도 너무 이쁘도 분위기 좋아여! 하이볼도 맛있고 메뉴가 신선하고 맛있어요 특별한 메뉴도 있고 모임이나 가족들과 회사동료들과 친목 데이트하기에도 좋은거같아요 내부도 깔끔하고 너무 친절하세요 사장님 번창하세요!
1533487189,동경산책 석촌호수점일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1533487189,동경산책 석촌호수점일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1533487189,동경산책 석촌호수점일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1533487189,동경산책 석촌호수점일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1533487189,동경산책 석촌호수점일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1533487189,동경산책 석촌호수점일식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1533487189,동경산책 석촌호수점일식당,,,저번에 한번 왔었다가 생각나서 한번 더 왔어요~ 음식은 전부 간두 낭낭하고 재료도 신선해서 맛있습니다. 개인적으론 튀김 종류를 추천드려요.
1533487189,동경산책 석촌호수점일식당,,,저번에 한번 왔었다가 생각나서 한번 더 왔어요~ 음식은 전부 간두 낭낭하고 재료도 신선해서 맛있습니다. 개인적으론 튀김 종류를 추천드려요.
1533487189,동경산책 석촌호수점일식당,,,"점심에 방문예약 없이 이용대기 시간 바로 입장가족모임, 데이트아이, 연인・배우자"
1533487189,동경산책 석촌호수점일식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1533487189,동경산책 석촌호수점일식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
1533487189,동경산책 석촌호수점일식당,,,좋아하는 언니랑 처음 같이 노는데 저녁으로 방문했어요!! 따뜻한 국물 요리 먹고 싶었는데 너무너무 만족스러운 식사였습니다!! 겨울에 또 방문하려구요:-) 다들 오셔요~~🥰🥰🍀🍀
1533487189,동경산책 석촌호수점일식당,,,좋아하는 언니랑 처음 같이 노는데 저녁으로 방문했어요!! 따뜻한 국물 요리 먹고 싶었는데 너무너무 만족스러운 식사였습니다!! 겨울에 또 방문하려구요:-) 다들 오셔요~~🥰🥰🍀🍀
1533487189,동경산책 석촌호수점일식당,,,주말 점심인데 웨이팅없이 먹어서 좋어요 매장도 조용하고 직원분들도 친절하시네오👍 텐동 추천!! 연어랑 같이나와서 맛있어여ㅠㅠ
1533487189,동경산책 석촌호수점일식당,,,항상 줄이 서있던 것 같아서 꼭 먹어봐야지~ 하고 왔는데 정말 좋은 선택이었네요!! 쌀쌀한 가을날씨에 딱인 스키야키에요😋❣️ 다른 곳은 많이 짜던데 간도 딱이고 튀김도 느끼하지 않게 맛있어서 규동도 잘 먹었습니다👍 담엔 롤도 먹어봐야겠어요
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,4:30 웨이팅 없는 시간에 와서 잘 먹음 ! 단무지가 없어 넘 아쉽 !! 하와이에서 먹고 잠실에 생겨서 넘 좋음 !! 맛있게 먹음 !! 재방문 할것임 !!
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,간이 좀 짠편이긴하고 튀김은 차가워서 따뜻했으면 좋겠어요 주문즉시 음식받아서 빠르고 우동이라 자리회전도 빨라요
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,"결론만 말하자면 대실망. 사누끼 우동의 툭징이 쫄깃한 우동면발인데, 전혀 쫄깃한 맛을 느낄 수 없었고, 우동 가격은 일본매장 가격대비 20%에서 최대 35%정도 비쌌고요, 튀김은 맛도 별로, 양은 2/3정도(고구마 튀김은 절반도 안 되요), 가격은 오히려 30% 비쌌네요."
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,"기다려서 먹을 정도는 아니예요.. 솔직히 실망스러웠고, 그나마 붓카케 냉이 면의 찰기나 맛이 나아요."
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,냉우동 라지사이즈. 양 많아요. 맛있긴한데 라지 많아서 담엔 라지사이즈 안먹어도 될 것 같습니다. 튀김도 맛있지만 살짝 튀김 옷이나 바삭함이 아쉽습니다. 그래도 맛있게 잘먹었고 회전율 빠른편입니다. 잠실롯데타워 갈 일 있다면 일본을 느껴보세요!
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,넘 맛있게 잘먹었습니다! 메뉴도 다양하고 튀김바도 편하게 잘되어있어 이용하기 편했습니다! 매장도 분위기도 깔끔해서 식사할때 기분도 좋았습니다
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,"니쿠타마우동라지Hot, 키츠네우동레귤러Hot, 야채튀김, 새우튀김, 오징어튀김, 오뎅튀김 먹었어요ㅋ 니쿠타마 고기토핑 배급 열받이요 비계도 겁나 많은데 고길 졸라 아껴요;; 정 떨어졌어요ㅋ 튀김가루랑 파, 고추 토핑은 셀프라서 좋았어요ㅋ 키츠네우동은 맛이 무난하고 괜칞아요. 튀김은 다 바삭하고 맛있어요. 여기 튀김맛집이네요. 담엔 튀김이나 먹으러 갈래요~ 고기배급은 다신 인받을거에요. 비싼 돈 내고 초라한 고기배급 양에 짜증이ㅠ"
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,다만 오징어튀김에서 껍질이 다 제거가 안된건지 뭔가 질긴게 나와서 끊어지지 않아서 손으로 뜯어내고 먹어야 했어요. ㅠ
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,"리뷰 1,402사진 1,161팔로워 13"
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,"리뷰 1,474사진 1,623팔로워 146"
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,보름달모양 야채튀김 추천해주셔서 먹었는데 맛있네요. 단호박도 기대 이상의 맛. 추천. 우동(1번 Hot)은 국물이 적긴한데 남기는 게 없어서 좋은 거 같아요. 딱 맞는 양이었습니다. 음식도 맛있고 직원분들도 친절해서 좋으네요. : )
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,본점에서 먹어보진 못해서 비교는 불가하지만 간이 센 편이고 시원한 우동을 선택해야 면발이 더 탱탱쫄깃해요! 튀김은 오뎅튀김이랑 야채튀김은 맛있었는데 오징어는 껍질인지 심지같은게 있어서 이빨나가는줄... 니쿠타마와 그린칠리 둘다 맛봤는데 음... 한번 맛본것으로 만족합니다! 오픈한지 얼마 안되어서 줄이 길어요. 30분이상 줄서가면서 먹을맛인가는 개인의 선택!
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,"손님이 쟁반을 가지고 주방 라인을 따라서 이동하는 셀프 식당인데, 사진의 감청색 모자가 우동 레귤러와 라지의 우동 양을 저울로 달고 있는 것처럼 주방이 분업화되서, 보이는 주방 인원이 10명이고, 계산은 2명, 뒷정리 3명 등으로 종업원이 많지만, 25분 정도 웨이팅한 듯.."
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,오픈하고 두번째 방문인데 조아요 마감 가까울 때 아니면 최소 20분 이상은 기다리는 거 같은데 그냥 평타치는 맛잇는 우동맛이에여 갠적으로 우동 좋아해서 맛있게 먹음 멀리서 올 맛은 ㄴㄴ
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,와 제가 한국에서 먹었던 우동중에 제일 쫄깃쫄깃하고 맛있었어요ㅠㅠ 일본가면 훨씬 더 맛있겠죠?🥹🤤
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,요즘 한국엔 저염식이 많아서 지난번에 먹었던 니쿠타마는 상대적으로 조금 짜다고 느껴집니다 ^^; 그리고 ... 여기에 촉촉한 깍두기나 유자 단무지류를 곁들여 주시면 ... 온리 코리아로 추가해 주시면.. 참 좋을것 같다는 생각이 듭니다
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,일본 매장과 동일한 시스템으로 운영되며 바로바로 자가 제면을 하여 내어주는 우동 면발이 탱글하고 맛있습니다. 현지 보다는 가격이 좀 높게 책정된 듯 하나 국내 점심 물가를 감안한다면 적당하다는 느낌이 드네요. 매장이 청결하고 평일에도 점심 웨이팅 줄은 길지만 회전율이 높아 그다지 오래 기다리지 않아도 되는 듯 합니다.
2040338336,"마루가메 우동 잠실롯데월드몰우동,소바",,,일본에서는 이런방식의 우동집 저렴함이 장점인데 한국 들어오니 너무 비싸네요 맛은 평범합니다 근데 덴뿌라가 너무 별로임
