가게ID,가게명,평점,날짜,리뷰내용
2080328345,"브루브루카페,디저트",,,"""업체로부터 일정 금액을 지원받아 체험 후 솔직하게 작성된 후기입니다"""
2080328345,"브루브루카페,디저트",,,"1층과 2층은 밝은 분위기에 자유롭게 대화할 수 있고, 지하는 컴퓨터 가지고 오신 분들이 다 조용히 작업하는 공간으로 되어있었어요. 컴퓨터 가지고 나가면 꽤 긴 시간 머물게 되는 경우가 있는데, 지하공간은 작업하기 너무 좋더라구요. 제가 간 2시-3시쯤은 자리가 조금 남아있었는데 조금 지나니 금방 자리 차더라구요. 좀 더 편한 자리 잡고 싶으시면 일찍 가시는거 추천드려요. 그리고 추가주문(아메리카노만 해당되는것 같아요) 30프로 할인해주는 프로모션도 있어서 좋아요!"
2080328345,"브루브루카페,디저트",,,24시 하는 카페가 요즘 잘 없는데 24시 오픈이라니 너무 좋아요!! 그리고 매장이 엄청 넓어요! 엘리베이터를 타고 윗층으로 갈 수있어서 편하네요^^ 지하는 스터디나 혼자 노트북하기에 좋게 되어있어서 자주 이용할것같아요^^ 음료랑 디저트도 너무 맛있고 특히 크로와플은 정말 맛있습니다! 꼭 드셔보세요!!! 좌석도 편해서 편하고 즐겁게 이용하다 갑니다^^
2080328345,"브루브루카페,디저트",,,24시간 영업하는 카페인만큼 사람이 많지만 그만큼 좌석도 많고 오래 있기도 좋은거같아요
2080328345,"브루브루카페,디저트",,,24시간 오픈카페라고 해서 방문했는데 생각보다 너무 쾌적하고 소파좌석이 많아서 진짜 편안하고 좋았어요. 커피랑 디저트 종류랑 요즘 유행하는 제로 음료도 많아서 메뉴보고 한참 골랐어요. 근데 주문한 커피와 디저트도 너무 맛있네요👍🏻 직원분도 너무 친절하셔서 기분좋게 이용하고 왔습니다~ 혼커나 공부하러 와도 분위기 너무 좋아요!🙂 #브루브루
2080328345,"브루브루카페,디저트",,,"24시간 운영이라니 정말 좋아요! 새벽에 급하게 작업할 일이 있어서 왔는데, 조용하고 편안해서 능률이 쑥쑥 올랐어요. 얼그레이 자몽케이크랑 카페라떼를 마셨는데, 케이크가 촉촉하고 부드러워서 맛있었고, 라떼도 부드러워서 좋았네요."
2080328345,"브루브루카페,디저트",,,24시간 카페가 없어진지 꽤 오랜만에 송파구에
2080328345,"브루브루카페,디저트",,,24시간 카페라니 정말 멋져요. 지하1에서 2층까지 멋진 공간에 시원한 뷰. 지하층은 카공족의 성지군요. 주차는 듣던디니로 만차네요.
2080328345,"브루브루카페,디저트",,,24시간 카페인데도 케이크 종류가 다양하고 특히 크로와플 위에 하겐다즈 아이스크림 올려 먹는 게 너무 맛있었어요 ㅋㅋ
2080328345,"브루브루카페,디저트",,,건물 통으로 사용해서 그런지 외부부터 내부까지 너무 감각적이고 좋아요~ㅎㅎ
2080328345,"브루브루카페,디저트",,,결론 : 매일 퇴근후에 가서 커피 한잔씩 하기에 좋은곳. 공부도 일도 휴식도 가능한곳.
2080328345,"브루브루카페,디저트",,,노트북하기 좋은 카페라고 들어서 와봤는데 진짜 넓구 좋네요! 지하에 다 일하는 분들 계셔서 넘 좋았어요..! 주말이라 사람이 많긴 한거같은데 평일에 와도 좋을 것 같네욥!
2080328345,"브루브루카페,디저트",,,대애박 송파에 너무 예쁘고 넓은 카페가 생겼어요!!! 좌석이 너무 편하고 지하는 공부존이고 메뉴도 다양한데 24시간 카페라니!!!! 빵도 맛있고 메로나스무디도 달달하니 좋아요🍈👍🏻
2080328345,"브루브루카페,디저트",,,두번째 방문하는곳인데 항상 사람이 많아요 핫플 인정👍🏻✨✨음료도 케이크 빵 피자 크로플 등등 종류도 다양하고 24시영업해서 방문하기 좋아요 인테리어도 멋있고 가구도 디자인이 다 달라서 보는 재미가 쏠쏠합니다
2080328345,"브루브루카페,디저트",,,디저트류나 식사류도 있어서 공부하시는 분들은 하루 종일 머무르기 좋아요
2080328345,"브루브루카페,디저트",,,마싯구 자리평하고 쏘긋 송파나루에 이렇게 맘편히 앉아서 놀곳이잇엇낭.. 아 아이스크림 하겐다즈라그런가 넘 마싯어요 아포가토 강추ㅋ
2080328345,"브루브루카페,디저트",,,매장앞에 주차공간이 있지만 10시가 넘은 시간에도 만차라서 뒷골목에다가 세우고 이용했어요
2080328345,"브루브루카페,디저트",,,"메로나 스무디 달달 시원, 제로 바닐라라떼 깔끔하고, 쑥고구마 케이크는 진한 쑥향+고구마 무스 조합 최고💛"
2080328345,"브루브루카페,디저트",,,"미팅하기도 괜찮을 것 같고, 24시간 연중무휴라 명절 같은 때 다른 곳 다 문닫으면 여기 와야겠어요."
2080328345,"브루브루카페,디저트",,,"버스타고 오면 바로 앞에 보여서 접근성이 정말 좋아요!! 들어오면 에어컨도 시원하고 의자도 편안하니 외삼촌네 놀러온 것 같아서 너무 안락했어요💜 주문이 엄청 몰리길래 주저했는데, 음료를 금방 만들어주셨어요! 딸기라떼...정말 맛있습니다....딸기청 완전 최고😭 자주 놀러갈게요 사장님!!"
2080328345,"브루브루카페,디저트",,,분위기 너무 좋고 커피 맛도 맛있어요!! 혼자 공부하러 와도 좋을 것 같고 데이트 하러 와도 좋을 것 같아요! 노래도 너무 제 취향이네요 다음에 또 방문할게요~!
2080328345,"브루브루카페,디저트",,,"불고기 피자를 먹으러 왔는데, 기대 이상으로 맛있어서 놀랐어요. 🍕 불고기가 푸짐하게 올라가 있고 치즈도 듬뿍이라 정말 맛있었어요. 따뜻한 아메리카노와 함께 먹으니 최고의 궁합이네요. 식사부터 커피까지 한 곳에서 해결할 수 있다니 정말 편한 곳이에요."
2080328345,"브루브루카페,디저트",,,브런치와 디저트 시켜서 작업하기 너무 좋고 소파가 많아서 데이트로도 좋음
2080328345,"브루브루카페,디저트",,,산미 약간있는 커피 맛있고 자석 편해요 주차5대정도 가게앞에 주차할수있어요
2080328345,"브루브루카페,디저트",,,생각보다 평일 오전(점심 이전) 시간에는 사람이 없어서 여유롭게 커피와 디저트를 즐길수있었어요! 지하는 공부하는 분들이 많고 어둡고 조용한 분위기가 있어 더 아늑해보였어요~ 2층은 사람이 없어서 아이와 편하게 음료를 즐길수있었어요😃 노키즈존이 아닌게 의외여서 (?) 저도 4살 아들과 오랜만에 느좋 카페에서 커피를 즐길수있었습니다 😆 다음에 다른 가족과 친구들도 데려오고싶은 좋은 곳이네요. 오래오래 가길 바래요!!!
2080328345,"브루브루카페,디저트",,,"송리단길에서는 살짝 떨어져 있지만, 대로변에있어서 위치상으로도 좋고, 걸어서도 충분히 이동 가능한 거리라 송리단길 구경 후에 들리기에도 딱!!"
2080328345,"브루브루카페,디저트",,,"송파 브루브루는 24시간 운영하는 카페라 언제 가도 편하게 쉴 수 있어서 좋아요. 아이스카페라떼는 진하고 깔끔했으며, 비스바스크치즈케이크는 꾸덕하면서도 달콤했고 밀크케이크는 부드럽고 담백해서 커피와 찰떡이었어요. 좌석도 넓고 소파가 편안해 오래 머물기에도 좋았습니다."
2080328345,"브루브루카페,디저트",,,"송파에 24시간 운영하는 카페 브루브루 다녀왔어요! 늦은 시간에도 푹신한 소파에서 편하게 쉴 수 있어서 너무 좋았어요. 아이스바닐라라떼랑 딸기요거트, 마들렌까지 주문했는데, 하나같이 다 맛있고 감성 가득한 공간이었어요."
2080328345,"브루브루카페,디저트",,,"송파에 몇 없는 24시 카페인데 대형에 분위기도 너무 좋아요! 커피랑 주류도 판매하고, 베이커리 디저트와 간단한 식사류들도 판매해용! 3층 규모라서 넓고 쾌적하고 지하는 카공하기에도 좋을 것 같아요 ✨ 저는 바스크치즈케이크랑 레몬마들렌 먹었는데 쫀맛탱이에요 💖"
2080328345,"브루브루카페,디저트",,,여기는 모든 좌석이 소파 자리인 게 최고의 장점 같아요. 딱딱한 의자가 아니라서 오래 앉아있어도 허리가 안 아프고 정말 편안해요. 푹신한 소파에 몸을 맡기고 책 읽으니 여기가 바로 천국이구나 싶었어요. 💖
