가게ID,가게명,평점,날짜,리뷰내용
1794042694,강남모밀무이 신논현본점,,,근처 볼일이 있어 식사장소찾다가 발견한 맛집입니다~ 요즘 가성비도 괜찮고 메뉴종류도 모밀 돈카츠 라멘까지 다양해서 좋네요~ 식사시간이 아니라 바로 입장했지만 점심저녁시간엔 웨이팅이 있겠네요~ 앞에 대기석들이 있아요~
1794042694,강남모밀무이 신논현본점,,,돈까스 먹으러 항상 무이만 와요‘! 혼밥 하기 너무 좋고 맛있어요!!
1794042694,강남모밀무이 신논현본점,,,"많은 손님분들께서 찾아주실 때마다 더욱 힘을 내어 최상의 맛과 서비스를 제공하기 위해 노력하고 있는데요, 이러한 노력을 알아주신 것 같아 기쁩니다:)"
1794042694,강남모밀무이 신논현본점,,,맛은 있었는데 여기서 올해 첫 모기에 물려서 다시 가기 무섭습니다ㅋㅋㅋ ㅠㅠ구석자리에 앉아서 그런 것도 있을 텐데모기가 계속 제 옆에 알짱거려서 마지막에 국수를 입으로 먹는지 코로 먹는지도 모를 정도로 허겁지겁 먹고 후다닥 나왔어요ㅠㅠ 국수 맛은 맛난 편이고 고로케는 맛있습니다!
1794042694,강남모밀무이 신논현본점,,,맛은 있었는데 여기서 올해 첫 모기에 물려서 다시 가기 무섭습니다ㅋㅋㅋ ㅠㅠ구석자리에 앉아서 그런 것도 있을 텐데모기가 계속 제 옆에 알짱거려서 마지막에 국수를 입으로 먹는지 코로 먹는지도 모를 정도로 허겁지겁 먹고 후다닥 나왔어요ㅠㅠ 국수 맛은 맛난 편이고 고로케는 맛있습니다!
1794042694,강남모밀무이 신논현본점,,,맛있도 서비스도 좋아서 자주 들르는 곳입니다 꼭 오세요
1794042694,강남모밀무이 신논현본점,,,맛있도 서비스도 좋아서 자주 들르는 곳입니다 꼭 오세요
1794042694,강남모밀무이 신논현본점,,,모밀이 먹고 싶어 않는데 돈가스도 맛있네요. 멘치가스도 맛있더라고 맛있어요. 자주 올 것 같습니다
1794042694,강남모밀무이 신논현본점,,,모밀이 먹고 싶어 않는데 돈가스도 맛있네요. 멘치가스도 맛있더라고 맛있어요. 자주 올 것 같습니다
1794042694,강남모밀무이 신논현본점,,,부동산방실장님 안녕하세요:) 강남모밀무이 강남본점입니다. 최소 10번 이상 방문 해주시다니 찐단골이시네요!!👍🏻 이번에 리모델링 하면서 좀 더 쾌적하게 식사 하실 수 있게 되었는데 좋게 봐주셔서 감사합니다🙏🏻 늘 변하지 않는 맛과 양으로 보답 드리겠습니다 😊 언제든지 편하게 방문해주세요 ! 감사합니다❤️
1794042694,강남모밀무이 신논현본점,,,부동산방실장님 안녕하세요:) 강남모밀무이 강남본점입니다. 최소 10번 이상 방문 해주시다니 찐단골이시네요!!👍🏻 이번에 리모델링 하면서 좀 더 쾌적하게 식사 하실 수 있게 되었는데 좋게 봐주셔서 감사합니다🙏🏻 늘 변하지 않는 맛과 양으로 보답 드리겠습니다 😊 언제든지 편하게 방문해주세요 ! 감사합니다❤️
1794042694,강남모밀무이 신논현본점,,,앞으로도 늘 깔끔한 매장 관리와 변함없는 맛으로 보답드리겠습니다 ! 다시 한번 귀한 발걸음 해주셔서 감사드리며 오늘도 좋은 하루 보내세요❤️
1794042694,강남모밀무이 신논현본점,,,오늘 카츠정식은 처음먹어봤는데 양이 많고 촉촉한 맛이 너무 좋았습니다. 두덩이는 남아 포장요청드렸는데 친절하고 깔끔하게 포장도 해주셔서 감동이었습니다. 자주자주 방문하겠습니다.
1794042694,강남모밀무이 신논현본점,,,올해 처음으로 냉모밀생각나서 집근처 찾아서 온건데 뒤늦게 안게 아쉬울 정도로 괜찮네요
1794042694,강남모밀무이 신논현본점,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장나들이, 여행친구"
1794042694,강남모밀무이 신논현본점,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장나들이, 여행친구"
1794042694,강남모밀무이 신논현본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1794042694,강남모밀무이 신논현본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1794042694,강남모밀무이 신논현본점,,,"저희 강남모밀무이는 잔잔한 노래와 깔끔하고 조용한 매장 분위기, 최상의 품질만을 사용한 음식, 최고의 서비스를 제공하기 위해 늘 노력하고 있습니다 ☺️"
1794042694,강남모밀무이 신논현본점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이, 여행친구"
1794042694,강남모밀무이 신논현본점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이, 여행친구"
1794042694,강남모밀무이 신논현본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1794042694,강남모밀무이 신논현본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상부모님
1794042694,강남모밀무이 신논현본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1794042694,강남모밀무이 신논현본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1794042694,강남모밀무이 신논현본점,,,처음가봐서 종류별로 시켜 나눠먹었네요. 멘치카츠가 맛있었고 냉모밀도 괜찮았습니다! 일식 돈카츠는 무난무난한 정도~ 정식에 나오는 라멘도 괜찮았어요. 그냥 구색맞추기 용도의 정식이 아니라 좋았네요.
1794042694,강남모밀무이 신논현본점,,,처음가봐서 종류별로 시켜 나눠먹었네요. 멘치카츠가 맛있었고 냉모밀도 괜찮았습니다! 일식 돈카츠는 무난무난한 정도~ 정식에 나오는 라멘도 괜찮았어요. 그냥 구색맞추기 용도의 정식이 아니라 좋았네요.
1794042694,강남모밀무이 신논현본점,,,"타리빠이탄 라멘과 특등심 카츠정식 먹었는데, 특등심 너무너무 부드러웠어요! 안심 부위처럼 부드러웠어요 ㅎㅎ 라멘과 냉모밀 육수 모두 12시간이상 끓여냈다고 해서 그런지 둘다 너무 진하고 깊어서 자꾸 국물 마시게되더라구요~~매장 안 분위기도 좋고 혼밥할 자리도 있습니다!!"
1794042694,강남모밀무이 신논현본점,,,특등심 정식 시켰는제 고기가 두툼하고 맛있어요! 땡초 모밀은 살짝 매콤해서 같이 먹기 좋았습니다. 직원분들도 친절하세요.
1794042694,강남모밀무이 신논현본점,,,특등심 정식 시켰는제 고기가 두툼하고 맛있어요! 땡초 모밀은 살짝 매콤해서 같이 먹기 좋았습니다. 직원분들도 친절하세요.
254171411,고베규카츠 서울 강남점돈가스,,,강남 규카츠맛집이라고 들어서 먹으러 와봤는데 평일 저녁시간 조금 전이라 그런지 대기없이 들어갈 수 있었어요 !! 규카츠 특성상 조금 뜨거운데 매장이 시원해서 좋았고 직원분들 너무 친절하셔서 더욱 좋았습니다🤍커리크림우동 너무 맛있었고 여러가지 소스가 다양하게 나와서 너무 좋았어요😋
