가게ID,가게명,평점,날짜,리뷰내용
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,1인분에 180g이라 양도 혜자스럽고 고기도 너무 부드러워요! 가성비좋습니다. 세트메뉴 시키면 껍데기도 나와서 아주 좋더라구요. 된장찌개에 건더기도 많고 냉면 양도 아주 많아요.
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,가성비도 좋고 맛도 좋아요! 양도 너무 많아서 배터지는 줄 알았어요🤩 고기 질 좋고 부드러워용 초벌해서 나오기때문에 편하게 먹기 좋아여 회식하는 사람 짱많았어요🌸
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,"강남에서 이 가격에 한돈 먹기 어려운데, 신논현역에서 완전 가까운 두꺼비1981에서 맛있게 먹었어요! 대형스크린도 있고 단체석도 많아 회식장소로 좋은 것 같아요. 강남역에서 삼겹살 드신다고하면 여기서 드세요!!"
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,강남역 인근의 제대로 된 고기 맛집 두꺼비 1981! 입구부터 귀여운 두꺼비가 반겨주고 있습니다. 고기도 초벌된 상태로 나와서 구워먹기 너무 편하고 반찬도 많아서 아주 만족스러웠습니다!
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,글구 반찬이쩔어요 고기랑 같이먹으면 맛있는 칭구들 총집합.. ㅠㅜ진짜 다마싯슴~~
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,"금요일 오후 예쁘게 생긴 젊은 여성 직원분 너무 친절하고 센스넘쳐요ㅠㅠ 덕분에 더 행복한 저녁🧡 부수적인 반찬, 재료들 다 넘 맛있구 애호박찌개 진짜 최공!!!!꼭 드셔야해요 ㅎㅎ"
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,날치알 올린 계란찜은 표면에 매운 양념이 독특하고 맛있어요 전반적으로 다 만족스러워요
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,늘 친절과 서비스를 주려고 직원들이 많이 노력하고 있습니다. 또 방문해 주세요!! 감사합니다!
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,늘 친절과 서비스를 최고로 하는 매장이 되겠습니다. 감사합니다. 또 방문해주세요~
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,단체모임에 최적화된 매장입니다. 손님들이 매장 방문 했을 때 친절과 서비스를 더불어 받을 수 있게 늘 최선을 다하는 매장이 되겠습니다. 또 방문해주세요!
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,맛있어요. 자리간격 넓어요. 고기가 안 질겨요. 친절해요. 된장찌개도 맛있어요. 추천합니다
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,"삼겹살 제대로 즐기고 싶을 땐 신논현고기맛집 두꺼비1981 추천해요. 물냉면이랑 고기 조합도 완벽했고, 다양한 소스와 쌈, 부드러운 계란찜, 고소한 껍데기까지 모두 만족스러웠습니다. 강남신논현맛집, 신논현점심맛집, 신논현회식까지 다 만족시켜주는 진짜 맛집이에요."
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,"솥뚜껑에 고기와 채소를 같이 구워먹으면 되는데, 보성녹돈이라 그런지 고기질이 좋고 육즙팡팡이라 진짜 맛있었어요. 대형철판에 초벌 후 솥뚜껑에 한번 더 구워먹으니 불향도 은은하게 느껴졌구요. 1인분에 180g이라 양도 푸짐해서 만족스러웠어요. 발렛주차가 가능해서 편했답니다."
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,아쉽게도 매운돼지갈비찜을 못드셧다고 하니 제가 속상합니다. 더 좋은 메뉴와 고객님 께서 만족을 할 수있는 매장이 되겠습니다!! 또 방문해 주세요 감사합니다!!
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,아침에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,양도 많고 직원들고 친절하고 고기 맛있고 좋아요 신논현역 근처면 고기 먹으러오셔도 될거같아요!
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,이만한 식당이 없는거 같습니다. 점심 특선도 8~9천원대로 되어 있어서 근처 직장인 분들이 많이 오시는 듯 하네요.
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목, 회식친구, 지인・동료"
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,저희는 삼겹 가브리 주먹고기 세트로 먹었는데 고기가 녹차로 먹인 거라 그런지 잡내 하나없이 너무 맛있었어요!!
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,점심에 방문예약 없이 이용대기 시간 바로 입장연인・배우자
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,착한가격과 좋은 음식 퀄리티로 보답해 드릴려고 항상 노력하고 있습니다. 또 방문해 주세요 감사합니다
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,초벌되어 나온 고기를 솥뚜껑에 구워먹는 감성있고 가게 분위기도 러프하면서 은은해 데이트하기도 좋을듯해요😆
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,"최근에 신논현역 주변에 생긴 돼지고기 맛집입니다. 놀랍게도 초벌을 ! 구워다 주시고, 손님은 컷팅 정도만 하면 됩니다. 고기 육질 괜찮습니다. 세트로 가면 여러가지 부위를 섞어 주시는데, 껍데기가 포함된 세트를 추천합니다. 껍데기가 최고였습니다. 그리고 셀프바에는 쌈 등 여러가지가 자율 리필이 가능하네요. 정말 친절하고 맛있는 좋은 가게입니다. 추천."
1569512061,강남 두꺼비 1981 삼겹살 신논현역,,,힙한 신논현 고기집! 두꺼비 가게명때문에 잊혀지지않는데 대대로 물려온 고기집이라고 하더라구여. 숙성고기는 아니고 생고기인데 한번 초벌해서 나오는 점이 좋았습니다. 아쉬운건 고기 직접 구워주시진 않은점? 그거 빼고는 잘 먹었답니다. ;)
1426008697,낯선천장 논현본점,,,"""낯선천장"" 논현 본점을 이용해 주셔서 감사합니다. 행복한 하루 보내시고 자주 방문해 주세요. 매일 좋은 방향으로 발전하여 고객님들의 소중한 추억에 함께하는 낯선천장 되겠습니다 :)"
1426008697,낯선천장 논현본점,,,"""낯선천장"" 논현 본점을 이용해 주셔서 감사합니다. 행복한 하루 보내시고 자주 방문해 주세요. 매일 좋은 방향으로 발전하여 고객님들의 소중한 추억에 함께하는 낯선천장 되겠습니다 :)"
1426008697,낯선천장 논현본점,,,"""낯선천장"" 논현 본점을 이용해 주셔서 감사합니다. 행복한 하루 보내시고 자주 방문해 주세요. 매일 좋은 방향으로 발전하여 고객님들의 소중한 추억에 함께하는 낯선천장 되겠습니다 :)"
1426008697,낯선천장 논현본점,,,"""낯선천장"" 논현 본점을 이용해 주셔서 감사합니다. 행복한 하루 보내시고 자주 방문해 주세요. 매일 좋은 방향으로 발전하여 고객님들의 소중한 추억에 함께하는 낯선천장 되겠습니다 :)"
1426008697,낯선천장 논현본점,,,"""낯선천장"" 논현 본점을 이용해 주셔서 감사합니다. 행복한 하루 보내시고 자주 방문해 주세요. 매일 좋은 방향으로 발전하여 고객님들의 소중한 추억에 함께하는 낯선천장 되겠습니다 :)"
1426008697,낯선천장 논현본점,,,"""낯선천장"" 논현 본점을 이용해 주셔서 감사합니다. 행복한 하루 보내시고 자주 방문해 주세요. 매일 좋은 방향으로 발전하여 고객님들의 소중한 추억에 함께하는 낯선천장 되겠습니다 :)"
1426008697,낯선천장 논현본점,,,"""낯선천장"" 논현 본점을 이용해 주셔서 감사합니다. 행복한 하루 보내시고 자주 방문해 주세요. 매일 좋은 방향으로 발전하여 고객님들의 소중한 추억에 함께하는 낯선천장 되겠습니다 :)"
1426008697,낯선천장 논현본점,,,"""낯선천장"" 논현 본점을 이용해 주셔서 감사합니다. 행복한 하루 보내시고 자주 방문해 주세요. 매일 좋은 방향으로 발전하여 고객님들의 소중한 추억에 함께하는 낯선천장 되겠습니다 :)"
1426008697,낯선천장 논현본점,,,"""낯선천장"" 논현 본점을 이용해 주셔서 감사합니다. 행복한 하루 보내시고 자주 방문해 주세요. 매일 좋은 방향으로 발전하여 고객님들의 소중한 추억에 함께하는 낯선천장 되겠습니다 :)"
1426008697,낯선천장 논현본점,,,"""낯선천장"" 논현 본점을 이용해 주셔서 감사합니다. 행복한 하루 보내시고 자주 방문해 주세요. 매일 좋은 방향으로 발전하여 고객님들의 소중한 추억에 함께하는 낯선천장 되겠습니다 :)"
1426008697,낯선천장 논현본점,,,"""낯선천장"" 논현 본점을 이용해 주셔서 감사합니다. 행복한 하루 보내시고 자주 방문해 주세요. 매일 좋은 방향으로 발전하여 고객님들의 소중한 추억에 함께하는 낯선천장 되겠습니다 :)"
