가게ID,가게명,업종,평점,날짜,리뷰내용
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,남자친구 생일이어서 왔는데 분위기 너무 좋아요. 생일 이벤트도 있어서 같이 참여했습니다. 즐겁게 놀다가 가요
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,너무 고요하지도 시끄럽지도 않아서 수다도 편하게 떨 수 있었고 무엇보다 음식도 대만족이에요👍🍀 모임 추천합니당
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,당일 주문하신 스파클링 와인외에도 다양한 주류가 준비되어 있으니 합리적인 가격에 즐겨보시길 바랍니다!!
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,"밤에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목, 일상, 나들이연인・배우자, 친구, 지인・동료"
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,분위기가 너무 좋고 모스카토를 저렴하게 먹을 수 있어서 너무 좋아요. 데이트나 생일 파티로 오면 좋을 거 같아요.💕
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,"분위기가 넘 좋고 음악도 잔잔해요~! 음식도 맛있어요! 파스타 트러플향이 대단합니다! 연인, 친구 누구랑 와도 좋을 것 같네요! 주류 종류도 엄청 많아요."
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,"분위기도 좋고 자리도 편하고 식사, 주류 메뉴도 다 좋아요!!❣️"
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,사진찍는갸 까먹고 좀 있다가 찍었는데 포터하우스 진심 너무 맛있고 부드러웠습니다 육즙도 미쳤어요.
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,엄마랑 둘이 데이트 왔는데 간단히 마실 칵테일도 많고 안주도 여자가 좋아할 것들이 많아서 재밌게 즐기다 가용!!
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,오랜만에 강남역 놀러와서 2차로 조용한 곳 찾아왔어요 안주도 맛있고 분위기도 좋네요
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,일반 음식점이 아니고 펍에서 이런 퀄리티 가능한가요? 치킨도 직접 튀기신다고 하더라고요👏🏼
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트지인・동료, 친구"
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,"저녁에 방문예약 후 이용대기 시간 바로 입장친목, 데이트친구, 연인・배우자"
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,제 최애 안주는 오레오 빙수 ㅎ… 맛있는 빙수가 있어서 가게를 나오는 순간까지 더 기억에 남는 것 같아요. 화장실도 넓고 깨끗해서 단체모임이나 연말모임 강남술집 찾는다면 추천드립니다!
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,지난번에 데이트로 왔다가 오늘은 직장동료들이랑 왔는데 여전히 분위기가 좋아요💗 와인도 안주도 너무 맛있게 먹고갑니다
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,진이나 데킬라 보드카 합리적인 가격에 분위기 좋게 마시기 좋아용 안주도 다양하고 술 종류 다양해서 데이트 하기 적합해요
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,처음 방문했는데 메뉴도 정말 다양하고 주류도 많아서 좋아요
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,캐비아 치킨 미국에서 바이럴 해서 궁금했는데 여기서 먹어보고 너무 맛있어서 직원분께 치킨 어디거인지 여쭤보니 직접 다 염지한 닭이라고 합니다. 여기 사장님 음식과 술에 정말 진심이신게 느껴집니다.
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,특히 캐비아 치킨 너무 행복한 맛이었고. 피자랑 파스타도 아주 훌륭합니다.
1899240326,29펍 신논현역점 TOKYO Elegant,치킨,,,"피자 맛집이고요. 칼라마리 오징어 식감이,, 너무 탱탱해서 놀랐어요. 사실 음식은 별 기대 안하고 갔는데,, 안주가 너무 맛있어서 후기를 쓰게 된 이유입니다."
1569512061,강남 두꺼비 1981 삼겹살 신논현역,술집,,,1인분에 180g이라 양도 혜자스럽고 고기도 너무 부드러워요! 가성비좋습니다. 세트메뉴 시키면 껍데기도 나와서 아주 좋더라구요. 된장찌개에 건더기도 많고 냉면 양도 아주 많아요.
