가게ID,가게명,평점,날짜,리뷰내용
1856397809,모미지 신논현점,,,강남을 처음 와봤는데 분위기도 좋고 음식이 신선해서 그런지 먹을때마다 기분이 좋았습니다 회는 한점 마다 쫀득하고 살살 녹더라고요 프라이빗한 룸에서 술도 한잔하니깐 술 맛이 났습니다 꼭 한번 들려보세요.
1856397809,모미지 신논현점,,,"깔끔한 룸 술집이라 대화, 모임하기 너무 좋은 곳! 사시미 구성이 훌륭해서 술 마시기 좋았어요~"
1856397809,모미지 신논현점,,,너무 맛있어요! 조용하고 데이트하기 좋네요 :) 여자 직원분이 너무 친절하셔서 더 좋습니다❤️
1856397809,모미지 신논현점,,,또한 음식도 넘 맛있구 ㅠㅠ 덕분에 아주 행복한 생일을 보냈답니당!! 진짜 여기 근처에 오면 또 올 거에요!!
1856397809,모미지 신논현점,,,"맛, 퀄리티 너무 만족합니다 다음에도 무조건 꼭 갈거같네요. 지인이랑 만취해서도 안주가 쭉쭉들어가네요!"
1856397809,모미지 신논현점,,,사시미가 너무 싱싱하고 맛있어요. 친구들과 모임으로 예약했는데 분위기도 좋고 음식도 너무 맛있어서 즐겁게 모임 잘했어요.^^
1856397809,모미지 신논현점,,,사시미랑 숙성회를 나란히 먹으니 식감 차이가 확실해서 비교하는 재미가 있었어요.
1856397809,모미지 신논현점,,,시끄러운곳은 너무 싫고 맛있고ㅜ조용한곳 찾다가 우연히 발견한 곳!!
1856397809,모미지 신논현점,,,신논현역 이자카야 '모미지' 다녀왔어요! 🍣 일본 현지 감성을 담은 고급스러운 분위기와 맛있는 요리를 합리적인 가격에 즐길 수 있는 곳이라 만족도 최고였어요.
1856397809,모미지 신논현점,,,얼마전에 가족 모임에 좋아서 친구들과 다시 왔어요. 프라이빗하게 모임하기 좋아요.
1856397809,모미지 신논현점,,,울산에서 서울 오자마자 먹는 사시미.. 사시미 두께가 미쳤어요!!! 신선하고 깔끔하고 아주그냥 좋습니다ㅠㅠㅠ 가격대는 좀 있지만 룸 형식이라서 데이트하기도 괜찮았고 부모님과 오기도 좋아요🩷
1856397809,모미지 신논현점,,,음식은 꽤나 고급스러워서 중요한 손님 대접하기에도 너무 좋을 것이라 생각됩니다.
1856397809,모미지 신논현점,,,음식이 깔끔하고 맛있어요! 참치 타다끼는 처음에 소고기라고 생각이 들 정도였습니다! 너무 맛있어서 다음에도 근처에 오게 되면 들를 것 같아요 ㅎㅎ
1856397809,모미지 신논현점,,,음식이 정갈하고 맛있어요~ 룸술집이라 동료들끼리 프라이빗하게 술마시기 좋은 것 같아요
1856397809,모미지 신논현점,,,이런 무더운 여름일수록 회는 이렇게 믿을만한 곳에 가야하는 것 같아요! 정말 회가 싱싱하고 부드러우면서 너무너무 맛있었답니다...🍣🐚 정말 최고에요😭
1856397809,모미지 신논현점,,,저녁에 방문예약 없이 이용대기 시간 30분 이내친목친구
1856397809,모미지 신논현점,,,저녁에 방문예약 후 이용대기 시간 바로 입장기념일지인・동료
1856397809,모미지 신논현점,,,"저녁에 방문예약 후 이용대기 시간 바로 입장데이트, 일상, 가족모임연인・배우자"
1856397809,모미지 신논현점,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1856397809,모미지 신논현점,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1856397809,모미지 신논현점,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트친구
1856397809,모미지 신논현점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
1856397809,모미지 신논현점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
1856397809,모미지 신논현점,,,저녁에 방문예약 후 이용대기 시간 바로 입장회식지인・동료
1856397809,모미지 신논현점,,,전체 좌석 16개 모두 룸타입이라서 프라이빗하고 너무 좋았습니다!! 맛은 엄청 훌륭하고 좋아요!!
1856397809,모미지 신논현점,,,"좌석이 모두 개별 룸으로 되어있어서 프라이빗하고 직원분들도 모두 친절하십니다. 모둠 사시미는 대 사이즈 기준으로 네 명이서 안주하기 괜찮은 구성이고 특선은 여기에 랍스터 회와 크림파스타가 추가됩니다. 사케는 보통주 급의 저렴한 품목은 없지만 6만원대 정도부터 시작해서 꽤 다양한 라인업이 갖추어져 있으며, 국산 주류 중 화요나 일품진로는 토닉워터도 기본으로 제공됩니다. 술자리가 길어지면서 이것저것 많이 주문했더니 서비스로 연어 머리도 챙겨주시네요. 메뉴가 나오는데 시간이 약간 걸리는 편이긴 하지만 대체로 깔끔하고 맛있었습니다."
1856397809,모미지 신논현점,,,"초등학교 친구들들과 방문한 청첩장 모임 장소 입니다. 특히 오랜만에 친구들 모임 이기에 장소 찾기에 신중 했는데요. 강남에 있는 이자카야 중 단연 가장 깔끔했어요. 인테리어도 좋고 음식도 사시미, 이외 음식 등 모든 종류 맛있었고 덕분에 만족스럽게 시간 보낸 것 같습니다."
1856397809,모미지 신논현점,,,친구들과 조용한 곳에서 얘기하기 좋고 음식도 다양하고 맛있었어요. 직원분들도 친절했어요~
1856397809,모미지 신논현점,,,프라이빗 룸이라 조용히 대화하고 싶을 때 가기 너무 너무 좋아요 !!!!! 지금까지 간 룸 술집 중에 여기가 젤 좋습니다 심지어 숙성회 지인짜 맛있어요 .. 다음에 지인 데리고 또 올게요 !!
1653433739,상무초밥 강남점,,,12900원에 가성비 아주 좋은 구성 인 것 같습니다.
1653433739,상무초밥 강남점,,,12900원에 가성비 아주 좋은 구성 인 것 같습니다.
1653433739,상무초밥 강남점,,,"1시30분 넘어서 입장하니 기다리지 않고 바로 먹을 수 있네요. 가성비 짱 점심특선이에요. 부드러운 활어, 연어, 참치, 새우, 계란회에 후토마끼, 미니모닐, 튀김까지… 집 근처에 있으면 일주일에 3번은 올 것 같아요"
1653433739,상무초밥 강남점,,,"1시30분 넘어서 입장하니 기다리지 않고 바로 먹을 수 있네요. 가성비 짱 점심특선이에요. 부드러운 활어, 연어, 참치, 새우, 계란회에 후토마끼, 미니모닐, 튀김까지… 집 근처에 있으면 일주일에 3번은 올 것 같아요"
