가게ID,가게명,평점,날짜,리뷰내용
11856990,노랑저고리 한정식,,,5인 점심 한정식 시켰는데 가격도 합리적이고 한옥 분위기로 고풍스럽습니다. 강남역과 가까워서 친구들 모임하기에도 편합니다. 메뉴도 다양하고 굴비가 정말 고들고들 하고 고소 했습니다.
11856990,노랑저고리 한정식,,,가격에 비해 너무 정갈하고 맛있고 깔끔한 한상이예요 ❤️👍🏻 매장이 넓어서 단체모임하기도 좋을것 같고 누구나 좋아할 한식이 많아서 호불호도 안갈릴듯해요 특히 어른들 모시고 오기 딱 좋은 장소같습니당!
11856990,노랑저고리 한정식,,,강남 가성비 한정식 집에서 부모님이랑 가족 생일 축하하러 왔는데 잘 온 거 같아요!
11856990,노랑저고리 한정식,,,강남 올때 마다 자주 들리는 한정식 집! 음식이 하나 같이 다 맛있고 어른들도 좋아할맘함 조용하고 넓어서 단체로도 많이 오시는 것 같아요!! 쭈꾸미 너무 야들야들 보리굴비 말해뭐해요! 그리고 잡채가 킥입니다…
11856990,노랑저고리 한정식,,,강남에 이런 한정식 집이 있는게 좋아요! 음식도 맛있고 가격도 괜찮고 엄마랑 왔는데 맛있게 먹고가요~❤️ 그리고 바쁜 와중에도 카운터 직원 분이 친절하셔서 좋았습니다:)
11856990,노랑저고리 한정식,,,강남역 9번출구 강남역 유일한 정직한 한정식집입니다. 식사나 모임있을때 들려주세요~ 감사합니다.
11856990,노랑저고리 한정식,,,강남역 9번출구 강남역 유일한 정직한 한정식집입니다. 식사나 모임있을때 들려주세요~ 감사합니다.
11856990,노랑저고리 한정식,,,강남역 9번출구 강남역 유일한 정직한 한정식집입니다. 식사나 모임있을때 들려주세요~ 감사합니다.
11856990,노랑저고리 한정식,,,강남역 9번출구 강남역 유일한 정직한 한정식집입니다. 식사나 모임있을때 들려주세요~ 감사합니다.
11856990,노랑저고리 한정식,,,"강남역 바로 근처에 있는데 이렇게 크고 넓은 한정식집 처음이네용 룸, 테이블이 많아서 비즈니스모임, 단체모임 장소로 좋겠더라구요 보리굴비를 좋아해서 엄마랑 방문했는데 녹차물에 말아먹으니까 너무 맛있네요 물론 맨밥에 먹어도 맛있고 반찬들도 종류가 다양해서 맛있게 먹었어요 된장찌개도 구수하니 맛있었어요"
11856990,노랑저고리 한정식,,,강남역 한정식 단체 모임하기 좋고 반찬들 굉장히 많습니다. 점심 특선 주꾸미와 고등어구이 불고기까지 한 번에 먹을 수 있어. 가성비 좋았고 엄청 친절해요. 엄마가 차려준 밥 먹고 싶다면 찾아오고 싶은 노랑저고리
11856990,노랑저고리 한정식,,,강남역에서 2분거리 언제든지 오셔서 좋은 시간 보내시기 바랍니다.
11856990,노랑저고리 한정식,,,강남하면 생각나는 곳에 회식으로도 지인들과 오기에도 너무 적합한 곳!
11856990,노랑저고리 한정식,,,너무 맛있어요🩷 강남역근처 최고 한식맛집입니다. 특히 보리굴비도 맛있고 평일점심에 오시면 가성비 좋게 한정식즐길수 있어서 완적 강추입니다👍
11856990,노랑저고리 한정식,,,너무 친절하셔서 엄마가 예약했냐고 왜 이리 친절하냐 하셨어요ㅋㅋ
11856990,노랑저고리 한정식,,,다른 식당들 보리굴비는 대부분 짜거나 뻣뻣한 맛이이라 별로 안좋아했는데 노랑저고리 보리굴비는 부드럽고 간도 딱 좋아요~
11856990,노랑저고리 한정식,,,어머님께서 강남 병원에 검진 받으러 오신 김에 노랑저고리한정식집 방문했어요 :) ! 내부가 무척 넓어서 좋더라구요 ☺️ 게다가 한정식 가게이다보니 한상차림으로 나와서 부모님 모시고 오기에도 좋았어요!! 메뉴도 무척 다양해서 선택의 폭도 넓습니다 💗 저희는 점심 한상으로 불고기 시켜서 먹었는데 구성도 알차고 배부르게 먹었어요 🥳 생선은 따로 간을 해서 먹을 수 있게 간이 안되어 나오더라구요 :) 이런 점도 손님에 대한 배려같아서 무척 기분 좋았습니다 🥹 다음에도 또 방문해서 다른 메뉴로 도전해봐야겠어요 👍🏻
11856990,노랑저고리 한정식,,,엄마랑 방문했는데 너무 맛있네용 직원분들도 친절하시고 또 방문할께용♡
