가게ID,가게명,평점,날짜,리뷰내용
1619880023,마케집 논현점생선회,,,가성비는 떨어지는 편입니다만 장소가 장소인지라 감안하고 먹었습니다. 2차로 방문해서 그럭저럭 잘 먹고 왔습니다.
1619880023,마케집 논현점생선회,,,다만 가게 온 곳에 안주 서비스 준다고 포스터 붙여놓고는 물어보니까 행사 끝났다고...! 하시네요ㅋ ㅋ ㅋ ㅋ 놀리는걸까요😭
1619880023,마케집 논현점생선회,,,막회랑 버터술찜 먹었는데 너무 맛있어요. 다른 지점에서 먹고 맛있어서 다른 지점도 다 애용하고 있어요. 재방문각! 반주로 너무 좋고 매장 분위기도 좋았어요~ 퇴근 후 간단한 반주 가게로 추천!! 해산물도 다 싱싱합니다
1619880023,마케집 논현점생선회,,,모임이 있어 전에 방문했던 마케집 노현점 재방문했는데 역시나 만족스러웠어요.
1619880023,마케집 논현점생선회,,,"밤에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목, 나들이, 일상연인・배우자, 친구, 지인・동료"
1619880023,마케집 논현점생선회,,,산낙지에 전복에 소라 아귀간 전부 정말 신선해서 쏘주한잔 곁들여 정말정말 맛있게 먹었어요
1619880023,마케집 논현점생선회,,,석화를 얼마나 기다린건지 요즘 석화가 비싼지 가는곳들 마다 양이 많지는 않네요.
1619880023,마케집 논현점생선회,,,"아침에 방문예약 없이 이용대기 시간 바로 입장친목, 일상친구"
1619880023,마케집 논현점생선회,,,양이 적은 것도 아닌데 부담스럽지 않게 먹을 수 있었어요 -
1619880023,마케집 논현점생선회,,,여기 막회는 회가 너무 신선하고 깔끔해서 믿고 먹는집이라 막회에 술한잔 잘 즐기다 왔어요!! 해산물이랑 막회 드시려면 여기 완전 츄천!!!
1619880023,마케집 논현점생선회,,,여기 안주 다 맛있어요 근처 회사 다닐때 점심 먹으러 자주 오고 해물라면도 왕맛나서 올만에 전회사분들 만낫을때 일부러 찾아왔어요 안주 맛도리에 술이 술술 들어갑니다 술찜 튀김 회 다 짱😍❤
1619880023,마케집 논현점생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1619880023,마케집 논현점생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1619880023,마케집 논현점생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1619880023,마케집 논현점생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1619880023,마케집 논현점생선회,,,저녁에 방문예약 후 이용대기 시간 바로 입장비즈니스지인・동료
1619880023,마케집 논현점생선회,,,저녁에 방문예약 후 이용대기 시간 바로 입장일상연인・배우자
1619880023,마케집 논현점생선회,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
1619880023,마케집 논현점생선회,,,"저녁에 방문예약 후 이용대기 시간 바로 입장친목친구, 지인・동료"
1619880023,마케집 논현점생선회,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
1619880023,마케집 논현점생선회,,,점심에 방문예약 후 이용대기 시간 바로 입장친목친구
1619880023,마케집 논현점생선회,,,제철 방어는 달고 광어는 쫄깃하고~회 먹고 튀김먹고 마무리 해물라면까지! 풀코스로 먹었는데 가격도 합리적이네요.
1619880023,마케집 논현점생선회,,,"직원분들 너무 친절해요 막회, 물회 너무 맛있어요 마지막에 물회안에 소면까지 넣어먹으니 너무 배부르고 세상 맛있네요 계산하고 나갈때 사탕까지 서비스 입가심까지 완벽한 식사^^"
1619880023,마케집 논현점생선회,,,진짜 회 소 시켰는데 중 정도로 양 많구 너무맛있어요
