가게ID,가게명,평점,날짜,리뷰내용
1845728490,마라샤오반 반이학생마라탕마라반중식당,,,다 처음 경험하는 맛들이지만 맛있었어요!!
1845728490,마라샤오반 반이학생마라탕마라반중식당,,,들어가자마자 앉을 자리 없이 모든 테이블은 치워지지 않고 휴지도 없고 재료 고르는데 날파리 날라다녀요;;
1845728490,마라샤오반 반이학생마라탕마라반중식당,,,"또 무한리필 중식뷔페는, 다양한 음식들을 원하는만큼 먹을 수 있는 메뉴인데요, 요리 하나하나 다 너무 맛있고 입에 감겨서 탄성하며 먹었어요."
1845728490,마라샤오반 반이학생마라탕마라반중식당,,,"마라 처돌이 닝겐들 다 여기로 오세유… 다른 곳에서는 보기 힘든 무한리필도 있고, 혼밥하기도 딱 좋아서 중국인, 한국인 할 거 없이 많이 오시더라구요!! 저 땅콩소스에 비벼먹는게 캬,,, 최고최고. 재료도 신선하고 종류도 많아서 좋습니다!"
1845728490,마라샤오반 반이학생마라탕마라반중식당,,,"마라반이라는 메뉴가 궁금해서 먹으러 왔어요. 사장님과 직원 모두 중국분이시고, 중국 손님이 많아서 중국현지 분위기 느낄 수 있어요. 중국 유학생들 사이에서 유명한 집인가봐요. 마라반은 마라 땅콩 소스에 익힌 재료를 비벼서 먹는 건데 마라샹궈랑 또 다르게 먹어볼만한 메뉴였어요. 12000원으로 무제한 뷔페도 운영중인데 현지식 중식 좋아하시는 분들께 추천. 오이 요리가 깔끔하고 맛있었어요~ 직원과 사장님이 친절하셔서 즐겁게 잘 먹고 가요"
1845728490,마라샤오반 반이학생마라탕마라반중식당,,,"마라샤오반에서 마라반이랑 중식 뷔페 제대로 뿌시고 왔어! 🔥 솔직히 말하면 뷔페는 간이 좀 센 편인데, 희한하게 자꾸 끌리는 중독적인 맛이야! 😋 계란튀김, 닭고기볶음 등등 종류도 다양해서 이것저것 맛보는 재미가 쏠쏠해. 근데 진짜 혁명은 마라반!!! 🤩 매콤하면서 얼얼한 마라의 풍미가 신선한 야채, 쫄깃한 면발이랑 어우러지는데... 와, 이건 진짜 먹어봐야 해! 🤤 느끼함은 싹 잡아주고, 입맛은 계속 당기는 마성의 맛이야. 한국인이라면 무조건 좋아할 맛! 👍"
1845728490,마라샤오반 반이학생마라탕마라반중식당,,,마라탕 맛있었어요 ! 튀김도 마라소스 묻혀져서 맛있엇답니다~
1845728490,마라샤오반 반이학생마라탕마라반중식당,,,모든 손님은 중국인 한국인 2팀은 들어오자마자 다 나감. 나도 나가려다가 귀찮아서 먹었는데 후회함. 홀이 상당히 더러웠는데 주방 상태는 심각할거같음. 같이 간 사람도 이런거 신경 안 쓰는데 위생 상태 보고 찝찝하다고 함. 꿔바로우 고기는 종잇장크기로 그냥 찹쌀튀김..
1845728490,마라샤오반 반이학생마라탕마라반중식당,,,무한리필로 여러가지 요리를 점심에 즐길수있는 마라샤오반 마라반은 처음 먹어봤는데
1845728490,마라샤오반 반이학생마라탕마라반중식당,,,사장님이도 친절하시고 마라반도 너무 맛있어요!
