가게ID,가게명,평점,날짜,리뷰내용
1197641297,유자유김치떡볶이 신촌점,,,감칠맛 최고 떡국떡도 야들야들하고 오뎅도 부드러워요 중독성 있습니다
1197641297,유자유김치떡볶이 신촌점,,,국물이 그렇게까지 자극적?이지 않아서 살짝 아쉬웟습니다
1197641297,유자유김치떡볶이 신촌점,,,국물이 그렇게까지 자극적?이지 않아서 살짝 아쉬웟습니다
1197641297,유자유김치떡볶이 신촌점,,,길쭉한 떡 대신 떡국떡이 들어가요. 김치 떡볶이는 볶음김치맛이 나면서 짭짤 고소한 맛이 있어 국물이랑 같이 먹기 좋습니다! 떡볶이 좋아하시는 분들께 추천합니다 😋😊
1197641297,유자유김치떡볶이 신촌점,,,김치떡볶이 기대 많이 했는데 생각했던 맛 이상이었던 것 같아요!! 역시 맛집이라 그런지 단체손님이 되게 많더라구요 😳 추천합니도 ㅎㅎ
1197641297,유자유김치떡볶이 신촌점,,,김치떡볶이 기대 많이 했는데 생각했던 맛 이상이었던 것 같아요!! 역시 맛집이라 그런지 단체손님이 되게 많더라구요 😳 추천합니도 ㅎㅎ
1197641297,유자유김치떡볶이 신촌점,,,김치와 떡볶이의 조합이 신선했어요 ㅎㅎ 떡국떡이라 골라먹는 맛이 있었어요! 한번 쯤 색다른 떡볶이 땡길때 오기 좋아요
1197641297,유자유김치떡볶이 신촌점,,,김치와 소스의 맛이 익숙한듯 새로운맛이고 떡볶이랑 너무 잘 어울려서 한식과 분식사이 그 어딘가?? 그래서 밥이랑 너무 잘 어울릴거같애서 밥이랑 김가루추가해서 양념에 비벼먹었더니 기절이였습니다ㅋㅋㅋㅋ너무 맛있게 먹고 갑니다!!!!
1197641297,유자유김치떡볶이 신촌점,,,넘 맛있어요ㅠㅠ대학생때 그 맛 그대로에요..유자유김치떡볶이에 유자막걸리 마시면 극락!!! 치킨피자김치떡볶이 꼭 드세요
1197641297,유자유김치떡볶이 신촌점,,,넘 맛있어요ㅠㅠ대학생때 그 맛 그대로에요..유자유김치떡볶이에 유자막걸리 마시면 극락!!! 치킨피자김치떡볶이 꼭 드세요
