가게ID,가게명,평점,날짜,리뷰내용
13506826,김진환 제과점베이커리,,,"<김진환제과점>동네 안쪽 이렇게 숨어있는 보석같은 찐빵집이 있지요.신촌사거리 안쪽에 김진환제과점!빵을 세팅,진열하는 공간도 없이 바로 나온 빵을 포장해서 하는.전 여기 밤식빵 애정합니다.먼곳에서 이것때문에 주말에 온다는게 그 증명!4500원.밤도 토실하고 빵 자체에 수분과 식감 탄력 최고!"
13506826,김진환 제과점베이커리,,,"가보고 싶던 식빵가게! 근처 병원 갈 일이 있어 들렀어요. 내부 작업실에서는 세월과 내공이 느껴져 멋있었고, 우유식빵은 기본에 충실하고 담백하니 맛있었어요."
13506826,김진환 제과점베이커리,,,간판이 핑크색으로 바뀌었고..식빵말고 다른 것도 팝니다.빵이 맛있어요
13506826,김진환 제과점베이커리,,,때마침 일하는 곳과 가까워서 다녀왔는데 지금껏 몰랐던게 아쉬울 정도예요ㅎ
13506826,김진환 제과점베이커리,,,"리뷰 1,941사진 716팔로워 57"
13506826,김진환 제과점베이커리,,,밤식빵도 밤이 많아서 너무 좋아요~막 구운 식빵 사니 만족도 상승~앙금빵도 덜 달아서 굿~
13506826,김진환 제과점베이커리,,,빵이 다 사라지기 전까진 정말 정신 못차리고 먹을 정도로 맛있습니다.
13506826,김진환 제과점베이커리,,,식빵 너무 맛있어요 부드럽고 촉촉하고 멋부리지않은 옛날식빵 그자체! 주기적으로 한번씩 가게됩니다
13506826,김진환 제과점베이커리,,,아침에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
13506826,김진환 제과점베이커리,,,오전에 방문하니 갓 구워져나온 빵을 먹으니 너무 맛있었어요. 밤식빵도 옹골찬게 맛있더라구요. 요즘 빵 가격이 터무니 없이 비싼 경우가 많은데 김진환베이커리는 가격도 맛도 좋다고 느꼈습니다.
13506826,김진환 제과점베이커리,,,요즘 다른 빵집들은 빵인지 방부제덩어리인지 정체를 알 수 없는 겉만 이쁜것들을 팔아대고있다. 쩝.
13506826,김진환 제과점베이커리,,,요즘은 흔해진 프리미엄 식빵전문점 밀땡이나 화이트땡땡 등이 있기전부터 이미 오래된 식빵 맛집 김진환 제과점이 있었드랬죠..! 꾸준히 식빵 만들어주셔서 감사합니다. 원래라면 빵이 없었을 시간에 방문했는데 날씨가너무 더워서인지 마감 시간 전에도 빵이 조금 남아 있어서 좋았어요!
13506826,김진환 제과점베이커리,,,"우유식빵 5000원, 밤식빵 4700원에 구매했어요 ! (25.07.22) 더운날이라 그런지 오후12:30분쯤 도착해도 빵이 넉넉히 있더라구요 ~ 빵은 포장만 가능하고, 맛 자체가 깔끔하고 너무 꼬숩습니다 ~~ 위치가 애매해서 자주는 못 가겠지만 신촌과 홍대입구 쪽 갈일 있으면 또 들릴게요 !!"
13506826,김진환 제과점베이커리,,,"우유식빵,시나몬베리,소보루,모카모닝빵 사와서 먹어봤네요. 재방문 한다면 소보루 정도만 사오지 않을까 싶습니다. 30년전 먹던 옛날 빵맛을 좋아하는 분이라면 우유식빵,소보루 등 다 좋아하실거 같은데 모카모닝빵은 굉장히 실망스러운 맛ㅜㅜ 호두 모카빵 아닙니다~~ 모닝빵은 비추비추.. 요즘 워낙 맛난 빵들이 많다보니 저는 조~~금 아쉬웠어요 추억의 맛 정도^^;;"
13506826,김진환 제과점베이커리,,,이곳은 다른 일부 빵집처럼 다른 곳에서 빵을 만들고 옮겨서 파는...방부제 덩어리 빵이 아니다.
13506826,김진환 제과점베이커리,,,이번에 방문했을땐 시나몬베리도 구매했는데 완전 제스타일이네요
13506826,김진환 제과점베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장여행혼자
13506826,김진환 제과점베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
13506826,김진환 제과점베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
13506826,김진환 제과점베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
13506826,김진환 제과점베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
13506826,김진환 제과점베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
13506826,김진환 제과점베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
13506826,김진환 제과점베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
13506826,김진환 제과점베이커리,,,"점심에 방문포장·배달 이용대기 시간 바로 입장연인・배우자, 아이"
13506826,김진환 제과점베이커리,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상아이
13506826,김진환 제과점베이커리,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상연인・배우자
13506826,김진환 제과점베이커리,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상혼자
13506826,김진환 제과점베이커리,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상혼자
13506826,김진환 제과점베이커리,,,클래식한 우유식빵 담백하고 말랑말랑합니다 마감 직전 도착했는데 다행이 빵이 있네요 잘라진 빵과 통빵 중 고를 수 있어요
1462170636,아우어베이커리 신촌숲길점베이커리,,,"리뷰 1,524사진 801팔로워 17"
1462170636,아우어베이커리 신촌숲길점베이커리,,,매장 깔끔하고 2층으로 되어있어요! 직원분도 친절하셨습니다:)
1462170636,아우어베이커리 신촌숲길점베이커리,,,매장도 너무 깔끔하고 첫 팝업 방문이라 기대하고 갔는데 음식도 맛있고 너무 예쁘게 꾸며져 있어서 만족스러웠습니다~
1462170636,아우어베이커리 신촌숲길점베이커리,,,"매장도 힙하고 디저트,커피, 음료도 맛있고 직원분들이 친절하고 매장이 2층인데 자리 앉을 테이블이 많지 않아"
1462170636,아우어베이커리 신촌숲길점베이커리,,,메밀식빵 일반 식빵과는 다른 고소하고 부드러운 맛 강추합니다
1462170636,아우어베이커리 신촌숲길점베이커리,,,서강대역 근방의 베이커리 카페입니다. 1층에서 빵과 커피를 고른 다음 2층 테이블에 자리 잡았습니다. 건물 층고가 높고 창이 널찍해서 그런지 시원한 인상이 들었어요. 카페와 신촌숲길이 맞닿아 있어 식후에 산보하기도 좋습니다.
1462170636,아우어베이커리 신촌숲길점베이커리,,,시드니에서 17일동안 밥 2번 외엔 빵만 먹다왔는데두 빵이 전혀 물리지가 않는 본투비빵순이로서 밥을 먹었지만 빵이 또 먹고싶은 이 현실...받아들여야죠 ㅎㅎㅎ 집에 오는길에 아우어가 보이길래 자연스럽게 들어가서 크로와상과 더티초코를 포장해서 집에 고이 들고왔어요 아우어는 음료보다는 빵을 특히 요 패스츄리류를 먹어야 합니다 아시죠? ^------^ 제가 고른 크로와상과 더티초코 요2개가 젤 괜찮아요 나름 결이 디테일하게 살아있어요 글구 봉지가 이뻐서 ㅋㅋㅋ 포장해서 들고다닐때 더 기분좋아집니드아~~~~~
1462170636,아우어베이커리 신촌숲길점베이커리,,,아몬드 크림 레이어드 겉은 식감이 좋은데 밑부분 기름 떡진거 같아 모든면이 결있게 크런치 했으면 좋겠어요
