가게ID,가게명,평점,날짜,리뷰내용
1519253261,내안에카페인,,,"가볍게 브런치 먹으러 방문했어용~ 통밀 샌드위치에 아몬드 크로플 시켰는데, 아! 블루베리 라떼까지 찰떡 너무 맛있습니다! 가볍게 한끼 드실 분들 정말 추천합니다. 쌀디저트도 있다해서 후식으로 먹어보러했는데, 아쉽게도 이날은 없었어용 담에 꼭 먹어보러 재방문하겠습니다~💕💕"
1519253261,내안에카페인,,,"계란이 정말 부드럽고 두꺼워서 좋았고 토마토랑 햄이랑도 잘어울렸어요. 안애 발린 갈릭 소스가 정말 킥이였고, 호밀빵은 정말 부드럽고 고소해서 빵만 따로 사고 싶을 정도였어요. 또 마침 물티슈가 필요했는데 샌드위치 밑에 있더라고요! 정말 감동 포인트였습니다."
1519253261,내안에카페인,,,"다크한 원두 아메가 쓰거나 넘 진하지 않고 적당히 진한게 좋네요 맛있는 휘낭시에와 편안한 분위기, 골목에 숨어있어서 몰랐는데 단골도 많고 친절합니다"
1519253261,내안에카페인,,,리뷰에 샌드위치 비주얼이 너무 좋아서 공연 보러 가는 길에 방문했어요! 매장 분위기가 좋아서 카페 데이트하기 딱 좋은 거 같아요~ 신촌카페 찾으신다면 추천추천👍🏻👍🏻
1519253261,내안에카페인,,,말차밀크쉐이크!! 맛잇어요 ㅎㅎ 딸기라떼 딸기밀크쉐이크의 딸기가..진짜..찐맛...ㅎ
1519253261,내안에카페인,,,맛있게 잘 먹었습니다! 브런치와 샌드위치 맛집이에요💓 감사합니다😍
1519253261,내안에카페인,,,샌드위치가 먹고싶어서 검색해서 찾아왔습니다ㅎ샌드위치 안에 야채가 신선하고 가격대비 실하네요ㅎ가게도 차분하고 좌석간격도 너무 다닥다닥붙어있지않아서 좋습니다ㅎ글루텐프리 쌀휘낭시에도 담에 도전해보려구요ㅎㅎ
1519253261,내안에카페인,,,샌드위치먹고 시간을 보낼 수 있는 곳을 찾다가 발견한 카페! 샌드위치 너무 맛이엉..🤍 소스가 안에 재료랑 너무 잘 어울리고 바닐라빈 라떼 마셨는데 빈시럽이랑 파우더를 같이 쓰는 것 같은 묽은 느낌의 라떼👍
1519253261,내안에카페인,,,소불고기가 120g..! 산뜻하고 깔끔한아메리카노..!
1519253261,내안에카페인,,,"신촌맛집 브런치카페 샌드위치 맛집 이라고 말할수있을것 같습니다 ... JMT 존맛탱쓰 다른데보다 샌드위치가 두툼 실하고 내용물 미어터지고,,친절하고,,깨끗함.. ... 리뷰잘 안쓰는디 여긴 가성비갑 싸고 신선하고 고급지고 괜찮네요 단체주문 담에 해볼게요~!^^"
1519253261,내안에카페인,,,신촌샌드위치맛집입니다 ♥ 근데 분위기도 좋고 글루텐프리이기까지..♥ 커피도 맛있어요!
1519253261,내안에카페인,,,"신촌에 이런 숨겨진 보석 같은 카페가 있다니! 벌써 두 번째 방문인데, 커피도 맛있고 샌드위치도 정말 맛있어요. 가격도 합리적이고, 분위기는 아늑하고 조용해서 혼자 쉬거나 작업하기에도 딱 좋습니다. 사장님도 너무 친절하시고요. 앞으로도 자주 오게 될 것 같아요 :)"
1519253261,내안에카페인,,,신촌에서 1만2천원브런치...! 너무 저렴하고 소세지도맛있고 딸기쨈발라서 빵에 햄이랑치즈넣어서 먹어도 맛있고 ㅎㅎ
1519253261,내안에카페인,,,신촌역 브런치 카페 찾다가 왔어요! 샌드위치랑 브런치 플레이트 시켰습니다 :) 샌드위치 엄청 푸짐하고 맛있어요 ><
1519253261,내안에카페인,,,아이스라떼 원두 선택도 가능하고 포장 500원 할인도 있네요 커피가 무척 맛있습니다 샌드위치도 저렴한데 맛나보여서 먹어봐야겠어요 혼자 공부하는 학생들 외국인 학생도 많고 사장님 넘 친절하세요
1519253261,내안에카페인,,,아인슈페너가 정말정말 맛있고 커피 향이 정말 좋습니다☺️ 매장 내부도 아늑-따뜻한 분위기로 잘 꾸며져 있고 메뉴도 다양해요~!! 꼭 다시 오고 싶은 카페..🫶
1519253261,내안에카페인,,,아침에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1519253261,내안에카페인,,,아침에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1519253261,내안에카페인,,,아침에 방문포장·배달 이용대기 시간 10분 이내 일상지인・동료
1519253261,내안에카페인,,,양도 적당하고 커피도 진짜 맛있어요!! 주말 브런치로 기분 좋게 하루를 시작하네요~ 분위기도 좋고 자주 오고 싶은 공간이에요 ◡̈ 샌드위치 진짜 맛있네요..
1519253261,내안에카페인,,,여기 너무 친절하시구 넘넘 마싯고.. 퀄리티 미쳐서 자주 와요~!~!~! 오래오래 장사해주세요 사장님 !!ㅐ
1519253261,내안에카페인,,,여자 친구랑 아침 식사 대용으로 브런치 먹으러 왔는데 상당히 마음에 듭니다. 카페도 예쁘고 브런치도 되게 정갈하게 나왔어요. 추천 합니다.
1519253261,내안에카페인,,,오전 11시방문해서 앞에한팀있엇고 메뉴는거의 30분걸려서 나온것같아요. 불고기랑 에그 샌드위치먹었는데 둘다 맛있어서 친구가랑 같이가서 반개씩 나눠먹는걸 추천합니다!
1519253261,내안에카페인,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1519253261,내안에카페인,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1519253261,내안에카페인,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1519253261,내안에카페인,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1519253261,내안에카페인,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목혼자
1519253261,내안에카페인,,,제 또또또또또간집입니다 ㅎㅎ 샌드위치 세가지 다 먹어봤는데 각각 다른매력으로 맛있어요
1519253261,내안에카페인,,,"화장실이 깨끗합니다! 이 동네에서 이렇게 관리하셨다는 건, 사장님이 그만큼 청결하게 매장을 관리하신다는 증거 같아서 감탄했어요. 그리고 샌드위치는 소스가 조금 달긴 하지만 맛있고 든든합니다. 친절하시고 매장도 쾌적해서 또 방문하고 싶어요🙂"
1507982265,띵크프룻,,,3번째 방문 해주신 고객님~ 말씀 해주신대로 바뀌는 계절마다 수플레의 메뉴도 바뀐답니다~ㅎㅎ 그래서 더욱 매력있고 맛있는 수플레를 만들어 드릴 수 있답니다! 방문 해주셔서 감사드리고 매일매일이 프룻프룻한 하루 보내시길 바라면서 다음에도 또 놀러 와주세요~
1507982265,띵크프룻,,,3번째 방문 해주신 고객님~ 말씀 해주신대로 바뀌는 계절마다 수플레의 메뉴도 바뀐답니다~ㅎㅎ 그래서 더욱 매력있고 맛있는 수플레를 만들어 드릴 수 있답니다! 방문 해주셔서 감사드리고 매일매일이 프룻프룻한 하루 보내시길 바라면서 다음에도 또 놀러 와주세요~
1507982265,띵크프룻,,,ㅋㅋㅋㅋㅋ각설이가 돌아왔다!! 잊혀지지 않는 띵크프룻이에요ㅎㅎ 정말 말씀 넘 예쁘게 해주셔서 기분이 좋네요ㅠㅠ 더더더 맛있고 부드럽게 만들어서 드릴 수 있도록 노력하겠습니다!! 다음에도 또 드시러 놀러 와주세요~^^
1507982265,띵크프룻,,,ㅋㅋㅋㅋㅋ각설이가 돌아왔다!! 잊혀지지 않는 띵크프룻이에요ㅎㅎ 정말 말씀 넘 예쁘게 해주셔서 기분이 좋네요ㅠㅠ 더더더 맛있고 부드럽게 만들어서 드릴 수 있도록 노력하겠습니다!! 다음에도 또 드시러 놀러 와주세요~^^
1507982265,띵크프룻,,,고객님들께 더욱 맛있는 수플레를 제공 해드리고자 주문 들어오면 바로 조리가 들어가기 때문에 갓 구운 수플레 따듯 퐁실하게 맛 보실 수 있답니다^^ 음료수도 맛잇는 수플레 맛집 다음에도 또 놀러 와주세요~
1507982265,띵크프룻,,,고객님들께 더욱 맛있는 수플레를 제공 해드리고자 주문 들어오면 바로 조리가 들어가기 때문에 갓 구운 수플레 따듯 퐁실하게 맛 보실 수 있답니다^^ 음료수도 맛잇는 수플레 맛집 다음에도 또 놀러 와주세요~
1507982265,띵크프룻,,,남자친구와 데이트할 때 맛있어보여서 들렸는데 진짜 맛있어요! 평소에 사람이 많다고 해서 웨이팅도 걱정했었는데 다행히 평일이라서 바로 먹었습니다! 무화과가 과하게 달지도 않고 딱 좋아요 ㅎㅎ 커피랑 먹으면 딱 좋은 달달함입니다!
1507982265,띵크프룻,,,남자친구와 데이트할 때 맛있어보여서 들렸는데 진짜 맛있어요! 평소에 사람이 많다고 해서 웨이팅도 걱정했었는데 다행히 평일이라서 바로 먹었습니다! 무화과가 과하게 달지도 않고 딱 좋아요 ㅎㅎ 커피랑 먹으면 딱 좋은 달달함입니다!
1507982265,띵크프룻,,,대기없이 이용했고 첫방문이에요. 수플레 너무 먹고 싶었는데 홍대에서 한다는 곳 있어서 왔어요. 띵크프룻 복숭아로 유명한데 무화과철이라 놓칠 수 없었던 🥲🥲 수플레 매번 15~20분정도 걸렸는데 띵크프룻은 주문한지 5분만에 나온거 같아요. 기다림없고 비린내없어서 맛있고 좋앗어요.
1507982265,띵크프룻,,,대기없이 이용했고 첫방문이에요. 수플레 너무 먹고 싶었는데 홍대에서 한다는 곳 있어서 왔어요. 띵크프룻 복숭아로 유명한데 무화과철이라 놓칠 수 없었던 🥲🥲 수플레 매번 15~20분정도 걸렸는데 띵크프룻은 주문한지 5분만에 나온거 같아요. 기다림없고 비린내없어서 맛있고 좋앗어요.
1507982265,띵크프룻,,,"무화과 수플레케이크는 비주얼부터 정말 예뻤고, 상큼한 무화과와 부드러운 케이크 조합이 너무 잘 어울렸어요. 수플레 특유의 폭신한 식감이 살아 있어서 먹는 내내 기분이 좋아졌습니다. 달지 않고 담백해서 커피랑도 정말 잘 어울렸고, 다음에 또 먹고 싶은 디저트예요!"
1507982265,띵크프룻,,,"무화과 수플레케이크는 비주얼부터 정말 예뻤고, 상큼한 무화과와 부드러운 케이크 조합이 너무 잘 어울렸어요. 수플레 특유의 폭신한 식감이 살아 있어서 먹는 내내 기분이 좋아졌습니다. 달지 않고 담백해서 커피랑도 정말 잘 어울렸고, 다음에 또 먹고 싶은 디저트예요!"
1507982265,띵크프룻,,,무화과 시즌이라 무화과 뿌시러 왔는데 재료도 신선하고 양도 많아서 다시 오고싶어요🫶🫶 과일이 달고 신선해서 추천추천 드리고 싶구요 시럽도 아가베 쓰시는 것 같더라구요! 나름 건강한 느낌이랄까요✨️ 사장님도 친절하시구요ㅠㅠ 잘 먹구갑니닷!!🫶✨️
1507982265,띵크프룻,,,무화과 시즌이라 무화과 뿌시러 왔는데 재료도 신선하고 양도 많아서 다시 오고싶어요🫶🫶 과일이 달고 신선해서 추천추천 드리고 싶구요 시럽도 아가베 쓰시는 것 같더라구요! 나름 건강한 느낌이랄까요✨️ 사장님도 친절하시구요ㅠㅠ 잘 먹구갑니닷!!🫶✨️
1507982265,띵크프룻,,,밥을 먹고 부담스럽지 않게 즐길 수 있는 수플레! 디저트 배는 따로 있다고 하더라고요ㅎㅎ 깔끔한 맛과 제철 생 과일로 이루어진 만족스러운 수플레 맛있게 드셔주셔서 감사드리고 다음에도 또 놀러 와주세요~
1507982265,띵크프룻,,,밥을 먹고 부담스럽지 않게 즐길 수 있는 수플레! 디저트 배는 따로 있다고 하더라고요ㅎㅎ 깔끔한 맛과 제철 생 과일로 이루어진 만족스러운 수플레 맛있게 드셔주셔서 감사드리고 다음에도 또 놀러 와주세요~
1507982265,띵크프룻,,,방문 해주시는 고객님들께 보답을 드리기위해 항상 친절한 서비스와 매일 더욱 맛있는 수플레를 고객님들께 제공 해드리고 있답니다~^^ 신선한 재료 준비부터 아낌없이 올라가는 싱싱한 제철 생과일들 예쁜 플레이팅으로 완성된 수플레~ 하나부터 열까지 손수 만들고 제공을 해드리고 있습니다ㅎㅎ 매일 노력해서 더욱 맛있는 수플레를 만들고있는 띵크프룻 더더 많은 관심과 사랑 부탁드립니다ㅎㅎ
1507982265,띵크프룻,,,방문 해주시는 고객님들께 보답을 드리기위해 항상 친절한 서비스와 매일 더욱 맛있는 수플레를 고객님들께 제공 해드리고 있답니다~^^ 신선한 재료 준비부터 아낌없이 올라가는 싱싱한 제철 생과일들 예쁜 플레이팅으로 완성된 수플레~ 하나부터 열까지 손수 만들고 제공을 해드리고 있습니다ㅎㅎ 매일 노력해서 더욱 맛있는 수플레를 만들고있는 띵크프룻 더더 많은 관심과 사랑 부탁드립니다ㅎㅎ
1507982265,띵크프룻,,,배부르지만 계속해서 들어가는 띵크프룻의 수플레입니다ㅎㅎ 상큼하고 깔끔한 과일들로 플레이팅해 더욱 맛있게 즐기실 수 있으세요~ㅎㅎ 맛있게 드셔주셔서 감사드리고 다음에도 또 놀러 와주세요~
1507982265,띵크프룻,,,배부르지만 계속해서 들어가는 띵크프룻의 수플레입니다ㅎㅎ 상큼하고 깔끔한 과일들로 플레이팅해 더욱 맛있게 즐기실 수 있으세요~ㅎㅎ 맛있게 드셔주셔서 감사드리고 다음에도 또 놀러 와주세요~
1507982265,띵크프룻,,,블루리본 받은곳이라 기대하면서 왔어요ㅎㅎ 대기가 조금 있었지만 타이밍이 좋아서 그런지 생각보다 빨리 들어왔습니다. 가격은 있지만 수플레 폭신하고 무화과가 달고 싱싱해요ㅎㅎ 무화과가 더 많이 들어가있으면 좋겠다 싶어오ㅎ
1507982265,띵크프룻,,,블루리본 받은곳이라 기대하면서 왔어요ㅎㅎ 대기가 조금 있었지만 타이밍이 좋아서 그런지 생각보다 빨리 들어왔습니다. 가격은 있지만 수플레 폭신하고 무화과가 달고 싱싱해요ㅎㅎ 무화과가 더 많이 들어가있으면 좋겠다 싶어오ㅎ
1507982265,띵크프룻,,,블루리본이라고해서 찾아갔는데 역시 기대이상이에요👍🏻 재료 하나하나 커피까지 신경많이 쓴 느낌입니다. 과일은 신선하고 통통한 수플레에 커피도 맛있었어요. 생크림도 과하게 달지 않아 정말 만족하고 갑니다.
1507982265,띵크프룻,,,블루리본이라고해서 찾아갔는데 역시 기대이상이에요👍🏻 재료 하나하나 커피까지 신경많이 쓴 느낌입니다. 과일은 신선하고 통통한 수플레에 커피도 맛있었어요. 생크림도 과하게 달지 않아 정말 만족하고 갑니다.
1507982265,띵크프룻,,,비 와서 근처 카페 급하게 들어왔는데 너무 쾌적하고 시원하고 좋아요! 수플레도 완전 달달하고 맛있어요🥹💛 그리고 하겐다즈 초코커피슬러시 강추입니다..🍫🍫 당 떨어져서 힘들었는데 너무너무 쾌속 충전했어용 ㅎㅎ
1507982265,띵크프룻,,,비 와서 근처 카페 급하게 들어왔는데 너무 쾌적하고 시원하고 좋아요! 수플레도 완전 달달하고 맛있어요🥹💛 그리고 하겐다즈 초코커피슬러시 강추입니다..🍫🍫 당 떨어져서 힘들었는데 너무너무 쾌속 충전했어용 ㅎㅎ
1507982265,띵크프룻,,,사르르 녹는 부드러운 수플레 안 드셔본 고객님들 꼭 드셔보셨으면 좋겠습니다!ㅎㅎ 항상 밝은 분위기와 맛있는 수플레를 맛 보실 수 있도록 더욱 노력해서 제공 해드릴게요~ 생각 나실 때 마다 놀러 와주세요!
1507982265,띵크프룻,,,사르르 녹는 부드러운 수플레 안 드셔본 고객님들 꼭 드셔보셨으면 좋겠습니다!ㅎㅎ 항상 밝은 분위기와 맛있는 수플레를 맛 보실 수 있도록 더욱 노력해서 제공 해드릴게요~ 생각 나실 때 마다 놀러 와주세요!
1507982265,띵크프룻,,,생일 너무너무 축하드리고 케익보다 더욱 맛있는 제철 생 과일 무화과 수플레를 준비 해봤습니다ㅎㅎ 만족스러운 시간 보내주셔서 감사드리고 극찬 너무 감사드려요^^ 다음에도 또 놀러 와주세요~
1507982265,띵크프룻,,,생일 너무너무 축하드리고 케익보다 더욱 맛있는 제철 생 과일 무화과 수플레를 준비 해봤습니다ㅎㅎ 만족스러운 시간 보내주셔서 감사드리고 극찬 너무 감사드려요^^ 다음에도 또 놀러 와주세요~
